DON'T THINK PEOPLE ACTUALLY USED "ALACK" LIKE THAT
100.00%: 
16.58%:  CAN
0.18%:  DON'T ACTUALLY NEED THAT S
0.18%:  PLED
0.18%: 'LL CALL THE POLICE TO T
0.18%:  HAD NO IDEA IT'
0.18%:  NEED THIS C
0.18%:  DON'T LIKE HO
0.18%: 'LL LET YOU STICK
0.18%:  NEED TO ASK YOU A L
0.18%:  CAN TELL THAT'S ALL
0.26%:  CAN TELL THAT'S ALL YOU DO
0.19%:  CAN TELL THAT'S ALL YOU CAN
0.18%:  STILL NEED AN
0.18%: 'LL CALL THE POLICE AND SUE YOU IN THE
0.18%:  NEED HELP TO
0.18%: 'LL LET YOU KEEP THAT ST
0.18%:  SPO
0.18%:  NEED THE KEYS THAT I
0.20%:  NEED THE KEYS THAT I LO
0.18%: 'D LIKE TO CHECK OUT THE L
0.18%: 'D LIKE TO THINK THAT SO
0.18%:  CAN TOTALLY HANDLE THAT ALL
0.18%:  COULD USE A LITTLE HELP CAT
0.18%: 'D LIKE TO THANK ALL THE TE
0.24%: 'D LIKE TO THANK ALL THE TEACUP
0.18%:  NEED YOU TO ASK A
0.18%:  THINK YOU NEED TO TAKE C
0.18%:  HAD NO IDEA YOU SUCH
0.18%:  COULD USE A LITTLE HELP AD
0.18%:  THINK IT'S CAL
0.54%:  THINK IT'S CALLED "THE
0.29%:  THINK IT'S CALLED THE
0.26%:  THINK IT'S CALLED A
0.18%:  COULD USE A HAND HE
0.18%:  COULD USE A LITTLE TO
0.18%:  LIKE THAT YOU USED "ALACK" AND TH
0.18%:  USED TO CALL YOU THAT AND THEN I LE
0.18%:  NEED TO E
0.18%: 'D LIKE TO SEE YOU TELL
0.18%:  THINK YOU'LL NEED TO PULL
0.18%: 'LL CALL THE POLICE AND NOT
0.18%:  NEED TO PICK UP THIS
0.18%: 'LL TELL YOU SE
0.18%:  USED TO CALL YOU CH
0.18%: 'LL LET YOU KEEP THE COIN
0.18%:  HAD NO IDEA YOU STILL HUN
0.18%: 'LL TELL THIS
0.18%:  COULDN'T HELP NOTICES THAT A
0.18%:  NEED THAT SH
0.18%:  THINK YOU'LL NEED TO K
0.18%:  ONLY ASKED THAT ONCE AL
0.18%:  NEED YOU TO SELL
0.18%:  NEED TO STEAL ANOT
0.18%:  COULD USE A HELLO
0.18%:  COULD TOTALLY USE A HELP HAND
0.18%:  COULD USE A LITTLE HELP IN ANY
0.18%: 'LL CHECK OUT THE
0.18%:  ACTUALLY DON'T THINK I COULD ST
0.18%:  THINK YOU SHOULD PL
0.18%:  ALSO NEED TO HE
0.18%:  CAN USE
0.23%:  CAN USE THE
0.18%: 'LL TALK TO YOU IN THE PAST AND
0.18%:  CAN'T HELP THAT SO
0.18%:  THINK YOU SHOULD TELL IT
0.18%:  THINK YOU SAID THE
0.18%:  PUT YOU IN THE S
0.18%:  THINK YOU ALSO
0.18%:  CAN HELP YOU DO THAT AT
0.18%:  CAN TOTALLY TAKE THESE
0.18%:  ACTUALLY USED TO LI
0.22%:  ACTUALLY USED TO LIKE THE
0.18%:  THINK I'LL USE
0.18%:  COULD USE A LITTLE HELP IN THE AP
0.18%:  ACTUALLY LIKE THAT
0.18%:  DON'T ACTUALLY THINK IT CO
0.18%:  COULD USE A LITTLE HELP IN THE LAT
0.18%: 'LL LET YOU KEEP ALL THE KIDS
0.18%:  HOPE YOU USE
0.18%:  THINK YOU SHOULD TAKE A T
0.18%:  NEED YOU TO PLEASE PICK
0.18%:  COULD TOTALLY INCLUDE THAT L
0.18%:  THINK THAT'S ACTUALLY CALLED IN
0.18%:  THINK YOU NEED TO CALL THE PL
0.18%:  NOTICE YOU USED THE "ALACK" P
0.18%:  HAD NO IDEA YOU KEPT THE C
0.18%:  DON'T ACTUALLY HE
0.18%:  COULD USE A LITTLE "LO
0.18%:  CAN PUT THE
0.18%:  COULD TOTALLY U
0.27%:  COULD TOTALLY UPD
2.20%:  COULD TOTALLY UPDATE THE
0.68%:  COULD TOTALLY UPDATE THE S
0.20%:  COULD TOTALLY UPDATE THIS
0.18%:  HAD NO IDEA YOU SPEAK THAT
0.18%:  COULD TOTALLY USE A HAND AT
0.27%:  COULD TOTALLY USE A HAND AT THE
0.18%:  HOPE YOU SUCCEED IN THAT AND ALL
0.18%:  CAN TOTALLY SA
0.18%:  THINK THE AN
0.18%:  NEED TO PICK THE
0.18%:  NEED TO USE ONE
0.18%:  KINDA NEED YOU TO ACT LI
0.18%:  NEED TO USE A TO
0.56%:  NEED TO USE A TOILET AND
0.23%:  NEED TO USE A TOILET AND TH
0.20%:  NEED TO USE A TOILET AND I'
0.18%:  LIKE THAT YOU USED "ALACK" IN AN
0.18%: 'D LIKE TO TELL YOU THAT I A
0.18%: 'LL LET YOU CALL THIS ONE THE
0.18%:  THINK TH
0.18%:  CAN'T STAND THAT
0.18%:  THINK THAT YOU CAN DO
0.18%: 'LL TOTALLY CHECK OUT THE
0.18%:  COULD USE A LITTLE HELP CA
0.18%:  CAN'T HELP IT OKAY IT
0.18%:  COULD USE A LITTLE HELP KICK
0.18%:  THINK YOU SHOULD CALL AND
0.18%:  THINK THAT'S ACTUALLY CALLED PLO
0.18%: 'LL LET YOU TAKE SO
0.18%:  CAN SEE IT ON THE
0.18%:  ACTUALLY DON'T SPE
0.18%:  COULD USE A LITTLE HELP ON THE ACT
0.18%:  THINK PEOPLE LIKE THE S
0.18%: 'LL KILL YOU AND E
0.18%: 'LL CALL THE POLICE AND SUE YOU AND TH
0.18%: 'LL LET YOU KEEP THE KIDS AND
0.18%:  THINK YOU'LL NEED TO H
0.18%:  DON'T THINK THAT YOU K
0.18%: 'LL TELL YOU THE AN
0.18%:  COULD USE A LITTLE L
0.18%:  COULD USE A LITTLE HELP IN THE CA
0.18%:  THINK YOU CAN SEE THAT
0.18%:  HOPE YOU P
0.18%:  COULD USE A LITTLE HELP HECK
0.18%:  TOOK THESE KEY
0.18%:  COULD USE A LITTLE HELP LOAD
0.18%:  DON'T ACTUALLY NEED H
0.18%:  CAN HELP YOU DO THAT ALL
0.18%:  HOPE YOU LIKE SCI
0.45%:  HOPE YOU LIKE SCIENCE AND
0.18%:  CAN TELL YOU DON'T ACT
0.18%:  USED TO CALL YOU "L
0.18%:  COULD USE A LITTLE HELP IN THE "C
0.18%:  COULDN'T HELP NOTICE ALL THE D
0.18%:  NEED YOU TO DANCE
0.18%: 'LL HELP YOU DO THAT IN
0.18%:  ASKED YOU LI
0.25%:  ASKED YOU LIKE T
0.27%:  ASKED YOU LIKE TEN
0.21%:  ASKED YOU LIKE TH
0.18%: 'D LIKE TO THAN
0.18%:  USED TO CALL YOU THAT AND I CAN
0.18%:  THINK THAT'S ACTUALLY CALLED "NE
0.18%:  COULDN'T HELP SPE
0.18%:  COULD USE A LITTLE HELP IN D
0.18%:  COULD USE A LITTLE HELP IN THE LOCK P
0.18%:  COULD TOTALLY TAKE THESE AND
0.18%:  DID NOT NOTICE
0.18%:  CAN HANDLE ALL
0.44%:  CAN HANDLE ALL THAT
0.18%:  CAN HANDLE ALL THAT L
0.18%:  COULD USE A HAND P
0.18%:  CAN TOTALLY DO T
0.18%:  CAN'T THINK A
0.18%:  ACTUALLY DON'T NEED TO T
0.20%:  ACTUALLY DON'T NEED TO TELL
0.18%:  NEED THE KEYS THAT LO
0.27%:  NEED THE KEYS THAT LOCK UP
0.18%:  NEED TO PICK UP THE KIDS ANY
0.18%: 'LL LET YOU KEEP ALL THE NICK
0.18%:  PUT YOU IN ALL CAPS AND IT
0.18%:  COULD USE THAT IN
0.18%:  THINK PEOPLE CAN
0.18%:  CAN TELL YOU THAT THE
0.18%:  ONLY NEED TO
0.18%:  COULD USE A LITTLE HELP ON THE PLAN
0.18%:  CAN SEE YOU PULL
0.18%:  NEED YOU TO HELP T
0.27%:  NEED YOU TO HELP TELL
0.18%:  THINK YOU CALLED THIS ONE "
0.18%:  USED TO CALL YOU E
0.18%:  ACTUALLY HAD NO IDEA THAT'S NOT
0.18%:  NEED TO TALK TO U
0.18%:  LET YOU IN ON THE
0.18%:  KINDA NEED YOU TO KEEP THIS
0.23%:  KINDA NEED YOU TO KEEP THIS UP
0.18%:  DON'T THINK HE LIKES YOU C
0.18%:  HOPE YOU KEEP THAT
0.18%:  COULD USE A LITTLE HELP CAN'
0.18%: 'D LIKE THE KEYS TO
0.18%:  HAD NO IDEA THAT YOU CAN'T SPEAK
0.18%: 'LL LEND THE
0.17%: 'LL TAKE ALL THE H
0.91%: 'LL TAKE ALL THE HELP YOU
0.17%:  COULDN'T HELP NOTICE THAT LE
0.17%: 'D LIKE TO SEE YOU ACT IN THE P
0.17%:  CAN'T LET YOU DO THAT AL
0.17%:  TOTALLY HAD A
0.17%:  COULDN'T HELP LO
0.17%:  SEE YOU AND
0.17%:  COULD USE A LITTLE HELP HEL
0.17%:  THINK YOU CAN PULL THE
0.17%:  LOOKED IN ALL THE PLACES TH
0.17%:  DON'T SPEAK T
0.17%: 'LL TOTALLY NOT
0.17%:  CALLED THE POLICE AND THEY LO
0.17%:  DON'T THINK HE LIKED YOU
0.17%:  CAN SEE AND
0.17%:  THINK YOU NEED TO TAKE A C
0.17%:  KINDA THINK YOU SHOULD TACK
0.17%: 'LL SAY ONE
0.17%:  CALLED THE POLICE AND SA
0.17%:  HOPE YOU LIKE SCIENCE AND THAT
0.17%:  NEED TO CHECK TO
0.17%:  THINK YOU AND I SHOULD C
0.17%:  NEED TO LOSE
0.17%: 'D LIKE TO THANK ALL THESE
0.17%:  COULDN'T HELP NOTICE I LE
0.17%:  COULD TELL YOU ALL THE SE
0.17%:  CAN HELP YOU TELL THE
0.17%:  LOOKED IN ALL THE PLACES THAT A
0.17%:  COULD USE A LITTLE "ALL
0.17%: 'LL TOTALLY K
0.36%: 'LL TOTALLY KEEP THIS
0.19%: 'LL TOTALLY KEEP THE
0.19%: 'LL TOTALLY KEEP THAT
0.18%: 'LL TOTALLY KNO
0.17%:  CAN ALSO DO THAT AND
0.17%:  THINK THAT YOU'D
0.17%:  THINK YOU SPELL THAT ONE
0.17%:  THINK PEOPLE CAL
11.97%:  THINK PEOPLE CALLED YOU THAT
2.48%:  THINK PEOPLE CALLED YOU THE
1.89%:  THINK PEOPLE CALLED YOU SH
1.03%:  THINK PEOPLE CALLED YOU THAT IN
0.72%:  THINK PEOPLE CALLED YOU THE "
0.67%:  THINK PEOPLE CALLED YOU THAT ALL
0.67%:  THINK PEOPLE CALLED YOU "SH
0.62%:  THINK PEOPLE CALLED YOU A
0.53%:  THINK PEOPLE CALLED YOU SHA
0.48%:  THINK PEOPLE CALLED YOU THAT AS
0.30%:  THINK PEOPLE CALLED YOU THAT AND
0.27%:  THINK PEOPLE CALLED YOU "SHA
0.25%:  THINK PEOPLE CALLED YOU THAT CA
0.48%:  THINK PEOPLE CALLED YOU THAT CAUSE IT
0.25%:  THINK PEOPLE CALLED YOU THAT AT
0.25%:  THINK PEOPLE CALLED YOU THAT INST
0.24%:  THINK PEOPLE CALLED THAT
0.21%:  THINK PEOPLE CALLED YOU '
0.20%:  THINK PEOPLE CALLED YOU THIS
0.20%:  THINK PEOPLE CALLED YOU A "
0.17%:  COULD TOTALLY UPDATE THESE
0.17%:  COULD USE A LITTLE HELP ON THAT P
0.17%:  LOOKED IN ALL THE P
0.17%: 'LL SEE YOU AT THE THE
0.17%:  THINK YOU SHOULD TAKE P
0.17%: 'LL SEND YOU A CHECK
0.17%:  HONE
0.17%:  COULDN'T HELP NOTICES ALL
0.17%:  CAN TELL THAT YOU D
0.61%:  CAN TELL THAT YOU DON'T K
0.36%:  CAN TELL THAT YOU DON'T LI
0.22%:  CAN TELL THAT YOU DON'T LIKE S
0.17%:  THINK THAT'S ACTUALLY O
0.17%:  TOOK THE C
0.17%: 'LL CALL YOU ONCE
0.17%: 'LL DO SO
0.17%:  ASKED TO
0.17%:  COULDN'T HELP NOTICE THE USE
0.17%:  COULD USE A LITTLE HELP IN CH
0.17%:  ACTUALLY DO NOT THINK THE
0.17%:  USED TO HE
0.17%:  HAD NO IDEA I CO
0.17%:  THINK THAT'S ACTUALLY OK
0.17%:  ACTUALLY COULD NOT
0.17%:  TOTALLY HAD NO IDEA S
0.17%:  CAN ALSO TOTALLY HELP EDIT
0.26%:  CAN ALSO TOTALLY HELP EDIT THE
0.17%:  CAN'T SEE YOU IN
0.25%:  CAN'T SEE YOU IN THE
0.17%:  DON'T THINK YOU SPELLED THAT "
0.17%:  CALLED SH
0.22%:  CALLED SHOT
0.17%:  TOTALLY CAN SE
0.17%:  PUT THE KEYS IN A PO
1.64%:  PUT THE KEYS IN A POCKET AND
0.96%:  PUT THE KEYS IN A POCKET AND TH
0.72%:  PUT THE KEYS IN A POCKET AND THE
0.28%:  PUT THE KEYS IN A POCKET AND I
0.20%:  PUT THE KEYS IN A POCKET IN
0.17%:  CHECKED AND THE KEY
0.17%: 'LL CALL THE POLICE AND SAY THAT A
0.17%:  TOTALLY CO
0.83%:  TOTALLY COULDN
1.31%:  TOTALLY COULDN'T C
0.92%:  TOTALLY COULDN'T HE
0.88%:  TOTALLY COULDN'T H
1.95%:  TOTALLY COULDN'T HELP IT
0.66%:  TOTALLY COULD USE
0.50%:  TOTALLY COULD USE A HAND H
0.47%:  TOTALLY COULDN'T T
0.32%:  TOTALLY COULD USE A HEL
0.28%:  TOTALLY COULD'
0.27%:  TOTALLY COULDN'T HELP THE
0.18%:  TOTALLY COULD USE THE
0.17%:  DON'T THINK HE LIKES YOU TELL
0.17%:  COULDN'T NOT
0.17%:  THINK YOU SHOULD TAKE A PA
0.17%: 'LL LET YOU TAKE AS
0.17%:  PUT THE KEYS ON THE CON
0.17%:  DON'T LIKE TO
0.17%:  NEED TO CALL THE POLICE AND SAY TH
0.17%:  COULD TOTALLY CALL THAT
0.17%:  CAN ALSO TELL YOU THAT I
0.17%:  COULD TOTALLY KILL THIS
0.17%:  COULD TOTALLY SET
0.17%: 'LL SEE YOU AT THE T
0.17%:  THINK THAT'S ACTUALLY CALLED EN
0.17%: 'D LIKE TO SAY "
0.17%:  COULD TOTALLY HELP THE
0.17%:  THINK THAT'S COOL AND AL
0.17%:  CALLED YOU O
0.17%:  THINK I'LL STOP
0.17%:  COULD USE A LITTLE HELP PAY
0.17%:  THINK THAT'S ACTUALLY DE
0.17%: 'LL TAKE THE KEYS AND
0.17%:  THINK PEOPLE CALLED THE
0.17%:  NEED ALL THE C
0.17%:  NEED TO SPEED HO
0.17%:  NEED TO TELL YOU THAT I LE
0.17%:  DON'T ACTUALLY THINK I HE
0.17%: 'LL SEE YOU AT THE CO
0.17%:  COULD USE A LITTLE ACTION AND
0.17%: 'LL TELL YOU THIS ONE THEN
0.17%:  NOTICE YOU USED THE "ALACK" IN THAT
0.17%:  TOTALLY SAID THAT
0.17%:  NEED TO TELL YOU THIS AND
0.17%:  ACTUALLY THINK THE C
0.17%: 'LL LET YOU STEAL THE I
0.25%: 'LL LET YOU STEAL THE IDEA AND
0.17%:  DON'T ACTUALLY LO
0.17%: 'LL LET YOU USE THAT
0.17%:  DON'T THINK THAT L
0.17%:  ACC
0.17%: 'D LIKE TO TELL YOU T
0.17%:  DON'T SEE THE
0.17%:  COULD TOTALLY USE AN A
0.17%:  ONLY USE THE
0.17%:  COULD TOTALLY USE HELP TAK
0.17%:  COULD USE A LITTLE AN
0.17%:  CAN DO THAT AND
0.17%:  THINK YOU CAN DO IT ALL AT
0.17%:  CAN TOTALLY TE
0.17%:  CALLED THE POLICE AND E
0.17%:  SHOULD HO
0.17%:  THINK THAT'S UN
0.17%:  THINK THAT'S ACTUALLY A CL
0.17%:  STILL NEED TO PICK YOU UP THE
0.17%: 'D LIKE TO PLEASE
0.17%:  COULDN'T HELP NOTICE THE PAST
0.17%: 'D LIKE TO THANK ALL THE PEOPLE I K
0.17%: 'LL TAKE YOU UP ON THAT DEAL AND A
0.17%:  COULD USE A LITTLE HELP IN ANOT
0.17%:  NEED YOU TO AT LEAST ACT
0.17%:  NEED TO PICK YOU UP THE
0.17%:  CALL THAT A
0.17%: 'D LIKE TO CHECK OUT ALL
0.17%:  DON'T THINK H
0.17%:  CAN'T HELP NOTICE HO
0.17%:  USED TO CALL YOU "CH
0.17%:  THINK YOU NEED TO TELL THE AU
0.17%: 'LL CALL THE POLICE YOU K
0.17%:  NEED TO PUT THESE
0.17%:  CAN TOTALLY TELL AND IT
0.17%:  CAN TOTALLY DO ALL
0.22%:  CAN TOTALLY DO ALL THAT
0.17%:  THINK THAT'S ACTUALLY CALLED "ONE
0.17%:  THINK YOU'LL NEED TO TAKE THIS
0.17%:  NEED YOU TO PUNCH A
0.17%:  HOPE THAT'S OK
0.17%:  CAN HELP YOU P
0.25%:  CAN HELP YOU PUT THE
0.17%:  THINK I'LL USE THE
0.17%:  THINK THAT'S ACTUALLY CALLED A "PO
0.17%:  NEED TO TELL YOU THAT N
0.17%:  THINK YOU NEED TO USE A LITTLE C
0.17%:  NEED TO L
0.17%:  NEED YOU TO SU
0.18%:  NEED YOU TO SUCK IT
0.17%:  DON'T THINK YOU P
0.17%:  NEED TO TAKE A D
0.17%:  PUT THE KEYS ON THE LAP
0.17%:  ASKED YOU TO CLEAN THE L
0.17%: 'D LIKE TO TELL YOU THAT N
0.17%:  ACTUALLY LIKE THAT ONE
0.17%:  DON'T THINK YOU CHECK
0.17%:  THINK YOU SLE
0.32%:  THINK YOU SLEPT IN
0.26%:  THINK YOU SLEPT IN THE
0.20%:  THINK YOU SLEPT ON THE C
0.17%: 'LL CALL THE POLICE AND DET
0.17%: 'LL LET YOU SLEEP IN ON THE
0.17%:  SEE THE
0.17%:  NEED YOU TO TELL THE UN
0.17%:  ACTUALLY DON'T USE THAT KIND
0.17%:  TOTALLY P
0.17%: 'LL LET YOU LOSE
0.20%: 'LL LET YOU LOSE THE
0.17%:  KINDA NEED TO K
0.17%: 'LL CALL THE POLICE AND ST
0.17%:  COULD STAND TO LE
0.17%:  COULDN'T HACK
0.17%:  THINK YOU SHOULD AND
0.17%: 'LL CON
0.17%:  HAD NO IDEA YOU KEPT AN
0.17%:  DON'T THINK THOSE T
0.17%:  ACTUALLY THINK ALL
0.17%:  CAN SEE THAT ON
0.17%:  THINK YOU COULD AT LEAST LEAN
0.17%:  HAD NO IDEA THE P
0.17%: 'LL THANK YOU SO
0.17%:  THINK YOU CAN PUT THAT S
0.17%:  CAN SEE IT IN THE
0.17%: 'D LIKE TO TELL YOU THAT HE
0.17%:  CAN NOTICE THAT YOU USE
0.32%:  CAN NOTICE THAT YOU USED THE
0.17%:  NEED THAT LICENSE
0.17%:  USED TO LIKE THAT
0.17%:  DON'T THINK I U
0.17%:  ALSO CAN
0.23%:  ALSO CANNOT
0.17%:  THINK THAT ONE'S AL
0.17%:  THINK YOU SHOULD TAKE L
0.17%:  HAD NO IDEA THAT YOU EN
0.17%:  CAN TELL YOU DID NOT
0.17%: 'LL SEND YOU ALL
0.17%: 'LL CALL YOU ONE
0.17%:  CAN'T TYPE
0.17%:  COULD USE A LITTLE HELP LAY
0.17%:  ATE
0.17%:  ATE ALL THE P
0.17%:  THINK PEOPLE USE
0.17%:  PUT THE KEYS IN THE POCKET AND I'
0.17%:  COULDN'T HELP NOTICE THE "E" IS
0.17%: 'LL HANDLE THAT L
0.17%:  DON'T KEEP KEY
0.18%:  DON'T KEEP KEYS IN THE
0.17%:  SP
0.33%:  SPENT ALL
0.28%:  SPENT THE
0.21%:  SPENT LI
0.17%:  ASKED YOU TO CALL AND
0.17%:  HAD NO IDEA THIS CON
0.17%:  COULD USE A LITTLE HELP IN A L
0.17%:  THINK I NE
0.37%:  THINK I NEED TO CHECK
0.31%:  THINK I NEED YOU
0.22%:  THINK I NEED TO USE
0.17%: 'LL LET YOU COUNT THIS
0.17%:  COULD USE A LITTLE POE
0.17%:  ACTUALLY LIKE S
0.17%:  NEED A COPY
0.17%: 'LL LET YOU SLEEP ON IT AND
0.17%:  NEED HELP ST
0.17%: 'LL LET YOU DO THAT AND TH
0.24%: 'LL LET YOU DO THAT AND THEN I
0.17%:  ASKED YOU AND
0.17%:  LET YOU OUT
0.17%:  NEED YOU TO SPEND
0.17%:  COULDN'T HELP IT I HAD TO K
0.17%:  COULD USE A LITTLE HELP NA
0.17%:  NEED TO TELL YOU THAT P
0.17%:  CALLED IN S
0.21%:  CALLED IN SICK T
0.70%:  CALLED IN SICK TODAY TO
0.17%:  COULD USE A LITTLE HELP IN THE NOT
0.17%: 'LL TOTALLY TAL
0.17%:  DON'T THINK HE SAID "AL
0.21%:  DON'T THINK HE SAID "ALACK"
0.17%:  CAN'T HELP NOTICE THAT YOU AL
0.17%:  CAN TOTALLY HELP DO
0.22%:  CAN TOTALLY HELP DO THAT
0.17%:  COULD TOTALLY USE TH
0.17%:  CAN TOTALLY TELL AND THE
0.17%:  THINK IT'S CALLED "PLAY
0.17%:  CAN HELP YOU S
0.17%:  ACTUALLY DON'T NEED THAT S
0.17%:  THINK YOU CAN TELL THAT
0.17%:  ACTUALLY THINK THIS CON
0.17%:  NEED TO TELL YOU THAT "
0.17%:  NEED TO CALL THE PL
0.27%:  NEED TO CALL THE PLACE THAT
0.17%: 'D LIKE TO SEE YOU TAL
0.17%: 'D LIKE TO THANK ALL THE PEOPLE IN T
0.17%:  COULD USE A LITTLE HELP DOIN
0.17%:  DON'T SAY THAT TO
0.17%:  THINK YOU'LL NEED TO HE
0.17%:  ACTUALLY DON'T THINK HE K
0.17%:  THINK THESE KEY
0.17%:  NEED YOU AND
0.17%:  NEED TO TELL YOU IT
0.17%:  NEED YOU TO HELP SHA
0.17%:  THINK YOU SHOULD TEND
0.17%:  HOPE YOU SUCCEED AT THAT T
0.17%: 'D LIKE TO TELL YOU THAT PE
0.17%:  NEED TO TELL YOU THE S
0.17%:  CAN TOTALLY TELL IT'S H
0.17%:  NEED TO TH
0.17%: 'LL CALL THE POLICE TODAY AND I
0.17%:  NEED TO PUNCH THIS
0.17%:  ACTUALLY DON'T THINK "
0.57%:  ACTUALLY DON'T THINK "ALACK"
1.02%:  ACTUALLY DON'T THINK "ALACK" IS THE
0.17%:  CAN TOTALLY INT
0.17%:  LET YOU C
0.34%:  LET YOU CALL THE
0.17%:  USED TO CO
0.17%:  NEED YOU TO CALL THE PLACE AND T
0.17%:  COULDN'T HELP TO
0.17%:  ACTUALLY NEED H
0.17%: 'D LIKE TO SEE YOU ACT IN A
0.17%:  ALSO NEED A
0.17%:  USED TO CALL YOU "PE
0.17%:  HAD NOT
0.17%:  COULDN'T HELP NOTICE THAT DIAL
0.17%:  HAD A D
0.17%:  NEED YOU TO CHECK A
0.17%:  ACTUALLY P
0.17%:  COULDN'T HELP NOTICE THAT USE
0.17%:  DON'T ACTUALLY THINK I CO
0.17%:  COULDN'T HELP NOTICE THAT I AL
0.17%: 'D LIKE TO THANK ALL THE PEOPLE SAY
0.17%:  LOOKED IN ALL THE PAN
0.17%:  HOPE YOU PUT THE
0.17%:  THINK YOU SHOULD TALK LI
0.17%: 'LL LET YOU KEEP ALL THE CHICK
0.17%:  COULD TOTALLY HANDLE THIS EN
0.17%:  CAN ALSO TOTALLY P
0.20%:  CAN ALSO TOTALLY PULL THAT
0.17%:  DON'T THINK YOU AP
0.17%:  ACTUALLY USED TO LO
0.17%: 'LL LET YOU HAND
0.32%: 'LL LET YOU HANDLE THAT
0.31%: 'LL LET YOU HANDLE THAT ONE
0.22%: 'LL LET YOU HANDLE THIS
0.21%: 'LL LET YOU HANDLE IT
0.16%:  HAD NO IDEA YOU SPELT
0.16%:  CAN TOTALLY STOP
0.16%: 'D LIKE TO HELP OUT
0.16%:  HOPE YOU CAN H
0.41%:  HOPE YOU CAN HAND
0.45%:  HOPE YOU CAN HANDLE IT
0.35%:  HOPE YOU CAN HANDLE ALL
0.17%:  HOPE YOU CAN HANDLE A
0.39%:  HOPE YOU CAN HANDLE A LITTLE DIS
0.26%:  HOPE YOU CAN HANDLE A LITTLE D
0.47%:  HOPE YOU CAN HANDLE A LITTLE DIST
0.26%:  HOPE YOU CAN HANDLE A LITTLE DI
0.18%:  HOPE YOU CAN HANDLE A LITTLE S
0.16%: 'LL CALL THE POLICE AND TOT
0.16%: 'LL TELL YOU THE N
0.16%:  DON'T THINK YOU T
0.16%:  PUT THE KEYS ON THE END
0.16%:  CANNOT H
0.31%:  CANNOT HELP YOU
0.16%: 'D LIKE TO TELL YOU THIS P
0.16%: 'D LIKE TO THINK THAT YOU D
0.16%:  NEED TO CHECK UP
0.32%:  NEED TO CHECK UP ON THE
0.16%:  CAN TOTALLY CALL THE P
0.16%:  CAN'T LOSE
0.16%:  COULD USE A LITTLE TALKIN
0.16%:  ASKED YOU ONE TH
0.16%:  CAN TELL THAT'S NOT YOU
0.16%:  CAN HELP YOU ON
0.38%:  CAN HELP YOU ON THAT
0.16%:  ASKED HO
0.16%:  CALLED THE POLICE AND THEY K
0.16%:  CAN'T HELP THINK A
0.16%:  STOLE YOU
0.16%:  CAN'T SAY THE
0.16%:  CAN TOTALLY SEE T
0.16%: 'LL LET YOU LOAN THE C
0.16%:  THINK PEOPLE LIKE TO
0.16%:  CAN TOTALLY USE THAT IN A
0.16%:  THINK YOU'LL NEED THAT
0.16%:  COULDN'T HELP NOTICE I USE
0.42%:  COULDN'T HELP NOTICE I USED THE
0.16%: 'LL ASK YOU ONE
0.16%:  COULD TOTALLY HANDLE THAT IN A
0.16%: 'LL LET YOU KEEP THAT L
0.44%: 'LL LET YOU KEEP THAT LAST ONE
0.29%: 'LL LET YOU KEEP THAT LINE
0.16%:  ACTUALLY SA
0.18%:  ACTUALLY SAID THAT
0.16%:  COULD TOTALLY TELL THE P
0.16%: 'D LIKE TO SEE THAT P
0.16%:  THINK YOU COULD HANDLE A LITTLE P
0.16%:  NEED TO PICK UP A CO
0.16%:  COULD TOTALLY USE A LITTLE C
0.16%:  COULD USE THE HELP AND
0.16%:  COULD TOTALLY USE A LITTLE A
0.16%: 'LL CALL THE POLICE AND SUE YOU AND I
0.16%:  NEED YOU TO TELL SH
0.16%:  NEED TO CHECK A
0.16%:  NOTICE YOU SA
0.16%:  DON'T THINK SHA
0.16%:  ASKED YOU TO CHECK THE P
0.16%:  ACTUALLY DON'T THINK I COULD LE
0.16%:  CAN TOTALLY HANDLE H
0.16%: 'D LIKE TO SAY THAT ALL
0.16%:  THINK THAT'S ACTUALLY A COUN
0.16%:  THINK THEY'D
0.16%:  THINK YOU DO
0.16%:  COULDN'T HELP IT I LO
0.17%:  COULDN'T HELP IT I LOST THE
0.16%:  KINDA THINK YOU SHOULD ATT
0.16%:  HAD NO IDEA THESE CO
0.16%:  USED TO CALL YOU AND
0.16%:  KEEP CHECK
0.16%: 'LL LET YOU KEEP THOSE T
0.16%:  COULD SAY THAT ALL
0.16%:  NEED THOSE D
0.16%:  COULD TOTALLY TAKE THE C
0.16%:  HOPE YOU HAD A NICE N
0.16%:  COULDN'T HELP NOTICE ALL THE TE
0.16%: 'LL SA
0.16%:  DON'T THINK THESE KEY
0.16%: 'LL TAKE THIS UP
0.16%:  COULD USE A LITTLE HELP ON THE PL
0.16%:  HOPE YOU STILL LI
0.28%:  HOPE YOU STILL LIKE THE
0.16%:  STILL DON'T THINK THE
0.16%:  COULD TOTALLY HANDLE THE T
0.17%:  COULD TOTALLY HANDLE THE TASK
0.16%:  COULD KILL YOU AND TH
0.16%:  CAN'T SAY THAT THE
0.16%:  ACTUALLY DO NOT THINK THESE
0.16%:  THINK YOU SHOULD EAT A L
0.16%:  PUT THE KEYS ON THE PIL
0.16%:  ACTUALLY NEED SO
0.16%:  KEEP TH
0.16%:  NEED YOU TO SHA
0.19%:  NEED YOU TO SHAKE IT
0.16%:  THINK YOU SHOULD TAKE A LITTLE L
