even I think that one's not so good.
      0 100.00%: 
      1 183.88%:  thanks
   8676 0.01%:  no I've got that one.
   8677 0.01%:  so that one's not good I think
   8678 0.01%:  that's good. It took 
   8679 0.01%:  so thanks to the end
   8680 0.01%:  so thanks to the end I
   8681 0.01%:  so I've got to do one
   8682 0.01%: . It's not in
   8683 0.01%: . I've done nothing to
   8684 0.01%:  no that is no good
   8685 0.01%:  I have to do it on
   8686 0.01%:  so I get that not
   8687 0.01%:  no not that's the ending
   8688 0.01%:  no not that's the ending.
   8689 0.01%:  no not that's the ending I
   8690 0.01%:  no don't think I have to
   8691 0.01%:  no don't think I have to go
   8692 0.01%:  it's done so that
   8693 0.01%:  I need this to not
   8694 0.01%:  no one's in
   8695 0.01%:  that one is good. It
   8696 0.03%:  that one is good. It's not
   8697 0.03%:  that one is good. It's the
   8698 0.02%:  that one is good. It's not even
   8699 0.01%:  I've got to do this one a
   8700 0.01%:  I got to take
   8701 0.01%:  I got to take this
   8702 0.02%:  I got to take this one
   8703 0.01%:  no it's not done that one
   8704 0.01%:  this one's not on a
   8705 0.01%:  so this one had to get
   8706 0.01%:  I need to go eat onions
   8707 0.01%:  so I don't have to think so
   8708 0.01%:  I need to go eat soon.
   8709 0.01%: . I think that goes on to
   8710 0.01%:  good. I think the
   8711 0.01%: . I've had this one
   8712 0.01%: . It's good that those
   8713 0.01%:  no it doesn't have to go on the
   8714 0.01%:  I have it done
   8715 0.01%:  so I took this the
   8716 0.01%:  so that one is not the one
   8717 0.01%:  that one's not good. It is
   8718 0.01%:  no thanks I got this
   8719 0.01%:  that one I don't see.
   8720 0.01%:  no that's not good I think.
   8721 0.01%:  so I've done this one a
   8722 0.01%:  so I've done a thing
   8723 0.01%:  I need to get to it.
   8724 0.01%:  I have to get on to this one
   8725 0.01%:  so it's got to end the
   8726 0.01%:  no that one is not so
   8727 0.01%:  it's good to see the
   8728 0.01%:  so that's not on the 
   8729 0.01%:  I need this one to go
   8730 0.02%:  I need this one to go on
   8731 0.01%:  that's done. Is it too
   8732 0.01%:  it's got an
   8733 0.01%:  that one ends on one
   8734 0.01%:  so don't even think
   8735 0.01%:  so don't even think I
   8736 0.01%:  so on that note. I think
   8737 0.01%:  so on the one hand it's got to
   8738 0.01%:  no that's not on I think
   8739 0.01%:  no I don't have to go
   8740 0.02%:  no I don't have to go to
   8741 0.03%:  no I don't have to go to the
   8742 0.01%:  no one's done it that
   8743 0.01%:  that is one I don't even
   8744 0.01%:  it's not an end
   8745 0.01%:  so I have to do this too
   8746 0.01%:  so that one goes on the '
   8747 0.01%:  no I've got it done
   8748 0.02%:  no I've got it done thanks
   8749 0.01%:  thanks. I need this one to go to
   8750 0.01%:  so as I'
   8751 0.01%:  I've got that done.
   8752 0.01%:  so I got that one on
   8753 0.01%:  so that one is one the
   8754 0.01%:  so I've no
   8755 0.01%: . I've gotten this one
   8756 0.01%:  I gotta do this one to
   8757 0.01%:  that's not even good it
   8758 0.01%:  so the one's not
   8759 0.01%:  so I've kinda got too
   8760 0.01%:  it's gotta end so
   8761 0.01%:  thanks. I got the
   8762 0.01%:  so no need to give
   8763 0.01%:  so I need to get on this to
   8764 0.01%:  so then I need this
   8765 0.01%:  so then I need this to
   8766 0.01%:  so this one I've gotten to
   8767 0.01%:  so that one goes to the '
   8768 0.01%:  so the end's not on
   8769 0.01%:  so I got that one done on
   8770 0.01%:  so it's on that note
   8771 0.01%:  so it's on that note I
   8772 0.01%:  no that one's good I
   8773 0.13%:  no that one's good I think
   8774 0.01%:  no one's seen that in
   8775 0.01%:  that one's gone so I
   8776 0.06%:  that one's gone so I think
   8777 0.01%:  so not so good
   8778 0.01%:  so not so good at
   8779 0.01%:  that's done I got
   8780 0.01%:  so I've got to take notes in
   8781 0.01%:  I have to get to this one
   8782 0.01%:  so I've got to head in soon
   8783 0.01%: . I have things to do on
   8784 0.01%: . I think that's one to one
   8785 0.01%:  then. I don't have to
   8786 0.01%: . I've got that one done so
   8787 0.01%:  and then I got it
   8788 0.01%:  no need to eat
   8789 0.11%:  no need to eat tonight
   8790 0.01%:  no this doesn't have to go to
   8791 0.01%:  I think that one's gone so
   8792 0.01%:  so that's not the end. I go on in
   8793 0.01%:  no I need to go in a
   8794 0.01%: . I need an
   8795 0.01%:  no no that one got
   8796 0.01%:  no I've not
   8797 0.01%:  no I've got it no
   8798 0.01%:  no that's the end. I got one
   8799 0.01%:  no that's no good no
   8800 0.01%:  no that's no good no I
   8801 0.01%:  that's not the end I go on
   8802 0.01%:  so I've had it on
   8803 0.01%:  so I've gotta do this on the
   8804 0.01%:  so then I'd have to go into
   8805 0.01%:  so I think that one needs to go on
   8806 0.01%:  and this one took ten
   8807 0.01%:  that one's done I got
   8808 0.01%:  that's not so good. In
   8809 0.01%:  that's not so good. In the
   8810 0.01%:  no I don't have one it
   8811 0.01%:  so it's not the 
   8812 0.01%:  no this one's not good. I haven
   8813 0.01%:  no that's it I got one
   8814 0.01%:  so I've got that in the end
   8815 0.01%:  that is not the end. '
   8816 0.01%:  so it's done. It took 
   8817 0.01%:  no I had to
   8818 0.01%:  no I had to go
   8819 0.01%:  I got this one on
   8820 0.01%:  so that's good it
   8821 0.01%:  so no that's the end I
   8822 0.01%:  no that one is one
   8823 0.01%:  this one's not an end
   8824 0.01%:  this does not have to go
   8825 0.01%:  no that's not the one in
   8826 0.01%:  that one's not even so good.
   8827 0.01%:  so I have not gotten it
   8828 0.01%:  this one I got honest
   8829 0.01%:  this one ends on that
   8830 0.01%: . I've done this one a
   8831 0.01%:  noooo that's not even
   8832 0.01%:  noooo that's not even the
   8833 0.01%:  so I haven't gotten in the 
   8834 0.01%:  so that is not the one I
   8835 0.01%:  so it's not that one h
   8836 0.01%:  so no it's a
   8837 0.01%:  so the ending to the
   8838 0.01%: . I have to go do it
   8839 0.01%:  that one's done so. I
   8840 0.01%:  I don't have this one 
   8841 0.01%:  so it's not done. I have one
   8842 0.01%:  no I've got it and
   8843 0.01%:  thanks I don't get this
   8844 0.01%: . It's one thing to have one
   8845 0.01%:  no the end isn't that I
   8846 0.01%:  so I think that goes.
   8847 0.01%:  no not the end no
   8848 0.01%:  it's the end. I have to go on
   8849 0.01%:  I need to go on a h
   8850 0.01%:  so I've got to do this a
   8851 0.01%:  no this one doesn't get at
   8852 0.01%:  and this one's not the one
   8853 0.01%:  so it's not gonna end I
   8854 0.01%:  so not that one's the
   8855 0.01%:  so that's not it I need
   8856 0.01%:  so that one's no good I think
   8857 0.01%:  so I had to sne
   8858 0.01%:  so that's on the dot
   8859 0.01%:  so i need to have
   8860 0.01%:  that one is good. It's one
   8861 0.01%:  so that's one thing I do to
   8862 0.01%:  so that one isn't even good. It
   8863 0.01%: . I've done that one in
   8864 0.01%:  that's done so.
   8865 0.01%:  so no I haven't got this done
   8866 0.01%:  no it's not that one oh god
   8867 0.01%:  so that's in the 
   8868 0.01%:  that one gets to 
   8869 0.01%:  so then I don't have it
   8870 0.01%:  the end is on
   8871 0.01%:  that is the end to one
   8872 0.01%:  and I've gone too
   8873 0.01%:  that one's not in so good
   8874 0.01%:  no not that's it
   8875 0.01%:  no thanks it's done I
   8876 0.01%:  no this one goes onto
   8877 0.01%: . I see nothing
   8878 0.01%:  that one I've got too
   8879 0.01%:  so it's not good on
   8880 0.02%:  so it's not good on the
   8881 0.01%:  and I've seen
   8882 0.01%:  and I've seen this
   8883 0.01%:  and I've seen it
   8884 0.01%:  so that's one. It took
   8885 0.01%:  I got it and
   8886 0.01%:  it's gone.
   8887 0.01%:  that does it. It's no
   8888 0.01%:  I have to get it on
   8889 0.02%:  I have to get it on the
   8890 0.01%:  that one I took it
   8891 0.01%: . I got it done
   8892 0.01%:  the end. I
   8893 0.02%:  the end. I think
   8894 0.01%:  the end. I gotta
   8895 0.01%:  no that one is the one I'
   8896 0.01%:  that one is done. It took so
   8897 0.01%:  so that's one thing. I
   8898 0.01%:  that one goes in the 'n
   8899 0.01%:  this one I've got a
   8900 0.01%: . I think that one got even
   8901 0.01%:  I have to go in soon
   8902 0.01%:  I have to go in soon so
   8903 0.01%:  so that ending took the
   8904 0.01%:  I had to sne
   8905 0.01%:  no no I need to go take
   8906 0.01%:  so this one I had to get
   8907 0.01%:  so then I don't have to get
   8908 0.01%:  no I don't have it so
   8909 0.01%:  I have to do this soon
   8910 0.01%: . I have it
   8911 0.01%: . I have it on
   8912 0.01%:  this one's gone.
   8913 0.01%:  no I have to get this one
   8914 0.01%: . I've gotten this as
   8915 0.01%:  that one's no so
   8916 0.01%:  so then I go on and
   8917 0.01%:  I think that one's not even good
   8918 0.01%:  I have to go set it to
   8919 0.01%:  so I have to note this one'
   8920 0.01%:  so no I think
   8921 0.02%:  so no I think that
   8922 0.01%:  so no I think that one
   8923 0.01%:  so no I think that one needs
   8924 0.01%:  so that's not even good on the
   8925 0.01%:  thanks. I need to get it on
   8926 0.01%:  that's good too I think.
   8927 0.01%:  no this one gets too
   8928 0.01%:  so I need to go on this one
   8929 0.01%:  so I need to go on this one a
   8930 0.01%:  no thanks I need this to go on
   8931 0.01%:  no that's not even good this
   8932 0.01%:  so don't go to
   8933 0.01%: . I have 
   8934 0.01%:  so that one's the one I got
   8935 0.01%:  so I've got to do this at
   8936 0.01%:  this one gets a 
   8937 0.01%:  I have to get this done sooo
   8938 0.01%:  and it goes to
   8939 0.01%:  and it goes to the
   8940 0.01%:  so I don't get this one.
   8941 0.01%:  no that's the end so give
   8942 0.01%:  so I've not done that one
   8943 0.01%: . It's not even a good one
   8944 0.01%:  no I think that one needs to go
   8945 0.01%:  so I've got to thank those
   8946 0.01%:  so it's not at the end I
   8947 0.01%:  so no I don't get that
   8948 0.01%:  so the one thing I don't ask
   8949 0.01%:  this one's not good to
   8950 0.01%:  this one's not good to the
   8951 0.01%:  I've got that one in notes
   8952 0.01%: . I think that goes on too
   8953 0.01%:  I got it that one
   8954 0.01%:  thanks I've got this one
   8955 0.01%:  no not the end I gotta
   8956 0.01%:  I have got the
   8957 0.01%: . I need it to have
   8958 0.01%:  this's gonna end
   8959 0.01%:  that one ends in one
   8960 0.01%:  I've got it done so
   8961 0.06%:  I've got it done so thanks
   8962 0.01%:  that's not the end so go on.
   8963 0.01%:  so this one I've done a
   8964 0.01%:  and I've set this
   8965 0.01%:  no that one's gone so
   8966 0.01%:  so I have to do it one
   8967 0.01%:  so that one's not the ending I
   8968 0.01%:  no no that one is done
   8969 0.01%: . I don't even get
   8970 0.01%:  so the end has not
   8971 0.01%:  I have got this
   8972 0.01%:  this doesn't have to get on
   8973 0.01%:  I need to go in soon
   8974 0.01%:  I need to go in soon so
   8975 0.01%:  so I haven't got it 
   8976 0.01%:  so that's one done. It took
   8977 0.01%:  so it's not even good at
   8978 0.01%:  so I've kinda gone on
   8979 0.01%:  so I take this to the
   8980 0.01%: . It's not even an
   8981 0.01%:  no one has to die
   8982 0.01%:  so it's not done. I have no
   8983 0.01%:  I need to go into se
   8984 0.01%:  so I do that one
   8985 0.01%:  that one goes on this one'
   8986 0.01%:  so I've got to hand in these
   8987 0.01%: . I've got this one done so that
   8988 0.01%:  that one is so not
   8989 0.01%:  this one's done. I got
   8990 0.01%:  noooo I
   8991 0.01%:  so it's on that I need
   8992 0.01%:  so I've done things that
   8993 0.01%:  no I have it
   8994 0.01%:  so I need to set a
   8995 0.01%:  that one is the one I don
   8996 0.01%:  that's not done to
   8997 0.01%:  so I haven't gotten this one 
   8998 0.01%: . I've got to do that
   8999 0.02%: . I've got to do that one
   9000 0.01%: . I've got to do that one in
   9001 0.01%:  that is the end I've got so
   9002 0.01%:  sooooo that's it I
   9003 0.01%:  so I think that one goes on 
   9004 0.01%: . It's not even done
   9005 0.01%:  no this one's a good one. It
   9006 0.01%:  that one I need to go in
   9007 0.01%:  so that one doesnt get
   9008 0.01%:  that's not one I need on
   9009 0.01%:  no I don't see this
   9010 0.01%:  no no no not that
   9011 0.01%:  this one has no end
   9012 0.01%:  that one I've got no notes
   9013 0.01%:  no it's not. I need
   9014 0.01%:  no it's not. I need to go
   9015 0.04%:  no it's not. I need to go to
   9016 0.01%:  that one's done. It ties
   9017 0.01%:  this one's got that
   9018 0.01%:  no this one does not get on
   9019 0.01%:  no I'd have
   9020 0.01%:  that's good so the
   9021 0.01%:  no that's good. It
   9022 0.01%:  no I don't have one set
   9023 0.01%:  I'd have
   9024 0.01%:  no that one is not the end
   9025 0.01%:  no that one is not the end.
   9026 0.01%:  it's good to see that none
   9027 0.01%:  so I got that one too
   9028 0.01%:  so I've not gotten it done
   9029 0.01%:  so it's got to the
   9030 0.01%:  so then it's done
   9031 0.01%:  so. It took
   9032 0.01%:  so I need to get this on to an
   9033 0.01%:  that one goes to the 
   9034 0.01%:  so I need to get this on a ton
   9035 0.01%:  no that one I don't think goes so
   9036 0.01%:  I've got it done thanks
   9037 0.01%:  that one goes in on
   9038 0.01%:  no I don't even think those
   9039 0.01%:  I have to go so it's the
   9040 0.01%:  thanks. I need to go into
   9041 0.01%:  it goes on and
   9042 0.01%:  that one's gone so it
   9043 0.01%:  that one is no good to
   9044 0.01%:  so I've not got this
   9045 0.01%:  I need to get to this on
   9046 0.01%:  no I think that one's on to
   9047 0.01%:  I have to get in
   9048 0.01%:  it's not a one
   9049 0.01%:  no it's not even that good. I
   9050 0.01%:  I've gone to
   9051 0.01%:  so I've got to do it on
   9052 0.01%:  so. It's not done
   9053 0.01%:  that one's good so the
   9054 0.01%:  I need to go on so that
   9055 0.01%:  that one ends things too
   9056 0.01%:  that one is no good. It's no
   9057 0.01%: . I've got this one done too
   9058 0.01%:  so this one I've got to the
   9059 0.01%:  no that's not good no I think
   9060 0.01%:  that's not even on the 
   9061 0.01%:  so good I'
   9062 0.02%:  so good I've
   9063 0.01%:  no it's not. I need to take
   9064 0.01%:  this's gonna need to
   9065 0.01%: . It's got the
   9066 0.01%:  so don't it that
   9067 0.01%:  so I took it to
   9068 0.01%:  no need to go to
   9069 0.01%:  so that one I've done this
   9070 0.01%:  no that one's done so I think
   9071 0.01%: . I've got this done
   9072 0.01%: . I need to go think that
   9073 0.01%: . I need to go think that one
   9074 0.01%: . It took ten
   9075 0.01%:  so that doesn't give 
   9076 0.01%:  so it goes on to the
   9077 0.01%:  so I got that done in one shot
   9078 0.01%:  no I have so
   9079 0.01%:  thanks. I've got to do the
   9080 0.01%:  that doesn't get 
   9081 0.01%:  it's the end so no
   9082 0.01%:  no this one does not get an
   9083 0.01%:  so it had no
   9084 0.01%:  it's the end. I haven
   9085 0.01%:  so that one ends in 
   9086 0.01%:  that's not this good. I
   9087 0.01%:  that one ends it. I
   9088 0.01%:  no that one isn't done. I
   9089 0.01%:  that one is no good no
   9090 0.01%: . I don't even get that
   9091 0.01%:  so I need to get in a
   9092 0.01%:  so the end is that I've not
   9093 0.01%: . It's a hit
   9094 0.01%:  no it doesn't have to go so
   9095 0.01%:  so it's no good at the
   9096 0.01%:  no this one's a do
   9097 0.01%:  so that one I've got notes
   9098 0.01%:  no I don't get that one.
   9099 0.01%:  no no that's got
   9100 0.01%:  no thanks I've got to do the
   9101 0.01%:  and I give the
   9102 0.01%:  this one's no good. It
   9103 0.01%:  I have done too
   9104 0.01%:  no I need to sit on
   9105 0.01%:  no I need to sit on that
   9106 0.01%:  so that's good h
   9107 0.01%:  so don't go on
   9108 0.01%:  so don't go on the
   9109 0.01%:  so I think that one gets one
   9110 0.01%:  so it'd take
   9111 0.01%:  thanks I need this on
   9112 0.01%:  so I need that to go into
   9113 0.01%:  so it's not even that good h
   9114 0.01%:  so on this one I need to thank
   9115 0.01%: . I've done it that
   9116 0.01%:  that one doesn't go in so hot
   9117 0.01%:  no it's the end so I have
   9118 0.02%:  no it's the end so I have to go
   9119 0.02%:  no it's the end so I have to go to
   9120 0.01%: . I've got to do this on the
   9121 0.01%:  I got that one in the
   9122 0.01%: . I think that one's not so
   9123 0.02%: . I think that one's not so good
   9124 0.01%: . It's that good then
   9125 0.01%:  so it's on to
   9126 0.01%:  no that's no good. I
   9127 0.04%:  no that's no good. I think
   9128 0.01%:  that one ends it too
   9129 0.01%:  that one ends it too.
   9130 0.01%:  that's not done. It
   9131 0.01%:  that one ends on its
   9132 0.01%:  so this one I got that
   9133 0.01%:  so that's it then. I need
   9134 0.01%:  so that one's the good
   9135 0.01%:  so that one's the good one.
   9136 0.01%: . I need to go on this
   9137 0.01%: . I need to go on this one
   9138 0.01%: . It is good to see
   9139 0.01%:  thanks I don't get to
   9140 0.01%:  and it's not even 
   9141 0.01%:  that one's not in so the
   9142 0.01%:  that one ends this one too
   9143 0.01%:  that's the ending so no one
   9144 0.01%:  this one took 
   9145 0.01%:  so I've got to hand in the
   9146 0.01%:  so I've got the hook so
   9147 0.01%:  no that's good isn
   9148 0.01%:  so I got to that
   9149 0.01%:  so I got to that one
   9150 0.01%:  so I got to that one in
   9151 0.01%:  no it's not done so no
   9152 0.01%:  no that is so
   9153 0.01%:  no that one isn't even good. It
   9154 0.01%:  I got that one in one shot.
   9155 0.01%:  no one's said the
   9156 0.01%: . I've got to take notes so
   9157 0.01%:  it's the 
   9158 0.01%:  so I have to go do the
   9159 0.01%:  so not that one got
   9160 0.01%:  so the thing to
   9161 0.01%:  I've done that one on
   9162 0.01%:  so I've done it to the
   9163 0.01%:  this one's no good on
   9164 0.01%:  so I've gone into
   9165 0.02%:  so I've gone into the
   9166 0.01%:  no this one has to get
   9167 0.01%:  then. It has
   9168 0.01%:  and I've hit
   9169 0.01%:  and I've hit the
   9170 0.01%:  then. It's a
   9171 0.01%:  then. It's a good
   9172 0.01%:  that one's got the kids
   9173 0.01%:  good to see that's on
   9174 0.01%:  no I need to eat so this
   9175 0.01%:  no that is the one good one I
   9176 0.01%:  that's not it. In
   9177 0.01%:  so on that one I got to
   9178 0.01%:  no need to get that
   9179 0.01%:  so then I don't get to
   9180 0.01%:  thanks. It's done
   9181 0.01%:  I've got this at
   9182 0.01%:  so I've got no ideas
   9183 0.01%:  I have to go on in
   9184 0.01%: . I've gotten too
   9185 0.01%:  that's not this one on
   9186 0.01%:  I've got to do this one.
   9187 0.01%:  this doesn't go that
   9188 0.01%:  that is not good. I
   9189 0.01%:  no I got sid
   9190 0.01%: . I've got this to
   9191 0.01%:  so I need to tie a
   9192 0.01%:  so I've gotten this one
   9193 0.01%:  so no I don't even
   9194 0.01%:  that's not one. I think
   9195 0.01%:  no that's not even good in the
   9196 0.01%:  so I've done this one too.
   9197 0.01%: . I need it on
   9198 0.01%: . I need it on the
   9199 0.01%:  no that one's got to
   9200 0.01%:  so in the end I got that
   9201 0.01%:  I need to get on it soon
   9202 0.01%:  so it's not that I need one
   9203 0.01%:  no I've gotten
   9204 0.01%:  no I've gotten it
   9205 0.01%:  no it's not that. I need
   9206 0.01%:  thanks. I need to go the
   9207 0.01%:  that does it. I've no
   9208 0.01%:  no that's the end. I give
   9209 0.01%:  so this one I got done
   9210 0.01%:  no thanks to this I don't even
   9211 0.01%:  noooo that's the
   9212 0.01%: . I got this one done
   9213 0.01%:  no that one's not one I
   9214 0.01%:  I think that one's on to
   9215 0.01%:  thanks. It's not even good
   9216 0.01%:  so it's a t
   9217 0.01%:  no that's not the one i
   9218 0.01%: . It's so that
   9219 0.01%:  so it doesn't go too
   9220 0.01%:  that one I don't see on
   9221 0.01%: . It's the one
   9222 0.01%:  that doesn't go too
   9223 0.01%:  so it's not even an end
   9224 0.01%:  so I have done it.
   9225 0.01%:  no it's not the end so take
   9226 0.01%: . It is good to see that
   9227 0.01%:  no no that's the ending I
   9228 0.01%:  thanks it's on
   9229 0.01%:  I've taken the
   9230 0.01%:  no not that one it
   9231 0.01%: . I think that does go on
   9232 0.01%:  so I had one shot
   9233 0.01%:  it's not even a good one
   9234 0.01%: . I need to go on to
   9235 0.01%:  so that one's got to end on
   9236 0.01%:  I don't even think those
   9237 0.01%:  and I've gotten the
   9238 0.01%:  I got that one in one shot so
   9239 0.01%:  no that one ends on
   9240 0.01%:  so I need to get into an
   9241 0.01%:  no I have nothing to do on
   9242 0.01%:  I have to go in to the
   9243 0.01%:  so then I've got to ask
   9244 0.01%:  no that one needs no
   9245 0.01%: . It has to
   9246 0.01%:  this one needs to go to a
   9247 0.01%:  so that one doesn't go in. It
   9248 0.01%:  no this one's gone to
   9249 0.01%:  so do I have to
   9250 0.01%: . I've gotten it done
   9251 0.01%:  so it's not an end then
   9252 0.01%:  no this one I haven't got
   9253 0.01%:  that's good too. It
   9254 0.01%:  that doesn't even go in
   9255 0.01%:  so that is the one non
   9256 0.01%:  no that is too honest
   9257 0.01%:  so I've done that ten
   9258 0.01%:  no I haven't gotten this done
   9259 0.01%:  no no it's not the end I got
   9260 0.01%:  no this one's not even that good. I
   9261 0.01%:  so the end that
   9262 0.02%:  so the end that'
   9263 0.03%:  so the end that's not
   9264 0.01%:  so the end that I
   9265 0.01%:  so the end that is
   9266 0.01%:  this one has to end on
   9267 0.01%:  so it goes on to the end
   9268 0.01%:  that's done. It goes in
   9269 0.01%:  so I haven't got on
   9270 0.01%:  so I haven't got on to this
   9271 0.01%:  so I haven't got on the
   9272 0.01%:  so that's it then I need
   9273 0.01%:  so this one I've taken
   9274 0.01%:  so this one I've taken too
   9275 0.01%:  I need to go so that'
   9276 0.01%:  so on this one I haven
   9277 0.02%:  so on this one I haven't gotten
   9278 0.01%:  I've gotten it done
   9279 0.01%:  so that ending's not 
   9280 0.01%:  thanks. It's not done
   9281 0.01%:  so then I hit
   9282 0.01%:  no that one goes to the kids
   9283 0.01%:  no I need to get this onto
   9284 0.02%:  no I need to get this onto a
   9285 0.01%: . I had to get the
   9286 0.01%:  I think that one needs to go on
   9287 0.01%:  so it's not even done that
   9288 0.01%:  so that's one I need to think on.
   9289 0.01%:  so I haven't gone into the 
   9290 0.01%:  that one I need to go into
   9291 0.01%:  I have to get on this one
   9292 0.01%:  this needs to go to a
   9293 0.01%:  that's not so hot I don
   9294 0.01%:  I've got to do this as
   9295 0.01%:  no this one I've got
   9296 0.01%:  no this one I've got no
   9297 0.01%:  no this one I've got a
   9298 0.01%: . I need to get this 
   9299 0.01%:  so I've got this one to the
   9300 0.01%:  and I've got the hook
   9301 0.01%:  no that is the one good one.
   9302 0.01%:  so I haven't gone into one
   9303 0.01%:  so I haven't got one.
   9304 0.01%:  that one ends things too.
   9305 0.01%:  so on the end
   9306 0.01%:  no that one's done. It
   9307 0.01%:  this one's no good. I have
   9308 0.01%:  no I have to go sit
   9309 0.01%:  no thanks I've got to do this one
   9310 0.01%:  so I got one idea
   9311 0.01%:  no that is not on the end
   9312 0.01%:  so I've not had this
   9313 0.01%:  so I've said 
   9314 0.01%: . I don't have to go into
   9315 0.01%: . I don't have to go into the
   9316 0.01%:  that's not on.
   9317 0.01%:  that's not on. I
   9318 0.01%:  that's not on. I need
   9319 0.02%:  that's not on. I need to go
   9320 0.01%:  so it's that not
   9321 0.01%:  that's the one endings
   9322 0.01%:  so. It's not gonna
   9323 0.01%:  so I've got to do 
   9324 0.01%:  no need to thanks this one
   9325 0.01%:  no that one isn't one I
   9326 0.01%:  no it's not the end I got an
   9327 0.01%:  no that is the end. I've
   9328 0.01%:  so no that's it I
   9329 0.01%:  that's the one I end it
   9330 0.01%:  that's the one I end it on.
   9331 0.01%:  that one ends it too soon
   9332 0.01%:  that one ends it too soon.
   9333 0.01%: . I've gotta do it
   9334 0.01%: . I need to get on to this soon
   9335 0.01%:  so I haven't gone the
   9336 0.01%:  I got that done in ten
   9337 0.01%:  this one's not one the
   9338 0.01%:  no this one's not even good. It
   9339 0.01%: . I don't think that even
   9340 0.01%:  so I have this to do
   9341 0.01%:  I get that's the
   9342 0.01%: . I need it to get
   9343 0.01%:  so this one I've had
   9344 0.01%:  no thanks it's on
   9345 0.02%:  no thanks it's on the
   9346 0.01%:  I need to have it on
   9347 0.01%:  so that one does go
   9348 0.01%:  I got this one done so thank
   9349 0.01%:  so that one is not the end
   9350 0.01%:  so that one is not the end.
   9351 0.01%:  I have to end this on
   9352 0.01%:  this one's a 
   9353 0.01%:  no that's not one.
   9354 0.01%:  so it's not even good that
   9355 0.01%:  I need to get in on
   9356 0.01%:  I need to get in on that
   9357 0.01%:  it's not on the net
   9358 0.01%:  no that one goes in the nov
   9359 0.01%:  so it doesn't go 
   9360 0.01%:  no it's not I the
   9361 0.01%:  so that's not the one ending.
   9362 0.01%:  so that's not the one ending. I
   9363 0.01%:  so the one's not done
   9364 0.01%:  so it's got one and
   9365 0.01%:  I don't have one so this
   9366 0.01%:  I don't have one so this one
   9367 0.01%:  no this one's not even good I
   9368 0.01%:  good that's not even
   9369 0.01%:  that's one. I don
   9370 0.01%:  no I've got it that
   9371 0.01%: . I've had too
   9372 0.01%:  good that's on
   9373 0.01%:  no it's on
   9374 0.01%:  no I have to do
   9375 0.01%:  no I have to do it
   9376 0.01%:  no I have to do the
   9377 0.01%:  no I have to do this
   9378 0.02%:  no I have to do this one
   9379 0.01%:  I need to eat sooo
   9380 0.01%:  so I get that it's one
   9381 0.01%:  this doesn't go on too
   9382 0.01%: . It's not the kind
   9383 0.01%:  that one's not the ending so
   9384 0.01%:  so I haven't got this.
   9385 0.01%:  that one goes in.
   9386 0.01%:  I have to go so it's the end.
   9387 0.01%:  so I've gotta do this one.
   9388 0.01%:  so no it's not that good.
   9389 0.01%:  so no it's not that good. I
   9390 0.01%:  that one isn't so hot. I don
   9391 0.01%:  so that is the 
   9392 0.01%:  no I haven't got the end
   9393 0.01%:  so that one's done. I give
   9394 0.01%:  so that's one I got to
   9395 0.01%:  that one's in.
   9396 0.01%:  so don't give that one the
   9397 0.01%:  the end I have
   9398 0.01%:  so I do it
   9399 0.01%:  that one's the ending so
   9400 0.01%:  so then I do this
   9401 0.01%:  so on the one hand I get it.
   9402 0.01%:  so the end is that I go on
   9403 0.01%:  no I got that one done
   9404 0.01%:  so I don't have to tie the
   9405 0.01%:  that one's the ending. It
   9406 0.01%:  no it's gonna need to
   9407 0.01%: . It doesn't take too
   9408 0.01%:  so one thing that I do
   9409 0.01%:  so on that one I don
   9410 0.12%:  so on that one I don't think
   9411 0.04%:  so on that one I don't even
   9412 0.01%:  it's not at the end so
   9413 0.01%:  this one's gone on a
   9414 0.01%:  I gotta do this one one
   9415 0.01%:  no thanks to the 
   9416 0.01%:  so i've got the
   9417 0.01%: . It doesn't have to tie
   9418 0.01%: . It's a kids
   9419 0.01%: . I need to go set it
   9420 0.01%: . I need to go set it to
   9421 0.01%:  it's no good. It
   9422 0.01%:  so that's the good one. It
   9423 0.01%:  that one does'
   9424 0.01%: . I have to get on to
   9425 0.01%:  so it's not too hot
   9426 0.01%:  so that one goes in the 'too
   9427 0.01%:  so that one goes to one
   9428 0.01%:  that's not even good is
   9429 0.01%: . I see the
   9430 0.01%:  no this one's done I
   9431 0.03%:  no this one's done I gotta
   9432 0.01%:  so not that one so
   9433 0.01%:  and so I got
   9434 0.01%:  it's good to have those
   9435 0.01%:  so no it doesn't go on that
   9436 0.01%:  so then I go on to the
   9437 0.01%:  so it hasn't gotten done
   9438 0.01%:  so this've
   9439 0.01%:  that's one I think needs to
   9440 0.01%:  so that one does not get in
   9441 0.01%:  no the end isn't so
   9442 0.01%:  sooooo I have
   9443 0.01%:  no no that doesn't go
   9444 0.01%:  so that's on the dot.
   9445 0.01%:  so it's an end to
   9446 0.01%:  so it's not the end then.
   9447 0.01%:  so it's not the end then. I
   9448 0.01%:  no it's got to have
   9449 0.01%:  this one needs a t
   9450 0.01%:  so it's the one and
   9451 0.01%: . I've gotten to this
   9452 0.01%:  I've got no ideas
   9453 0.01%:  and I've got to set
   9454 0.01%:  and I've got to set this
   9455 0.01%:  and I've got to set it
   9456 0.01%:  and I've got to set the
   9457 0.01%:  that one goes in the 'not
