dang!! Dude, I just remembered how life is sad
100.00%: 
24.98%: ,
3.35%:  d
0.00%:  dang, Dude
0.00%:  dang just remembered I used a
0.00%:  dang!! I just remember how life is
0.00%:  dang, I just remembered!! Dude is
0.00%:  dangs, I just remember how
0.00%: , dang!! I just remembered how dies
0.00%:  dang, I just remembered a shoe
0.00%:  dang!! I just remembered how u
0.00%:  dang I just remembered, is a
0.00%:  dang!! I just remembered a house
0.00%:  dang, just remembered how I a
0.00%:  dang I just remembered how self de
0.00%:  dang, I just er
0.00%:  dang!! I just remembered die
0.00%:  dang, just remembered hi
0.00%:  dang I just remembered how sad life is !!
0.00%:  dang I just remember how D
0.00%: , add
0.00%:  dang, I just remembered issue 
0.00%:  dang, just remembered a e
0.00%: , dang I just remembered dies
0.00%:  dang!! I just remembered a d
0.00%:  see I
0.00%:  dang!! I just remembered how du
0.00%:  dang just remembered he dies
0.00%:  dang!! I just remembered a side
0.00%:  dang, just remembered issue
0.00%:  dang I just remember dude!!
0.00%:  dang, I just remembered shee
0.00%:  dang just remembered i showed
0.00%: , dang just remembered how l
0.00%:  dang, just remembered a used
0.00%: , dang I just remembered how sus
0.00%:  dang, just remembered how I slide
0.00%:  dang just remembered how idi
0.00%: , dang!! I just remembered how lif
0.00%:  sand
0.00%:  dang, just remembered how sea
0.00%:  dang just remembered I had 
0.00%:  dang, just remembered how sue
0.00%:  dang, I just remembered sed
0.00%: , dang I just remembered he dies
0.00%:  dang, just remember I died
0.00%:  dang I just br
0.00%: , dang I just remembered how used
0.00%: , dang I used
0.00%:  dang, just as I remember how
0.00%:  dang!! I just remembered, due
0.00%:  dang, I just remembered how si
0.00%:  dang!! I just remembered how dess
0.00%:  dang dude I just re
0.00%: , dang I just remembered how sed
0.00%:  dang, just remembered how sail
0.00%:  dang, de
0.00%:  dang just remembered, e
0.00%:  dang dude, D
0.00%:  dang, add
0.00%:  dang, just remembered how side
0.00%:  dang I just remembered his is
0.00%:  dang, dudes are just
0.00%:  dang, I just remember she died!!
0.00%:  dang, just remembered how sales
0.00%: , dang 
0.00%:  dang I just remember how dead is
0.00%:  dang I just remembered how ide
0.00%:  dang!! I just remembered, e
0.00%:  dang, just remember I showed
0.00%:  dang I just remembered ah d
0.00%: , dang!! I just remembered how diss
0.00%:  dang just remembered a show
0.00%:  dang just remembered, how is
0.00%:  dang, I just remembered is used
0.00%:  dang I just remembered how, d
0.00%:  dang as
0.00%:  dang, I just remembered how a lif
0.00%: da
0.00%: , dang I just remembered how is
0.00%:  dang, I just remembered us!!
0.00%:  dang us,
0.00%: , dang I just remembered how i said
0.00%:  dang just remembered how life is!!
0.00%:  dang, I just remembered how a d
0.00%:  dang, just remembered she DI
0.00%:  dang I just remember how,
0.00%:  dang I just remember how life used
0.00%:  dang I just remember she said
0.00%:  dang, I just remembered his idea
0.00%:  dang, I just remembered!! i
0.00%:  dang, just remembered dishes
0.00%:  dang just remembered how life is a
0.00%:  dang I just remembered, is 
0.00%:  dang!! I just remembered a sh
0.00%:  dang I just remember a dude
0.00%:  dang!! I just remembered how dise
0.00%:  dang, I just remembered how else a
0.00%: , daa
0.00%:  dang just remembered how al
0.00%:  des
0.00%:  dang, I just remembered a deus
0.00%:  dang, just remembered he D
0.00%:  dang!! I just re
0.00%:  dang, dudes I just remember how
0.00%: , dang !!
0.00%:  dang I just remembered a dies
0.00%:  dang u
0.00%:  dang, I just remembered she do
0.00%:  dang just remembered how u
0.00%:  dangs, I just remembered D
0.00%:  dang I just remembered how a D
0.00%:  dang, just remembered I ha
0.00%:  dang I just remember how self
0.00%:  dang I just remembered, Dude!!
0.00%:  dang, just remembered i showed
0.00%:  dang!! Dude
0.00%: ads
0.00%:  and d
0.00%:  dang, I just remembered how life uses
0.00%: , dang just remembered how D
0.00%:  dang!! I just remembered how, due
0.00%: , des
0.00%:  dang, just use
0.00%:  dang, just remembered a Dude
0.00%:  dang!! I just remembered how e
0.00%:  dang, just be
0.00%: , dang I just remembered how al
0.00%:  dang I just remembered, id
0.00%:  dang, I just remembered how dies life
0.00%:  dang!! I just remembered di
0.00%:  dang, just remembered a house I
0.00%:  dang, I just used 
0.00%: , ad
0.00%:  dang I just remembered shee
0.00%:  dang, just remembered I du
0.00%: , dang sure
0.00%:  dang I just remembered he D
0.00%:  dang!! I just remembered, see
0.00%: , dang I just remembered how des
0.00%: , dang I just remembered how lies
0.00%:  dang I just remember she died,
0.00%:  dang!! I just remembered a s
0.00%:  dang just remembered how said
0.00%:  dang, dad!!
0.00%:  dang!! I just remembered how due
0.00%: D
0.00%:  dang, just remem
0.00%:  dang, just remembers
0.00%:  dang, I just remember how add
0.00%:  dang!! I just remembered, ah
0.00%:  dang, just remembers how
0.00%:  dang!! I just remember how life used
0.00%:  dang dude, as
0.00%: , dang I just remembered u
0.00%:  dang, I just remembered how is said
0.00%:  dang, just remembered how aside
0.00%:  dang!! I just remembered said
0.00%:  dang, dude just remember I
0.00%: , dang!! I used
0.00%:  dang I just remembered how die is
0.00%: , and I used
0.00%:  dang, just remembered us!!
0.00%:  dang, I just remember us
0.00%:  dang I just remembered us,
0.00%:  dang, I just remembered hoes
0.00%: , dang I just remembered how di
0.00%: , dang just remember how
0.00%:  dang just remembered how sus
0.00%:  dang!! I just remembered a h
0.00%:  dang!! I just remembered how las
0.00%:  dang just remembered how ideas
0.00%:  dang, just remembered I used his
0.00%:  dang I just remembered a du
0.00%:  dang, I just remembered how seals
0.00%:  dang, I just remembered how seals die
0.00%:  dang, just remembered a ho
0.00%:  dang I just remembered how us ladies
0.00%:  dang, just remembered eh
0.00%:  dang just remembered, d
0.00%: , dang!! I just remembered how as
0.00%:  dang I just remembered how else is
0.00%:  dang I just remembered how, D
0.00%:  dang, just remembered how I 
0.00%:  dang, dead just
0.00%:  dang, just remember us
0.00%:  dang, just remembered I said she
0.00%:  dang dude, I j
0.00%:  dang I just remembered she said 
0.00%:  dang, just remembered how I die!! D
0.00%:  ded
0.00%:  dang I just remembered how see
0.00%:  dang dude, I just remember!!
0.00%:  dang I just remembered how sad life is!! D
0.00%:  dang I just remembered is a
0.00%:  dang, I just remembered how ess
0.00%:  dang I just remembered how idle
0.00%:  dang, just remembered aud
0.00%:  dang just remembered how I di
0.00%:  dang I just remembered she is a
0.00%:  dang I just remembered how !!
0.00%:  dang, just remembered how idea
0.00%:  dang, sad
0.00%:  dang, I just remembered how dies!!
0.00%:  dang, just remembered how life is 
0.00%:  dang I just remember how else
0.00%:  dang, I sure used
0.00%: , dang us!!
0.00%:  dang dude, I just D
0.00%:  dang, just remembered how ass
0.00%:  dang I just remembered how sad life is, u
0.00%:  dang!! I just remembered house
0.00%:  dang just remembered I die a
0.00%: , dang!! I just remembered how life used
0.00%:  dang I just remembered how sad l
0.00%:  dang I just remembered he said 
0.00%:  dang I just remembered, de
0.00%:  dang!! I just remembered he does
0.00%:  dang, just remembered as how
0.00%:  dang I just remembered, ssh
0.00%:  dang, I just remember 
0.00%:  dang, I just remember he said
0.00%: , dang just remembered he said
0.00%:  dang, sure seems
0.00%: , dang I just remembered how u
0.00%:  dang dude I just remember how life is
0.00%:  dang I just remember dead
0.00%:  dang, just remembered she does!!
0.00%:  dang dudes, as
0.00%:  dang I just remembered how i lied
0.00%:  dang!! I just remembered she is
0.00%: , dang I just remembered a D
0.00%:  dang, just remembered how a self
0.00%:  dang, I just res
0.00%:  dang, I u
0.00%:  dang I just remembered, issue
0.00%:  dang, just remembered I 
0.00%:  dang dud,
0.00%:  dang, just remembered had I
0.00%:  dang I just remembered, how D
0.00%:  dang I just remembered uh, 
0.00%:  dead!!
0.00%:  and g
0.00%:  dang, just remembered I said how
0.00%:  dang!! I just remembered, he said
0.00%:  dang, I just remembered how us self
0.00%:  dang, I just remembered how sad le
0.00%:  dang just remembered she does
0.00%:  dang, just remembered I e
0.00%:  dang, I just remembered how is is
0.00%:  dang I just remember his
0.00%:  dang I just remembered a hed
0.00%: ade
0.00%:  dang just remembered how die
0.00%:  dang, I just bas
0.00%:  dang, just remembered su
0.00%:  dang, I just remember how de
0.00%:  dang, just remembered!! I showed
0.00%:  dang, I just remembered she dies a
0.00%:  dang!! I just remembered a di
0.00%:  dang just remembered she said I
0.00%: , end
0.00%:  dang I sure am
0.00%: , dang!! I just remembered is
0.00%:  dad I
0.00%:  dang dudes I see
0.00%: , dang I just remembered how dess
0.00%:  dang just remembered I has
0.00%:  dang!! I just remembered how disease,
0.00%:  dang, sure am
0.00%:  dang I just d
0.00%:  dang, I just remembered how life is !!
0.00%:  dang, I just remembered he uses
0.00%:  dang, just remembered I die D
0.00%:  dang, I just remembered i showed
0.00%: , se
0.00%:  dang I just remember she did
0.00%:  dang just remembered, I showed
0.00%:  dang dudes I just remember!!
0.00%:  dang I just remembered, how is life
0.00%:  dang dude, just as
0.00%:  dang I just remembered a ho
0.00%:  dang!! I just remembered how, u
0.00%:  dang I just remembered a used
0.00%:  dang, just remembered I said 
0.00%:  dang just remembered a D
0.00%:  dang, just remembered I showed D
0.00%:  dang!! I just remembered, has
0.00%:  dang just remembered I said,
0.00%:  dang I just remembered, is she
0.00%:  dang I just remembered, she is
0.00%:  dang just remembered how I said,
0.00%:  dang I just remember ed
0.00%:  dang, just remembered use
0.00%:  dang, I just remembered is said
0.00%:  dang, just remembered ash
0.00%:  dang just remembered how I self
0.00%:  dang, just remembered I had o
0.00%:  dang, I just remembered us D
0.00%:  dang I just remembered a e
0.00%:  dang I just bur
0.00%: , dang just remembered how i said
0.00%:  dang, I just remembered how elf
0.00%: , dang!! I just remember a
0.00%:  dang I just remembered she e
0.00%:  dang, dudes just remember how
0.00%:  dang I just remembered how a life is
0.00%:  dang, just remembered how else I said
0.00%:  dang I just remembered how sle
0.00%:  dang I just remembered us die
0.00%:  dang just remembered a 
0.00%:  dang!! I D
0.00%:  dang, just remembered a diss
0.00%: , dang I just remembered how sel
0.00%: , dang just remembered i had
0.00%:  dang I just remembered Dude
0.00%:  dang dude I sure
0.00%:  dang, I just remembered how a lie
0.00%: , needs
0.00%:  dang, I just remembered how ladies D
0.00%:  dang, just remembered how I dies a
0.00%: , dang I just remembered how life dies
0.00%: , dang dud
0.00%:  dang, I just remembered how a slide
0.00%:  dang I just remembered how sad life is 
0.00%: , dang!! I just remembered us
0.00%:  dang!! I just remembered a dess
0.00%:  dang dudes, I use
0.00%:  dang dudes, a
0.00%:  dang, I just remembered housew
0.00%:  dang, a dude
0.00%:  dang, I just remembered he does!!
0.00%:  need
0.00%:  dang, I just remember i
0.00%:  dang I just remembered how sad lies
0.00%:  dang!! I just read
0.00%:  dang I just remembered a diss
0.00%:  dang, just I
0.01%:  dang, just I remembered
0.01%:  dang, just I remembered how
0.00%:  dang, just I remember
0.00%:  dang, due
0.00%:  send
0.00%:  dang!! I just remembered how dil
0.00%: , DI
0.00%:  dang just remembered how life is sad!!
0.00%: , dang!! D
0.00%:  dang I just remembered how, aside
0.00%:  dang just remembered how used
0.00%:  dangs, I just remembered how d
0.00%:  dang, just remembered heads
0.00%:  dang, I just remembered a des
0.00%:  dang, I just remembered a she
0.00%:  dang, just remember how I died!!
0.00%:  dang dude I just remember!!
0.00%:  dang I just remembered, she does
0.00%:  dang, just remembered I see how
0.00%: , dang!! I just remembered how ladies
0.00%:  dang, just I remembered a
0.00%:  dang, just remembered I how
0.00%:  dang I just remembered how is used
0.00%:  dang, I just remembered show is
0.00%: , dang I just remembered how ideal
0.00%:  dang I just remembered a,
0.00%: , dang I just remembered a 
0.00%:  dang dads,
0.00%:  dang I just remembered how leads
0.00%:  dang!! I just remembered de
0.00%:  dang I just remembered, diss
0.00%:  dang, just remembered how ele
0.00%:  dang, just remembered how ads
0.00%:  dang, I just remembered how a dis
0.00%:  end
0.00%:  dang, just remembered ho
0.00%:  dang I just remembered how life sad is
0.00%: , dang I just remembered how ed
0.00%: , dang!! I just remembered how ad
0.00%: , dang!! I just remembered a show
0.00%:  dang, I just remembered sea sh
0.00%:  dang I just remembered how else d
0.00%:  dang, I just remember how ad
0.00%:  dang I just remembered how us D
0.00%:  dang I sure missed
0.00%:  dang I just remembered how life is, e
0.00%:  dang, I just remember she did
0.00%:  dang, I just remembered a issue
0.00%:  dang dude, I D
0.00%:  dang dude, I just r
0.00%:  dang I just remember she died!!
0.00%:  dang, I just remembered he do
0.00%:  dang!! I j
0.00%:  dang, just remembered how less I
0.00%: ase
0.00%:  dang, I just used d
0.00%:  dang, just remembered how sad!!
0.00%:  dang I just remembered she do
0.00%:  dang, I just remember how life is a
0.00%: , na
0.00%: , dangs!!
0.00%:  dang, us!!
0.00%:  dang just remembered how sed
0.00%:  dang just remembered a sh
0.00%:  dang, just remember I used
0.00%:  dang, I just remembered!! Dude has
0.00%:  dang I just remember, dude
0.00%: , dang dude just remember how
0.00%: , dang I just remembered how du
0.00%:  dang, I just remember how a dude
0.00%: , I needed a
0.00%:  dang, just remembered a dish I
0.00%:  dang, I just remembered a shed
0.00%:  dang I just remembered uh, D
0.00%:  dang, I js
0.08%:  dang, I jsut remembered
0.05%:  dang, I jsut remembered how
0.00%:  dang, I jsut remembered a
0.00%:  dang, I jsut remembered how sad
0.00%:  dang, I jsut remembered how life
0.00%:  dang, I jsut remembered!!
0.00%:  dang, I jsut remembered how life is
0.00%:  dang, I jsut remembered how i
0.00%: , dang I just remembered how su
0.00%:  dang I just remembered, su
0.00%:  dang I just remembered aids
0.00%:  dang, I just remembered how life dis
0.00%:  dang, I just remembered how a dies
0.00%:  dang, I just remembered how a less
0.00%:  dang, I just sad
0.00%:  dang I just der
0.00%:  dang just remembered I d
0.00%:  dang just remembered how sad i
0.00%: , dang dudes just
0.00%: , dang dudes just remember
0.00%:  dang, just remembered how life su
0.00%: , dang I just remembered die
0.00%:  seed
0.00%:  dang, see I just remembered how l
0.00%:  dang I just remembered hi,
0.00%:  dang I just remembered how life D
0.00%:  dang, su
0.00%:  dang, I sure just
0.00%:  dang, I just remembered how life sad is!!
0.00%:  dang, I just remembered how sad is life!!
0.00%:  dang, I just remembered a duh
0.00%:  dang I just remembered is has
0.00%:  dang I just remembered she does!!
0.00%:  dang, just remembered side
0.00%:  dang, I just remember sad
0.00%:  dang I just remembered aside
0.00%:  dang dude just remember,
0.00%:  dang I just remembered how life dies!!
0.00%:  sed
0.00%:  dang I just remember how dad
0.00%:  dang just remembered, 
0.00%:  dang, I just remembered hu
0.00%:  dang, just remembered ads
0.00%:  dang, I just remembered how ladies is
0.00%:  dang I just remember 
0.00%:  dang, just remembered how Dude
0.00%: , dang just remembered how self
0.00%:  dang!! I just remembered how se
0.00%: , dang I just remembered !!
0.00%:  dang dudes, e
0.00%:  dang!! I just remembered how el
0.00%:  dang, I jsut remembered i
0.00%: , seen
0.00%:  dang I just remember he said
0.00%:  dang!! I just remembered dis
0.00%:  dang, just remember a
0.00%:  dang I just remembered, house
0.00%:  dang, I just remembered how a de
0.00%: , dang I just remembered is how
0.00%: , dang I just remembered i had
0.00%:  dang, I just remembered how a s
0.00%: , dang!! I just remembered how le
0.00%:  dang I just remembered how sad life is!! Dude
0.00%:  dang I just remembered idi
0.00%:  dang I just remembered shadows!!
0.00%:  dang, I just remembered he said D
0.00%:  dang, just remembered I is
0.00%:  dang, I just remembered how life is de
0.00%:  dang, I just s
0.00%:  dang just remembered a h
0.00%:  dang I just remembered how dies is
0.00%:  dang just remembered!! I had
0.00%:  dang, I just remembered she said D
0.00%:  dang!! I just remembered how sa
0.00%:  dang, I just remembered how a li
0.00%:  dang just remembered e
0.00%:  dang, see!!
0.00%: , dang just remembered!! I
0.00%:  dang, I just remember is
0.00%:  dang, I just remembered how a di
0.00%:  dang, I just remembered his s
0.00%:  dang, just remembered how I used 
0.00%:  dang I just remembered, ad
0.00%:  dang I just remembered i showed
0.00%:  dang just remember how I died,
0.00%:  dang, I just bar
0.00%:  dang, just remembered I dies a
0.00%:  dang, just remembered a hed
0.00%:  dang, just remembered how slide
0.00%:  dang just remembered i sh
0.00%:  dang, just remembered show I
0.00%:  dang just remembered I die 
0.00%: , dang!! I just remembered she does
0.00%: , an
0.00%:  dang, just remembered!! i
0.00%:  dangs, I just remembered how D
0.00%:  dang I just remembered how, du
0.00%:  dang, just remembered sa
0.00%:  dang!! I just remembered, hee
0.00%:  dang I just remembered, side
0.00%:  dang!! I just remembered how sl
0.00%:  dang!! I just remembered how life,
0.00%: , dang I just remembered sad
0.00%:  dang, I just remembered how sad lif
0.00%:  dang dudes, I sure am
0.00%: , dang I just remembered a d
0.00%: , dang I just remembered house
0.00%:  dang, I just remembered how die is a
0.00%:  dang, just remembered I dies!!
0.00%:  dang, just remembered how i DI
0.00%:  dang just remembered how dial
0.00%:  dang, I just remembered how life a
0.00%:  dang, just remembered hide
0.00%:  dang us!!
0.00%: , sees
0.00%:  dang just remembered I dis
0.00%:  dang, just remembered I aud
0.00%:  dang!! I just remembered a dis
0.00%:  dang, just remembered a se
0.00%:  dang, I just remember how dude is
0.00%:  DI
0.00%:  dang I just remember how a
0.00%:  dangs, I just remembered how a
0.00%:  dang I just remembered ish
0.00%:  dang I just remembered how life is, u
0.00%:  dang I just remembered how si
0.00%:  dang, just remembered he said 
0.00%:  dang, just remembered sea
0.00%:  dang, I just remembered how Dude is
0.00%:  dang, just remembered how used I
0.00%:  dang I just remembered, dess
0.00%:  dang, sue
0.00%:  dang dudes just remember,
0.00%:  dang, just remembered how a 
0.00%:  dang, I just remembered how life diss
0.00%:  dang dudes !!
0.00%:  dead,
0.00%:  dang, just remembered I had e
0.00%:  dang, I just remembered how self is
0.00%:  dang just remembered, has
0.00%:  dang, just remembered how I e
0.00%:  dang, just remembered is a
0.00%:  dang!! I just remembered, she said
0.00%: , dang just remembered she said
0.00%:  dang, just remembered hes
0.00%:  dang I just remember how i
0.00%:  dang, just remembered how les
0.00%:  dang!! I just remembered how sad,
0.00%:  dang a dude
0.00%:  dang I just remember dude,
0.00%:  dang I used a
0.00%:  dang, just remembered duh
0.00%:  dang, I dead!!
0.00%:  dang, I jsut remember
0.00%:  dang, just remembered hee
0.00%:  dang dude, I sure miss
0.00%:  dang, just remembered how ade
0.00%:  dang just remembered how i die!!
0.00%:  dang, I just remembered ish
0.00%:  dang I just remembered how i dis
0.00%:  dang, just remembered I ho
0.00%:  dang, I just remember how lif
0.00%:  dang, just remembered a die
0.00%:  dang, I just de
0.00%:  dang I just remembered a se
0.00%:  dang I just remembered how is life
0.00%:  dang, just br
0.00%:  dang just remembered how du
0.00%:  dang, dude just DI
0.00%:  dang just remembered I u
0.00%:  dang I just remembered how sad life is, e
0.00%: , dang I just remembered ah
0.00%:  dang just remembered how i die,
0.00%:  dang, I just remember how dudes D
0.00%:  dang, just remember how life
0.00%: , dang!! I just remember how dead
0.00%:  dang I just remember h
0.00%:  dang, I just remembered a us
0.00%:  dangs, I just remembered how self
0.00%:  dang, I just remembered a hi
0.00%:  dang, dude just remember how I
0.00%:  dang, just remembered how life is D
0.00%:  dang just remembered how su
0.00%:  dang, just remembered how I as
0.00%:  dang just remember i
0.00%:  dang, I just remembered how ideas D
0.00%:  dang!! I just remembered a de
0.00%:  dang, just remembered how I said i
0.00%:  dang just remembered how li
0.00%:  dang!! I just remembered how deals
0.00%: , dang!! I just remembered how die
0.00%: , dang I just remember!!
0.00%:  dang, I just used br
0.00%:  dang!! I just remembered how slides
0.00%:  dang, just rember
0.00%:  dang, just rembered how
0.00%: , dang I just remembered how li
0.00%:  dang, I just remembered how de la
0.00%:  dang, I just remembered she die
0.00%:  dang I just remembered, sad
0.00%: , I s
0.00%:  dang dudes, I just r
0.00%:  dang I just remember how i died
0.00%: end
0.00%:  dang, just remembered how lied
0.00%:  dang I just remembered he dies!!
0.00%:  dang I just remembered how a d
0.00%:  dang, I just remember how diss
0.00%: , dang I just remembered how dial
0.00%:  dang, I just remembered houses!!
0.00%:  dang I just remembered how is dies
0.00%:  dang I just remembered idea
0.00%:  dang just remembered I show
0.00%:  dang, I just remembered how life is u
0.00%: , dang I just remembered he does
0.00%:  dang dudes, 
0.00%: , dang!! I just remembered how i said
0.00%:  dang dudes, I just D
0.00%: , dang just remembered how d
0.00%:  seeds,
0.00%:  dang, just remembered I hed
0.00%:  dang just remembered she is
0.00%:  dang, I just remember how dies
0.00%: , dang I just remembered de
0.00%:  dang, just remember d
0.00%:  dang, just remember dudes!!
0.00%:  dang just dead
0.00%:  dang!! I just remembered, had
0.00%:  dang dudes, u
0.00%:  dang I just remembered seeds
0.00%:  dang I just remembered he is a
0.00%:  dang I just remembered, is how
0.00%:  dang I just remembered, i had
0.00%:  dang, I just remembered how us life
0.00%: es,
0.00%:  dang dudes 
0.00%: , I added a
0.00%:  dang dudes I just re
0.00%:  dang, I just remembered how less a
0.00%:  dang just remembered is how
0.00%:  dang!! I just D
0.00%:  dang, Dude!!
0.00%: , dang I just remembered a s
0.00%:  dang, I just remembered she d
0.00%:  I,
0.00%:  dang dude, just as I remember
0.00%:  dang just remembered how ed
0.00%:  dang!! I just remembered how adul
0.00%:  dang, I just remembered how sad lie
0.00%:  dang, I just remembered a house is
0.00%:  dang, just remembered how life is su
0.00%:  dang!! I just remembered dess
0.00%:  dang I just remembered how us,
0.00%:  dang, I just remembered as how
0.00%:  dang, I just remembered sue
0.00%:  dang, just remembered I hide a
0.00%:  dang I just remembered how uses
0.00%:  dang I just remembered how sad is life
0.00%:  dang, I just remembered how issue 
0.00%:  dang, just remembered how I sa
0.00%: , dang I just remembered di
0.00%: , dang used
0.00%:  dang I just remembered how i dies
0.00%:  dang just remembered how des
0.00%:  dang I just remembered hoes
0.00%: , dang!! I just remembered h
0.00%:  dang just remembered how i D
0.00%:  dang, I just remember how dads
0.00%:  dang, just remembered I ah
0.00%:  dang, just remembered how assed
0.00%:  dang, I just remember ed
0.00%:  dang I just remember how 
0.00%: , dang I just re
0.00%:  dang I just remembered, eh!!
0.00%:  ad
0.00%:  dang just remembered I had,
0.00%:  dang, I just remembered his ad
0.00%:  dang, I just remembered his 
0.00%:  dang I just remembered uh, do
0.00%:  dang!! I just remembered sad
0.00%:  dang, I just remembered how life dies us
0.00%:  dang, I just remembered how life is!! D
0.00%: as
0.00%:  dang, I just remembered how a dess
0.00%:  dang, I just remembered how life is sad D
0.00%:  dang!! I just remembered a dish
0.00%:  dang just remembered I diss
0.00%:  dang!! I just remembered, sh
0.00%:  dang, I just remember h
0.00%:  dang, just remembered aside
0.00%:  dang, just remembered I dise
0.00%:  dang, just remembered he DI
0.00%:  dang just remembered a d
0.00%:  dang, I just remembered us dies
0.00%:  dang, dess
0.00%:  dang, just remembered how il
0.00%:  dang I adjusted
0.00%:  dang, I just remembered how life said
0.00%:  dang just remembered how, u
0.00%:  dang I just remembered hos
0.00%:  dang just remembered how lies
0.00%:  dang I just remembered she,
0.00%:  ass
0.00%:  dang dudes, I just remember how l
0.00%:  dang, see I just remembered D
0.00%:  dangs, I just remembered she
0.00%:  dang just remembered I h
0.00%:  dang I just remembered ass
0.00%:  dang I just, remember
0.00%:  dang I just be
0.00%:  dang I just be hard
0.00%: , dang just remembered 
0.00%:  dang, just remembered idea
0.00%:  dang, dude just remem
0.00%:  dang, dude just remembers how
0.00%:  dang, dude just remembers he
0.00%:  dang, dude just remembers his
0.00%:  dang, dude just remembers I
0.00%:  dang I just remembered show is
0.00%:  dang just remembered how I used a
0.00%:  dang!! I just,
0.00%:  dang, just remembered how I die al
0.00%:  dang I just remembered is he
0.00%:  dang just remembered he said I
0.00%:  dang just remembered i D
0.00%:  dang, just remembered how led
0.00%:  dang!! I sure
0.00%: , dang I just remembered a h
0.00%:  dang just remembered I said he
0.00%:  dang I just remembered, how sad is
0.00%:  dang, I dead just
0.00%:  dang, I just remembered a his
0.00%:  dang, just remembered how saus
0.00%:  dang, I just remembered how is D
0.00%:  dangs, dude
0.00%:  dang, just remembered how i use
0.00%:  dang, I just remember how us
0.00%:  dang I just red
0.00%:  dang I just remembered, showed
0.00%: , dang I just remembered how i used
0.00%:  dang I just dared
0.00%:  dang I just remembered, houses
0.00%:  dang I just remembered how is said
0.00%:  dang, just remembered she do
0.00%: nd
0.00%:  dang, I just remembered how sea life
0.00%:  dang, I just remembered a showed
0.00%:  dang, just remembered I side
0.00%:  dang, I just remembered eas
0.00%:  dang just remembered how life used
0.00%:  dang I just sub
0.00%:  dang, just remembered see
0.00%:  dang, just remembered he dies!!
0.00%:  dang I just remembered how eas
0.00%: , dang!! I just remembered how s
0.00%:  dang dude I see
0.00%:  dang just remembered he does
0.00%:  dang, just remembered I house
0.00%:  dang just remembered, dies
0.00%:  dang dudes I j
0.00%:  dang, I just remembered how a l
0.00%:  dang I just remembered is is
0.00%: , dang dead
0.00%:  dang!! I just remembered had
0.00%:  dang, just remembered is how I die!!
0.00%:  dang, I just remembered how life dies as
0.00%:  dang!! I just remembered how sad is
0.00%:  dang!! I just remembered ad
0.00%:  dang, see I just remembered how d
0.00%:  dang dude, a
0.00%:  dang, I just remember ideas
0.00%:  dang, dude just D
0.00%:  dang, I just remembered how lies die
0.00%:  dang I just remembered shadows,
0.00%:  dang, just remembered how us ladies
0.00%:  dang just remembered a s
0.00%:  dang, just remembered how i dis
0.00%:  dang!! I just remembered he is
0.00%:  dang, I just remember how dead D
0.00%:  dang, just remembered how I less
0.00%:  dang, I just remembered as i
0.00%:  dang!! I just remembered how sad D
0.00%:  dang, just remembered his is
0.00%:  dang I sure mess
0.00%:  dang I just remembered is 
0.00%:  dang, just remembered how else I D
0.00%:  dang, just remembered I said his
0.00%:  dang, just bur
0.00%:  dang I just remembered, how is D
0.00%:  dang, I just sure
0.00%:  dang, I just remembered deus
0.00%:  dang, just remembered how I side
0.00%:  dang just remembered how I dies,
0.00%:  dang!! I just remembered she said,
0.00%:  dang, just remembered ha
0.00%:  dang, sadd
0.00%:  dang, just remembered how life is as
0.00%:  dang, just remembered she said 
0.00%: , dang!! I just remember how sad
0.00%:  dang!! I just remembered how la
0.00%: , dang I just remembered how due
0.00%:  dang I just remember, h
0.00%:  dang, just I remembered!!
0.00%: , dang just remembered as
0.00%:  dang I just remembered how dies,
0.00%:  dang, DI
0.00%:  dang, I just remembered how said D
0.00%:  dang, I just remembered how us idi
0.00%:  dang just remembered uh, I
0.00%: , dang just remembered how life is sad
0.00%:  dang I just remembered, how sad!!
0.00%: , dang I just remembered a sh
0.00%:  dang, just rembered I
0.00%:  dang dud, I just
0.00%:  dang, just remembered I die is
0.00%:  dang I just remembered, hes
0.00%:  dang, I just remembered how lead is
0.00%:  dang just remembered how I die, al
0.00%:  dang dude I j
0.00%:  dang just remembered how e
0.00%:  dang, just remembered i sh
0.00%:  dang I just remembered he dies,
0.00%: , dang!! I just remembered how lies
0.00%:  dang, just remembered how I dise
0.00%:  dang I just see
0.00%:  dang I just remembered how life is sad 
0.00%:  dang I just remembered he does,
0.00%:  dang, I just remembered how life 
0.00%:  dang, just remembered a housew
0.00%:  dang, I just rembered a
0.00%:  dang, just remembered hoe
0.00%:  dang I just remembered, he does
0.00%:  dang, just remembered hed
0.00%:  dang just remembered as i
0.00%:  dang, I just dude
0.00%:  dang I just er
0.00%:  dang I just remembered sue
0.00%:  dang I just remembered she d
0.00%:  dang I just remembered, how d
0.00%:  dang just remembered, as
0.00%:  dang, I just remembered how us dies
0.00%:  dang, just remembered how das
0.00%:  sense,
0.00%: , dang!! I just remembered he dies
0.00%:  dang dudes are D
0.00%:  dang, I d
0.00%:  dang, I just remembered his d
0.00%:  dang, I just remember how s
0.00%:  dang just as
0.00%:  dang just as I remembered
0.00%:  dang just as I remembered how
0.00%:  dang just as I remembered,
0.00%:  dang just as I remember
0.00%:  dang just as I remembered!!
0.00%:  dang, I just deb
0.00%:  dang, I just remembered how life s
0.00%:  dang, I just remembered how ease
0.00%:  dang just remembered how dess
