don't think you should use the word "retarded" like that, Michael Chabon.
100.00%: 
83.59%:  think
60.55%:  think Michael Chabon is a totally
155.72%:  think Michael Chabon is a totally sweet
490.11%:  think Michael Chabon is a totally sweet dude
97.38%:  think Michael Chabon is a totally sweet dude,
90.06%:  think Michael Chabon is a totally sweet dude.
60.50%:  think Michael Chabon should rewrite that story,
60.49%:  think Michael Chabon wrote this story to
60.37%:  think Michael Chabon should read the story with a
60.10%:  think Michael Chabon is the real author who
60.07%:  think Michael Chabon should read the story he'
60.01%:  think Michael Chabon should do the
59.77%:  think Michael Chabon should use the word "retarded" the old
59.63%:  think Michael Chabon would like that story too
59.35%:  think Michael Chabon should add
59.27%:  think Michael Chabon was totally
59.23%:  think Michael Chabon should read that story with
59.18%:  think Michael Chabon should rewrite the story that
58.86%:  think Michael Chabon should read your
58.76%:  think Michael Chabon should read his work out loud.
58.68%:  think Michael Chabon should write a letter to the ed
58.37%:  think Michael Chabon would like that story the
58.09%:  think Michael Chabon should look at the story
58.05%:  think Michael Chabon should eat a
57.94%:  think Michael Chabon is the real author here.
57.86%:  think Michael Chabon should read the last two
57.83%:  think Michael Chabon should die
57.72%:  think Michael Chabon should write harder
57.64%:  think Michael Chabon should write the rest already
57.54%:  think Michael Chabon should use the word "retarded" al
57.31%:  think Michael Chabon should use that
56.96%:  think Michael Chabon should take out the word "retarded" he is
56.69%:  think Michael Chabon would say it's retarded, too.
56.59%:  think Michael Chabon should write the letters "
56.47%:  think Michael Chabon should write a tale
56.41%:  think Michael Chabon would like to hear your ret
56.39%:  think Michael Chabon should do his
56.24%:  think Michael Chabon is totally the
92.39%:  think Michael Chabon is totally the author
71.06%:  think Michael Chabon is totally the worst
89.10%:  think Michael Chabon is totally the worst author
56.21%:  think Michael Chabon should write the story he told
55.98%:  think Michael Chabon should read it out loud so we
55.55%:  think Michael Chabon would like to read that
217.09%:  think Michael Chabon would like to read that story,
142.27%:  think Michael Chabon would like to read that story.
55.50%:  think Michael Chabon should also write the
55.26%:  think Michael Chabon should take the story where
55.26%:  think Michael Chabon is a real
55.04%:  think Michael Chabon should take out the "
8895.10%:  think Michael Chabon should take out the "retarded story
1462.93%:  think Michael Chabon should take out the "retarded" word
362.42%:  think Michael Chabon should take out the "retarded" word,
286.81%:  think Michael Chabon should take out the "retarded" word.
136.26%:  think Michael Chabon should take out the "retarded"s
129.77%:  think Michael Chabon should take out the "retarded word
121.03%:  think Michael Chabon should take out the "retarded" words
95.45%:  think Michael Chabon should take out the "retarded" story
94.74%:  think Michael Chabon should take out the "retarded" with
66.04%:  think Michael Chabon should take out the "retarded story" he
59.87%:  think Michael Chabon should take out the "retarded words
55.01%:  think Michael Chabon would say that he likes to
54.95%:  think Michael Chabon should write the real author
54.92%:  think Michael Chabon's really
54.80%:  think Michael Chabon should read the whole story, take
54.79%:  think Michael Chabon would say there
54.72%:  think Michael Chabon should write the real story, that
54.61%:  think Michael Chabon should read the story he wrote to
54.27%:  think Michael Chabon should read the story, take
54.15%:  think Michael Chabon should read it real
54.12%:  think Michael Chabon is the author that would
54.03%:  think Michael Chabon is totally sweet
54.02%:  think Michael Chabon should use the word "retarded" a lot, it
53.97%:  think Michael Chabon should take his ret
53.90%:  think Michael Chabon should write a letter to your
53.87%:  think Michael Chabon stole the
76.03%:  think Michael Chabon stole the idea
74.09%:  think Michael Chabon stole the story
53.84%:  think Michael Chabon should use the word "retarded" a li
53.83%:  think Michael Chabon should use the word "retarded" like that, yo
53.55%:  think Michael Chabon is the worst author you
53.48%:  think Michael Chabon should take out the word "retarded" so it
53.43%:  think Michael Chabon should throw out
60.88%:  think Michael Chabon should throw out this
53.29%:  think Michael Chabon should write those
56.56%:  think Michael Chabon should write those ret
53.02%:  think Michael Chabon should read that story like
53.02%:  think Michael Chabon should read that story while
53.01%:  think Michael Chabon should read this out
408.66%:  think Michael Chabon should read this out loud to
97.19%:  think Michael Chabon should read this out loud,
93.82%:  think Michael Chabon should read this out loud to the
52.87%:  think Michael Chabon has lost
52.73%:  think Michael Chabon should take out the "retarded" or
52.66%:  think Michael Chabon writes ret
52.59%:  think Michael Chabon should use the word "retarded" like, that
52.50%:  think Michael Chabon should say "retarded" like other
52.38%:  think Michael Chabon should write "retarded" so that he
52.14%:  think Michael Chabon should use the word "retarded" 
52.13%:  think Michael Chabon should write a true story.
52.04%:  think Michael Chabon should use the word "retarded" a l
51.91%:  think Michael Chabon should write the "
51.83%:  think Michael Chabon should write a story he
51.74%:  think Michael Chabon should do it
51.70%:  think Michael Chabon should take the story idea
51.45%:  think Michael Chabon should read the other story,
51.23%:  think Michael Chabon should work harder.
51.17%:  think Michael Chabon should look at the word
2265.99%:  think Michael Chabon should look at the word "retarded" the
316.47%:  think Michael Chabon should look at the word "retarded" this
274.92%:  think Michael Chabon should look at the word "retarded" used
221.62%:  think Michael Chabon should look at the word "retarded" he
570.06%:  think Michael Chabon should look at the word "retarded" he used
147.56%:  think Michael Chabon should look at the word "retarded" he'
87.64%:  think Michael Chabon should look at the word "retarded" he used.
86.77%:  think Michael Chabon should look at the word "retarded" he used,
51.09%:  think Michael Chabon should try to write as
51.06%:  think Michael Chabon should use the title
51.03%:  think Michael Chabon should read this out loud.
50.98%:  think Michael Chabon should write,
50.92%:  think Michael Chabon should say "retarded" like the
74.61%:  think Michael Chabon should say "retarded" like the other
50.76%:  think Michael Chabon should use the word "retarded" like, at
50.69%:  think Michael Chabon wrote the story that
50.69%:  think Michael Chabon liked
50.63%:  think Michael Chabon should write a story too
50.58%:  think Michael Chabon should write that story, dude.
50.50%:  think Michael Chabon stole this
50.49%:  think Michael Chabon should take out the "retarded" so
50.33%:  think Michael Chabon should read the story al
50.17%:  think Michael Chabon should read the title
50.16%:  think Michael Chabon should try harder to see
50.10%:  think Michael Chabon would like that story so
49.88%:  think Michael Chabon should write a story at
49.87%:  think Michael Chabon should read this tale
49.61%:  think Michael Chabon wrote it really
49.45%:  think Michael Chabon asked
52.67%:  think Michael Chabon asked the
49.42%:  think Michael Chabon stole the story idea
49.31%:  think Michael Chabon would like the story as
49.26%:  think Michael Chabon should realise that the word
49.17%:  think Michael Chabon should take out the word "retarded.
49.15%:  think Michael Chabon is the retarded author, you
61.62%:  think Michael Chabon is the retarded author, you should
49.02%:  think Michael Chabon should rewrite that story to
48.85%:  think Michael Chabon should use the word "retarded" today to
48.58%:  think Michael Chabon should read that story out
111.64%:  think Michael Chabon should read that story out loud,
48.54%:  think Michael Chabon should write the truth
48.41%:  think Michael Chabon should take these
48.32%:  think Michael Chabon should take out the word retarded, it
47.74%:  think Michael Chabon should take out the word "retarded" so the
47.74%:  think Michael Chabon should read the letter
47.61%:  think Michael Chabon would like to see that
98.68%:  think Michael Chabon would like to see that story
47.57%:  think Michael Chabon would say that he is
47.54%:  think Michael Chabon should sue
47.38%:  think Michael Chabon is the author that wrote "
47.37%:  think Michael Chabon is the worst author that
47.30%:  think Michael Chabon would rather talk
47.16%:  think Michael Chabon should release the
47.05%:  think Michael Chabon should read what he'
46.83%:  think Michael Chabon should write a story that re
46.72%:  think Michael Chabon should use the word "retarded" like you'
46.53%:  think Michael Chabon should write as
46.51%:  think Michael Chabon would say "this
46.50%:  think Michael Chabon should try to read
46.42%:  think Michael Chabon should see how ret
199.66%:  think Michael Chabon should see how retarded it
124.59%:  think Michael Chabon should see how retarded he
88.61%:  think Michael Chabon should see how retarded the
85.99%:  think Michael Chabon should see how retarded that
47.89%:  think Michael Chabon should see how retarded he'
46.42%:  think Michael Chabon should use the word "retarded".
46.27%:  think Michael Chabon should read the story out loud, write
46.05%:  think Michael Chabon should take out the word "retarded"s
45.96%:  think Michael Chabon should write the story he read
45.95%:  think Michael Chabon should look at the word "retarded" his
45.95%:  think Michael Chabon already
75.28%:  think Michael Chabon already wrote
84.82%:  think Michael Chabon already wrote this
71.26%:  think Michael Chabon already wrote his
51.09%:  think Michael Chabon already wrote the
46.90%:  think Michael Chabon already wrote his ret
45.61%:  think Michael Chabon should write that there
45.58%:  think Michael Chabon should wear
45.50%:  think Michael Chabon should take out the "retarded" sl
45.45%:  think Michael Chabon should do what he's told to
45.38%:  think Michael Chabon said "
65.98%:  think Michael Chabon said "ret
3747.65%:  think Michael Chabon said "retarded story
1234.04%:  think Michael Chabon said "retarded" there
507.51%:  think Michael Chabon said "retarded" there,
335.79%:  think Michael Chabon said "retarded" there.
182.17%:  think Michael Chabon said "retarded story" to
157.10%:  think Michael Chabon said "retarded story" out
157.94%:  think Michael Chabon said "retarded story" out loud,
102.22%:  think Michael Chabon said "retarded story" out loud.
101.92%:  think Michael Chabon said "retarded" to
98.72%:  think Michael Chabon said "retarded" here
50.20%:  think Michael Chabon said "retarded" out
116.44%:  think Michael Chabon said "retarded" out loud there
94.92%:  think Michael Chabon said "retarded" out loud,
82.61%:  think Michael Chabon said "retarded" out loud.
79.38%:  think Michael Chabon said "retarded" out loud there,
48.83%:  think Michael Chabon said "retarded" so
48.05%:  think Michael Chabon said "retarded" there, dude
47.02%:  think Michael Chabon said "retarded story" the
45.17%:  think Michael Chabon should take out the words "retarded" he
45.17%:  think Michael Chabon is the retarded story'
45.10%:  think Michael Chabon would say that it should
45.08%:  think Michael Chabon should read the story out loud, three
45.07%:  think Michael Chabon should try this
44.94%:  think Michael Chabon should take it easy.
44.92%:  think Michael Chabon should look outside
44.86%:  think Michael Chabon should take out the word retarded, h
44.76%:  think Michael Chabon should write letters to the
44.73%:  think Michael Chabon should rewrite the last three
44.69%:  think Michael Chabon is the retarded author who told
44.61%:  think Michael Chabon should read it too
44.60%:  think Michael Chabon should write er
44.56%:  think Michael Chabon should read the story, take it
44.51%:  think Michael Chabon should take what he
44.48%:  think Michael Chabon should use the word "retarded" a lit
44.46%:  think Michael Chabon should draw
44.45%:  think Michael Chabon should add this
44.21%:  think Michael Chabon would say that these
44.20%:  think Michael Chabon should take a shower.
44.13%:  think Michael Chabon likes what
44.12%:  think Michael Chabon wishes
44.10%:  think Michael Chabon would read
103.67%:  think Michael Chabon would read this
89.66%:  think Michael Chabon would read this story,
52.10%:  think Michael Chabon would read this story three
45.44%:  think Michael Chabon would read this story to
44.09%:  think Michael Chabon should read this too
43.88%:  think Michael Chabon should see the world the
43.88%:  think Michael Chabon should use the word "retarded" like you do, that
43.82%:  think Michael Chabon would say that is
43.70%:  think Michael Chabon should take out the "retarded story" while
43.50%:  think Michael Chabon's author
43.48%:  think Michael Chabon should write to the
75.37%:  think Michael Chabon should write to the author
43.47%:  think Michael Chabon should write that story too
43.39%:  think Michael Chabon would say there are
43.36%:  think Michael Chabon should hear what
43.26%:  think Michael Chabon has the
59.13%:  think Michael Chabon has the worst
43.19%:  think Michael Chabon should read the story out loud, where
43.16%:  think Michael Chabon would like to hear the story,
43.12%:  think Michael Chabon should write the real story to
43.08%:  think Michael Chabon would say it's retarded, dude
42.99%:  think Michael Chabon would say he
106.31%:  think Michael Chabon would say he liked
95.56%:  think Michael Chabon would say he likes
45.49%:  think Michael Chabon would say he liked the
42.96%:  think Michael Chabon is a dude
58.24%:  think Michael Chabon is a dude who should
42.92%:  think Michael Chabon should use the word "retarded" to the
42.91%:  think Michael Chabon should try harder with
42.59%:  think Michael Chabon should use the word "retarded" too.
42.54%:  think Michael Chabon would say that,
42.52%:  think Michael Chabon should take out the "retarded" story,
42.23%:  think Michael Chabon should see a
42.21%:  think Michael Chabon is the author,
42.16%:  think Michael Chabon should take out the "retarded story" he'
42.12%:  think Michael Chabon should write that story or
42.11%:  think Michael Chabon should use the word retarded, like
41.89%:  think Michael Chabon should say "retarded" out loud three
41.85%:  think Michael Chabon would say he likes the
41.84%:  think Michael Chabon's story had
41.68%:  think Michael Chabon wrote that last
41.61%:  think Michael Chabon should write the real story, dude
41.45%:  think Michael Chabon should see how retarded you
41.43%:  think Michael Chabon wrote this story real
41.43%:  think Michael Chabon wrote his
72.03%:  think Michael Chabon wrote his story
41.30%:  think Michael Chabon stole that
84.72%:  think Michael Chabon stole that story
41.22%:  think Michael Chabon should do what he's told, or
41.11%:  think Michael Chabon should read the letters
41.08%:  think Michael Chabon said "retarded" there to
41.05%:  think Michael Chabon is the author you
160.00%:  think Michael Chabon is the author you should
40.74%:  think Michael Chabon should throw his
40.69%:  think Michael Chabon should either take
40.67%:  think Michael Chabon should use the word "retarded" too,
40.67%:  think Michael Chabon would like the story too,
40.65%:  think Michael Chabon should stay the
40.62%:  think Michael Chabon is the retarded here
40.40%:  think Michael Chabon should write "retarded" a lot.
40.36%:  think Michael Chabon should star
40.23%:  think Michael Chabon should work harder,
40.17%:  think Michael Chabon should write "retarded" so that you
40.15%:  think Michael Chabon should write the other 
39.99%:  think Michael Chabon should read this to the
58.09%:  think Michael Chabon should read this to the world
39.94%:  think Michael Chabon should write the other story,
39.87%:  think Michael Chabon should try to read this
39.75%:  think Michael Chabon would like the story, author
39.51%:  think Michael Chabon should read this out loud at
50.96%:  think Michael Chabon should read this out loud at the
39.47%:  think Michael Chabon should read the ret
39.30%:  think Michael Chabon should read the words "
39.27%:  think Michael Chabon should author
39.23%:  think Michael Chabon should take the story to
67.19%:  think Michael Chabon should take the story to heart
39.20%:  think Michael Chabon should wait
39.15%:  think Michael Chabon is the retarded word
39.07%:  think Michael Chabon should either read the
287.47%:  think Michael Chabon should either read the story
56.89%:  think Michael Chabon should either read the story,
38.94%:  think Michael Chabon should write the story'
38.94%:  think Michael Chabon should see what he
38.79%:  think Michael Chabon should write the true
73.20%:  think Michael Chabon should write the true story,
38.79%:  think Michael Chabon should take out the word retarded, yes
38.78%:  think Michael Chabon would like to read a
49.42%:  think Michael Chabon would like to read a ret
38.71%:  think Michael Chabon would say that "
38.71%:  think Michael Chabon should use the word "retarded" like that out
38.52%:  think Michael Chabon should try harder to take
38.48%:  think Michael Chabon really wrote
56.82%:  think Michael Chabon really wrote that
38.44%:  think Michael Chabon stole the words
38.42%:  think Michael Chabon should use the word "retarded" like that, you'
38.40%:  think Michael Chabon would say that he'd
67.24%:  think Michael Chabon would say that he'd like
148.26%:  think Michael Chabon would say that he'd like to see
73.00%:  think Michael Chabon would say that he'd like to see the
38.29%:  think Michael Chabon should write that he stole
38.26%:  think Michael Chabon's a
50.29%:  think Michael Chabon's a little
57.70%:  think Michael Chabon's a little harsh
38.23%:  think Michael Chabon has really
38.20%:  think Michael Chabon would hate
55.87%:  think Michael Chabon would hate this
293.47%:  think Michael Chabon would hate this story.
265.12%:  think Michael Chabon would hate this story,
46.66%:  think Michael Chabon would hate this story too
38.20%:  think Michael Chabon should realise that you
38.12%:  think Michael Chabon should write our letters
38.09%:  think Michael Chabon wrote this story, dude
38.06%:  think Michael Chabon would like to hear that he
98.29%:  think Michael Chabon would like to hear that he's ret
38.00%:  think Michael Chabon said "retarded" story
37.96%:  think Michael Chabon should do a
57.79%:  think Michael Chabon should do a story
411.50%:  think Michael Chabon should do a story where the
399.53%:  think Michael Chabon should do a story where there
165.58%:  think Michael Chabon should do a story where the title
147.69%:  think Michael Chabon should do a story where a
126.35%:  think Michael Chabon should do a story where he
113.87%:  think Michael Chabon should do a story where a dude
45.33%:  think Michael Chabon should do a story where the dude
37.95%:  think Michael Chabon should take this letter to
37.95%:  think Michael Chabon is a dude who totally
37.93%:  think Michael Chabon should say "retarded" with the
37.88%:  think Michael Chabon should write "retarded" too
37.86%:  think Michael Chabon said "retarded" here,
37.80%:  think Michael Chabon should write a real story, the
37.76%:  think Michael Chabon would take
37.63%:  think Michael Chabon should read it out loud to see
37.46%:  think Michael Chabon should try harder at his
37.42%:  think Michael Chabon should write that.
37.31%:  think Michael Chabon wrote the story.
37.19%:  think Michael Chabon should take the title
37.12%:  think Michael Chabon should use the word "retarded' to
37.07%:  think Michael Chabon is totally rad
36.97%:  think Michael Chabon should write the story, read
40.59%:  think Michael Chabon should write the story, read the
36.81%:  think Michael Chabon should write your letters to
36.77%:  think Michael Chabon said the
36.73%:  think Michael Chabon should try to steal
36.71%:  think Michael Chabon should take out the word retarded to
36.71%:  think Michael Chabon is the retarded author who stole
36.67%:  think Michael Chabon should read the story, write a
36.65%:  think Michael Chabon would say it's retarded too.
36.63%:  think Michael Chabon should take out the word '
36.57%:  think Michael Chabon would rather talk to his
36.57%:  think Michael Chabon should already
36.53%:  think Michael Chabon should write that story, h
36.45%:  think Michael Chabon should take it as
36.32%:  think Michael Chabon is the author you should talk
36.31%:  think Michael Chabon should write that,
36.27%:  think Michael Chabon should read that story out loud three
36.18%:  think Michael Chabon would rather read his
36.02%:  think Michael Chabon should read that story without
35.94%:  think Michael Chabon is the author here.
35.88%:  think Michael Chabon should use the word "retarded" that'
35.81%:  think Michael Chabon should write that story to
35.79%:  think Michael Chabon should take out the word "retarded" due
35.61%:  think Michael Chabon is the retarded author'
35.60%:  think Michael Chabon would hate this story the
35.49%:  think Michael Chabon should take out the "retarded"s.
35.40%:  think Michael Chabon should read the word
35.39%:  think Michael Chabon should write the real story, the
35.36%:  think Michael Chabon should write the story, dude
35.26%:  think Michael Chabon wrote a story that'
35.18%:  think Michael Chabon should hire a
35.17%:  think Michael Chabon should take out that
35.12%:  think Michael Chabon is already
35.09%:  think Michael Chabon would say that either
35.08%:  think Michael Chabon should use the word "retarded" a lot, the
35.08%:  think Michael Chabon should write that other story, dude
34.96%:  think Michael Chabon should take that with
34.94%:  think Michael Chabon wrote this letter
34.87%:  think Michael Chabon's story had too
34.87%:  think Michael Chabon is really the
123.20%:  think Michael Chabon is really the author
34.81%:  think Michael Chabon should take out the swear
34.73%:  think Michael Chabon should try harder to look at
34.70%:  think Michael Chabon wrote this already
34.68%:  think Michael Chabon likes the
58.80%:  think Michael Chabon likes the story,
43.14%:  think Michael Chabon likes the story.
34.67%:  think Michael Chabon should try harder to see that
34.64%:  think Michael Chabon should write the story he'd
34.60%:  think Michael Chabon should read a story where the title
34.56%:  think Michael Chabon should rewrite that story.
34.56%:  think Michael Chabon should use the word "retarded" a lot, h
34.54%:  think Michael Chabon should say "retarded" out loud with
34.52%:  think Michael Chabon's words
37.90%:  think Michael Chabon's words are ret
34.46%:  think Michael Chabon should write the author story
34.36%:  think Michael Chabon should read the other story.
34.36%:  think Michael Chabon should read the story out loud, with a
34.28%:  think Michael Chabon should write that the
37.73%:  think Michael Chabon should write that the story
34.27%:  think Michael Chabon should take the word
633.00%:  think Michael Chabon should take the word "retarded" out his
378.17%:  think Michael Chabon should take the word "retarded" to
321.89%:  think Michael Chabon should take the word "retarded" outside
303.54%:  think Michael Chabon should take the word "retarded" out,
288.60%:  think Michael Chabon should take the word "retarded" to his
268.46%:  think Michael Chabon should take the word "retarded" out.
153.39%:  think Michael Chabon should take the word "retarded" outside,
46.42%:  think Michael Chabon should take the word "retarded" the
34.34%:  think Michael Chabon should take the word "retarded out
34.25%:  think Michael Chabon should look at the word "retarded" they
34.17%:  think Michael Chabon is the retarded author, dude.
34.16%:  think Michael Chabon should take out his ret
34.15%:  think Michael Chabon would like to see the rest
34.15%:  think Michael Chabon has a lot
34.14%:  think Michael Chabon would like the story the
34.03%:  think Michael Chabon should read the story, take the
34.00%:  think Michael Chabon said "retarded" out loud there.
33.95%:  think Michael Chabon would say that it's "
37.46%:  think Michael Chabon would say that it's "ret
33.93%:  think Michael Chabon is really hot
33.90%:  think Michael Chabon should write the story too
33.90%:  think Michael Chabon should write out the story he
33.81%:  think Michael Chabon should take out the word retarded, the
33.78%:  think Michael Chabon should take out the words that
33.76%:  think Michael Chabon should take the whole
110.78%:  think Michael Chabon should take the whole story
33.70%:  think Michael Chabon should read our
90.95%:  think Michael Chabon should read our story,
58.56%:  think Michael Chabon should read our story.
38.84%:  think Michael Chabon should read our story to
33.69%:  think Michael Chabon should write a story, "
33.46%:  think Michael Chabon would like that story, dude.
33.46%:  think Michael Chabon should take out the words "retarded" to
33.43%:  think Michael Chabon should look outside the
33.42%:  think Michael Chabon is the real retarded dude
33.32%:  think Michael Chabon should take out the "retarded" you
33.30%:  think Michael Chabon would take issue
33.28%:  think Michael Chabon should lose the award
33.26%:  think Michael Chabon was the
87.61%:  think Michael Chabon was the author
33.25%:  think Michael Chabon should read this whole
33.23%:  think Michael Chabon should do a story with
33.07%:  think Michael Chabon should settle
33.05%:  think Michael Chabon would rather hear the
32.96%:  think Michael Chabon should read his ret
32.95%:  think Michael Chabon was really rude
32.89%:  think Michael Chabon wrote this story that
32.81%:  think Michael Chabon said "retarded" here.
32.81%:  think Michael Chabon should write a real ret
32.80%:  think Michael Chabon should take the word "retarded" out, you
32.74%:  think Michael Chabon should work harder at the
32.69%:  think Michael Chabon should read the story, write the
32.67%:  think Michael Chabon should rewrite the story the
32.51%:  think Michael Chabon should write that story he'
32.51%:  think Michael Chabon should read the story at
52.49%:  think Michael Chabon should read the story at the
32.50%:  think Michael Chabon should read the story to hear
32.42%:  think Michael Chabon wrote this story too
32.42%:  think Michael Chabon should write that he'
32.39%:  think Michael Chabon is so
32.37%:  think Michael Chabon should write a story related
44.01%:  think Michael Chabon should write a story related to the
32.31%:  think Michael Chabon should use the word "retarded" to take
32.29%:  think Michael Chabon should try harder to see what
32.26%:  think Michael Chabon is the author you asked
32.25%:  think Michael Chabon should write the story at
32.24%:  think Michael Chabon should look at the word "retarded" he is
32.21%:  think Michael Chabon wrote the ret
32.18%:  think Michael Chabon said "retarded" there so
32.17%:  think Michael Chabon is the author who's totally
32.14%:  think Michael Chabon should read it out loud three
32.10%:  think Michael Chabon would say that he should'
32.06%:  think Michael Chabon should look at the word "retarded" is
31.77%:  think Michael Chabon should start with the ret
31.76%:  think Michael Chabon should say "retarded" here
31.75%:  think Michael Chabon totally wrote the
31.72%:  think Michael Chabon should see that the
31.66%:  think Michael Chabon said "retarded story" too
31.65%:  think Michael Chabon should let authors
196.56%:  think Michael Chabon should let authors write
56.09%:  think Michael Chabon should let authors write the
31.58%:  think Michael Chabon's work
45.40%:  think Michael Chabon's work is really
33.71%:  think Michael Chabon's work should
31.58%:  think Michael Chabon should try harder to like what
31.55%:  think Michael Chabon still
31.53%:  think Michael Chabon should read it to see how retarded you
31.46%:  think Michael Chabon should read it out loud at
41.48%:  think Michael Chabon should read it out loud at the
31.40%:  think Michael Chabon should take this ret
31.36%:  think Michael Chabon should read this real
31.29%:  think Michael Chabon is the author who does
31.28%:  think Michael Chabon would like the ret
2400.13%:  think Michael Chabon would like the retarded story,
2145.51%:  think Michael Chabon would like the retarded story.
472.12%:  think Michael Chabon would like the retarded story, dude
451.34%:  think Michael Chabon would like the retarded story too
394.67%:  think Michael Chabon would like the retarded story the
292.90%:  think Michael Chabon would like the retarded story that
171.45%:  think Michael Chabon would like the retarded story a
159.02%:  think Michael Chabon would like the retarded story so
142.08%:  think Michael Chabon would like the retarded story as
130.32%:  think Michael Chabon would like the retarded story too,
123.68%:  think Michael Chabon would like the retarded story, dude.
91.55%:  think Michael Chabon would like the retarded story, that
76.41%:  think Michael Chabon would like the retarded story, so
72.78%:  think Michael Chabon would like the retarded story too.
69.90%:  think Michael Chabon would like the retarded story, as
69.84%:  think Michael Chabon would like the retarded story, the
65.52%:  think Michael Chabon would like the retarded story he
44.37%:  think Michael Chabon would like the retarded story, too
42.11%:  think Michael Chabon would like the retarded story, as he
42.00%:  think Michael Chabon would like the retarded story, so that
38.34%:  think Michael Chabon would like the retarded story to
35.39%:  think Michael Chabon would like the retarded story, to
31.25%:  think Michael Chabon should use that title
31.16%:  think Michael Chabon would like the retarded story that he
31.10%:  think Michael Chabon would like to hear that,
31.09%:  think Michael Chabon should read the story he wrote, dude
31.09%:  think Michael Chabon wishes he had
31.06%:  think Michael Chabon should write the story a
31.02%:  think Michael Chabon should throw out the
30.98%:  think Michael Chabon should write tales
30.96%:  think Michael Chabon should add this to
36.96%:  think Michael Chabon should add this to the
30.95%:  think Michael Chabon would like the retarded story too, dude
30.94%:  think Michael Chabon should use the word "retarded" like that, y
30.92%:  think Michael Chabon would take that
30.91%:  think Michael Chabon should take out that word
30.89%:  think Michael Chabon should write a true story that'
30.85%:  think Michael Chabon should take a shower,
30.78%:  think Michael Chabon should write a story that'd
30.77%:  think Michael Chabon would like the story, so
47.72%:  think Michael Chabon would like the story, so there
30.70%:  think Michael Chabon would like to see a
62.10%:  think Michael Chabon would like to see a story
38.20%:  think Michael Chabon would like to see a story that
30.70%:  think Michael Chabon would say "that
30.69%:  think Michael Chabon would rather read it
30.66%:  think Michael Chabon should read that story out loud with
30.63%:  think Michael Chabon should write "retarded" so they
30.63%:  think Michael Chabon is totally the author who
30.62%:  think Michael Chabon should write the story real
30.54%:  think Michael Chabon would say that's rude
30.50%:  think Michael Chabon should read that story out loud.
30.49%:  think Michael Chabon should read it to the
30.48%:  think Michael Chabon should read the whole story, out
30.46%:  think Michael Chabon should rewrite the story he
30.38%:  think Michael Chabon is too
49.33%:  think Michael Chabon is too harsh
30.32%:  think Michael Chabon should eat this
30.32%:  think Michael Chabon should say "retarded" there
30.30%:  think Michael Chabon should try to see
254.33%:  think Michael Chabon should try to see the world
45.98%:  think Michael Chabon should try to see the world the
30.27%:  think Michael Chabon should let the
40.72%:  think Michael Chabon should let the reader
30.18%:  think Michael Chabon should write retarded adult
30.18%:  think Michael Chabon should study
30.14%:  think Michael Chabon should take the words "retarded" out,
30.13%:  think Michael Chabon should sit
30.13%:  think Michael Chabon should take out the word "retarded" they
30.12%:  think Michael Chabon should take out the word "retarded" it
30.07%:  think Michael Chabon should read it so
30.04%:  think Michael Chabon is the worst author there'
29.94%:  think Michael Chabon should see that it
29.93%:  think Michael Chabon should look at the other
77.20%:  think Michael Chabon should look at the other side
29.87%:  think Michael Chabon should read the story, look
29.86%:  think Michael Chabon already did
29.79%:  think Michael Chabon should try harder to see how
29.74%:  think Michael Chabon should take the author
29.72%:  think Michael Chabon should try out
29.64%:  think Michael Chabon should use that word
29.63%:  think Michael Chabon would like to hear the story.
29.62%:  think Michael Chabon is the retarded author who'
29.59%:  think Michael Chabon should write a story that there
29.57%:  think Michael Chabon should do what he's told or
29.54%:  think Michael Chabon said the story
29.52%:  think Michael Chabon should take the easy
76.87%:  think Michael Chabon should take the easy route
29.43%:  think Michael Chabon should write the letter to
29.42%:  think Michael Chabon should also read
29.40%:  think Michael Chabon should read this out loud three
29.39%:  think Michael Chabon should use the word retarded like,
29.37%:  think Michael Chabon would take this
40.86%:  think Michael Chabon would take this story to
37.90%:  think Michael Chabon would take this story to heart
36.85%:  think Michael Chabon would take this story,
29.36%:  think Michael Chabon should look at the word ret
136.46%:  think Michael Chabon should look at the word retarded,
120.05%:  think Michael Chabon should look at the word retarded.
29.36%:  think Michael Chabon would like to read the story he
29.35%:  think Michael Chabon should try hard
74.73%:  think Michael Chabon should try hard to write
29.35%:  think Michael Chabon should see how retarded they
29.32%:  think Michael Chabon should hear the
69.21%:  think Michael Chabon should hear the story
32.39%:  think Michael Chabon should hear the words
45.72%:  think Michael Chabon should hear the words "ret
32.27%:  think Michael Chabon should hear the word
29.30%:  think Michael Chabon should take the story he
93.30%:  think Michael Chabon should take the story he wrote
29.23%:  think Michael Chabon said "retarded story" well
29.09%:  think Michael Chabon should write at
345.73%:  think Michael Chabon should write at least three
63.77%:  think Michael Chabon should write at least 
29.05%:  think Michael Chabon should try ret
29.05%:  think Michael Chabon should let the readers
29.03%:  think Michael Chabon should lose the word
982.32%:  think Michael Chabon should lose the word "retarded" out
314.96%:  think Michael Chabon should lose the word "retarded" to
71.64%:  think Michael Chabon should lose the word "retarded" to the
60.66%:  think Michael Chabon should lose the word "retarded" at
60.46%:  think Michael Chabon should lose the word "retarded" okay
33.63%:  think Michael Chabon should lose the word "retarded" that
29.03%:  think Michael Chabon should either read the story out
157.92%:  think Michael Chabon should either read the story out loud,
29.02%:  think Michael Chabon should write a story a lot
