a death spasm that infects the galaxy.
      0 100.00%: 
      1 145.66%:  a
   4308 0.07%:  nailed
   4309 0.07%:  a peace sign that
   4310 0.07%:  the signal that says the exact
   4311 0.07%:  the last that this
   4312 0.07%:  the last message that fin
   4313 0.07%:  a leaf
   4314 0.07%:  filed
   4315 0.07%:  enc
   4316 0.07%:  a final message that sett
   4317 0.07%:  that at least they can
   4318 0.07%:  said that the less
   4319 0.07%:  metaphysics as
   4320 0.07%:  the thing that al
   4321 0.07%:  said that the text
   4322 0.07%:  a failed message.
   4323 0.07%:  the exact same thing salt
   4324 0.07%:  a lament.
   4325 0.07%:  damage
   4326 0.07%:  the last message that 
   4327 0.07%:  a destiny that seems
   4328 0.07%:  a help that says
   4329 0.07%:  a simpl
   4330 0.07%:  a death that can
   4331 0.07%:  as if each planet gets
   4332 0.07%:  the last thing the fat
   4333 0.07%:  the last image se
   4334 0.07%:  the de
   4335 0.07%:  said that the galaxy seems
   4336 0.07%:  a cassette tape that f
   4337 0.07%:  a place saying that death
   4338 0.07%:  the death spice that
   4339 0.07%:  as if a last
   4340 0.07%:  the last thing a sad
   4341 0.07%:  a planet that ate its dess
   4342 0.07%:  a cassette played
   4343 0.10%:  a cassette played at
   4344 0.08%:  a cassette played in
   4345 0.07%:  seems that
   4346 0.07%:  a e
   4347 0.07%:  a pathet
   4348 0.07%:  the last sight that
   4349 0.07%:  a legend that says if
   4350 0.07%:  a cassette tape my
   4351 0.07%:  a fatal disease that the
   4352 0.07%:  the planet that has a
   4353 0.07%:  a planet that hitches
   4354 0.07%:  inf
   4355 0.07%:  that the planet is the
   4356 0.07%:  the last s
   4357 0.08%:  the last sane
   4358 0.07%:  the last sane act
   4359 0.07%:  a genetic
   4360 0.07%:  a plea that dies
   4361 0.07%:  a last attempt at dance
   4362 0.07%:  a sign that says the exact
   4363 0.07%:  the giant
   4364 0.07%:  a planet that has d
   4365 0.06%:  sad that the next
   4366 0.06%:  a planet that de
   4367 0.06%:  a message that sc
   4368 0.06%:  the last dance at the ap
   4369 0.06%:  a planet that has shed
   4370 0.06%:  a lament that if
   4371 0.06%:  the last thing that sm
   4372 0.06%:  at least that.
   4373 0.06%:  the last extant image
   4374 0.06%:  the last that time
   4375 0.06%:  the last time they had
   4376 0.06%:  the last thing sp
   4377 0.06%:  magic that
   4378 0.06%:  the last date they
   4379 0.06%:  in the last message a
   4380 0.06%:  said the galaxy has a
   4381 0.06%:  the dates
   4382 0.06%:  a lament that says the
   4383 0.06%:  a shame that the next
   4384 0.06%:  the idea that an
   4385 0.06%:  a failed attempt at ext
   4386 0.06%:  a message at the last
   4387 0.06%:  a message that e
   4388 0.06%:  as distant as that
   4389 0.06%:  a lament that sp
   4390 0.06%:  a planet that gets the sad
   4391 0.06%:  sad th
   4392 0.06%:  the last they had
   4393 0.06%:  a planet that casts aside the
   4394 0.06%:  a fatal disease that acts
   4395 0.06%:  the day the al
   4396 0.06%:  the exact same thing as sh
   4397 0.06%:  the last that say
   4398 0.08%:  the last that sayeth
   4399 0.06%:  the last dying sh
   4400 0.06%:  the last day.
   4401 0.06%:  a needy
   4402 0.06%:  the last cassette and
   4403 0.06%:  in a sealed caps
   4404 0.06%:  last night
   4405 0.06%:  the last time the hands
   4406 0.06%:  the last thing a cat
   4407 0.06%:  a planet that says its fate
   4408 0.06%:  a system that can
   4409 0.06%:  a last attempt at san
   4410 0.06%:  a message and a plea that
   4411 0.06%:  the exact same as that thing
   4412 0.06%:  a plant that has
   4413 0.06%:  a cassette tape that isn
   4414 0.06%:  that piece
   4415 0.06%:  a planet that im
   4416 0.06%:  a date that lasts inf
   4417 0.06%:  the same text in
   4418 0.06%:  a heads
   4419 0.06%:  despite
   4420 0.15%:  despite the
   4421 0.06%:  the last it can say as
   4422 0.06%:  a salt
   4423 0.06%:  systematic
   4424 0.06%:  this planet that c
   4425 0.06%:  sad at
   4426 0.06%:  the paint
   4427 0.06%:  a planet that has sat
   4428 0.06%:  fine th
   4429 0.06%:  as they
   4430 0.06%:  the day the sing
   4431 0.06%:  this c
   4432 0.33%:  this cassette that
   4433 0.15%:  this cassette tape and
   4434 0.08%:  this cassette tape.
   4435 0.07%:  this cassette tape my
   4436 0.06%:  a sign that says the place
   4437 0.06%:  the same thing at least
   4438 0.06%:  the exact same thing as has
   4439 0.06%:  in the same galaxy that passed
   4440 0.06%:  the same as in the past
   4441 0.06%:  a pale im
   4442 0.06%:  shit
   4443 0.07%:  shit that
   4444 0.06%:  the last ditch at
   4445 0.06%:  the date that sp
   4446 0.10%:  the date that spans galaxies
   4447 0.15%:  the date that spans galaxies.
   4448 0.06%:  the date that al
   4449 0.06%:  a selfish act that ends
   4450 0.06%:  pitchless
   4451 0.06%:  a planet that ad
   4452 0.06%:  the last dance that it
   4453 0.06%:  that last and it
   4454 0.06%:  a plea that gets d
   4455 0.06%:  the date that sets
   4456 0.06%:  late at night the day the
   4457 0.06%:  the ines
   4458 0.06%:  necessity made
   4459 0.06%:  a planet that fished
   4460 0.06%:  the mad
   4461 0.10%:  the madness that
   4462 0.06%:  in case the same
   4463 0.06%:  as high
   4464 0.06%:  as tim
   4465 0.64%:  as timeless and
   4466 0.06%:  as timeless a
   4467 0.06%:  sealed against
   4468 0.06%:  the deal
   4469 0.06%:  pants
   4470 0.06%:  a testament that has
   4471 0.07%:  a testament that has failed
   4472 0.06%:  a last ditch message that fate
   4473 0.06%:  a last ditch message that next
   4474 0.06%:  a mass panic that last
   4475 0.06%:  that please
   4476 0.06%:  the th
   4477 0.06%:  a plea that death may
   4478 0.06%:  failed the
   4479 0.06%:  the last thing taped
   4480 0.06%:  eaten itself
   4481 0.06%:  a planet that has the mis
   4482 0.06%:  feeling
   4483 0.11%:  feeling the
   4484 0.06%:  the last time that as
   4485 0.06%:  destiny that these
   4486 0.06%:  the last act man
   4487 0.06%:  names
   4488 0.06%:  a planet that ate its head
   4489 0.06%:  a planet that ce
   4490 0.13%:  a planet that ceased
   4491 0.06%:  pleasant
   4492 0.06%:  a planet that that has
   4493 0.06%:  a planet that had the mis
   4494 0.06%:  a fatal disease that gets c
   4495 0.06%:  a planet that ate each
   4496 0.06%:  a plea against the fate
   4497 0.06%:  the dance that the
   4498 0.06%:  a planet that hides the
   4499 0.06%:  a math
   4500 0.06%:  a cassette tape thing
   4501 0.06%:  a last gasp manifest
   4502 0.06%:  a speech
   4503 0.17%:  a speechless
   4504 0.06%:  a system that fails.
   4505 0.06%:  that seemingly
   4506 0.06%:  a species that d
   4507 0.06%:  the last dance as time
   4508 0.06%:  a signal that say
   4509 0.06%:  a plea that that
   4510 0.06%:  metadata
   4511 0.06%:  the saf
   4512 0.80%:  the safest place
   4513 0.62%:  the safest thing
   4514 0.10%:  the safest space
   4515 0.10%:  the safest thing that
   4516 0.06%:  a last gasp at the fantastic
   4517 0.06%:  a tape that ends
   4518 0.06%:  the last thing the me
   4519 0.06%:  half the
   4520 0.06%:  that and the fact this
   4521 0.06%:  st
   4522 0.16%:  stamped
   4523 0.06%:  a planet that tastes each
   4524 0.06%:  the patent
   4525 0.06%:  the last thing the spac
   4526 0.06%:  sad that it gets
   4527 0.06%:  the last thing the pet
   4528 0.06%:  a plea that sends the
   4529 0.06%:  setting
   4530 0.11%:  setting the
   4531 0.06%:  madness that the galaxy
   4532 0.08%:  madness that the galaxy is
   4533 0.06%:  the last time that change
   4534 0.06%:  an ideal
   4535 0.06%:  the cassette my
   4536 0.06%:  as if death came
   4537 0.06%:  said that each galaxy that
   4538 0.06%:  an expected
   4539 0.06%:  a lament that states
   4540 0.06%:  a final c
   4541 0.06%:  the last thing say
   4542 0.06%:  sad that the message can
   4543 0.06%:  the same idea as a last
   4544 0.06%:  said that the galaxy sp
   4545 0.12%:  said that the galaxy spans
   4546 0.06%:  a plane that has
   4547 0.06%:  the day the planet sh
   4548 0.06%:  the smile
   4549 0.06%:  a semi
   4550 0.06%:  that place
   4551 0.06%:  an message
   4552 0.06%:  said that many al
   4553 0.06%:  silence as
   4554 0.06%:  the last extant spec
   4555 0.06%:  an estimated
   4556 0.06%:  a simple dance that says
   4557 0.06%:  as if that planet had
   4558 0.06%:  placement is
   4559 0.06%:  expecting a
   4560 0.06%:  the planet that says the
   4561 0.06%:  the necessity
   4562 0.06%:  as pathetic and self
   4563 0.06%:  the last step that
   4564 0.06%:  managed
   4565 0.06%:  the final empathy
   4566 0.06%:  the feeling that a
   4567 0.06%:  the signal that sp
   4568 0.06%:  need
   4569 0.15%:  needless
   4570 0.15%:  needless.
   4571 0.06%:  please send
   4572 0.06%:  the last time sp
   4573 0.06%:  the last sigh that
   4574 0.06%:  a date that means exactly
   4575 0.06%:  a lament as
   4576 0.06%:  a cassette that has a
   4577 0.06%:  this endless
   4578 0.06%:  a place that says this
   4579 0.06%:  said that the last sent
   4580 0.06%:  pain.
   4581 0.06%:  a calm
   4582 0.06%:  a message that in the past
   4583 0.06%:  a place that may
   4584 0.06%:  a saying that lasts a
   4585 0.06%:  a pan
   4586 0.06%:  a planet that sees it has
   4587 0.06%:  a cassette single.
   4588 0.06%:  a pledge that
   4589 0.06%:  exactly the same thing that a
   4590 0.06%:  destiny that the last gas
   4591 0.06%:  a statement that says if a
   4592 0.06%:  that late
   4593 0.06%:  the attempted
   4594 0.06%:  a sign that says the place that
   4595 0.07%:  a sign that says the place that made
   4596 0.06%:  the last message a tiny
   4597 0.06%:  the last date a man
   4598 0.06%:  pain that
   4599 0.06%:  a final message st
   4600 0.06%:  that tight
   4601 0.06%:  a death sigh.
   4602 0.06%:  an idea that came
   4603 0.06%:  the lightest and fastest
   4604 0.06%:  the same exact thing as last
   4605 0.06%:  a dance that seems
   4606 0.06%:  a planet that chased
   4607 0.06%:  the last act that ends
   4608 0.06%:  a message that h
   4609 0.06%:  the last thing the sad
   4610 0.06%:  an eleg
   4611 0.12%:  an elegiac death
   4612 0.06%:  the exact same as in
   4613 0.06%:  the exact same sh
   4614 0.06%:  the exact same signal a
   4615 0.06%:  in the last that
   4616 0.06%:  the last days that the
   4617 0.06%:  the last g
   4618 0.06%:  a death gasp that can
   4619 0.06%:  a planet that has aged its
   4620 0.06%:  taste that
   4621 0.06%:  a plea that says if
   4622 0.06%:  that dance
   4623 0.06%:  the same exact thing as that
   4624 0.06%:  the last thing the 
   4625 0.06%:  in the message that plays
   4626 0.06%:  the exact same thing as a last d
   4627 0.06%:  the cassette and
   4628 0.06%:  a st
   4629 0.06%:  a stap
   4630 0.09%:  a staple in
   4631 0.06%:  the detail
   4632 0.06%:  message that
   4633 0.06%:  at least a message
   4634 0.09%:  at least a message that
   4635 0.12%:  at least a message that can
   4636 0.06%:  a planet that sets
   4637 0.15%:  a planet that sets its
   4638 0.06%:  a deathless gift
   4639 0.06%:  a safety
   4640 0.06%:  a test message in
   4641 0.06%:  the flashing text
   4642 0.07%:  the flashing text at
   4643 0.06%:  the last thing spacef
   4644 0.06%:  a gas
   4645 0.06%:  a planet that had this message
   4646 0.06%:  the date that spans the
   4647 0.53%:  the date that spans the galaxy
   4648 0.06%:  the same thing as a last text
   4649 0.06%:  the same in that
   4650 0.06%:  the plastic
   4651 0.06%:  the last thing these 
   4652 0.06%:  a planet that has 
   4653 0.06%:  a tim
   4654 0.19%:  a timeless test
   4655 0.09%:  a timeless dance
   4656 0.11%:  a timeless dance that
   4657 0.06%:  says
   4658 0.06%:  the last act that a
   4659 0.14%:  the last act that a dying
   4660 0.06%:  a date that insp
   4661 0.06%:  the fatal
   4662 0.12%:  the fatalism
   4663 0.06%:  the fle
   4664 0.06%:  a final message that pays
   4665 0.06%:  said that the galaxy can
   4666 0.06%:  a final gasp at a
   4667 0.06%:  a final message that sayeth
   4668 0.06%:  a message in a fl
   4669 0.06%:  a last ditch att
   4670 0.06%:  a place that ends
   4671 0.06%:  the last thing the de
   4672 0.06%:  a message that is at
   4673 0.06%:  a timpan
   4674 0.06%:  this cassette tape at
   4675 0.06%:  the speed
   4676 0.06%:  the scent
   4677 0.06%:  nice that at least a
   4678 0.06%:  the gl
   4679 0.06%:  a cassette that simply
   4680 0.06%:  a planet that has ideas
   4681 0.06%:  seemed that
   4682 0.06%:  left in the space
   4683 0.06%:  the fact that any
   4684 0.06%:  the exact same last gas
   4685 0.06%:  a planet d
   4686 0.06%:  a place that needs its
   4687 0.06%:  exist
   4688 0.06%:  the same as any death
   4689 0.06%:  the last hit and
   4690 0.06%:  said that a planet has the
   4691 0.06%:  length
   4692 0.06%:  the epithet
   4693 0.06%:  a planet that is mass
   4694 0.06%:  painted the
   4695 0.06%:  a mand
   4696 0.08%:  a mandate that
   4697 0.07%:  a mandate that says
   4698 0.06%:  these types
   4699 0.06%:  a death spasm that changes
   4700 0.06%:  helping the
   4701 0.06%:  said that the planets say
   4702 0.06%:  a planet that a
   4703 0.06%:  a plea that in
   4704 0.13%:  a plea that in the face
   4705 0.06%:  exceed
   4706 0.08%:  exceeding
   4707 0.06%:  the last step in a mad
   4708 0.06%:  missed
   4709 0.06%:  height
   4710 0.06%:  as if a planet had
   4711 0.06%:  nice that at least the day
   4712 0.06%:  a cassette tape in that
   4713 0.06%:  the last spice
   4714 0.06%:  the last it says that
   4715 0.06%:  the day the light
   4716 0.06%:  the last that hits
   4717 0.06%:  less an
   4718 0.06%:  the last attempt an
   4719 0.06%:  a planet that has the f
   4720 0.06%:  that metal
   4721 0.06%:  the last time that space
   4722 0.06%:  a cassette tape that lands
   4723 0.06%:  a cassette tape lasting
   4724 0.06%:  as if the death
   4725 0.06%:  a message sent a
   4726 0.06%:  name
   4727 0.12%:  name is the
   4728 0.06%:  the last that may
   4729 0.06%:  nice that they at
   4730 0.82%:  nice that they at least had
   4731 0.19%:  nice that they at least had a
   4732 0.06%:  in the same class
   4733 0.06%:  at its
   4734 0.06%:  the exact same thing as 
   4735 0.06%:  sexy
   4736 0.33%:  sexy times
   4737 0.06%:  that and the space
   4738 0.06%:  the elephant that is
   4739 0.06%:  time the
   4740 0.06%:  the last thing that day
   4741 0.06%:  a last ditch yes
   4742 0.06%:  a statement that as
   4743 0.06%:  the last that says if
   4744 0.06%:  late in the tape
   4745 0.06%:  the thing that made a
   4746 0.06%:  a this
   4747 0.06%:  that selfish
   4748 0.06%:  a last message and
   4749 0.08%:  a last message and it
   4750 0.06%:  a planet that has death
   4751 0.07%:  a planet that has death as
   4752 0.06%:  this death
   4753 0.06%:  in the same galaxy as a
   4754 0.06%:  a plac
   4755 0.49%:  a placenta that
   4756 0.22%:  a placenta that says
   4757 0.06%:  as pathetic as the end
   4758 0.06%:  a gas.
   4759 0.06%:  a planet that had faith
   4760 0.06%:  a planet that hates it
   4761 0.06%:  needs
   4762 0.06%:  the anthem played
   4763 0.07%:  the anthem played as
   4764 0.06%:  a planet that made it easy
   4765 0.06%:  sad that the last time
   4766 0.06%:  the signal that has
   4767 0.06%:  these days
   4768 0.06%:  a date that has a
   4769 0.06%:  a less
   4770 0.06%:  the last dance my
   4771 0.06%:  said that the last speech
   4772 0.06%:  a cassette tape and that is
   4773 0.06%:  the last dance it gets
   4774 0.06%:  a cassette that dies
   4775 0.06%:  a final text message that has
   4776 0.06%:  at the end that
   4777 0.13%:  at the end that the
   4778 0.06%:  the planets that say this.
   4779 0.06%:  playing the
   4780 0.06%:  a message that pleas that
   4781 0.06%:  as if the next
   4782 0.06%:  as if the next day
   4783 0.07%:  as if the next day the
   4784 0.06%:  that and a last
   4785 0.06%:  a last ditch test
   4786 0.06%:  the last step in a sad
   4787 0.06%:  as if my
   4788 0.06%:  these that
   4789 0.06%:  a fatalism that can
   4790 0.06%:  the sn
   4791 0.06%:  the same as the last thing a d
   4792 0.06%:  signs
   4793 0.06%:  said that the planet c
   4794 0.06%:  a cat
   4795 0.06%:  a magnetic tape that lasted
   4796 0.06%:  the last time st
   4797 0.06%:  a last message that c
   4798 0.06%:  a timeless and
   4799 0.06%:  a planet that faces death this
   4800 0.06%:  a planet that gets missed
   4801 0.06%:  dying fast
   4802 0.06%:  my date
   4803 0.06%:  said that that the
   4804 0.06%:  said that that the message
   4805 0.06%:  high
   4806 0.09%:  high f
   4807 0.06%:  h
   4808 0.06%:  a cassette tape 
   4809 0.06%:  that last night at a
   4810 0.06%:  that last day that
   4811 0.06%:  an ad that
   4812 0.07%:  an ad that claims
   4813 0.06%:  a pleading face
   4814 0.06%:  the fact that help
   4815 0.13%:  the fact that help is
   4816 0.06%:  the fact that help isn
   4817 0.06%:  a sign that last
   4818 0.06%:  the last time a cat
   4819 0.06%:  the last that hasn
   4820 0.06%:  the type that means
   4821 0.06%:  the same planet as
   4822 0.06%:  mailed
   4823 0.06%:  teeth
   4824 0.06%:  a signal that seems
   4825 0.06%:  the last time the sad
   4826 0.06%:  seeds
   4827 0.06%:  deep.
   4828 0.06%:  half an
   4829 0.06%:  a planet that says the date
   4830 0.06%:  a message that has failed at
   4831 0.06%:  a planet that exists as
   4832 0.06%:  the thing that e
   4833 0.06%:  the type that gets an
   4834 0.06%:  pieces
   4835 0.06%:  a last gasp that extends
   4836 0.06%:  a last dance that gets
   4837 0.06%:  a pledge that if
   4838 0.06%:  a slight
   4839 0.06%:  a message that pleads.
   4840 0.06%:  said that the c
   4841 0.18%:  said that the casset
   4842 0.06%:  typed
   4843 0.06%:  aliens that say that
   4844 0.06%:  the last anthem that says
   4845 0.06%:  at least a message in
   4846 0.06%:  a message that that
   4847 0.06%:  the scheme
   4848 0.06%:  a message that cites
   4849 0.06%:  the last times that
   4850 0.06%:  a last ditch ass
   4851 0.06%:  a planet that has acted
   4852 0.06%:  the last thing the sap
   4853 0.06%:  the safest place that
   4854 0.06%:  the final message that ad
   4855 0.06%:  a plead
   4856 0.06%:  the last thing that adm
   4857 0.06%:  the last thing the seas
   4858 0.06%:  a species that left
   4859 0.06%:  the same last thing
   4860 0.06%:  a last attempt at saying a
   4861 0.06%:  the climax.
   4862 0.06%:  exactly 
   4863 0.06%:  a signal that has the
   4864 0.06%:  the plea that ends
   4865 0.06%:  steps
   4866 0.06%:  a message that can say the
   4867 0.06%:  said a planet that
   4868 0.06%:  the last thing that dec
   4869 0.06%:  said that at the planet
   4870 0.06%:  a change
   4871 0.06%:  a testament that says life
   4872 0.06%:  the last dance as a
   4873 0.06%:  the last time that agency
   4874 0.06%:  shitty and
   4875 0.06%:  ag
   4876 0.06%:  dialect
   4877 0.06%:  said that the tape has
   4878 0.06%:  in the same galaxy the
   4879 0.06%:  change the
   4880 0.06%:  as if the planet has attached
   4881 0.06%:  nice that they let
   4882 0.06%:  the fact that the idea
   4883 0.06%:  a masc
   4884 0.06%:  the shit
   4885 0.06%:  timeless and yet
   4886 0.06%:  the last time that sex
   4887 0.06%:  a message stained
   4888 0.06%:  a plea that the distant
   4889 0.06%:  the last dance that stays
   4890 0.06%:  a cassette single that my
   4891 0.06%:  the exact thing that passes
   4892 0.06%:  a last c
   4893 0.06%:  a safe
   4894 0.06%:  said that a space
   4895 0.06%:  a last sp
   4896 0.19%:  a last spasm
   4897 0.06%:  a plea that stays
   4898 0.05%:  a planet that says it has the
   4899 0.05%:  a date that stays
   4900 0.05%:  the cassette is
   4901 0.05%:  a pathetic yet
   4902 0.05%:  that necessity
   4903 0.05%:  expected a
   4904 0.05%:  as if the message can
   4905 0.05%:  the last that can say this
   4906 0.05%:  a planet that met death
   4907 0.05%:  a sad thing that the
   4908 0.05%:  the last time any date
   4909 0.06%:  the last time any date has
   4910 0.05%:  that and a space
   4911 0.05%:  the fight
   4912 0.05%:  a last message that the
   4913 0.05%:  the last in the space
   4914 0.05%:  a date that might last
   4915 0.05%:  a planet that hitched
   4916 0.05%:  a species that left a
   4917 0.05%:  the last time that sp
   4918 0.05%:  said that the cyl
   4919 0.05%:  a place that is
   4920 0.05%:  a deathless test
   4921 0.05%:  a fatal message in the
   4922 0.05%:  the last act that may
   4923 0.05%:  a cassette tape against
   4924 0.11%:  a cassette tape against a
   4925 0.05%:  inflected
   4926 0.05%:  that thing that feels sad
   4927 0.05%:  a message at least
   4928 0.05%:  a planet that sees that as
   4929 0.05%:  a selfish attempt at a
   4930 0.05%:  a place that had a
   4931 0.05%:  a planet that em
   4932 0.05%:  a distant galaxy that has
   4933 0.05%:  a plan that says
   4934 0.05%:  the dance that plays at
   4935 0.05%:  a last gasp that is
   4936 0.05%:  the dec
   4937 0.05%:  a planet that ties
   4938 0.05%:  plasma
   4939 0.05%:  the exact same signal that a
   4940 0.05%:  the fact that the signal
   4941 0.05%:  a defence
   4942 0.05%:  the thing the last
   4943 0.05%:  the clean
   4944 0.05%:  a machine that says
   4945 0.05%:  a lament that it
   4946 0.05%:  the last thing tasty
   4947 0.05%:  the cassette in that
   4948 0.05%:  that last dance at a
   4949 0.05%:  taped in
   4950 0.13%:  taped in the
   4951 0.05%:  the lam
   4952 0.79%:  the lamest thing
   4953 0.21%:  the lamest thing that
   4954 0.12%:  the lamest thing the
   4955 0.05%:  tight
   4956 0.05%:  sealed in the am
   4957 0.05%:  that fancy
   4958 0.05%:  said that the last scene
   4959 0.05%:  a cassette that hang
   4960 0.05%:  a shame that the date
   4961 0.05%:  nice that a last
   4962 0.05%:  l
   4963 0.10%:  lament
   4964 0.08%:  laced
   4965 0.05%:  the f
   4966 0.18%:  the fading
   4967 0.08%:  the fading last
   4968 0.06%:  the fain
   4969 0.08%:  the faintest gl
   4970 0.05%:  a cassette and it plays
   4971 0.05%:  a cassette tape laid
   4972 0.05%:  the last say that
   4973 0.05%:  a last gasp in defeat
   4974 0.05%:  manifest
   4975 0.12%:  manifestly
   4976 0.05%:  the payment
   4977 0.05%:  the same signal.
   4978 0.05%:  a message that a tiny
   4979 0.05%:  things that
   4980 0.05%:  a thing that seems
   4981 0.05%:  the last thing that fades as
   4982 0.05%:  my thesis
   4983 0.05%:  the same thing sc
   4984 0.05%:  a message that ends that
   4985 0.05%:  as if the planet gets a
   4986 0.05%:  the day that life
   4987 0.05%:  a final message stap
   4988 0.05%:  sealed in the py
   4989 0.05%:  a planet that dig
   4990 0.05%:  a tight
   4991 0.05%:  a message scaled
   4992 0.05%:  as if the last act
   4993 0.05%:  a pain that last
   4994 0.05%:  a page
   4995 0.05%:  a planet that sets the
   4996 0.05%:  pleasing
   4997 0.29%:  pleasing that the
   4998 0.05%:  a planet that is days
   4999 0.05%:  staying
   5000 0.05%:  a text message that plays
   5001 0.05%:  a magnetic tape that has
   5002 0.11%:  a magnetic tape that has lasted
   5003 0.05%:  a message that lies
   5004 0.05%:  that existence
   5005 0.05%:  false
   5006 0.05%:  the last dance at the mass
   5007 0.05%:  the idea that the galaxy as
   5008 0.05%:  the same plea as in
   5009 0.05%:  sinc
   5010 0.05%:  the same as the last din
   5011 0.05%:  a planet that sighs as the
   5012 0.05%:  said that that last
   5013 0.05%:  a planet that made a shitty
   5014 0.05%:  a sad planet that says that
   5015 0.05%:  a mass panic that the
   5016 0.05%:  a plea that if the
   5017 0.05%:  a last gasp at san
   5018 0.11%:  a last gasp at sanity that
   5019 0.08%:  a last gasp at sanity.
   5020 0.05%:  the sad last act
   5021 0.05%:  a gift that can
   5022 0.05%:  the flying
   5023 0.05%:  the ag
   5024 0.05%:  a pathetic tale
   5025 0.05%:  disse
   5026 0.05%:  pitched at half
   5027 0.05%:  a message and a plea.
   5028 0.05%:  made in
   5029 0.08%:  made in the shape
   5030 0.06%:  made in the last
   5031 0.05%:  the last the dying
   5032 0.05%:  a pathetic fantasy that seems
   5033 0.05%:  a feeling that has
   5034 0.07%:  a feeling that has passed
   5035 0.05%:  the same as the giant
   5036 0.05%:  a death spasm that is
   5037 0.05%:  a message that hits
   5038 0.11%:  a message that hits the
   5039 0.05%:  the last date an
   5040 0.05%:  a dying plea that the
   5041 0.05%:  the fact that the din
   5042 0.05%:  a planet that says it has made
   5043 0.15%:  a planet that says it has made the
   5044 0.05%:  exactly as sad as that.
   5045 0.05%:  the me
   5046 0.05%:  mess
   5047 0.05%:  a statement that says a
   5048 0.05%:  a planet at the gates
   5049 0.05%:  a flashing head
   5050 0.05%:  as if each planet that
   5051 0.05%:  madness that is
   5052 0.05%:  the last thing a desc
   5053 0.05%:  a species that gets
   5054 0.05%:  the cassette t
   5055 0.05%:  a matching
   5056 0.05%:  a planet that is as
   5057 0.05%:  the listen
   5058 0.05%:  late at night that my
   5059 0.05%:  as if the planet sh
   5060 0.05%:  the plea in
   5061 0.05%:  a plea that is dest
   5062 0.05%:  a place that says the
   5063 0.05%:  a flashing text
   5064 0.05%:  as if that last dance
   5065 0.05%:  the same signal a
   5066 0.05%:  that panic
   5067 0.05%:  shaping
   5068 0.05%:  a place that sees
   5069 0.14%:  a place that sees its
   5070 0.05%:  the date that says it
   5071 0.05%:  held in the safe
   5072 0.05%:  cheese
   5073 0.05%:  a last ditch gasp at a
   5074 0.05%:  a sealed
   5075 0.05%:  a final text that
   5076 0.05%:  the fact that any message
   5077 0.05%:  pathetic that the al
   5078 0.05%:  in the same case
   5079 0.05%:  lasted ten
   5080 0.05%:  the exact same last thing as
   5081 0.05%:  a planet that has at
   5082 0.05%:  a planet that said yes
   5083 0.05%:  a plea that they find
   5084 0.05%:  a failed attempt at sent
   5085 0.05%:  a candle that sp
   5086 0.05%:  a plea against the day
   5087 0.07%:  a plea against the day the
   5088 0.05%:  sad that the last gas
   5089 0.05%:  a place that says its name
   5090 0.05%:  a message a tiny
   5091 0.05%:  an attempt at esc
   5092 0.05%:  a cassette in a galaxy
   5093 0.07%:  a cassette in a galaxy that
   5094 0.05%:  implac
   5095 0.05%:  a mandate that the
   5096 0.29%:  a mandate that the galaxy
   5097 0.05%:  a mixed
   5098 0.05%:  the sense
   5099 0.14%:  the sense that if
   5100 0.05%:  a message that is attached
   5101 0.05%:  the last date my
   5102 0.05%:  a cassette that plays at
   5103 0.05%:  the last thing a s
   5104 0.05%:  the idea that as
   5105 0.05%:  a plea that instead
   5106 0.05%:  a last gasp in the same
   5107 0.05%:  a plea that isn
   5108 0.05%:  the same thing ap
   5109 0.05%:  the entity
   5110 0.05%:  a message that can safely
   5111 0.05%:  a planet that meets a
   5112 0.05%:  a last gasp at an idea
   5113 0.05%:  the last date that has any
   5114 0.05%:  the last in the system
   5115 0.05%:  a planet that has the dec
   5116 0.05%:  a sad tale
   5117 0.07%:  a sad tale.
   5118 0.05%:  a planet that had the fate
   5119 0.05%:  the last dance at the ship
   5120 0.05%:  a cassette tape laying at
   5121 0.05%:  destiny that the spaces
   5122 0.05%:  late at night at a
   5123 0.05%:  a date that lasts the
   5124 0.05%:  cheap and
   5125 0.05%:  a cassette that said
   5126 0.05%:  the date that spans the galaxy.
   5127 0.05%:  a last ditch that says
   5128 0.05%:  a sense that this
   5129 0.05%:  a title that can
   5130 0.05%:  the exact same as if a
   5131 0.05%:  the pathetic yet
   5132 0.05%:  the same thing that al
   5133 0.05%:  a planet that had a shitty
   5134 0.05%:  a death spasm against the fact
   5135 0.05%:  a sign that states
   5136 0.05%:  as pathetic as death gets
   5137 0.05%:  the exact same day as last night
   5138 0.05%:  a pathetic sense
   5139 0.05%:  a last gasp that finds the
   5140 0.05%:  the last time the nat
   5141 0.05%:  the message that a
   5142 0.05%:  a signal that says that at
   5143 0.05%:  a last attempt at ins
   5144 0.05%:  this scene
   5145 0.05%:  the last thing the map
   5146 0.14%:  the last thing the map says
   5147 0.05%:  a plea that finds
   5148 0.05%:  a last attempt at feeding
   5149 0.05%:  this landscape
   5150 0.05%:  said that the fastest man
   5151 0.05%:  the last time a date has
   5152 0.05%:  the last they can fit
   5153 0.05%:  a last sigh that ends
   5154 0.05%:  the last thing tasted
   5155 0.05%:  a message in that
   5156 0.05%:  a planet that has stayed
   5157 0.05%:  date
   5158 0.51%:  date night
   5159 0.05%:  im
   5160 0.05%:  sad that the line
   5161 0.05%:  said that the planets each
