now I'm certain of it. I am speaking of the ninja teen.
      0 100.00%: 
      1 87.82%:  that
   5313 0.31%:  that means I owe
   5314 0.31%:  I'm not aware that
   5315 0.31%:  that's it for me man
   5316 0.31%:  I'm writing it
   5317 0.31%:  I meant to paint it facing
   5318 0.31%:  it was from that point
   5319 0.31%:  I keep that fact from
   5320 0.31%:  now I'm not making
   5321 0.31%:  none of that means I can paint
   5322 0.36%:  none of that means I can paint now
   5323 0.31%:  I think for some
   5324 0.31%:  I can't see the
   5325 0.34%:  I can't see the point
   5326 0.31%:  that's got
   5327 0.31%:  I'm the same
   5328 0.48%:  I'm the same age
   5329 0.31%:  I'm not certain it went
   5330 0.31%:  it was not intent
   5331 0.31%:  I'm not certain if those
   5332 0.31%:  I think it's time we got me
   5333 0.31%:  somehow I'm certain it
   5334 0.31%:  I meant the cartoon.
   5335 0.31%:  that paint is
   5336 0.31%:  I think I'm wearing pants
   5337 0.31%:  that's coming to an
   5338 0.31%:  I think I screw
   5339 0.31%:  that means I paint
   5340 0.31%:  that comes after I
   5341 0.31%:  it was green
   5342 0.31%:  it remains
   5343 0.31%:  I want to paint more som
   5344 0.31%:  that means I'm an
   5345 0.31%:  I know that's not at
   5346 0.31%:  now I can't paint at
   5347 0.31%:  that I'm aware
   5348 0.31%:  I'm not taking the
   5349 0.31%:  now I'm certain that none of it makes
   5350 0.31%:  it's gonna take me another two
   5351 0.31%:  if that's not a warning to
   5352 0.30%:  that one's canon.
   5353 0.30%:  tonight
   5354 0.30%:  I know that most
   5355 0.30%:  we're on to
   5356 0.30%:  I'm not certain I want the
   5357 0.30%:  I think it's after
   5358 0.30%:  I know there's paint
   5359 0.30%:  no matter how I spin it I'm gonna
   5360 0.30%:  none of that makes me a painter
   5361 0.30%:  that one time I ate some
   5362 0.30%:  now that I mention it I'm 
   5363 0.30%:  I promise to take
   5364 0.30%:  there's no mention of a
   5365 0.30%:  there's no point in making new conf
   5366 0.30%:  none of that matters if we
   5367 0.30%:  I'm not gonna paint either
   5368 0.45%:  I'm not gonna paint either one
   5369 0.30%:  it took me 
   5370 0.30%:  that means we're coming
   5371 0.30%:  I'm gonna eat
   5372 0.60%:  I'm gonna eat this
   5373 0.97%:  I'm gonna eat this entire
   5374 0.89%:  I'm gonna eat this entire cake
   5375 0.35%:  I'm gonna eat this entire cookie
   5376 0.34%:  I'm gonna eat that
   5377 0.30%:  when I paint I
   5378 0.30%:  now it's time for the game
   5379 0.30%:  nothing is
   5380 0.30%:  I'm gonna keep that secret now if
   5381 0.30%:  it's not fair to make
   5382 0.30%:  I know that I'm not gonna
   5383 0.96%:  I know that I'm not gonna paint
   5384 0.30%:  I forgot to keep that
   5385 0.30%:  I'm gonna stop there in
   5386 0.30%:  none of that's gonna matter if
   5387 0.30%:  if that makes it
   5388 0.30%:  now I think it's time for ice
   5389 0.30%:  I'm keeping that secret too
   5390 0.30%:  it was a paint
   5391 0.30%:  there isn
   5392 0.30%:  in that respect I
   5393 0.30%:  it was a great time
   5394 0.30%:  I'm gonna mention it
   5395 0.30%:  there's no joke coming
   5396 0.30%:  I'm not certain the two
   5397 0.30%:  if there's one emotion
   5398 0.30%:  I meant to make
   5399 5.33%:  I meant to make that conf
   5400 0.40%:  I meant to make that a
   5401 0.85%:  I meant to make that a conf
   5402 0.30%:  it's gonna take another ten
   5403 0.30%:  if I were to change
   5404 0.30%:  that's ancient
   5405 0.30%:  I can't swear that it
   5406 0.30%:  I'm certain that if I paint
   5407 0.30%:  it's gonna come
   5408 0.30%:  I wanna go paint some
   5409 0.30%:  I know that after I
   5410 0.30%:  now I see
   5411 0.30%:  coming
   5412 0.30%:  I'm not the one wearing
   5413 0.30%:  if I keep this
   5414 0.30%:  that's it for me making conf
   5415 0.30%:  I'm not wearing pants in
   5416 0.36%:  I'm not wearing pants in the
   5417 0.31%:  I'm not wearing pants in that
   5418 0.30%:  I meant that to
   5419 0.30%:  I'm not certain that nin
   5420 0.74%:  I'm not certain that ninjas
   5421 0.30%:  I'm sitting in front of a white
   5422 0.30%:  I know it's not fair that I can
   5423 0.30%:  that wraps it
   5424 0.30%:  I meant to paint him against
   5425 0.30%:  I think I'm an awesome painter at
   5426 0.30%:  I'm keeping that fact a
   5427 0.30%:  now I'm right
   5428 0.30%:  I know it's time for me to hang it
   5429 0.30%:  I'm not certain I won
   5430 0.30%:  I got that first
   5431 0.30%:  that makes one.
   5432 0.30%:  I'm speaking met
   5433 0.30%:  I went to that
   5434 0.30%:  I'm not gonna stop there. I
   5435 0.30%:  not that I'm aware
   5436 0.30%:  that creates
   5437 0.30%:  now I can't get
   5438 0.42%:  now I can't get the
   5439 0.30%:  I know I'm the one sitting
   5440 0.30%:  I'm not speaking
   5441 0.38%:  I'm not speaking met
   5442 0.37%:  I'm not speaking from
   5443 0.30%:  that's not a recent
   5444 0.30%:  I can promise that if
   5445 0.30%:  that water
   5446 0.30%:  I'm not gonna show
   5447 0.30%:  it's not an
   5448 0.30%:  I can't stop either
   5449 0.30%:  I think it was in a
   5450 0.30%:  I'm gonna stop there. I
   5451 0.30%:  that one's not gonna make me
   5452 0.30%:  on that note I'm gonna see if I can write
   5453 0.30%:  I'm gonna keep that fact in
   5454 0.30%:  I think it's time to name
   5455 0.30%:  that means I can't write
   5456 0.30%:  one time I got
   5457 0.30%:  that was after one of
   5458 0.30%:  it was in the form of a joke
   5459 0.30%:  I'm certain of it now that I see
   5460 0.30%:  I'm not gonna mention the first
   5461 0.30%:  I'm not the person
   5462 0.30%:  now I can't imagine a
   5463 0.63%:  now I can't imagine a more
   5464 0.30%:  in that moment I knew I'
   5465 0.30%:  I'm not gonna make that easier on
   5466 0.30%:  I'm most certain that I knew
   5467 0.30%:  it's gonna take more than a few penc
   5468 0.30%:  I think I'm coming off
   5469 1.92%:  I think I'm coming off worse
   5470 1.61%:  I think I'm coming off worse in
   5471 0.30%:  I'm gonna keep that a secret in
   5472 0.30%:  there's no point in time I
   5473 0.30%:  that part was a joke
   5474 0.30%:  on that note I'm gonna take a swim
   5475 0.30%:  it's time for me to go paint in a
   5476 0.30%:  I think I want to paint more again.
   5477 0.30%:  there's no point comment
   5478 0.30%:  now I'm off to the art
   5479 0.30%:  it's one of the two
   5480 0.30%:  that makes a
   5481 0.98%:  that makes a certain
   5482 0.33%:  that makes a perfect
   5483 0.30%:  I think it's time for a cat nap.
   5484 0.30%:  there's no point in knowing I can
   5485 0.30%:  I can't forget to
   5486 1.93%:  I can't forget to mention I
   5487 4.63%:  I can't forget to mention I was
   5488 1.41%:  I can't forget to mention he
   5489 0.59%:  I can't forget to mention he was a
   5490 0.59%:  I can't forget to thank
   5491 0.50%:  I can't forget to mention his
   5492 0.37%:  I can't forget to mention his name
   5493 0.30%:  I know I'm not that great an
   5494 0.30%:  it was on that one
   5495 0.75%:  it was on that one piece
   5496 0.45%:  it was on that one time
   5497 0.30%:  I'm not gonna mention that I keep
   5498 0.30%:  I can't imagine where it
   5499 0.30%:  I'm gonna stop with
   5500 0.30%:  now I'm gonna paint the rest of it
   5501 0.30%:  I'm not certain I want to make
   5502 0.30%:  I'm making no
   5503 0.34%:  I'm making no effort
   5504 0.30%:  then I was ten again.
   5505 0.30%:  I'm not wrong
   5506 0.30%:  I am certain I
   5507 0.30%:  then I wrote a note
   5508 0.30%:  now I'm making this a
   5509 0.30%:  it makes me want to paint.
   5510 0.30%:  I'm not making this part
   5511 0.30%:  I think I meant to compare
   5512 0.29%:  I'm most certain that nin
   5513 0.29%:  I know that means I'm not a great
   5514 0.29%:  that sett
   5515 0.29%:  now I'm gonna paint a horse.
   5516 0.29%:  I can't forget to mention I was in
   5517 0.29%:  since there
   5518 0.29%:  I'm not gonna name the
   5519 0.29%:  I know this for a fact.
   5520 0.29%:  none of that was on
   5521 0.29%:  I sort of hope
   5522 0.29%:  that was one giant
   5523 0.29%:  I think it's time I go paint for
   5524 0.29%:  I know that's not paint
   5525 0.29%:  it's time for me to paint again on
   5526 0.29%:  it got
   5527 0.45%:  it got me into
   5528 0.29%:  I'm gonna write this on
   5529 0.29%:  I was one
   5530 0.29%:  I think if I was
   5531 0.29%:  I can promise nothing
   5532 0.29%:  I'm not the first to imagine
   5533 0.29%:  for that I am
   5534 0.29%:  I want to paint him again one
   5535 0.29%:  I'm not waiting
   5536 1.27%:  I'm not waiting for the
   5537 0.29%:  I spent more time on it than a
   5538 0.29%:  I spent more than ten
   5539 0.29%:  I think I can't paint at
   5540 0.29%:  it's time to go write
   5541 0.29%:  I'm now certain that I meant
   5542 0.29%:  I'm certain no
   5543 0.72%:  I'm certain no one wants
   5544 0.74%:  I'm certain no one wants to paint
   5545 0.52%:  I'm certain no one wants to imagine
   5546 0.30%:  I'm certain no one is
   5547 0.29%:  those aren
   5548 0.29%:  it was the nin
   5549 0.29%:  if that's not a crime
   5550 0.29%:  that one part was
   5551 0.29%:  I know it's not the one I meant.
   5552 0.29%:  there's at
   5553 0.29%:  I'm not a painter so that
   5554 0.29%:  we're past that
   5555 0.29%:  I'm certain that making
   5556 0.29%:  that was a joke I
   5557 0.29%:  none of that came
   5558 0.29%:  none of that is in
   5559 0.29%:  I know that's not an ego
   5560 0.29%:  that part was fiction
   5561 0.29%:  there was one time I got
   5562 0.29%:  I think now I'm gonna paint
   5563 0.29%:  I'm not making a
   5564 0.29%:  it's now time
   5565 1.99%:  it's now time for me to paint
   5566 2.40%:  it's now time for me to paint again
   5567 0.83%:  it's now time for me to change
   5568 0.80%:  it's now time for me to think
   5569 0.80%:  it's now time for me to paint again.
   5570 0.73%:  it's now time for me to get
   5571 0.68%:  it's now time for me to take
   5572 0.54%:  it's now time for me to face
   5573 0.43%:  it's now time for me to eat
   5574 0.42%:  it's now time for me to hang
   5575 0.39%:  it's now time for me to paint a
   5576 0.33%:  it's now time for the
   5577 0.33%:  it's now time for me to take a nap.
   5578 0.29%:  it's now time to
   5579 0.29%:  now it's not that
   5580 0.29%:  one time I threw paint
   5581 4.04%:  one time I threw paint at someone
   5582 0.42%:  one time I threw paint at someone'
   5583 0.42%:  one time I threw paint at someone in
   5584 0.35%:  one time I threw paint at someone.
   5585 0.29%:  on that note I promise I
   5586 0.29%:  I meant that in a non
   5587 0.29%:  that means I'm not a painter if
   5588 0.29%:  none of that means I won't make
   5589 0.29%:  I know I'm not a
   5590 9.74%:  I know I'm not a painter
   5591 2.09%:  I know I'm not a master
   5592 1.33%:  I know I'm not a painter.
   5593 0.55%:  I know I'm not a painter at
   5594 0.49%:  I know I'm not a great
   5595 0.31%:  I know I'm not a painter so
   5596 0.33%:  I know I'm not a painter so that
   5597 0.29%:  that makes me re
   5598 0.29%:  I'm not gonna mention the paint I
   5599 0.29%:  then it got worse.
   5600 0.29%:  he's wearing a neck
   5601 0.29%:  no I
   5602 1.42%:  no I'm not gonna
   5603 0.70%:  no I'm not ash
   5604 0.60%:  no I'm not gonna paint
   5605 0.39%:  no I'm not gonna take
   5606 1.25%:  no I'm not gonna take that
   5607 0.46%:  no I'm not gonna take this
   5608 0.37%:  no I'm not certain
   5609 0.85%:  no I'm not certain that
   5610 0.29%:  it's the one wearing a pink
   5611 0.29%:  I know the first one
   5612 0.29%:  now that it's in
   5613 0.42%:  now that it's in print I can
   5614 0.29%:  it's time for me to paint a nice
   5615 0.29%:  that's it from me.
   5616 0.29%:  I'm making a
   5617 0.29%:  if we
   5618 2.18%:  if we're honest
   5619 1.43%:  if we're keeping
   5620 0.63%:  if we're gonna
   5621 0.51%:  if we're keeping it
   5622 0.90%:  if we're keeping it honest
   5623 0.49%:  if we're keeping it honest I
   5624 0.47%:  if we're speaking
   5625 0.32%:  if we're honest I
   5626 0.29%:  the reason I'm making conf
   5627 0.29%:  I am aware of
   5628 0.67%:  I am aware of the fact
   5629 0.29%:  I'm not gonna mention either
   5630 0.29%:  it's time for me to own
   5631 0.29%:  that means I'm winning
   5632 0.29%:  I think I'm gonna own
   5633 0.29%:  I'm certain I know nothing of
   5634 0.29%:  we're at that point of
   5635 0.29%:  I got that from an enc
   5636 0.29%:  I'm the first one to paint a
   5637 0.29%:  that was meant for
   5638 0.29%:  that means we can'
   5639 0.29%:  that was from a
   5640 0.29%:  I forgot to ask him if
   5641 0.29%:  I'm asking
   5642 0.29%:  I'm not certain it was a met
   5643 0.29%:  it was on an orange
   5644 0.29%:  I'm an
   5645 0.29%:  I think I wrote it
   5646 0.29%:  it's the one written
   5647 0.29%:  I can't stop making the
   5648 0.29%:  none of that means I won't paint a
   5649 0.29%:  I'm not gonna mention when
   5650 0.32%:  I'm not gonna mention when I first
   5651 0.29%:  I think it's wearing
   5652 0.29%:  the more I paint
   5653 0.29%:  some of that'
   5654 0.29%:  the sooner
   5655 0.29%:  that means I'm not in
   5656 0.29%:  I think it's time to f
   5657 0.29%:  that means I cannot
   5658 1.52%:  that means I cannot paint
   5659 0.29%:  there's no time to paint
   5660 0.37%:  there's no time to paint again
   5661 0.34%:  there's no time to paint now
   5662 0.29%:  nothing makes
   5663 0.48%:  nothing makes me want
   5664 0.86%:  nothing makes me want to paint a
   5665 0.67%:  nothing makes me want to paint in
   5666 0.45%:  nothing makes me want to paint.
   5667 0.34%:  nothing makes me want to paint for
   5668 0.29%:  that's not canon.
   5669 0.29%:  not that I'm not
   5670 0.29%:  I know it's not coming
   5671 0.29%:  that was a moment of great
   5672 0.29%:  that was at a
   5673 0.29%:  it was on the front of a t
   5674 0.29%:  I see
   5675 1.45%:  I see nothing
   5676 0.55%:  I see where
   5677 0.29%:  I think I want to paint more again som
   5678 0.29%:  I think I forgot to name it
   5679 0.29%:  it's gonna take more than a mention
   5680 0.29%:  I imagine I
   5681 0.29%:  I'm gonna keep that secret now if it
   5682 0.29%:  that means I won't get
   5683 0.29%:  I'm certain I was making
   5684 0.36%:  I'm certain I was making that
   5685 0.29%:  now I'm certain that is
   5686 0.29%:  I'm aware it
   5687 0.33%:  I'm aware it makes
   5688 0.29%:  it's time for me to know
   5689 0.29%:  that one isn
   5690 0.43%:  that one isn't a
   5691 0.33%:  that one isn't canon
   5692 0.29%:  I'm not certain I think
   5693 0.29%:  I'm not certain that was one
   5694 0.29%:  I'm not certain if that pain
   5695 0.29%:  I'm not certain how often I paint
   5696 0.29%:  then I went on to create
   5697 0.29%:  now it's time to make another
   5698 0.29%:  that one isn't coming
   5699 0.29%:  I promise I won't mention it in an
   5700 0.29%:  it's not fair to mention
   5701 0.37%:  it's not fair to mention him
   5702 0.29%:  it's time for me to go teach
   5703 0.29%:  I'm certain that it was in
   5704 0.29%:  I forgot how I
   5705 0.29%:  I meant that conf
   5706 0.29%:  I'm certain that at
   5707 0.34%:  I'm certain that at some
   5708 0.29%:  we're past the conf
   5709 0.29%:  I think it was perfect
   5710 0.29%:  he's a
   5711 0.29%:  somehow I'm not certain I
   5712 0.29%:  I'm not certain I was the one making
   5713 0.28%:  none of that means I'm wrong.
   5714 0.28%:  that time I conf
   5715 0.28%:  I forgot his weapon
   5716 0.28%:  I was making that one
   5717 0.28%:  I keep meaning
   5718 2.64%:  I keep meaning to mention
   5719 4.71%:  I keep meaning to mention this
   5720 3.61%:  I keep meaning to mention that I
   5721 3.84%:  I keep meaning to mention that I was
   5722 2.91%:  I keep meaning to mention this to
   5723 1.33%:  I keep meaning to mention that one
   5724 1.13%:  I keep meaning to mention that.
   5725 1.12%:  I keep meaning to mention that in
   5726 1.41%:  I keep meaning to mention that in case
   5727 1.08%:  I keep meaning to mention it
   5728 0.89%:  I keep meaning to mention it to
   5729 0.79%:  I keep meaning to finish
   5730 0.79%:  I keep meaning to throw
   5731 0.70%:  I keep meaning to frame
   5732 1.15%:  I keep meaning to frame that
   5733 0.63%:  I keep meaning to throw it
   5734 0.56%:  I keep meaning to write
   5735 0.73%:  I keep meaning to write that
   5736 0.52%:  I keep meaning to mention that I was 
   5737 0.47%:  I keep meaning to write him a note
   5738 0.43%:  I keep meaning to finish it.
   5739 0.39%:  I keep meaning to mention that I can
   5740 0.37%:  I keep meaning to frame that one
   5741 0.35%:  I keep meaning to mention that I wasn
   5742 0.30%:  I keep meaning to mention that I was nine
   5743 0.28%:  if that means I'm not a painter now
   5744 0.28%:  now I'm making a scene
   5745 0.28%:  I think I want to go paint one
   5746 0.28%:  I meant it as a joke when
   5747 0.28%:  I'm not certain that none
   5748 0.28%:  I think it was after I'
   5749 0.28%:  I think I spent more time winning
   5750 0.28%:  I know for a fact that I'm 
   5751 0.28%:  I think I spent more of
   5752 0.28%:  there's no mention of it
   5753 0.28%:  I know the first time
   5754 0.28%:  I'm not working on
   5755 0.61%:  I'm not working on that
   5756 0.28%:  that's not a great an
   5757 0.28%:  I think I'm gonna paint a new one som
   5758 0.28%:  I'm not gonna make that into
   5759 0.28%:  I'm not certain who I am speaking
   5760 0.28%:  I can't promise I know
   5761 0.28%:  I can't promise I know the
   5762 0.28%:  it's not coming off that
   5763 0.28%:  I spent the entire time of
   5764 0.28%:  in that moment I was certain of
   5765 0.28%:  I know I'm not the painter
   5766 0.28%:  that means I'm wrong
   5767 0.28%:  I think I'm gonna write fiction
   5768 0.28%:  now I think it's time for a nap. I
   5769 0.28%:  now I'm certain that some
   5770 0.28%:  I'm not the artist I
   5771 0.31%:  I'm not the artist I once
   5772 0.28%:  it's time to take a
   5773 0.28%:  no I'm not wearing
   5774 0.38%:  no I'm not wearing pants
   5775 0.28%:  on that note it's off
   5776 0.28%:  someone'
   5777 0.28%:  I think I spent more time on eating
   5778 0.28%:  that's not iron
   5779 0.28%:  the sooner we
   5780 0.28%:  I think one reason
   5781 0.28%:  I hope I'm wrong
   5782 0.28%:  I won
   5783 0.89%:  I won't mention
   5784 1.74%:  I won't mention that
   5785 0.71%:  I won't stop
   5786 2.74%:  I won't stop there
   5787 0.61%:  I won't mention the
   5788 0.82%:  I won't mention the fact
   5789 0.51%:  I won't paint
   5790 2.89%:  I won't paint again for
   5791 2.32%:  I won't paint again for at
   5792 0.66%:  I won't paint another
   5793 0.55%:  I won't paint again.
   5794 0.53%:  I won't paint again either
   5795 0.51%:  I won't paint again for a
   5796 0.47%:  I won't paint again after
   5797 2.14%:  I won't paint again after this conf
   5798 0.57%:  I won't paint again after this.
   5799 0.39%:  I won't paint again for 
   5800 0.38%:  I won't confirm
   5801 0.38%:  I won't stop there.
   5802 0.37%:  I won't paint another one again
   5803 0.35%:  I won't confirm that
   5804 0.33%:  I won't promise
   5805 0.69%:  I won't promise that
   5806 0.30%:  I won't mention the time
   5807 0.28%:  I'm certain it was that
   5808 0.28%:  I think it's time we forgot
   5809 0.28%:  I think I'm not wrong
   5810 0.28%:  I think I'm gonna open
   5811 0.28%:  not the first
   5812 0.45%:  not the first time I'm
   5813 0.28%:  that cat is
   5814 0.28%:  that means I'm keeping
   5815 0.28%:  I'm not certain if I meant the one
   5816 0.28%:  he's in
   5817 0.28%:  that means I'm gonna paint one
   5818 0.28%:  I think it's time for me to win one
   5819 0.28%:  I meant to write the
   5820 0.28%:  it was not a great
   5821 0.28%:  I want this on
   5822 0.28%:  I know it's time to go paint
   5823 0.28%:  I forgot to paint them
   5824 0.28%:  there's no knowing
   5825 0.28%:  I'm not certain if that was me
   5826 0.28%:  I might want
   5827 1.36%:  I might want to paint
   5828 0.88%:  I might want to paint more
   5829 0.85%:  I might want to mention
   5830 0.57%:  I might want to paint some
   5831 0.48%:  I might want to keep
   5832 0.28%:  I was the painter
   5833 0.28%:  now I can't stop grin
   5834 0.28%:  I mean the
   5835 0.66%:  I mean the cart
   5836 6.03%:  I mean the cartoon one.
   5837 1.60%:  I mean the cartoon ones
   5838 0.63%:  I mean the cartoon.
   5839 0.35%:  I mean the cartoon not
   5840 0.33%:  I mean the cartoon ones.
   5841 0.28%:  that scene in
   5842 0.28%:  I'm gonna keep that first fact
   5843 0.28%:  there's not too
   5844 0.28%:  I know he can't see
   5845 0.29%:  I know he can't see me from
   5846 0.28%:  I'm certain that speaking
   5847 0.28%:  that's an image
   5848 0.28%:  the reason I paint in
   5849 0.28%:  it was in that moment of
   5850 0.28%:  now I'm gonna paint more
   5851 0.28%:  that's not an image
   5852 0.72%:  that's not an image I want
   5853 0.49%:  that's not an image I want in
   5854 0.28%:  that's not fake
   5855 0.28%:  I think I'm sitting
   5856 0.28%:  I know that no
   5857 1.67%:  I know that no matter
   5858 0.28%:  that's it for keeping
   5859 0.28%:  I think it's coming apart
   5860 0.28%:  that means I'm not certain I
   5861 0.28%:  now it's a
   5862 0.62%:  now it's a conf
   5863 0.28%:  now I'm gonna paint this
   5864 0.28%:  then I was a
   5865 0.28%:  I keep this
   5866 0.30%:  I keep this conf
   5867 0.28%:  I think I'm a grown
   5868 0.28%:  I'm now certain that someone
   5869 0.28%:  I'm aware that isn
   5870 0.28%:  I know it's not the entire
   5871 0.28%:  I think it's time I paint more
   5872 0.28%:  I'm gonna own
   5873 0.32%:  I'm gonna own that one
   5874 0.28%:  I know I'm not gonna paint this
   5875 0.28%:  I swear I'm not gonna make
   5876 0.54%:  I swear I'm not gonna make that
   5877 0.45%:  I swear I'm not gonna make that conf
   5878 0.28%:  I think I'm gonna paint it more often in
   5879 0.28%:  I'm not certain I meant the
   5880 0.28%:  that one time I was nine
   5881 0.28%:  after that came some
   5882 0.28%:  it's time to throw in
   5883 0.28%:  I think I can imagine
   5884 0.28%:  that makes me want to po
   5885 0.28%:  I meant to paint him wearing a nin
   5886 0.28%:  I can't seem
   5887 1.02%:  I can't seem to get
   5888 0.72%:  I can't seem to forget
   5889 0.55%:  I can't seem to get the
   5890 0.48%:  I can't seem to get it
   5891 0.40%:  I can't seem to forget the
   5892 0.39%:  I can't seem to imagine
   5893 0.37%:  I can't seem to forget it.
   5894 0.37%:  I can't seem to imagine what
   5895 0.36%:  I can't seem to paint
   5896 0.35%:  I can't seem to think
   5897 0.29%:  I can't seem to get either
   5898 0.28%:  I kept
   5899 0.28%:  I'm not the same painter
   5900 0.30%:  I'm not the same painter I once
   5901 0.28%:  after seeing
   5902 0.28%:  I got that from some
   5903 0.28%:  I know that secret
   5904 0.28%:  if there's an
   5905 0.28%:  one time I was
   5906 0.28%:  now I'm staring at the paint
   5907 0.28%:  it was meant to teach
   5908 0.28%:  that's it. I can
   5909 0.28%:  that's me after I paint
   5910 0.28%:  I know for a fact that it's an
   5911 0.28%:  I was gonna mention that one
   5912 0.79%:  I was gonna mention that one time
   5913 0.28%:  that one time I won
   5914 0.28%:  somehow I can
   5915 1.57%:  somehow I can't imagine
   5916 0.29%:  somehow I can't imagine a
   5917 0.28%:  I'm fine either
   5918 0.28%:  I'm wearing that
   5919 0.28%:  I keep that fact from most
   5920 0.28%:  that one's on me.
   5921 0.28%:  I'm the first one to come
   5922 0.28%:  I think it's time for an image
   5923 0.28%:  I think it was an orange
   5924 0.28%:  now it's time for me to eat again
   5925 0.28%:  I'm not certain that one of
   5926 0.28%:  it was part of the
   5927 0.28%:  I can't paint the
   5928 0.28%:  none of that is making me want to rep
   5929 0.28%:  I wrote a
   5930 0.28%:  there's no nin
   5931 0.28%:  I was eating a cookie at
   5932 11.56%:  I was eating a cookie at the time.
   5933 1.42%:  I was eating a cookie at the time I
   5934 0.53%:  I was eating a cookie at the time of
   5935 0.41%:  I was eating a cookie at the time. I
   5936 0.28%:  I know for a fact that I'm insane
   5937 0.28%:  I'm sitting in front of an open
   5938 0.28%:  I'm gonna keep that one secret in
   5939 0.28%:  if I were to choose
   5940 0.28%:  I forgot to name it
   5941 0.28%:  the reason I came
   5942 0.28%:  I know that's me
   5943 0.28%:  one of them is wearing
   5944 0.28%:  that's one more item
   5945 0.28%:  that is a fact I
   5946 0.28%:  now I'm off to change
   5947 0.28%:  I am not certain this
   5948 0.28%:  I think I'm not gonna answer
   5949 0.28%:  there's no point to me
   5950 0.28%:  now it's making perfect
   5951 0.28%:  I want to hear
   5952 0.28%:  I think it's time for me to go wine
   5953 0.28%:  that makes it perfect
   5954 0.28%:  it was a gift for the
   5955 0.28%:  now it's not a
   5956 0.28%:  I meant it in
   5957 1.98%:  I meant it in the most
   5958 0.29%:  I meant it in a
   5959 0.28%:  it is
   5960 0.28%:  it's gonna take me the
   5961 0.27%:  I was on the
   5962 0.27%:  I was gonna mention that part
   5963 0.27%:  I can't think of a worse moment
   5964 0.27%:  I'm not gonna mention it in
   5965 0.43%:  I'm not gonna mention it in the
   5966 0.32%:  I'm not gonna mention it in case
   5967 0.30%:  I'm not gonna mention it in case he
   5968 0.30%:  I'm not gonna mention it in case there
   5969 0.27%:  now I'm seeing
   5970 0.35%:  now I'm seeing the
   5971 0.27%:  neither one was intent
   5972 0.27%:  since he
   5973 0.27%:  now I'm making this entire conf
   5974 0.27%:  that means I'm certain it
   5975 0.27%:  I am now certain that it is
   5976 0.27%:  I knew that coming
   5977 1.22%:  I knew that coming into
   5978 0.61%:  I knew that coming into it
   5979 0.27%:  I promise I won't make that face in
   5980 0.27%:  I think I gotta stop now
   5981 0.27%:  I'm not certain if I meant this
   5982 0.27%:  I want to start
   5983 0.57%:  I want to start again
   5984 0.27%:  I think it's time I went from
   5985 0.27%:  none of that means I'm not perfect in
   5986 0.27%:  it's gonna take more than one ice
   5987 0.27%:  I can't stop.
   5988 0.27%:  now I'm not that certain
   5989 0.27%:  I think I'm gonna paint some water
   5990 0.27%:  I'm not gonna repeat this conf
   5991 0.27%:  I'm certain none of that was a joke.
   5992 0.27%:  that I'm not gonna
   5993 0.40%:  that I'm not gonna stop
   5994 0.27%:  it's time for me to get in
   5995 0.27%:  I know for a fact that I mean
   5996 0.27%:  that was on a
   5997 0.27%:  the reason I went to paint
   5998 0.27%:  that is not a point in
   5999 0.27%:  I think it's time to reg
   6000 0.27%:  it was on the frig
   6001 0.27%:  I'm writing these
   6002 0.27%:  I know there's no point at
   6003 0.27%:  not that I'm certain
   6004 0.27%:  now it's time to mention again
   6005 0.27%:  I got paint
   6006 0.27%:  I got this
   6007 0.30%:  I got this far
   6008 0.30%:  I got this from
   6009 0.27%:  the time
   6010 0.27%:  now I'm posting
   6011 0.27%:  now I'm gonna paint one
   6012 0.27%:  I am now certain that no
   6013 0.27%:  I meant it that
   6014 0.27%:  I'm not so certain what
   6015 0.27%:  now it's time to face the firing
   6016 0.27%:  I meant to write it
   6017 0.27%:  I know that means I'm not gonna paint
   6018 0.27%:  I think it's time to go.
   6019 0.27%:  I think it's time to for
   6020 0.27%:  that's gotta make
   6021 0.27%:  now I'm sitting here at
   6022 0.27%:  that's it for me now.
   6023 0.27%:  I promise I won't make that one
   6024 0.28%:  I promise I won't make that one again
   6025 0.27%:  I took the
   6026 0.27%:  I think I want a
   6027 0.27%:  that moment is
   6028 0.68%:  that moment is now
   6029 0.27%:  I forgot his name in
   6030 0.27%:  I think I'm an awesome painter once
   6031 0.27%:  that makes me not wanna
   6032 0.27%:  I am not certain if
   6033 0.69%:  I am not certain if that
   6034 0.96%:  I am not certain if that makes
   6035 0.40%:  I am not certain if that is
   6036 0.29%:  I am not certain if that was
   6037 0.27%:  the first time I went
   6038 0.27%:  I think I went to prison
   6039 0.27%:  I forgot it was a conf
   6040 0.27%:  I'm certain that is a
   6041 0.27%:  I want to paint it again if
   6042 0.27%:  I know it's not a crime
   6043 0.98%:  I know it's not a crime to paint
   6044 0.27%:  it's not fair that I can
   6045 0.27%:  it's gonna take another few
   6046 0.27%:  this time
   6047 0.27%:  I think I'm gonna mention it in
   6048 0.27%:  I'm not making it easier
   6049 0.27%:  we're not gonna make it to
   6050 0.27%:  it makes me want to paint one
   6051 0.27%:  now I think it's time for tea
   6052 0.27%:  there's no point in me acting
   6053 0.27%:  I'm gonna paint this one
   6054 0.27%:  I think I'm winning
   6055 0.27%:  I'm not a painter. I was making
   6056 0.27%:  I think we're gonna stop at
   6057 0.27%:  it's not making
   6058 0.27%:  I'm not that awesome at
