definitely possible to get a PhD in that, yes?
100.00%: 
38.08%:  definitely
0.01%:  late to be saying
0.01%:  the entity
0.01%:  politely
0.01%:  high intensity
0.01%:  the only sign left that
0.01%:  been a thing lately, so
0.01%:  not any
0.01%:  beside the point, she
0.01%:  said they
0.01%:  the less
0.01%:  in the title it says
0.01%:  this little boy, and he says
0.01%:  a feeling that both
0.01%:  that boy
0.01%:  the ideal
0.01%:  listing
0.01%:  gotten totally
0.01%:  a blessing to feel
0.01%:  a safety
0.01%:  definitely not the past, it
0.01%:  honestly the best feeling i
0.01%:  possible that she left to
0.01%:  at the end of this sign,
0.01%:  no big deal, she left
0.01%:  a lengthy title, so
0.01%:  the inside of the
0.01%:  best not to feed the
0.01%:  a little intense to be
0.01%:  this feeling that is in
0.01%:  been a good half
0.01%:  best not to spell
0.01%:  possible that this feeling and
0.01%:  so sad that it
0.01%:  a spelling bee and
0.01%:  at the top of his
0.02%:  at the top of his list
0.01%:  a lot to digest
0.01%:  based on the title of the
0.01%:  only a slight st
0.01%:  a little thing she does at
0.01%:  so silly to be
0.01%:  the best feeling and it is
0.01%:  an ins
0.01%:  a little boy and he is
0.01%:  this old feeling, yeah
0.01%:  a little big of
0.01%:  fine, this is a
0.02%:  fine, this is a thing
0.02%:  fine, this is a totally
0.01%:  on the table, to
0.01%:  only an
0.01%:  the best feeling and the
0.01%:  definitely not that, please
0.01%:  a thing that doesn
0.01%:  one of the titles listed
0.01%:  possibly sent
0.01%:  a title she goes by, not
0.01%:  at the end of this one
0.01%:  a little intense this
0.01%:  h
0.01%:  easily the best thing on
0.01%:  so tangible, and
0.04%:  so tangible, and yet so el
0.03%:  so tangible, and yet it
0.03%:  so tangible, and yet it feels
0.02%:  so tangible, and yet so ep
0.02%:  so tangible, and yet so eth
0.02%:  so tangible, and yet it feels so eth
0.01%:  so tangible, and yet so fle
0.01%:  this golden
0.01%:  the little things, yo
0.01%:  it a
0.01%:  so insane
0.01%:  in a bottle that
0.01%:  sitting on the steps,
0.01%:  totally fine, yeah
0.01%:  so late in the episode that
0.01%:  been so long, that if
0.01%:  being polite, yes
0.01%:  definitely pal
0.01%:  this body
0.01%:  an angel
0.01%:  in the title of the display
0.01%:  that song,
0.01%:  too late in life
0.01%:  the title of this panel
0.01%:  in the title of the sign, so it
0.01%:  not easy to say
0.01%:  been so long that the past is
0.01%:  totally fine, this thing is
0.01%:  this one, sitting
0.01%:  this old feeling that sne
0.01%:  one of the least stable
0.01%:  a little 
0.01%:  to the point that
0.01%:  definitely not a ghost, that is
0.01%:  the title of this blog,
0.01%:  not against
0.01%:  a title, please
0.01%:  easy to get into
0.02%:  easy to get into this
0.01%:  the title, not the feelings
0.01%:  in the shape of a little body
0.01%:  tonight only
0.01%:  polite to at
0.01%:  one of the signs
0.01%:  setting in
0.01%:  all so intense,
0.01%:  this lonely
0.01%:  the best episode yet of
0.01%:  that deep
0.01%:  a little dog, isn
0.01%:  a good bet
0.01%:  this tiny, ad
0.01%:  definitely not that late, is
0.01%:  totally a thing, despite the
0.01%:  an,
0.01%:  in the top of
0.03%:  in the top of the
0.01%:  in this little bag
0.01%:  a little thing, he
0.01%:  this elephant, only
0.02%:  this elephant, only it
0.01%:  a thing in
0.02%:  a thing in the
0.01%:  not easy being the host
0.01%:  in the title of the page
0.01%:  been a lonely day
0.02%:  been a lonely day,
0.01%:  a fond
0.01%:  definitely gotta be that, h
0.01%: , yeah
0.01%:  beside the point?
0.01%:  this tiny ghost,
0.01%:  at the end of this giant
0.01%:  this feeling, this deep
0.01%:  only a fig
0.01%:  the one and
0.01%:  apt
0.01%:  not that this feeling is a
0.01%:  been so long the
0.01%:  only been half the episode
0.01%:  honestly both
0.01%:  in the title, so please be
0.01%:  splitting the
0.01%:  the title of his latest and
0.01%:  listen
0.01%:  an oblig
0.01%:  that definitely
0.01%:  not listed on this
0.01%:  nothing bad, he
0.01%:  a sad little ghost
0.01%:  the best episode of D
0.01%:  so late at night, she
0.01%:  totally nost
0.01%:  on the list of the
0.01%:  a long shot
0.01%:  easy to tell they hang
0.01%:  in the shape of an
0.01%:  a deep, intense
0.01%:  definitely be
0.01%:  a little boy, yeah
0.01%:  this flying
0.01%:  not at all the
0.01%:  big ol
0.01%:  definitely not a,
0.01%:  been said that those
0.01%:  in the title she
0.02%:  in the title she goes by, and
0.02%:  in the title she goes by, and it
0.01%:  a thing that needs
0.01%:  the gentle
0.01%:  definitely not that big a step
0.01%:  often best
0.01%:  this dis
0.01%:  on the inside of this
0.01%:  in a bottle, inside the
0.01%:  go
0.01%:  the feelings, not the idea
0.01%:  easy to get lost in the din
0.01%:  a fleshy entity inside
0.01%:  the one in the past
0.01%:  not possible, h
0.01%:  possible he got a
0.01%:  the title, isn
0.01%:  easy to get lost behind
0.01%:  to the left, past
0.02%:  to the left, past the sign
0.01%:  a thing she does to
0.01%:  that hot
0.01%:  the title of the play, and
0.01%:  definitely in the top eight
0.01%:  not in the title of
0.01%:  only being polite, is
0.01%:  his pet
0.01%:  that?
0.01%:  on the list of best
0.01%:  this little ghost in a
0.01%:  easy to tell that he doesn
0.01%:  so bad,
0.01%:  a little boy ghost
0.01%:  this tiny lady in
0.03%:  this tiny lady in the
0.01%:  totally fine and it
0.01%:  on the tip of this
0.01%:  definitely b
0.01%:  a delight to see that
0.01%:  one of his pets
0.01%:  a lengthy title and
0.01%:  a title, it
0.01%:  a beef
0.01%:  the best song they play in
0.01%:  been so long that they feel
0.01%:  often said that nost
0.01%:  easy to get lost in these h
0.01%:  in the postal
0.01%:  a feeling, is
0.01%:  neat to see this
0.01%:  the best episode of all
0.01%:  the lady in the giant
0.01%:  this illness
0.01%:  g
0.01%:  been ages and
0.01%:  easy to get lost,
0.01%:  not dis
0.01%:  this tiny, bald
0.01%:  the best day, honestly
0.01%:  the teen
0.01%:  nostalgia, definitely
0.01%:  long,
0.01%:  that sense of long
0.01%:  not that big deal, honestly
0.01%:  the silly
0.01%:  possible that he is,
0.01%:  been played
0.01%:  the type of thing one
0.01%:  at the end of the line, so it
0.01%:  the best one yet, and
0.01%:  in the title so it doesn
0.01%:  only a tiny bit of the
0.01%:  been so long this feels
0.01%:  definitely nostalgia, D
0.01%:  no big deal, listen
0.01%:  not easy to see,
0.01%:  a gen
0.02%:  a genie,
0.01%:  the best feeling, doesn
0.01%:  gone, isn
0.01%:  a sad thing to be
0.01%:  an e
0.01%:  definitely the best title on his
0.01%:  an ind
0.01%:  also being
0.01%:  only the best day of
0.02%:  only the best day of the
0.01%:  fine to be totally
0.01%:  less polite
0.01%:  fine, this is the least
0.01%:  no big deal that the
0.01%:  at the end of the line, is
0.01%:  totes the best feeling, isn
0.01%:  done?
0.01%:  the pal
0.01%:  got to be in the title,
0.01%:  been said that the eyes
0.01%:  these pills, these
0.01%:  anything
0.01%:  been sp
0.01%:  totally safe, they
0.01%:  totally the best thing of
0.01%:  in the title of this episode?
0.01%:  best if it stays
0.01%:  gotta be in the title of his
0.01%:  been a long day so let
0.01%:  not easy being the last of
0.01%:  an ideal
0.01%:  the best of his
0.01%:  been doing this a lot these
0.01%:  not easy to tell the
0.01%:  pointless to say the
0.01%:  attending the
0.01%:  got lots
0.01%:  so telling
0.01%:  not easy to get this
0.01%:  fine, they said
0.01%:  all the best things,
0.01%:  that old feeling, she
0.01%:  the last one listed on
0.01%:  a paying
0.01%:  only the best of the
0.01%:  on the table, in the
0.01%:  gotta be 
0.01%:  definitely gotta be this last one, h
0.01%:  not the pills that do
0.01%:  definitely g
0.01%:  a little boy inside the
0.01%:  been said that one
0.01%:  only polite that if she
0.01%:  to satisfy
0.01%:  still gotta
0.01%:  one of the easiest things
0.01%:  a bit of long
0.01%:  possible he got hit
0.01%:  in the title of today
0.01%:  fine, nobody has
0.01%:  totally a thing, it
0.01%:  easy to tell that being
0.01%:  in the shape of a tiny bottle
0.01%:  been a solid eight
0.01%:  been at least this
0.01%:  at the end of the line by
0.01%:  been doing that lately so
0.01%:  possible she left the note
0.01%:  eight in
0.01%:  been so long, it is
0.01%:  a bit long to type
0.01%:  open all
0.05%:  open all night,
0.01%:  not healthy to get
0.01%:  a big list
0.01%:  safe to say the title is
0.01%:  a big hit this
0.01%:  a title that needs
0.01%:  easy to get lost, isn
0.01%:  not easy to get these
0.01%:  not easy to get these pills
0.01%:  in a bottle in the shape
0.01%:  a blessing to feel this
0.01%:  totally totes fine,
0.01%:  this little dog in the
0.01%:  hip
0.11%:  hip to be nost
0.01%:  in the style of those
0.01%:  not possible that is
0.01%:  the title of a song by the
0.01%:  been doing that lately, she
0.01%:  so late in the day to feel this,
0.01%:  totally fine, she does
0.02%:  totally fine, she does it
0.02%:  totally fine, she does that
0.01%:  seeing
0.01%:  as if all
0.01%:  sending little
0.01%:  not that he is
0.01%:  a little on the nose if
0.01%:  only a single step
0.01%:  no big deal please
0.01%:  in the title of these
0.01%:  that lady in
0.01%:  not in the list
0.01%:  this little boy, and he goes
0.01%:  only a bit late
0.01%:  a goldfish, yes
0.01%:  a tiny dog,
0.01%:  easy to get sent
0.01%:  a little big to fit on the
0.01%:  gotten to be the
0.01%:  a little thing, yes
0.01%:  a potted
0.01%:  this flood
0.01%:  so late in the day to be listing
0.01%:  only selfish
0.01%:  that one?
0.01%:  a sight to see this
0.01%:  easy to get lost in the feels
0.01%:  none of these pills
0.01%:  none of these pills, that
0.01%:  sitting on the shelf,
0.01%:  only a slight step
0.01%:  one of the things listed
0.01%:  at the end of the line, it
0.01%:  the sad
0.01%:  that feeling, that one
0.01%:  this feeling, in
0.02%:  this feeling, in the
0.01%:  pointless to deny that it
0.01%:  been said that life is the only
0.01%:  listed on the phone
0.01%:  a no
0.01%:  only been half the episode,
0.01%:  the only one left besides
0.01%:  old pal
0.01%:  to be honest the
0.01%:  a little thing she does, not
0.01%:  been a long day it feels
0.01%:  been so long that it is
0.01%:  possible that he does
0.01%:  not that often this
0.01%:  still hiding
0.01%:  to the left please
0.01%:  totally identity
0.01%:  this intens
0.01%:  a fleshy thing,
0.01%:  in the side of
0.01%:  also,
0.01%:  not easy to find pill
0.01%:  often a
0.01%:  the title of a thesis
0.01%:  not safe to be single
0.01%:  a split
0.01%:  in one of these
0.01%:  in one of these pill
0.01%:  less of a thing,
0.01%:  easy to tell, she
0.01%:  a little bit sp
0.01%:  not often that a
0.01%:  in the title itself
0.01%:  in the list of titles behind
0.01%:  badly
0.01%:  so easy to let
0.02%:  so easy to let things
0.01%:  so easy to let feelings
0.01%:  oh
0.01%:  inside his
0.01%:  an ele
0.02%:  an elephant,
0.01%:  the title of his only
0.01%:  late to be doing
0.03%:  late to be doing this, isn
0.01%:  this tiny little ghost, isn
0.01%:  one of the least belie
0.01%:  definitely stolen
0.01%:  been so long, despite
0.03%:  been so long, despite the
0.01%:  despite
0.01%:  a little shy and it
0.01%:  if
0.07%:  if anything
0.01%:  the elephant sitting beside
0.01%:  so late in the day, isn
0.01%:  got these
0.01%:  in the title, she
0.01%:  lady
0.01%:  eight feet tall and shiny
0.01%:  at the end,
0.01%:  the only one listed
0.01%:  a fl
0.01%:  been doing it lately to
0.01%:  these pills, they taste
0.01%:  the best episode of sit
0.01%:  only listed
0.01%:  y
0.04%:  yelling
0.01%:  honestly the best title a
0.01%:  this table
0.01%:  a bit of the identity
0.01%:  totally fine to be this sent
0.01%:  totally fine, is
0.01%:  the title of his blog, and
0.01%:  not that big, it
0.01%:  gonna bite
0.01%:  if she
0.01%:  half the
0.01%:  also fine
0.01%:  been doing that lately, to
0.01%:  one of the patients
0.01%:  pointless if they don
0.01%:  so easy to fall
0.01%:  been longest
0.01%:  so gentle and yet
0.01%:  not easy being this old
0.01%:  the ability
0.01%:  still gonna
0.02%:  still gonna be the
0.01%:  the best thing inside of
0.01%:  easy to get lost in these hyp
0.01%:  based on the title of this sign,
0.01%:  not a thing he does,
0.01%:  listed on the sign as
0.01%:  been on the tip of the
0.01%:  not a thing listed
0.01%:  pointless if that
0.01%:  a be
0.01%:  in the bottle, please
0.01%:  fine, this is not
0.01%:  a little bit past the
0.01%:  the night
0.01%:  only slight
0.01%:  definitely not a ghost, they
0.01%:  so tangible in the
0.01%:  not easy being poly
0.01%:  so late in life to be this
0.01%:  that bit
0.01%:  all good if it
0.01%:  ob
0.01%:  installed
0.01%:  a lot less
0.01%:  definitely too late at this
0.01%:  been a lot of nights
0.01%:  fine, they go by the
0.05%:  fine, they go by the initial
0.01%:  got to be inside,
0.01%:  not the old feelings, it
0.01%:  definitely not a ghost, is the best
0.01%:  definitely not a ghost, b
0.01%:  pleasant being
0.01%:  sitting on the sofa beside
0.01%:  a ghost, yes
0.01%:  been doing this lately, that
0.01%:  totally paying
0.01%:  late at night, the
0.01%:  a l
0.01%:  beside the point that eating
0.01%:  don
0.01%:  donating
0.01%:  been days, it
0.01%:  not that bad?
0.01%:  too bad,
0.01%:  definitely seeing
0.01%:  in the f
0.01%:  not possible that it feels
0.01%:  so intense, that
0.01%:  so little
0.01%:  fine that this doesn
0.01%:  eight feet tall and points
0.01%:  safe to say things
0.01%:  at the end of the table, in
0.01%:  possible that if it doesn
0.01%:  the best feeling and yet, also
0.01%:  a bit of long title
0.01%:  posing
0.01%:  nostalgia, isn
0.01%:  definitely nostalgia, the best
0.01%:  too late she
0.01%:  easy to get lost in the ple
0.01%:  in a bottle, sitting
0.01%:  a lost feeling, and it
0.01%:  easy to get lost in the lab, isn
0.01%:  the title of his band
0.01%:  a lifelong ob
0.01%:  been at least eight,
0.01%:  this ghost, see
0.01%:  definitely al
0.01%:  a debate
0.01%:  a little thing on the side, if
0.01%:  nothing else
0.01%:  to the side of his
0.01%:  best if she does
0.02%:  best if she does it in
0.01%:  so insistent it
0.01%:  not that big of an
0.01%:  a bit less
0.01%:  no big deal, she says
0.01%:  definitely lost
0.01%:  at the end of this long list,
0.01%:  so point
0.01%:  so pointless,
0.01%:  so pointless, yet
0.01%:  a lot to get
0.01%:  a little goofy that
0.02%:  a little goofy that she
0.01%:  this old feeling, isn
0.01%:  definitely by
0.01%:  been so long, yes
0.01%:  a little t
0.01%:  not a thing yet?
0.01%:  no big deal, she says it
0.01%:  in the body of
0.01%:  definitely polit
0.01%:  been a long last
0.01%:  only on
0.01%:  been sleeping
0.01%:  fine, that one
0.01%:  good that he finally
0.01%:  these pills, this
0.01%:  been doing this so
0.01%:  this little boy, sitting
0.01%:  been so long, please
0.01%:  that possible
0.01%:  got to be said, this
0.01%:  an episode of the
0.01%:  definitely not a title she
0.01%:  on the top
0.03%:  on the top shelf
0.01%:  definitely not a title he
0.01%:  still been
0.01%:  that dog,
0.04%:  that dog, isn
0.01%:  so late in the night, please
0.01%:  in the title itself,
0.01%:  so easy,
0.01%:  been doing this lately, y
0.01%:  been a hell of a night, e
0.01%:  fine to be honest, this
0.01%:  the tall one,
0.01%:  not that this feeling is tied
0.01%:  in the spelling that
0.01%:  only polite, is the
0.01%:  a pending
0.01%:  no big deal this
0.01%:  a thin
0.01%:  possible that he is only
0.01%:  been a long day if
0.01%:  possibly an
0.01%:  late isn
0.01%:  all sp
0.01%:  late tonight
0.01%:  the best and least
0.01%:  the type of thing one says
0.01%:  an entitled
0.01%:  one of these days, isn
0.01%:  a type of disease
0.01%:  honestly helping
0.01%:  said that if
0.01%:  not said
0.01%:  easy to get these
0.01%:  the best song title,
0.01%:  only polite, at
0.02%:  only polite, at this stage
0.01%:  a dis
0.01%:  a little boy, is
0.01%:  too late, is
0.02%:  too late, is the
0.01%:  the feelings, not the ability
0.01%:  so soft
0.01%:  the title of his play
0.01%:  an easy yes
0.01%:  been a long day so it
0.01%:  a lady, yes
0.01%:  a sliding
0.01%:  not easy to identify the
0.01%:  definitely sign
0.01%:  only polite that, if
0.01%:  definitely not a ghost that is
0.01%:  not ladies
0.01%:  as if the only possible
0.01%:  got to be said, he
0.01%:  saying hello,
0.01%:  these pills that do it, is
0.01%:  so tangible, the
0.01%:  no big deal, those
0.01%:  late, so
0.01%:  one of the giant
0.01%:  besides the point that it isn
0.01%:  one hell of a sight
0.01%:  possible that she ate
0.01%:  sitting on the top
0.02%:  sitting on the top shelf,
0.01%:  totally gotten
0.01%:  safe to be nost
0.01%:  sensation
0.01%:  nothing bad, she
0.01%:  so late in the day, they
0.01%:  not that big a list
0.01%:  easy to spot, she
0.01%:  this sign
0.01%:  the little things, it
0.01%:  fine, it totally passes
0.01%:  easy to get behind this
0.01%:  pointless to say it,
0.01%:  totally fine, they said
0.01%:  the feeling, and
0.02%:  the feeling, and the
0.01%:  the best thing of
0.01%:  been doing this lately, so it
0.01%:  fine to say no,
0.01%:  listing itself
0.01%:  this old feeling, is
0.01%:  still hot
0.01%:  in the last line
0.01%:  eight feet tall, and it sits
0.01%:  a bit of thing
0.01%:  not easy to spell that
0.01%:  in the title of his post
0.01%:  been filed
0.01%:  only polite, being that his
0.01%:  in the title of the signs
0.01%:  still in the past
0.03%:  still in the past tense
0.01%:  no big deal th
0.01%:  easy to get lost in it
0.01%:  a pain in
0.01%:  no big deal, if she
0.01%:  this planet
0.01%:  definitely not a ghost, please?
0.01%:  not selling
0.01%:  late to be playing this
0.01%:  the best thing all
0.01%:  possible she left a note that
0.01%:  a lengthy title, isn
0.01%:  honestly possibly
0.01%:  the best thing to say in
0.01%:  eight feet tall, stands
0.01%:  eight feet tall, stands on its
0.01%:  post
0.01%:  totally fine that they don
0.01%:  best if he goes
0.01%:  a deep feeling this
0.01%:  totally fine to be in
0.01%:  so gentle and soft
0.01%:  easy to get lost in the deep,
0.01%:  gotta be that old
0.01%:  this little ghost boy,
0.01%:  this falling
0.01%:  a slip
0.01%:  a title he goes
0.04%:  a title he goes by,
0.01%:  a title he goes by often
0.01%:  totally the best thing, and
0.01%:  not that this feeling is deep
0.01%:  been that long, e
0.01%:  not P
0.01%:  a big din
0.01%:  not easy being the title
0.01%:  big in the field
0.01%:  so tangible, and it
0.05%:  so tangible, and it feels
0.01%:  top
0.01%:  gotta be the last
0.01%:  definitely not as hot as the
0.01%:  not that this feeling is deep,
0.01%:  not easy to tell these
0.01%:  in the shape of a little boy sitting
0.01%:  a fleshy,
0.01%:  only being polite if that
0.01%:  not a thing it
0.01%:  definitely not as big as she
0.01%:  one of his little pets
0.01%:  definitely sleep
0.01%:  honestly dis
0.01%:  a little thing he does at
0.01%:  totally the best idea yet
0.01%:  one of the last ple
0.01%:  felt
0.01%:  gotta be all these
0.01%:  that feeling, ya
0.01%:  this feeling that, in
0.02%:  this feeling that, in spite
0.01%:  in the title, so don
0.01%:  a pet,
0.01%:  pointless if the
0.01%:  honestly deeply
0.01%:  not that often the
0.01%:  splitting into
0.01%:  neat seeing
0.01%:  a bit of a long title, yes?
0.01%:  definitely a thing she says
0.01%:  the best idea yet,
0.01%:  a fine thing to beh
0.01%:  not that he isn
0.01%:  a feeling that is beyond the
0.01%:  that old feeling, the best
0.01%:  totally a thing, they
0.01%:  a position that
0.01%:  a little d
0.01%:  been nights
0.01%:  his stage
0.01%:  honestly letting
0.01%:  not a big deal it
0.01%:  been silent
0.01%:  the little things, see
0.01%:  an often
0.01%:  totes a legit
0.01%:  so tangible and yet so ep
0.01%:  the best idea to
0.01%:  one of the ten best
0.01%:  honestly setting
0.01%:  totally fine, they get it
0.01%:  the feeling that stays,
0.01%:  been a hell of a night so
0.01%:  the title of this episode, yes
0.01%:  no big deal, this isn
0.01%:  the best title in
0.01%:  beside the point that one
0.01%:  only polite that they be
0.01%:  a bit intense, h
0.01%:  one of the best night
0.01%:  not that he feels
0.01%:  a dining
0.01%:  in the title of his latest
0.01%:  on this
0.01%:  easy to get lost in the sh
0.01%:  loose
0.01%:  been a long day to
0.01%:  feeding
0.01%:  been, at
0.02%:  been, at least eight
0.01%:  a gentle,
0.01%:  the nostalgia, it
0.01%:  easy to get lost in this life, h
0.01%:  not a thing, yet
0.01%:  easy to get lost inside a
0.01%:  the best title of the
0.01%:  behind the sofa in
0.01%:  one of the best titles yet
0.01%:  a little intense today, h
0.01%:  the end of a
0.01%:  at night
0.01%:  easy to get lost in this lab
0.01%:  been doing this a lot the
0.01%:  one giant
0.01%:  the last one left
0.01%:  none of these pills, is
0.01%:  totally fine to be shy
0.01%:  pals only
0.09%:  pals only tonight
0.01%:  pals only today
0.01%:  the best feeling and yet it
0.01%:  a sensation,
0.01%:  the title of the play, see
0.01%:  definitely bi
0.01%:  only a slight head
0.01%:  an age
0.01%:  the best idea he
0.01%:  the best song, isn
0.01%:  totally ob
0.01%:  not listed on his
0.01%:  gonna be a hell
0.01%:  this sleep
0.01%:  definitely not the best,
0.01%:  shy
0.01%:  not a big deal if they
0.01%:  eating the
0.01%:  sitting on the sofa, beside
0.01%:  totally fine that she goes
0.01%:  gotta be the pills that
0.01%:  not late at night is
0.01%:  sitting on the toilet,
0.01%:  easy to find things
0.01%:  definitely gay
0.01%:  the best episode of anything,
0.01%:  the best song to
0.03%:  the best song to listen
0.01%:  a daily
0.01%:  been filled
0.01%:  a little bit hot
0.01%:  beside the point that in
0.01%:  not that the past feels
0.01%:  this tiny little thing, a
0.01%:  a feeling that is best
0.01%:  been so long, let
0.01%:  gotta be the little
0.01%:  so bold
0.01%:  a still
0.01%:  that old feeling, a
0.01%:  a sign of old
0.01%:  a saying
0.01%:  not that easy to tell
0.01%:  legal,
0.01%:  so late in the day to be feeling this is
0.01%:  the title of the single
0.02%:  the title of the single best
0.01%:  a type of entity
0.01%:  so easy to tell the
0.01%:  definitely nostalgia, so
0.01%:  essential to the plot?
0.01%:  been flo
0.01%:  a legal
0.01%:  beside the point, yes
0.01%:  soothing
0.01%:  this feeling, not the
0.01%:  a little thing this
0.01%:  a bit long, isn
0.01%:  a little thing she said,
0.01%:  a feeling that is,
0.01%:  the feeling that no
0.01%:  said to be a highly
0.01%:  this fella,
0.01%:  only tonight
0.01%:  in the title isn
0.01%:  life, isn
0.01%:  definitely the best one this
0.01%:  on the end of a
0.01%:  been a good shift
0.01%:  that one, h
0.01%:  still behind
0.01%:  the best episode in
0.01%:  the best pal in
0.01%:  that title
0.01%:  the title of the last
0.01%:  only the best pal
0.01%:  in the best sense
0.01%:  old pal,
0.01%:  listed on the sign at
0.02%:  listed on the sign at the top
0.01%:  been a long day, she
0.01%:  heading to
0.01%:  an ad
0.01%:  possibly that
0.01%:  a little boy, is that
0.01%:  at the end of the list, yes
0.01%:  late to be doing that
0.01%:  and
0.01%:  so tightly
0.01%:  the end of the planet
0.01%:  this little boy and his
0.01%:  often said that this
0.01%:  done in the style
0.02%:  done in the style of the
0.01%:  definitely too late, she
0.01%:  sitting on the table, the
0.01%:  possible that he is doing
0.01%:  besides the point, any
0.01%:  gotta be this lady,
0.01%:  not that i
0.01%:  sitting in the easy
0.01%:  polite to say the
0.01%:  easy to identify, it
0.01%:  easy to get it
0.01%:  a silent one
0.01%:  definitely stating
0.01%:  in this bottle and
0.01%:  in the left side
0.01%:  so shiny
0.01%:  fine, they get
0.01%:  been doing this a little,
0.01%:  this elephant sitting by
0.02%:  this elephant sitting by itself
0.01%:  at the end of this line, by
0.01%:  pals only,
0.01%:  easy to find,
0.01%:  been so long that the title is
0.01%:  that p
0.01%:  so long it
0.01%:  so still
0.01%:  lonely tonight
0.01%:  god
0.01%:  at the end of this sent
0.01%:  the best feeling to not
0.01%:  only polite, this is
0.01%:  been left
0.01%:  that one day
0.01%:  neat to see the
0.01%:  a little shy, so go
0.01%:  a little thing he does, in
0.01%:  that ability
0.01%:  a big help
0.01%:  not easy to tell this
0.01%:  a sad thing to see
0.01%:  not that big an
0.01%:  safe to tell the
0.01%:  fine, they totally don
0.01%:  gotta be in the list
0.01%:  one half
0.01%:  eight feet tall so
0.01%:  loose lips
0.01%:  definitely too late in this
0.01%:  been so long, if
0.01%:  this old feeling, not
0.01%:  this side
0.01%:  been t
0.01%:  so neat that
0.01%:  so neat that they
0.01%:  a feeling that is honestly
0.01%:  a little thing he does if
0.01%:  so late in the day, it feels
0.01%:  the only thing left to say
0.01%:  late at night, yes
0.01%:  not easy being that
0.01%:  handy that
0.01%:  a little bit past eight
0.01%:  not easy to find pills
0.01%:  the giant
0.01%:  eight feet tall and e
0.01%:  opening at
0.01%:  a little inside,
0.01%:  been at least the
0.01%:  a little thing he does, not
0.01%:  on the sign beside
0.01%:  in the title, so yeah
0.01%:  his dog
0.01%:  definitely gotta be this one, yeah
0.01%:  one of these pills, isn
0.01%:  the dog, isn
0.01%:  in the title of the play, so
0.01%:  stating
0.01%:  at the end of a long list
0.01%:  not so bad, they
0.01%:  easy to get lost in these lab
0.01%:  so intense, she
0.01%:  totally on the sign
0.01%:  gotta be the title,
0.01%:  not possible, isn
0.01%:  a little thing she does if
0.01%:  a deep feeling that is both
0.01%:  a giant,
0.01%:  totally safe to pet
0.01%:  been a little too
0.01%:  the best feeling, honest
0.01%:  been a long shift at
0.02%:  been a long shift at the post
0.01%:  being polite, that
0.01%:  been all on
0.01%:  to the left, yes
0.01%:  at the end of this tiny
0.01%:  at the end of this tiny alley
0.01%:  a thing to
0.01%:  a thing to see
0.01%:  been sne
0.01%:  in the top half
0.01%:  a tiny, tiny
0.01%:  the best of all these
0.01%:  a lot of steps
0.01%:  no big deal, it honestly
0.01%:  totally done
0.01%:  so tiny and
0.01%:  totally fine to y
0.01%:  big deal
0.01%:  the best idea this
0.01%:  beside the point that a
0.01%:  totally not that she
0.01%:  not often that they
0.01%:  totally a thing, don
0.01%:  this one, the little
0.01%:  a lesson
0.01%:  this intense, yet totally
0.01%:  not today
0.01%:  pointless to fight,
0.01%:  not easy to listen
0.01%:  that old,
0.01%:  this sleeping
0.01%:  an apt
0.01%:  a tangible entity?
0.01%:  the best title and
0.01%:  doing these
0.01%:  a little thing, a
0.01%:  only passing
0.01%:  in the hospital?
0.01%:  gotta be the end
0.01%:  a ghost, by
0.01%:  definitely in the title, yes
0.01%:  besides the point, is
0.01%:  a delight to see the
0.01%:  in the title of the sign, see
0.01%:  gotten in
0.01%:  a little goofy, isn
0.01%:  totally P
0.01%:  not a e
0.01%:  so hot and
0.01%:  not as if this is
0.01%:  not as if this is the
0.01%:  been a little dis
0.01%:  been hot
0.01%:  hot to
0.01%:  that old feeling, he
0.01%:  not late,
0.01%:  the best episode of a sit
0.01%:  definitely not a tasty
0.01%:  one of the listed
0.01%:  the little things, d
0.01%:  a little thing she does on
0.01%:  sitting at the table in
0.01%:  easy to tell it isn
0.01%:  not pl
0.01%:  a silly thing,
0.01%:  a fine,
0.01%:  the basis
0.01%:  the basis of the
0.01%:  alleg
0.01%:  a bit of a lengthy title, is
0.01%:  gotten a little bit
0.01%:  a lady?
0.01%:  the last of the planets
0.01%:  been one of these
0.01%:  easy to get all
0.01%:  totally the best thing if
0.01%:  ast
0.01%:  been a lif
0.01%:  a dish
0.01%:  so late in the day, the
0.01%:  the one that plays
0.01%:  not easy being the tit
0.01%:  too easy
0.01%:  totally setting
0.01%:  good that she left
0.01%:  tiny
0.02%:  tiny and
0.01%:  eight feet tall, and the
0.01%:  one thing to feel sad
0.01%:  honestly the best line of
0.01%:  fl
0.01%:  this life
0.01%:  a belief
0.01%:  at least ten feet
0.01%:  been ages and it
0.01%:  possible that he only gets
0.01%:  not a disease, it
0.01%:  not lost
0.01%:  in the title of the note
0.01%:  these pills that get into
0.01%:  hiding in the att
0.01%:  easy to say it
0.01%:  definitely not that big, is
0.01%:  been a little sad
0.01%:  only the best night
0.01%:  the best episode title of
0.01%:  not on the fly
0.01%:  a PhD
0.01%:  definitely ten
0.01%:  a sleeping
0.01%:  a feeling that the
0.01%:  been sitting at the side of his
0.01%:  not setting
0.01%:  beside the point that it feels so
0.01%:  at the end of the list, so it
0.01%:  eight feet tall and in
0.01%:  nasty
0.01%:  only the best song
0.01%:  this feeling that is so deeply
0.01%:  been said that only
