because stories like this make me worry I'm living my life wrong
      0 100.00%: 
      1 2498.90%:  because
  15294 98.36%:  because sometimes I'm still angry
  15295 98.36%:  because normally it's the
  15296 98.35%:  because sometimes I worry everything is real
  15297 98.35%:  because sometimes I imagine my life very
  15298 98.35%:  sometimes I feel like my imagination seriously
  15299 98.35%:  because sometimes I worry we're talking like only
  15300 98.34%:  because I'm never going to swallow
  15301 98.42%:  because I'm never going to swallow this
  15302 98.33%:  sometimes I imagine myself at
  15303 98.31%:  because then I really
  15304 98.31%:  because sometimes I feel like walking in
  15305 98.30%:  sometimes I feel like everything is a boring
  15306 98.30%:  because sometimes I worry my life isn't more
  15307 98.29%:  because sometimes I imagine everything for my
  15308 98.29%:  because it seems like everything I know is for
  15309 98.28%:  because everyone thinks it's a
  15310 98.27%:  because I'm looking for this
  15311 98.26%:  because anything
  15312 98.25%:  because sometimes I like thinking of all
  15313 98.25%:  because sometimes I like women who aren
  15314 98.24%:  sometimes I imagine it being way more sur
  15315 98.24%:  because my life is essentially
  15316 213.38%:  because my life is essentially over
  15317 276.58%:  because my life is essentially over now
  15318 98.21%:  sometimes I like to imagine myself being such a li
  15319 98.20%:  because in my stories the women
  15320 252.54%:  because in my stories the women are more
  15321 114.36%:  because in my stories the women were
  15322 208.57%:  because in my stories the women were all
  15323 108.78%:  because in my stories the women are like
  15324 98.19%:  because I'm totally over here
  15325 234.34%:  because I'm totally over here worrying
  15326 98.19%:  because my emotions are so
  15327 98.18%:  because everyone else in history was
  15328 98.17%:  because for me it's like really
  15329 304.96%:  because for me it's like really intense
  15330 98.16%:  because if so then
  15331 121.31%:  because if so then I'm going
  15332 373.32%:  because if so then I'm going to make
  15333 98.67%:  because if so then I'm not
  15334 98.16%:  because I want to see where
  15335 98.16%:  because I was not entirely
  15336 98.16%:  because we're all living this
  15337 147.83%:  because we're all living this story
  15338 233.47%:  because we're all living this story now
  15339 98.16%:  sometimes I feel like breaking into
  15340 98.15%:  because sometimes I imagine we'll like
  15341 98.14%:  because sometimes I worry we're all this one
  15342 98.14%:  sometimes I worry we're not giving each
  15343 98.14%:  because I'm looking for a sweet new
  15344 98.13%:  sometimes I like to imagine we're more fancy
  15345 98.12%:  sometimes I imagine things will be more over
  15346 98.12%:  because I've got one last
  15347 98.12%:  because this story is making me feel like I'm more
  15348 98.10%:  because everything in my life looks like it is
  15349 98.10%:  because I'm not really entirely
  15350 98.09%:  because sometimes I still look
  15351 98.09%:  because I'm never going to see my life story
  15352 358.13%:  because I'm never going to see my life story as
  15353 98.09%:  because sometimes I think of awesome
  15354 98.08%:  sometimes I feel like our generation is was
  15355 98.08%:  because sometimes I like to imagine my liver
  15356 98.08%:  sometimes I worry things will be easier in my life
  15357 98.07%:  because I was going to tell my own
  15358 98.06%:  because I imagine myself losing is
  15359 98.04%:  sometimes I imagine there's more work in
  15360 98.02%:  because my emotions are sensitive
  15361 98.00%:  sometimes I worry my stories can'
  15362 97.99%:  because in my version of the story I wake
  15363 97.99%:  because I've got something similar
  15364 97.99%:  sometimes I feel like you're always che
  15365 97.98%:  because sometimes I worry it's all like
  15366 97.97%:  sometimes I worry we're not really laughing
  15367 97.97%:  because in my version of reality these
  15368 97.96%:  because I've got this immense
  15369 97.95%:  because sometimes I feel things working
  15370 97.95%:  sometimes I feel like my conversations are m
  15371 97.92%:  because everyone knows it's the
  15372 97.92%:  because I was working on my story here
  15373 97.91%:  because we're living in the awesome
  15374 97.91%:  because sometimes I think someone will like
  15375 97.91%:  because this is some
  15376 97.87%:  because I was sitting here worrying for like 
  15377 97.87%:  sometimes I imagine things will be more life
  15378 97.86%:  because for me it's like a million
  15379 6853.80%:  because for me it's like a million times worse
  15380 3424.99%:  because for me it's like a million times worse when
  15381 838.44%:  because for me it's like a million times more er
  15382 555.13%:  because for me it's like a million times more risk
  15383 170.26%:  because for me it's like a million moves
  15384 162.51%:  because for me it's like a million times work
  15385 153.73%:  because for me it's like a million times over
  15386 142.42%:  because for me it's like a million things
  15387 106.66%:  because for me it's like a million times worrying
  15388 97.86%:  because I was thinking more like role
  15389 1011.47%:  because I was thinking more like role revers
  15390 97.86%:  because sometimes I worry it's really more like
  15391 97.85%:  because sometimes I worry we're living smaller
  15392 97.83%:  sometimes I feel like being
  15393 155.44%:  sometimes I feel like being honest
  15394 122.56%:  sometimes I feel like being mysterious
  15395 97.82%:  because there's like one million worse
  15396 126.94%:  because there's like one million worse ways I
  15397 97.82%:  because sometimes I worry we're living life at only
  15398 97.80%:  because it never works for me when it's a
  15399 97.80%:  because I'm looking for the nearest
  15400 97.78%:  because everyone at home is telling
  15401 97.78%:  because sometimes I feel like not working
  15402 250.94%:  because sometimes I feel like not working is
  15403 97.77%:  sometimes I like to imagine we're all moving
  15404 97.77%:  because I write
  15405 97.76%:  because I am honestly
  15406 97.74%:  because I'm working on a story where every
  15407 204.44%:  because I'm working on a story where every time
  15408 97.73%:  because sometimes I imagine still
  15409 97.72%:  sometimes I like to imagine life being a whole
  15410 97.70%:  because sometimes I worry we're all in love
  15411 97.70%:  because we're all getting
  15412 97.70%:  because sometimes I feel like swimming with
  15413 97.70%:  sometimes I like to imagine scenarios where k
  15414 97.69%:  because anything else
  15415 145.47%:  because anything else is
  15416 119.23%:  because anything else seems
  15417 179.35%:  because anything else seems like
  15418 524.00%:  because anything else seems like it
  15419 168.99%:  because anything else seems like I
  15420 97.68%:  because I imagine it's either
  15421 97.67%:  because there's like one million games to
  15422 97.66%:  because the only reason I toler
  15423 97.66%:  because in my version of the story we were s
  15424 97.65%:  because sometimes I imagine it's more of like
  15425 97.63%:  because I'm writing a story so
  15426 97.62%:  because I'm really thinking sometimes
  15427 97.61%:  because sometimes I think my life is only like
  15428 97.59%:  because everyone else thinks I'm k
  15429 97.57%:  because I'm still wearing this swe
  15430 97.55%:  because sometimes things are wrong
  15431 97.54%:  because sometimes I think women are very
  15432 97.54%:  sometimes I feel like my conversation is a
  15433 97.53%:  because sometimes I imagine my own love life is
  15434 97.52%:  because sometimes I worry it's all very
  15435 97.48%:  because in my stories everything is far
  15436 97.47%:  because I'm trying to feel like
  15437 148.21%:  because I'm trying to feel like less
  15438 97.46%:  because there's awesome
  15439 97.45%:  because it seems like I'm over
  15440 97.44%:  because in my version of the story we were sal
  15441 97.43%:  because there's no way my listener
  15442 97.41%:  because sometimes I think my life is a novel
  15443 97.40%:  sometimes I worry things will be easier for me in my
  15444 97.36%:  because I feel like we're starting
  15445 97.34%:  because everything's more
  15446 4031.62%:  because everything's more satisfying
  15447 3062.06%:  because everything's more awesome
  15448 1336.25%:  because everything's more awesome if I
  15449 2425.04%:  because everything's more awesome if I know
  15450 554.67%:  because everything's more awesome if I know it
  15451 216.46%:  because everything's more awesome if it isn
  15452 132.67%:  because everything's more awesome for
  15453 117.15%:  because everything's more awesome in
  15454 266.85%:  because everything's more awesome in my
  15455 144.13%:  because everything's more awesome in story
  15456 112.27%:  because everything's more awesome if it works
  15457 132.16%:  because everything's more awesome if it works in
  15458 105.97%:  because everything's more awesome now
  15459 97.34%:  because sometimes I like really wish
  15460 1682.79%:  because sometimes I like really wishing for
  15461 134.60%:  because sometimes I like really wishing for more
  15462 97.32%:  because I'm never going to work
  15463 97.31%:  sometimes I worry we're living in a reality sim
  15464 97.30%:  because sometimes I imagine myself hot
  15465 97.29%:  because I feel like it's somehow making
  15466 97.26%:  because there's no way I still
  15467 97.25%:  because I feel like everything's so
  15468 97.25%:  because I feel like this is one game
  15469 97.23%:  because there's like a million stories from
  15470 97.22%:  sometimes I like to imagine myself above such
  15471 97.22%:  because sometimes I worry there's no mer
  15472 97.21%:  because sometimes when I'm rolling
  15473 97.20%:  because sometimes I think life may
  15474 97.20%:  because sometimes I worry we're losing the living
  15475 97.19%:  because it seems like there's a million of
  15476 97.18%:  sometimes when I imagine my life it's like
  15477 97.17%:  because I'm still looking for my answer there
  15478 97.17%:  because I feel like something is lost in my
  15479 101.12%:  because I feel like something is lost in my memory
  15480 97.17%:  sometimes I worry my imagination will be less
  15481 97.15%:  because sometimes when I'm flirting my eyes will
  15482 97.15%:  because sometimes I imagine we might one
  15483 97.15%:  because I feel like my interest has
  15484 97.15%:  because I sometimes imagine it working
  15485 133.43%:  because I sometimes imagine it working like
  15486 97.15%:  sometimes I like to imagine myself being a re
  15487 97.15%:  sometimes I feel like my stories have an
  15488 97.13%:  because sometimes I worry they'll like
  15489 97.12%:  because I imagine it's more like throwing
  15490 97.12%:  sometimes when I imagine myself as cool
  15491 97.11%:  sometimes I imagine it being much easier for
  15492 97.10%:  because I'm trying to imagine my life more
  15493 97.09%:  because sometimes I like to imagine fresh
  15494 97.05%:  because someone has
  15495 157.52%:  because someone has to win
  15496 97.04%:  because in my version we were total
  15497 97.04%:  sometimes I worry it's easier
  15498 97.03%:  because there's some games we
  15499 97.03%:  sometimes I feel like things are way more conv
  15500 97.01%:  because I feel like it's missing an
  15501 97.00%:  because sometimes I think we're asking more
  15502 192.33%:  because sometimes I think we're asking more from
  15503 97.00%:  because sometimes I like throwing my feelings
  15504 96.99%:  because I'm still not feeling
  15505 96.99%:  because sometimes I imagine myself with working
  15506 96.98%:  because in my version of reality it's like so
  15507 96.97%:  because sometimes I only imagine myself with
  15508 96.94%:  because sometimes I imagine myself writing work
  15509 96.91%:  because sometimes I worry my image
  15510 96.89%:  because sometimes I like imagining my whole story
  15511 96.88%:  because sometimes I imagine the longer
  15512 96.88%:  because I am honestly looking
  15513 96.88%:  because I'm really trying to lower
  15514 96.87%:  because there's some really
  15515 96.87%:  because sometimes I imagine it's one
  15516 96.87%:  because I feel like that's going
  15517 96.86%:  because I feel like this is going to mean some
  15518 96.84%:  sometimes I like to imagine myself back in our
  15519 96.84%:  sometimes I like to imagine more barriers in
  15520 96.83%:  because sometimes I worry my feelings won't have
  15521 96.83%:  sometimes I like to imagine myself being whisk
  15522 96.82%:  because in my vision of reality the
  15523 96.79%:  because this story will
  15524 1213.10%:  because this story will never
  15525 622.21%:  because this story will never make
  15526 126.08%:  because this story will forever
  15527 346.80%:  because this story will forever remain
  15528 122.63%:  because this story will never make me
  15529 100.86%:  because this story will never work
  15530 96.79%:  because sometimes I feel like my man
  15531 96.78%:  because I feel like it's worth worrying
  15532 155.71%:  because I feel like it's worth worrying over
  15533 96.78%:  because I feel like this was not going
  15534 96.78%:  because my emotions have
  15535 96.78%:  because sometimes I worry we're easily
  15536 96.76%:  because sometimes I worry my feelings have
  15537 96.76%:  because otherwise I was going to fl
  15538 96.74%:  because sometimes I imagine the one
  15539 96.73%:  because it seems like if
  15540 911.61%:  because it seems like if something
  15541 648.78%:  because it seems like if something like
  15542 542.46%:  because it seems like if there
  15543 310.39%:  because it seems like if I
  15544 541.79%:  because it seems like if I were
  15545 370.95%:  because it seems like if I were going
  15546 291.00%:  because it seems like if there's any
  15547 252.98%:  because it seems like if there's an
  15548 246.71%:  because it seems like if someone
  15549 237.20%:  because it seems like if I were throwing
  15550 171.35%:  because it seems like if I were thinking
  15551 147.78%:  because it seems like if there's no
  15552 107.14%:  because it seems like if I were to
  15553 104.86%:  because it seems like if everything
  15554 264.85%:  because it seems like if everything was
  15555 97.51%:  because it seems like if we
  15556 96.72%:  because if this works I'm gonna write
  15557 96.72%:  sometimes I worry we're going
  15558 96.71%:  because sometimes I worry men only like this
  15559 96.68%:  because sometimes I worry we're living life as
  15560 96.68%:  sometimes I worry you'll never get
  15561 96.68%:  because sometimes I think of making
  15562 96.66%:  because sometimes I like to have my religion
  15563 96.65%:  because I imagine it's something like
  15564 96.64%:  because when someone
  15565 96.64%:  sometimes I feel like our generation may
  15566 96.63%:  sometimes I feel like you're embarrass
  15567 96.63%:  sometimes I like to close my eyes while bringing a
  15568 96.62%:  because whenever I'm feeling
  15569 96.60%:  because I'm still wearing my shirt over
  15570 96.60%:  because sometimes I worry we're really soft
  15571 96.60%:  because sometimes I like to imagine f
  15572 136.29%:  because sometimes I like to imagine fles
  15573 96.60%:  because I'm telling everyone right
  15574 96.60%:  sometimes I imagine myself being this
  15575 460.01%:  sometimes I imagine myself being this clever
  15576 164.91%:  sometimes I imagine myself being this really
  15577 156.76%:  sometimes I imagine myself being this way
  15578 96.58%:  because we're still strangers
  15579 96.57%:  because I am willing
  15580 273.43%:  because I am willing to listen
  15581 96.56%:  because I feel like there's gonna
  15582 96.55%:  sometimes I feel like the women
  15583 96.54%:  because sometimes it's way more of
  15584 96.53%:  because I want to know for my
  15585 96.53%:  because it makes me feel like I'm living my own
  15586 140.61%:  because it makes me feel like I'm living my own story
  15587 96.53%:  because sometimes I worry things will leave me in
  15588 96.53%:  sometimes I feel like my conversations are '
  15589 96.53%:  because sometimes I worry we're living in a silly time
  15590 96.51%:  because there's still an
  15591 96.51%:  because sometimes when I'm going over really
  15592 96.50%:  because it seems like the game is
  15593 96.47%:  because there's still no reason
  15594 228.08%:  because there's still no reason for
  15595 96.47%:  because in my story there was like
  15596 96.46%:  because everything else is more
  15597 96.46%:  because sometimes I like to imagine we'll win for
  15598 96.45%:  because sometimes I worry we're filling
  15599 231.41%:  because sometimes I worry we're filling the
  15600 96.44%:  because sometimes I like to go swimming
  15601 96.44%:  because sometimes I like to imagine himself worrying
  15602 96.43%:  because sometimes I like to imagine my hero
  15603 113.46%:  because sometimes I like to imagine my hero'
  15604 96.42%:  because sometimes I worry life isn't really giving
  15605 96.42%:  because sometimes when I fail
  15606 96.41%:  sometimes I like to imagine my life being sur
  15607 96.41%:  because sometimes I worry for this
  15608 96.40%:  because I'm trying to follow
  15609 96.39%:  because sometimes I like to imagine my own very
  15610 96.39%:  sometimes I like to imagine myself having slower
  15611 96.38%:  because I'm trying to give him some
  15612 96.38%:  because sometimes I like to imagine girls who win
  15613 96.37%:  sometimes I feel like this game is rig
  15614 96.37%:  because sometimes I feel like writing is my way
  15615 126.36%:  because sometimes I feel like writing is my way in
  15616 96.37%:  because it seems like it's far
  15617 2029.30%:  because it seems like it's far more likely
  15618 433.56%:  because it seems like it's far more work
  15619 198.20%:  because it seems like it's far more likely I
  15620 191.45%:  because it seems like it's far more likely my
  15621 122.41%:  because it seems like it's far more work when
  15622 96.36%:  because I feel like there was no
  15623 96.36%:  because sometimes I like to imagine my lovers win
  15624 96.35%:  because we're talking forever
  15625 135.61%:  because we're talking forever now
  15626 96.34%:  because it's all
  15627 96.34%:  because sometimes I imagine it's like for
  15628 96.34%:  sometimes I like to imagine we're more in
  15629 96.33%:  because sometimes I worry we're taking over
  15630 96.33%:  because sometimes I imagine ghost
  15631 96.32%:  because I'm not seeing the same
  15632 96.31%:  because I'm really going to write
  15633 96.29%:  because sometimes I like to imagine my own f
  15634 301.04%:  because sometimes I like to imagine my own fles
  15635 220.43%:  because sometimes I like to imagine my own fleshl
  15636 96.29%:  because sometimes I worry we'll have to like
  15637 96.29%:  sometimes I worry my feelings aren't visible
  15638 96.29%:  because it's like the
  15639 96.28%:  sometimes I like to imagine myself being sar
  15640 96.27%:  because sometimes I like imagining myself overthrow
  15641 96.27%:  because I'm trying to imagine if somehow
  15642 96.27%:  because sometimes I imagine if only the
  15643 96.26%:  because sometimes I like to imagine my orgies will
  15644 96.25%:  because sometimes I like the games
  15645 96.24%:  because I feel like we're losing
  15646 96.23%:  because sometimes I like to shower
  15647 96.23%:  because I was thinking it's more likely for
  15648 106.02%:  because I was thinking it's more likely for every
  15649 96.23%:  because sometimes I think if only
  15650 123.03%:  because sometimes I think if only we
  15651 248.72%:  because sometimes I think if only we were
  15652 382.33%:  because sometimes I think if only we were all
  15653 112.32%:  because sometimes I think if only we all
  15654 96.23%:  because I'm not really seeing this work
  15655 96.23%:  because otherwise I'm never telling
  15656 168.24%:  because otherwise I'm never telling my
  15657 96.23%:  because there's only like seven
  15658 147.65%:  because there's only like seven ways
  15659 154.66%:  because there's only like seven ways it
  15660 96.22%:  because sometimes I worry we still live
  15661 96.21%:  sometimes I like to imagine real
  15662 340.74%:  sometimes I like to imagine real life
  15663 963.77%:  sometimes I like to imagine real life versions
  15664 952.60%:  sometimes I like to imagine real life is
  15665 2205.68%:  sometimes I like to imagine real life is more
  15666 348.64%:  sometimes I like to imagine real life being
  15667 338.75%:  sometimes I like to imagine real life working
  15668 126.92%:  sometimes I like to imagine real life being so
  15669 405.30%:  sometimes I like to imagine real life being so much
  15670 97.48%:  sometimes I like to imagine real life coming
  15671 96.20%:  because sometimes I worry we're making things im
  15672 96.17%:  because I feel like something's almost
  15673 96.16%:  because it seems like whatever I
  15674 96.15%:  because sometimes I like to learn
  15675 189.77%:  because sometimes I like to learn from
  15676 671.90%:  because sometimes I like to learn from my
  15677 128.80%:  because sometimes I like to learn new
  15678 96.15%:  because in my version the l
  15679 96.15%:  because I'm really not the
  15680 96.15%:  sometimes I feel like you're always more
  15681 96.14%:  because there were like
  15682 144.73%:  because there were like a
  15683 236.10%:  because there were like a million songs
  15684 96.13%:  because there's no way to feel worse
  15685 96.13%:  because sometimes I like to imagine how girls like
  15686 96.13%:  sometimes I worry we're not having really
  15687 96.12%:  because I feel like my time might
  15688 96.12%:  because there's no way it will
  15689 96.09%:  because it seems like way more work this morning
  15690 96.08%:  because sometimes I feel emotional
  15691 96.05%:  because when I initially
  15692 96.04%:  because sometimes I imagine it's like five or
  15693 96.03%:  because now I'm going to stare
  15694 96.03%:  because I'm really trying for some sweet
  15695 96.01%:  because everything I know tells
  15696 96.01%:  because it seems like we're not going
  15697 96.00%:  sometimes I like to imagine my life being real
  15698 95.99%:  because sometimes I imagine myself into ill
  15699 95.98%:  because normally it's like the
  15700 95.98%:  because sometimes I like saying
  15701 508.18%:  because sometimes I like saying everything
  15702 95.97%:  because then I'm essentially
  15703 95.96%:  because sometimes I like to imagine lonely
  15704 95.95%:  because sometimes I worry feeling
  15705 137.87%:  because sometimes I worry feeling something
  15706 95.95%:  because sometimes I worry we're losing it
  15707 95.94%:  because sometimes I like to imagine how live
  15708 95.94%:  because we're not even at
  15709 95.94%:  because I was thinking it's more likely my
  15710 95.93%:  because sometimes I imagine myself into how
  15711 95.92%:  sometimes when I imagine myself absolutely
  15712 95.92%:  because it seems like nothing is more er
  15713 95.91%:  because I'm going to make it my life work
  15714 95.91%:  sometimes I worry we're moving
  15715 95.90%:  because everyone else is making this too
  15716 95.88%:  because it seems like I'm the one saying
  15717 95.88%:  because sometimes when I'm really worrying
  15718 95.88%:  sometimes I imagine being the
  15719 95.88%:  because sometimes I like to imagine my wife solving
  15720 95.87%:  because we're really getting
  15721 95.86%:  sometimes I like to imagine myself scoring
  15722 218.94%:  sometimes I like to imagine myself scoring a
  15723 95.85%:  because sometimes I worry life is moving
  15724 95.84%:  because sometimes I think my life leaves
  15725 95.84%:  because sometimes I like to feel so
  15726 95.83%:  because I was telling stories from
  15727 95.82%:  because everything in life is a series
  15728 95.82%:  because sometimes I like to share my life
  15729 95.76%:  because it seems like a lot of work when in
  15730 95.76%:  because sometimes I imagine my whole life'
  15731 4626.97%:  because sometimes I imagine my whole life's work
  15732 95.75%:  sometimes I feel like everything's a big
  15733 95.74%:  because sometimes I really think life
  15734 188.57%:  because sometimes I really think life'
  15735 163.39%:  because sometimes I really think life is more
  15736 133.56%:  because sometimes I really think life is one
  15737 95.72%:  because otherwise my life is irrelevant
  15738 95.70%:  sometimes I worry things are a
  15739 95.70%:  because sometimes I like to imagine if only girls
  15740 95.69%:  sometimes I like to imagine my own failure is
  15741 95.66%:  because sometimes I think of women
  15742 95.66%:  because sometimes I imagine my love life in this
  15743 95.65%:  because sometimes I worry the narr
  15744 95.65%:  because sometimes I worry my times will
  15745 95.64%:  because everyone here is trying
  15746 221.21%:  because everyone here is trying to work
  15747 95.63%:  because we're not in this
  15748 95.63%:  because I still have my feelings in
  15749 95.63%:  because I'm still working on my move
  15750 96.50%:  because I'm still working on my move set
  15751 95.61%:  because sometimes I worry we might make love
  15752 95.59%:  because sometimes I worry there's a girl
  15753 95.59%:  because sometimes we make this
  15754 95.59%:  because I feel like this is not only
  15755 95.59%:  because sometimes I have to lie for
  15756 95.58%:  because sometimes I worry the game'
  15757 95.58%:  because if that works
  15758 95.57%:  sometimes I feel like encouraging
  15759 95.57%:  because sometimes I like women who take
  15760 95.56%:  sometimes I worry we're all missing the mark
  15761 95.56%:  because in my version of reality the girl
  15762 95.56%:  sometimes I like to imagine myself being cho
  15763 95.55%:  sometimes I imagine myself as being cool with
  15764 95.54%:  because I was trying to lose myself
  15765 95.53%:  sometimes I like to imagine myself being wiser
  15766 95.52%:  because sometimes I like imagine this
  15767 95.52%:  because sometimes I worry we're having it
  15768 95.51%:  because sometimes I worry we're living at
  15769 95.51%:  because there are no feelings
  15770 95.51%:  because sometimes I imagine telling my love
  15771 95.51%:  because sometimes I feel like walking into my
  15772 95.50%:  because there were still
  15773 100.37%:  because there were still like
  15774 95.48%:  because otherwise we're gonna
  15775 95.48%:  because sometimes I imagine we're too silly
  15776 95.47%:  because sometimes I like to imagine h
  15777 95.46%:  sometimes I like to imagine myself reaching over
  15778 95.44%:  because there's no way of telling
  15779 95.44%:  because I was thinking of it more like role
  15780 1125.81%:  because I was thinking of it more like role revers
  15781 95.44%:  because there's not a single movie
  15782 95.43%:  because sometimes I wish women
  15783 95.42%:  because honestly I'm looking
  15784 95.42%:  sometimes I like to imagine myself in such a role
  15785 95.42%:  sometimes I like to imagine breaking
  15786 101.15%:  sometimes I like to imagine breaking my
  15787 95.42%:  because I'm really into this l
  15788 95.42%:  sometimes I imagine myself to be a
  15789 95.39%:  because it seems like it was more
  15790 404.83%:  because it seems like it was more likely
  15791 120.23%:  because it seems like it was more work
  15792 296.21%:  because it seems like it was more work for
  15793 158.36%:  because it seems like it was more work for him
  15794 112.17%:  because it seems like it was more of
  15795 107.85%:  because it seems like it was more work in
  15796 95.36%:  because I imagine everything else from
  15797 95.35%:  because I feel like having
  15798 95.35%:  because sometimes I like to hear myself lying
  15799 95.34%:  sometimes I imagine everything is easier for our
  15800 95.34%:  because sometimes it's like a
  15801 95.33%:  because sometimes when I'm really going over
  15802 95.30%:  because normally it seems like when
  15803 95.30%:  sometimes I imagine my life
  15804 237.30%:  sometimes I imagine my life as
  15805 266.52%:  sometimes I imagine my life as being
  15806 231.93%:  sometimes I imagine my life taking
  15807 190.12%:  sometimes I imagine my life being
  15808 813.22%:  sometimes I imagine my life being really
  15809 634.79%:  sometimes I imagine my life being otherwise
  15810 535.03%:  sometimes I imagine my life being easier
  15811 275.04%:  sometimes I imagine my life being a
  15812 220.81%:  sometimes I imagine my life being a series
  15813 151.34%:  sometimes I imagine my life to
  15814 316.23%:  sometimes I imagine my life to be really
  15815 140.88%:  sometimes I imagine my life is
  15816 154.32%:  sometimes I imagine my life is like
  15817 139.00%:  sometimes I imagine my life to be like
  15818 131.69%:  sometimes I imagine my life having
  15819 119.75%:  sometimes I imagine my life being like
  15820 424.78%:  sometimes I imagine my life being like a
  15821 155.10%:  sometimes I imagine my life being like those
  15822 108.77%:  sometimes I imagine my life taking such
  15823 108.12%:  sometimes I imagine my life as being like
  15824 126.32%:  sometimes I imagine my life as being like the
  15825 108.07%:  sometimes I imagine my life being so
  15826 104.60%:  sometimes I imagine my life being a story
  15827 103.99%:  sometimes I imagine my life being worse
  15828 95.29%:  because sometimes things in my life look
  15829 256.69%:  because sometimes things in my life look like
  15830 95.28%:  because sometimes I imagine we're writing
  15831 95.25%:  because I've got something on
  15832 95.25%:  because sometimes in life I worry things may
  15833 95.23%:  because there's no way my self
  15834 95.22%:  sometimes I worry things will be easier if you're making
  15835 95.21%:  because there's like a million moments
  15836 95.21%:  because sometimes I imagine men
  15837 114.07%:  because sometimes I imagine men who
  15838 95.21%:  because when I imagine it my
  15839 95.21%:  sometimes I feel like my imagination's very
  15840 95.20%:  because sometimes I imagine if we're trying
  15841 95.20%:  because sometimes I imagine this wrong
  15842 95.18%:  sometimes I worry my feelings aren't big
  15843 95.18%:  because it seems like we're giving this
  15844 95.17%:  because sometimes I worry if we're anything
  15845 95.16%:  because I've only got one game
  15846 307.98%:  because I've only got one game left
  15847 95.15%:  because sometimes I worry worrying makes
  15848 160.32%:  because sometimes I worry worrying makes it
  15849 95.14%:  because I think we're emotionally
  15850 95.14%:  because I'm really going to try
  15851 95.13%:  because otherwise it seems like I'm following an
  15852 95.11%:  because sometimes I like to imagine if when
  15853 95.09%:  because I'm trying to make my life somehow
  15854 137.30%:  because I'm trying to make my life somehow less
  15855 95.09%:  sometimes I like to imagine you making
  15856 95.08%:  because I'm really looking into
  15857 102.43%:  because I'm really looking into this
  15858 95.07%:  because sometimes I worry everyone's in
  15859 95.07%:  because sometimes I imagine life in this
  15860 95.06%:  sometimes I like to imagine myself even
  15861 95.05%:  because everyone in this room will feel
  15862 95.05%:  because we're not moving
  15863 95.04%:  sometimes I imagine myself being alive
  15864 95.04%:  because sometimes I worry we're solving life
  15865 95.03%:  sometimes I like to close my eyes imagine
  15866 95.03%:  because sometimes I worry we'll lose if
  15867 95.02%:  because sometimes I imagine how if only
  15868 95.02%:  because I feel like my story was more
  15869 95.01%:  because sometimes I worry we're living in this memory
  15870 95.00%:  because everyone knows it's almost
  15871 95.00%:  because sometimes I like to imagine five
  15872 95.00%:  because it wasn't working very
  15873 94.99%:  because we're not talking like
  15874 94.96%:  sometimes I feel like you're making me
  15875 94.95%:  sometimes I feel like everything's only
  15876 94.95%:  because sometimes I worry walking
  15877 94.95%:  because sometimes I like to imagine who we'll
  15878 94.95%:  because sometimes I imagine interview
  15879 94.95%:  because sometimes my internal
  15880 94.93%:  sometimes I like to imagine my life as one big er
  15881 94.93%:  because sometimes I worry my hilar
  15882 94.92%:  sometimes I feel like my stories are coming in
  15883 94.90%:  because I feel like it's not going
  15884 94.88%:  because the only reason we've
  15885 94.86%:  because everything in my stories works like real
  15886 94.86%:  because in my version of the story we're 
  15887 94.86%:  because it seems like if there was
  15888 94.84%:  because sometimes I feel like staring
  15889 94.84%:  because sometimes I worry if there's any mer
  15890 94.84%:  because I feel like everything was missing
  15891 94.84%:  because I imagine myself into the roles
  15892 94.80%:  because sometimes I worry we're still moving
  15893 94.80%:  because I'm feeling a little gross here
  15894 94.78%:  because everyone else is taking
  15895 296.70%:  because everyone else is taking this
  15896 295.13%:  because everyone else is taking it
  15897 105.11%:  because everyone else is taking this for
  15898 94.77%:  because I feel like there's lots
  15899 94.76%:  because sometimes I think my life is like a novel
  15900 94.75%:  because sometimes when I'm really in to
  15901 94.74%:  because sometimes I worry this won
  15902 94.74%:  sometimes I like to imagine myself being richer
  15903 94.72%:  because sometimes I like to imagine my own ill
  15904 94.72%:  because everyone thinks I make
  15905 94.71%:  because sometimes I worry if nothing ever
  15906 1682.21%:  because sometimes I worry if nothing ever really
  15907 94.71%:  because I was feeling like everything
  15908 94.71%:  because sometimes I like to imagine losing my key
  15909 94.71%:  because I sometimes imagine myself rolling over with
  15910 94.69%:  because I'm not going to ask
  15911 94.69%:  because I am not
  15912 419.99%:  because I am not entirely
  15913 94.69%:  because it seems like we're going in
  15914 94.67%:  because everyone knows the really
  15915 94.67%:  because everything in my lifetime
  15916 94.66%:  because sometimes I like to imagine myself in lo
  15917 94.66%:  because sometimes I imagine something will work like
  15918 94.66%:  sometimes I worry my life is nothing
  15919 94.64%:  because I'm trying to imagine how worse
  15920 94.63%:  because sometimes when I'm eating some
  15921 94.63%:  sometimes when I imagine my life it goes
  15922 135.88%:  sometimes when I imagine my life it goes like
  15923 94.63%:  because sometimes I imagine my sweet
  15924 94.61%:  because I'm still thinking of awesome
  15925 94.61%:  because sometimes I only think
  15926 94.60%:  because I was thinking more like er
  15927 94.60%:  because sometimes when I imagine se
  15928 94.59%:  because otherwise it's all
  15929 94.58%:  because otherwise I'm was
  15930 3602.96%:  because otherwise I'm wasting my life
