think your voice is a wonderful gift!
      0 100.00%: 
      1 22.44%:  know
   1797 15.83%:  think a lot of us were on
   1798 15.52%:  think a lot of us wonder if
   1799 15.45%:  think a lot of us were!
   1800 15.31%:  think a lot of us were in
   1801 15.29%:  think a lot of us were un
   1802 15.20%:  think a lot of us were doing
   1803 14.65%:  wonder if you got it
   1804 14.65%:  found your wife
   1805 14.64%:  used to cry in
   1806 15.02%:  used to cry in the rain
   1807 14.64%:  wonder if you have it
   1808 15.25%:  wonder if you have it on
   1809 14.64%:  want to revengr
   1810 14.64%:  like how you get
   1811 14.64%:  said!
   1812 14.64%:  kinda feel
   1813 14.63%:  was kind of trying
   1814 14.63%:  found this out like
   1815 14.79%:  found this out like 
   1816 14.63%:  think you were on
   1817 14.63%:  like your acting
   1818 14.63%:  was trying to look
   1819 14.63%:  was trying to ruin
   1820 14.63%:  was trying to fl
   1821 14.63%:  like to sing
   1822 14.63%:  was trying to re
   1823 14.62%:  used to hear your
   1824 14.62%:  like to dance
   1825 14.62%:  dunno if it is a
   1826 14.62%:  like what you do in it
   1827 14.62%:  was trying to rec
   1828 14.62%:  dunno if that works over
   1829 14.62%:  want to fuck you so
   1830 14.61%:  lost your
   1831 14.61%:  dunno what else it
   1832 14.61%:  dunno if you got it here
   1833 14.61%:  could go for a f
   1834 14.61%:  used to know the
   1835 14.61%:  dunno if you are or if it
   1836 14.61%:  want to do your
   1837 14.61%:  never got your
   1838 14.61%:  found it in the fry
   1839 16.08%:  found it in the fryer!
   1840 14.60%:  dunno if we talk or
   1841 14.60%:  like to go
   1842 14.73%:  like to go on
   1843 14.60%:  could go for a ste
   1844 14.60%:  found you in
   1845 14.74%:  found you in the fr
   1846 14.74%:  found you in the list
   1847 14.60%:  like to hang
   1848 16.96%:  like to hang out in
   1849 14.60%:  dunno how to react!
   1850 14.60%:  used to own a t
   1851 14.59%:  have good news to
   1852 14.59%:  do love
   1853 15.18%:  do love your
   1854 14.66%:  do love to
   1855 14.59%:  wish you liked
   1856 14.59%:  like to wear
   1857 14.59%:  do a lot of kung fu!
   1858 14.59%:  dunno if it works or
   1859 14.59%:  wonder if you can he
   1860 14.59%:  uh love your acting
   1861 14.59%:  dunno if you get it!
   1862 14.59%:  hate to sound
   1863 14.59%:  like it when it
   1864 14.59%:  like to read
   1865 14.59%:  used to write for you
   1866 14.58%:  could go for a t
   1867 14.58%:  used to write for a
   1868 14.58%:  wonder if you can use
   1869 14.58%:  wonder if you can go
   1870 14.58%:  got a cold
   1871 14.58%:  could get you
   1872 14.58%:  got one
   1873 14.58%:  dunno if we have it
   1874 14.58%:  think a lot of your
   1875 14.57%:  used to not like you a
   1876 14.57%:  have to go do stuff
   1877 14.57%:  knew you could hear it!
   1878 14.57%:  saw you on tv like
   1879 14.57%:  like how you cut
   1880 14.57%:  do like
   1881 15.52%:  do like your
   1882 14.57%:  found it in a river
   1883 14.57%:  dunno if you get it over
   1884 14.57%:  do not like the
   1885 14.90%:  do not like the way
   1886 14.57%:  like to chat
   1887 14.57%:  only got
   1888 14.57%:  kinda got
   1889 14.56%:  like to sit
   1890 15.65%:  like to sit in
   1891 15.90%:  like to sit in a
   1892 14.56%:  dunno if you ever got a
   1893 14.56%:  only ever
   1894 14.56%:  like how you are
   1895 14.56%:  could use
   1896 14.56%:  found it in a store
   1897 14.56%:  have good news on
   1898 14.55%:  uh like you in
   1899 14.55%:  saw you there in
   1900 14.55%:  only wish
   1901 14.55%:  like to y
   1902 14.55%:  wonder if you have 
   1903 14.55%:  like how you started
   1904 14.55%:  like to che
   1905 16.88%:  like to cheat
   1906 15.18%:  like to chew on it
   1907 15.16%:  like to chew on your
   1908 15.15%:  like to chew g
   1909 14.68%:  like to chew on f
   1910 14.66%:  like to chew on a
   1911 14.61%:  like to chew on stuff
   1912 14.61%:  like to chew on g
   1913 14.55%:  like how you turned
   1914 14.55%:  saw you driving on
   1915 15.66%:  saw you driving on the 
   1916 14.55%:  forgot your
   1917 14.55%:  wonder if you got this
   1918 14.55%:  need to cash out on
   1919 14.54%:  dunno where you gotta
   1920 14.54%:  like how you read
   1921 14.54%:  like how you go
   1922 14.54%:  like when
   1923 14.54%:  dunno where you is
   1924 14.54%:  like how you sign
   1925 14.54%:  used it
   1926 15.04%:  used it to
   1927 14.54%:  got a few
   1928 14.54%:  think we said
   1929 14.54%:  want to like you for
   1930 14.54%:  like to write
   1931 14.53%:  think we tried
   1932 14.53%:  found it in a thr
   1933 14.53%:  have to go do it
   1934 14.53%:  do love you!
   1935 14.53%:  can get you on
   1936 14.53%:  hear we
   1937 14.53%:  hate to lose
   1938 14.53%:  like how you start
   1939 14.53%:  do this for fun!
   1940 14.53%:  want to like you in
   1941 14.53%:  dunno if we have you
   1942 14.53%:  like how you signed
   1943 14.53%:  only have one to
   1944 14.53%:  used to live with a guy in
   1945 14.53%:  like to fight
   1946 14.53%:  like to give
   1947 15.04%:  like to give you
   1948 14.53%:  like how you sing
   1949 14.53%:  used to not like you in
   1950 14.52%:  think we get
   1951 14.52%:  wish you good
   1952 14.52%:  wish you looked
   1953 14.52%:  like how you gave
   1954 14.52%:  hear your voice is not
   1955 14.52%:  like how you d
   1956 14.52%:  kinda wish
   1957 14.52%:  want you on the
   1958 14.52%:  need to win a lot of f
   1959 14.52%:  think we don
   1960 14.52%:  think we used
   1961 16.16%:  think we used to go
   1962 14.52%:  got a friend who likes to y
   1963 14.51%:  get a lot of work in
   1964 14.51%:  uh like it!
   1965 14.51%:  like to stay
   1966 14.51%:  found this out on
   1967 14.51%:  want to like you on
   1968 14.51%:  dunno if it goes like
   1969 14.51%:  kinda forgot
   1970 14.51%:  have to cut off
   1971 14.51%:  used to love your acting in
   1972 14.51%:  found this out a
   1973 14.83%:  found this out a few
   1974 14.51%:  like to hug
   1975 14.51%:  uh like you and
   1976 14.51%:  do this for free
   1977 14.50%:  like a
   1978 14.54%:  like a good
   1979 14.50%:  like to chew on you
   1980 14.50%:  found out he was on
   1981 14.50%:  like to chew on nuts
   1982 14.50%:  never got to
   1983 14.67%:  never got to say
   1984 14.50%:  like to!
   1985 14.50%:  like to stare
   1986 14.50%:  only got this
   1987 14.50%:  used to like it!
   1988 14.50%:  need to think of a c
   1989 14.50%:  won!
   1990 14.50%:  like to shout
   1991 14.50%:  like to chew on gr
   1992 14.64%:  like to chew on grist
   1993 14.49%:  got a nice
   1994 14.49%:  like to chew on sand
   1995 14.49%:  like to chat on
   1996 14.49%:  dunno if your voice is the
   1997 14.49%:  like our
   1998 14.49%:  like to chew on t
   1999 14.49%:  like to throw
   2000 14.49%:  hear your voice is on
   2001 14.49%:  do that on
   2002 14.49%:  used to live in a truck!
   2003 14.49%:  never want
   2004 14.49%:  like to wait
   2005 14.63%:  like to wait for
   2006 14.49%:  like to show
   2007 14.49%:  like to rh
   2008 14.49%:  like to drive
   2009 14.49%:  see no
   2010 14.48%:  like that you don
   2011 14.48%:  found it in a house
   2012 14.48%:  like to chew on sn
   2013 14.48%:  like your hat
   2014 14.48%:  can use the
   2015 14.48%:  could see
   2016 15.32%:  could see that!
   2017 14.87%:  could see it
   2018 14.83%:  could see that on
   2019 14.48%:  wonder if you hear it in
   2020 14.48%:  knew your
   2021 14.65%:  knew your voice
   2022 14.48%:  want to reen
   2023 14.48%:  like to chew on d
   2024 14.48%:  could go for a fr
   2025 14.47%:  like to chew on st
   2026 14.47%:  only have one f
   2027 14.47%:  could have sw
   2028 18.63%:  could have sworn you
   2029 16.14%:  could have sworn it
   2030 15.26%:  could have sworn your
   2031 15.18%:  could have sworn!
   2032 14.91%:  could have sworn our
   2033 14.86%:  could have sworn to
   2034 14.47%:  like to chew on s
   2035 14.78%:  like to chew on soda
   2036 14.47%:  lost you at
   2037 14.47%:  like to chew on and
   2038 14.47%:  dunno if it works the
   2039 14.47%:  dunno where it is!
   2040 14.47%:  need to think of a f
   2041 14.47%:  like to chew on n
   2042 14.47%:  like to chew on to
   2043 14.47%:  like to chew on fing
   2044 14.47%:  have no words to
   2045 14.47%:  do not have to
   2046 14.47%:  need to think of a s
   2047 14.47%:  hear your voice is now
   2048 14.47%:  only have one fr
   2049 14.47%:  like what you do in tv
   2050 14.47%:  hate to end
   2051 14.46%:  used to own a k
   2052 14.46%:  hate to use
   2053 14.46%:  used to live in a grot
   2054 14.46%:  only have one k
   2055 14.46%:  want you to feel our
   2056 14.46%:  hate to incon
   2057 14.46%:  found it in a shoe
   2058 14.46%:  have to go in like
   2059 14.46%:  dunno how to leave!
   2060 14.46%:  used to live in a tyr
   2061 14.46%:  know a lot of nude
   2062 14.46%:  dunno if we have our
   2063 14.45%:  could go for a new
   2064 14.45%:  saw you there on
   2065 14.45%:  dunno if we are!
   2066 14.45%:  like having
   2067 14.45%:  dunno if you hear it like
   2068 14.45%:  need you to act on
   2069 14.45%:  got a funny
   2070 14.45%:  wonder if our voices
   2071 14.44%:  found this out!
   2072 14.44%:  only have one for
   2073 14.44%:  only have one so
   2074 14.44%:  was looking for her
   2075 14.44%:  hear your voice is low
   2076 14.44%:  could go for a su
   2077 14.44%:  could get you a new
   2078 14.44%:  want to revengish you
   2079 14.44%:  found it in a closet!
   2080 14.44%:  got a hold
   2081 14.67%:  got a hold of it
   2082 14.43%:  coulda sworn you never
   2083 14.43%:  hear your voice is loud
   2084 14.43%:  used a
   2085 14.43%:  used to love you in a
   2086 14.43%:  wish!
   2087 14.43%:  need to win your
   2088 14.43%:  know a guy
   2089 14.43%:  know a lot of it is in
   2090 14.43%:  want to sing you
   2091 14.42%:  found you!
   2092 14.42%:  was looking for it
   2093 14.42%:  like it when a
   2094 14.42%:  hear your voice is kind
   2095 14.42%:  hear your voice is gold
   2096 14.42%:  got a r
   2097 14.42%:  would ask
   2098 14.58%:  would ask you to give
   2099 14.54%:  would ask you to get
   2100 14.50%:  would ask you for
   2101 14.44%:  would ask you to never
   2102 14.42%:  only use
   2103 17.00%:  only use it for
   2104 16.12%:  only use it to
   2105 14.49%:  only use it for the
   2106 14.46%:  only use the
   2107 14.41%:  used to run for
   2108 14.41%:  have to work on
   2109 14.41%:  do not like your
   2110 14.41%:  used to hate you for
   2111 14.41%:  got a f
   2112 14.41%:  want it
   2113 14.41%:  want to suckle
   2114 15.43%:  want to suckle your n
   2115 15.25%:  want to suckle on
   2116 14.41%:  found it in a truck
   2117 14.41%:  dunno if we like you or
   2118 14.41%:  want you to live on
   2119 14.41%:  got your vo
   2120 14.41%:  like those
   2121 14.41%:  got a friend who likes to f
   2122 14.41%:  got a line
   2123 16.33%:  got a line for you!
   2124 15.85%:  got a line for it
   2125 14.63%:  got a line for it!
   2126 14.49%:  got a line for you in
   2127 14.83%:  got a line for you in the
   2128 14.41%:  like doing
   2129 17.03%:  like doing that!
   2130 14.41%:  saw you in one of the 
   2131 14.41%:  hate to run
   2132 14.40%:  hate to die
   2133 14.40%:  got an
   2134 14.40%:  could go for a n
   2135 14.40%:  hate to give
   2136 14.40%:  see your
   2137 14.40%:  got a friend who likes to c
   2138 14.40%:  hear your voice is doing
   2139 14.40%:  hear your voice is f
   2140 14.40%:  want to give you like 
   2141 14.40%:  hear your voice is 
   2142 14.40%:  used to think of
   2143 14.40%:  have to go or we
   2144 14.40%:  dunno if your wife likes
   2145 14.40%:  love you for that
   2146 14.40%:  used to write a
   2147 14.40%:  dunno if you like to have
   2148 14.40%:  got a friend who likes to run
   2149 14.40%:  got a whole
   2150 14.40%:  hear your voice is d
   2151 14.40%:  used to cry for
   2152 14.39%:  hear your voice is no
   2153 14.39%:  like his
   2154 14.94%:  like his voice
   2155 14.39%:  like things
   2156 14.39%:  heard you like to sing!
   2157 14.39%:  got a fr
   2158 14.39%:  hate to sc
   2159 14.39%:  hear your voice is n
   2160 14.39%:  hate to go
   2161 14.39%:  have got to do
   2162 14.39%:  had you
   2163 14.39%:  like us
   2164 14.39%:  hear your voice is nii
   2165 14.39%:  hate to dis
   2166 14.39%:  could go for a sweet
   2167 14.38%:  think we can do
   2168 14.38%:  like words
   2169 14.46%:  like words that
   2170 14.38%:  got a sweet
   2171 14.38%:  need you to cut off a
   2172 14.38%:  got a weird
   2173 14.38%:  found this out in a very
   2174 14.38%:  could go for a tur
   2175 14.38%:  could go either way on it!
   2176 14.38%:  got a 
   2177 14.38%:  dunno if your wife likes it
   2178 14.37%:  got a cr
   2179 14.37%:  only need
   2180 14.37%:  have forgotten your
   2181 14.37%:  could go for a 
   2182 14.37%:  say!
   2183 14.37%:  want to fuck your life
   2184 14.37%:  have no record of us
   2185 14.37%:  had to get one for
   2186 14.37%:  like it when actors
   2187 14.37%:  got a hot
   2188 14.43%:  got a hotline
   2189 14.37%:  got a story
   2190 14.37%:  found it in a tree
   2191 14.37%:  like it when guys
   2192 14.36%:  found it in a fle
   2193 14.36%:  could hear you if
   2194 14.36%:  found this out only
   2195 14.36%:  found it in a hotel
   2196 14.36%:  found it in a g
   2197 14.36%:  say it like
   2198 14.36%:  would ask you to re
   2199 14.36%:  could go for a st
   2200 14.36%:  do not have you
   2201 14.36%:  got a crush on your feet
   2202 14.36%:  need to ask you how it
   2203 14.36%:  heard you went on
   2204 14.36%:  could go for a k
   2205 14.36%:  gotcha
   2206 14.36%:  got a crush on your nie
   2207 14.36%:  only said
   2208 14.35%:  got a cou
   2209 14.35%:  found it in a v
   2210 14.35%:  got a h
   2211 14.35%:  like your wife
   2212 14.35%:  found it in a c
   2213 16.01%:  found it in a creek!
   2214 14.35%:  got a word
   2215 14.46%:  got a word of
   2216 14.35%:  want to suck your donger!
   2217 14.35%:  have it set
   2218 14.35%:  got a voice
   2219 14.35%:  have to go in!
   2220 14.35%:  got a c
   2221 14.35%:  could go for a ke
   2222 14.35%:  love this
   2223 14.35%:  could go for a th
   2224 14.34%:  got a cousin
   2225 14.34%:  got a t
   2226 14.34%:  got a tiny
   2227 14.34%:  can see you
   2228 14.34%:  got a d
   2229 14.34%:  got your friend
   2230 14.34%:  got a very
   2231 14.34%:  dunno where our
   2232 14.34%:  hear your voice now!
   2233 14.34%:  want the
   2234 14.34%:  got a doctor
   2235 14.34%:  got a hole
   2236 14.34%:  dunno who gave it
   2237 15.32%:  dunno who gave it to us
   2238 14.34%:  get so
   2239 14.33%:  got a fever
   2240 14.33%:  got a crush on your kid
   2241 14.33%:  saw you do it once in
   2242 14.33%:  dunno how to lie!
   2243 14.33%:  said your
   2244 14.33%:  got a role
   2245 14.33%:  want to reveng you!
   2246 14.33%:  like it when you scoff
   2247 14.33%:  got a note
   2248 14.33%:  got a s
   2249 14.33%:  got a secret
   2250 14.74%:  got a secret for
   2251 14.33%:  found it in a cere
   2252 14.33%:  got a k
   2253 14.33%:  saw you do it on tv
   2254 14.33%:  dunno who it is for real
   2255 14.33%:  do not have it
   2256 14.32%:  want in
   2257 14.32%:  found it in a suit
   2258 14.32%:  have to go in order
   2259 14.32%:  think a lot of guys
   2260 14.32%:  have good news in
   2261 14.32%:  get a lot of weirdos
   2262 14.32%:  found it in a sh
   2263 14.32%:  think a lot of our
   2264 14.56%:  think a lot of our friends
   2265 14.32%:  found it in a hole
   2266 14.31%:  do not have 
   2267 14.31%:  lost it when
   2268 14.76%:  lost it when you
   2269 14.31%:  forgot to say hi!
   2270 14.31%:  have got to work
   2271 14.31%:  found it in a fr
   2272 14.31%:  want to see your n
   2273 14.31%:  would ask you to refr
   2274 14.31%:  want to sue your
   2275 14.31%:  found it in a sock
   2276 14.31%:  could hear you on
   2277 14.31%:  used to cry a lot for
   2278 14.31%:  found it in a f
   2279 14.31%:  dunno where!
   2280 14.31%:  found it in a h
   2281 14.30%:  forgot you
   2282 17.28%:  forgot you were a
   2283 14.30%:  want to see if you could
   2284 14.30%:  think we get on
   2285 14.30%:  used to own one!
   2286 14.30%:  do not know if it
   2287 14.30%:  found you on the list
   2288 14.30%:  saw you on the redc
   2289 14.30%:  kinda forgot to
   2290 14.30%:  wish you luck on
   2291 14.30%:  want this
   2292 14.29%:  used to live in a woo
   2293 14.29%:  would ask you to rec
   2294 14.29%:  need an
   2295 14.29%:  like your house
   2296 14.28%:  like what you do in front
   2297 14.28%:  need to cut you a
   2298 14.28%:  see how
   2299 14.28%:  see how you
   2300 14.28%:  think it would
   2301 14.28%:  dunno who else it
   2302 14.28%:  like what you do in sit
   2303 14.28%:  have good news or
   2304 14.28%:  got a crush on your new
   2305 14.27%:  do a lot of these!
   2306 14.27%:  dunno if it works over
   2307 14.40%:  dunno if it works over the
   2308 14.27%:  used to like it in
   2309 14.27%:  do a lot of kung fu in this
   2310 14.27%:  have to go on like
   2311 14.27%:  dunno if he got
   2312 14.62%:  dunno if he got it!
   2313 14.59%:  dunno if he got it or
   2314 14.27%:  used to like it on
   2315 14.26%:  found this out earlier
   2316 14.26%:  had it
   2317 14.52%:  had it set
   2318 14.26%:  like your tone
   2319 14.26%:  used to hear you on tv
   2320 14.26%:  used to own a fr
   2321 14.26%:  used to own a c
   2322 14.26%:  dunno if you get to
   2323 14.26%:  like what you done
   2324 14.26%:  dunno where i
   2325 14.26%:  say it like it
   2326 14.25%:  could swear
   2327 14.25%:  got his
   2328 14.81%:  got his voice
   2329 14.25%:  dunno where or
   2330 14.25%:  would ask you to hit
   2331 14.25%:  dunno if i like
   2332 15.26%:  dunno if i like that
   2333 14.76%:  dunno if i like this
   2334 14.25%:  would ask you to f
   2335 14.25%:  dunno where ya
   2336 14.25%:  like your stuff
   2337 14.76%:  like your stuff!
   2338 14.25%:  like your w
   2339 14.25%:  like the way our
   2340 14.25%:  got a crush on your w
   2341 14.25%:  could see that on your
   2342 14.25%:  dunno if we talk the
   2343 14.25%:  used to cry a lot on
   2344 14.24%:  got a crush on your f
   2345 14.24%:  got a crush on your knee
   2346 14.24%:  used to like your act!
   2347 14.24%:  like how it
   2348 14.24%:  love what
   2349 19.06%:  love what you do in
   2350 17.66%:  love what you do!
   2351 14.24%:  like your tie
   2352 14.24%:  have lots of nerd
   2353 14.24%:  like your hat!
   2354 14.24%:  like your ha
   2355 14.24%:  like your aut
   2356 14.24%:  got a crush on your left
   2357 14.24%:  used to own a truck
   2358 14.23%:  feel this
   2359 14.23%:  used to cry at
   2360 14.23%:  have like 
   2361 14.23%:  got a crush on your teen
   2362 14.23%:  dunno where you got it
   2363 14.23%:  used to hate you in
   2364 14.23%:  saw you get on
   2365 14.23%:  need you to sign aut
   2366 14.23%:  got a crush on your t
   2367 14.23%:  only want to see if
   2368 14.23%:  like it how you said
   2369 14.23%:  used to own a tiger
   2370 14.23%:  love you for a
   2371 14.23%:  like your shirt
   2372 14.23%:  like your first
   2373 14.23%:  wonder if that is
   2374 14.23%:  used to own a f
   2375 14.23%:  dunno if it works for
   2376 14.23%:  have to go in four
   2377 14.23%:  like your words
   2378 14.23%:  used to fight in
   2379 14.23%:  only had
   2380 14.23%:  would not
   2381 14.23%:  said the
   2382 14.22%:  got a crush on your d
   2383 14.22%:  need you to sign a w
   2384 14.22%:  got a crush on your 
   2385 14.22%:  do so
   2386 14.22%:  like what you got
   2387 14.31%:  like what you got on
   2388 14.22%:  like your art
   2389 14.22%:  saw you go in
   2390 14.46%:  saw you go in to the
   2391 14.22%:  like your car
   2392 14.22%:  lost it in
   2393 14.22%:  need this
   2394 14.57%:  need this to go
   2395 14.24%:  need this to go on
   2396 14.22%:  like your act
   2397 14.22%:  need you to sign off
   2398 14.22%:  need you to know it is a
   2399 14.22%:  kinda get
   2400 14.22%:  like your head
   2401 14.21%:  do not feel this
   2402 14.21%:  used to watch yoo
   2403 14.21%:  need to go sit in a rock
   2404 14.21%:  used to think of you in
   2405 14.50%:  used to think of you in a
   2406 14.21%:  have to go so let
   2407 14.21%:  like your fr
   2408 14.21%:  have to go do err
   2409 14.21%:  like your radio
   2410 16.80%:  like your radio show!
   2411 14.21%:  get this
   2412 14.21%:  like your sound
   2413 14.98%:  like your sounding voice
   2414 14.21%:  think you need a
   2415 14.21%:  heard you like it!
   2416 14.21%:  need to work on this a l
   2417 14.21%:  found it at
   2418 14.21%:  do think
   2419 14.21%:  like your suit
   2420 14.21%:  have to go so i
   2421 14.21%:  like your cart
   2422 16.83%:  like your cartoons
   2423 15.90%:  like your cartoons!
   2424 14.21%:  want to revoke
   2425 14.20%:  saw you go in the
   2426 14.20%:  dunno if you like it so
   2427 14.53%:  dunno if you like it so far
   2428 14.20%:  have to go on di
   2429 14.20%:  need you to talk for
   2430 14.20%:  got a friend who likes you!
   2431 14.20%:  saw you in the cine
   2432 14.20%:  used to like your writing!
   2433 14.20%:  know a lot of nif
   2434 14.20%:  uh like your new
   2435 14.20%:  used to own a y
   2436 14.20%:  could never say
   2437 14.42%:  could never say it
   2438 14.20%:  need you to sign a lot
   2439 14.20%:  forgot it
   2440 17.25%:  forgot it was you!
   2441 14.54%:  forgot it was your
   2442 14.20%:  forgot to ask if he
   2443 14.20%:  wonder if he took it as
   2444 14.20%:  dunno if you like it th
   2445 14.20%:  have to go in one
   2446 14.19%:  dunno if you care for the
   2447 14.19%:  used to like how your
   2448 14.19%:  found you on the 
   2449 14.19%:  get a lot of frowns!
   2450 14.19%:  knew you could hear!
   2451 14.19%:  used to own a ketch
   2452 14.19%:  want to suck your ding
   2453 14.19%:  hate us
   2454 14.18%:  used to love it!
   2455 14.18%:  heard we
   2456 14.18%:  think a lot of your friends
   2457 14.18%:  heard you once on
   2458 14.18%:  used to think your face
   2459 14.18%:  only found
   2460 16.64%:  only found out what
   2461 14.18%:  saw you doing it in
   2462 14.18%:  never had
   2463 14.18%:  love our
   2464 14.18%:  need that
   2465 14.18%:  love when
   2466 14.18%:  have to go do like
   2467 14.18%:  need you to sign a f
   2468 14.17%:  dunno if you like it if
   2469 14.17%:  used to own a tr
   2470 14.17%:  like it how it
   2471 14.17%:  have to go in on
   2472 14.17%:  have to go on line
   2473 14.17%:  need you to sign a c
   2474 14.17%:  got in
   2475 14.70%:  got in a
   2476 14.17%:  dunno who else you
   2477 14.17%:  love your face
   2478 14.17%:  have to go on in
   2479 14.17%:  saw you in front of the ice
   2480 14.16%:  got your card
   2481 14.16%:  hate to end our
   2482 14.16%:  can here your
   2483 14.16%:  have to go or die
   2484 14.16%:  want to suck on your hee
   2485 14.16%:  got so
   2486 14.16%:  dunno if it works yet
   2487 14.16%:  need you to sign a 
   2488 14.16%:  need it
   2489 14.16%:  want our
   2490 14.16%:  need us
   2491 16.05%:  need us to talk
   2492 15.34%:  need us to fight
   2493 14.25%:  need us to fight!
   2494 14.16%:  want to suck on your leg!
   2495 14.16%:  need you to sign a fr
   2496 14.16%:  dunno if there was
   2497 14.15%:  have got to win
   2498 14.15%:  have to go or i
   2499 14.15%:  have to go on strike
   2500 14.15%:  used to own a 
   2501 14.15%:  have to go or risk
   2502 14.15%:  hate it!
   2503 14.15%:  found out how!
   2504 14.15%:  have to go so if
   2505 14.15%:  could hear you in
   2506 14.15%:  have to go innow
   2507 14.15%:  have to go so!
   2508 14.15%:  like that in your
   2509 14.14%:  saw on
   2510 14.14%:  think if you were
   2511 14.14%:  dunno if that is like
   2512 14.14%:  needn
   2513 14.14%:  saw you in front of the del
   2514 15.59%:  saw you in front of the deli!
   2515 14.14%:  want you to give us
   2516 14.14%:  need talk
   2517 15.25%:  need talk to you!
   2518 14.66%:  need talk to you in
   2519 14.64%:  need talk to you on
   2520 14.13%:  love hearing
   2521 15.69%:  love hearing you
   2522 14.13%:  used to own a tiny
   2523 14.13%:  used to hate you on
   2524 14.13%:  do not have it in
   2525 14.13%:  used to own a l
   2526 14.13%:  saw you on tv 
   2527 14.13%:  want to suck your dong!
   2528 14.13%:  want you to do like
   2529 14.13%:  got scared
   2530 14.13%:  used to run a lot!
   2531 14.13%:  want one
   2532 17.84%:  want one of your kids
   2533 15.88%:  want one of those
   2534 15.86%:  want one of your kids!
   2535 14.37%:  want one of the
   2536 14.13%:  found this out real
   2537 14.13%:  got your wife
   2538 14.13%:  saw you in front of the drug
   2539 14.13%:  want you to do his
   2540 14.13%:  used to own a rock
   2541 14.13%:  dunno why it took us
   2542 14.13%:  love us
   2543 14.13%:  was kind of in
   2544 14.23%:  was kind of in the
   2545 14.12%:  want to send you 
   2546 14.12%:  used to own a go
   2547 14.12%:  want you to do us
   2548 14.12%:  want you to do n
   2549 14.12%:  found it in a tree!
   2550 14.12%:  have lots of it!
   2551 14.12%:  have no use for it in
   2552 14.12%:  need for
   2553 16.83%:  need for you to act
   2554 16.36%:  need for you to act in
   2555 16.20%:  need for you to sign
   2556 16.21%:  need for you to sign a
   2557 16.02%:  need for you to think
   2558 16.00%:  need for you to star
   2559 15.89%:  need for you to talk
   2560 15.86%:  need for you to hang
   2561 15.85%:  need for you to cut
   2562 15.84%:  need for you to watch
   2563 15.79%:  need for you to ask
   2564 15.78%:  need for you to want
   2565 15.77%:  need for you to wait
   2566 15.77%:  need for you to sit
   2567 15.56%:  need for you to sit in
   2568 14.12%:  feel you
   2569 14.12%:  used to own a nice
   2570 14.12%:  want to revengish you!
   2571 14.12%:  need you to sign for
   2572 14.12%:  dunno if it works here
   2573 14.12%:  need to work on this a li
   2574 14.40%:  need to work on this a liii
   2575 14.12%:  had to use
   2576 14.11%:  saw you on tv for
   2577 14.28%:  saw you on tv for like
   2578 14.11%:  need to say it
   2579 14.11%:  should never
   2580 14.11%:  used to own a gun
   2581 14.11%:  was thinking of you
   2582 14.11%:  do a lot of thinkin!
   2583 14.11%:  love ya
   2584 14.47%:  love ya!
   2585 14.11%:  used to own a very
   2586 14.11%:  got a hold on
   2587 14.11%:  like that word
   2588 14.10%:  knew a
   2589 14.23%:  knew a guy in
   2590 14.15%:  knew a guy once
   2591 14.10%:  uh got it!
   2592 14.10%:  need you to sign with
   2593 14.10%:  dunno who it is you are
   2594 14.10%:  used to own a hot
   2595 14.10%:  used to own a g
   2596 14.10%:  used to own a h
   2597 14.10%:  used to own a re
   2598 14.10%:  need to win a lot of fr
   2599 14.10%:  need to cut in
   2600 14.10%:  saw you go in for
   2601 14.09%:  saw you on tv on
   2602 14.29%:  saw you on tv on the
   2603 14.09%:  kinda forgot how
   2604 14.09%:  dunno if you get this a
   2605 14.09%:  love your hair
   2606 14.09%:  forgot you were in
   2607 14.09%:  need to go sit in a c
   2608 14.09%:  used to own a te
   2609 14.09%:  used to love to hug
   2610 14.09%:  feel as if nothing
   2611 14.09%:  used to own a cro
   2612 14.09%:  dunno if you are or if this
   2613 14.09%:  never saw
   2614 14.09%:  do the talking
   2615 14.09%:  wonder if he got it!
   2616 14.09%:  saw you on tv not
   2617 14.09%:  forgot to use a
   2618 14.09%:  need you to sign it
   2619 14.08%:  found this out very
   2620 14.08%:  saw you in front of the d
   2621 14.08%:  saw you in front of the c
   2622 14.08%:  saw you on tv doing
   2623 14.08%:  want to revise
   2624 14.08%:  need to go sit in a f
   2625 14.08%:  want to fuck your dog
   2626 14.08%:  knew the
   2627 14.08%:  need to cut you in
   2628 14.08%:  do not wish to ruin a
   2629 14.08%:  heard you live on
   2630 14.08%:  used to work for a living
   2631 14.08%:  saw you on tv there
   2632 14.07%:  saw you on tv th
   2633 14.83%:  saw you on tv tho!
   2634 14.07%:  saw you on tv i
   2635 14.07%:  love a
   2636 14.07%:  forgot his
   2637 14.07%:  have tried to ruin
   2638 14.07%:  see it
   2639 14.07%:  heard you snort
   2640 14.07%:  need you to sign our
   2641 14.07%:  won this
   2642 14.27%:  won this at
   2643 14.07%:  feel as if your
   2644 14.07%:  never want to do
   2645 14.07%:  do not wish to revile
   2646 14.07%:  like your voice and
   2647 14.07%:  need to go sit in a k
   2648 14.07%:  got your last
   2649 14.07%:  need to go sit in a h
   2650 14.07%:  saw you gett
   2651 14.07%:  like it on your
   2652 14.19%:  like it on your face
   2653 14.06%:  heard you go in
   2654 14.06%:  dunno if you get a
   2655 14.06%:  had one
