IS A SENTENCE ONLY AN OLD MAN WOULD SAY
      0 100.00%: 
      1 26.83%:  IS
   2433 24.07%:  WAS INSANELY DEMOT
   2434 24.06%:  WAS ACTUALLY DEALS
   2435 24.06%:  WAS ALL I COULD SAY TOO MANY SEN
   2436 24.06%:  WAS ALL I COULD DO MY
   2437 24.06%:  WAS INSANELY MANY TEENS ALL ON
   2438 24.06%:  WAS ALSO A SENTENCE I ALMO
   2439 24.06%:  WAS INSANELY CLOSE TO NON
   2440 24.06%:  WAS ACTUALLY A NELSON ME
   2441 24.06%:  WAS ALSO A SENTENCE A L
   2442 24.06%:  WAS TEENS IN
   2443 24.06%:  WAS ACTUALLY MY IDEAL END
   2444 24.05%:  WAS ACTUALLY MY IDEA ON S
   2445 24.05%:  WAS ONLY AN A
   2446 24.05%:  WAS A LESSON I COULD DONE LE
   2447 24.05%:  WAS A LESSON TOO MANY D
   2448 24.05%:  WAS ONLY ME
   2449 24.05%:  WAS ALL I COULD SAY ON A T
   2450 24.05%:  WAS ALSO A SENTENCE A N
   2451 24.04%:  WAS ACTUALLY SOMEONE YEL
   2452 24.04%:  WAS INSANELY ENOY
   2453 24.04%:  WAS INSANELY DANCESOMEY
   2454 24.04%:  WAS ACTUALLY A MISSED
   2455 24.04%:  WAS A TOO MANY DUDES INS
   2456 24.03%:  WAS A LESSON I ACTUALLY NEED NO
   2457 24.03%:  WAS A CLASSY AND
   2458 24.03%:  WAS INSANELY ENACTUALLY M
   2459 24.03%:  WAS ALSO A SENTENCIALLY E
   2460 24.03%:  WAS INSANELY CLOSE TO A DU
   2461 24.03%:  WAS A LESSON IN ACTUALLY M
   2462 24.03%:  WAS ACTUALLY ONE SAD
   2463 24.03%:  WAS ACTUALLY ONLY ONE SEA
   2464 24.03%:  WAS A CLASSY A
   2465 24.03%:  WAS A SENTIM
   2466 24.03%:  WAS A LESSON ONLY I COULD TAN
   2467 24.03%:  WAS INSANELY LEET
   2468 24.02%:  WAS A SENTENCE MAL
   2469 24.02%:  WAS A SENTENCE I SAY A
   2470 24.02%:  WAS TOO L
   2471 24.02%:  WAS INSANELY EYES
   2472 24.02%:  WAS ALL I COULD SAY SO M
   2473 24.02%:  WAS TOO MANY SENSUAL AD
   2474 24.02%:  WAS ACTUALLY MY IDEA DOL
   2475 24.02%:  WAS ACTUALLY SOMEONE INS
   2476 24.60%:  WAS ACTUALLY SOMEONE INSANEL
   2477 24.42%:  WAS ACTUALLY SOMEONE INSANELY O
   2478 24.02%:  WAS A LESSON I COULD ONLY A
   2479 24.02%:  WAS ALSO AN IDEAL
   2480 24.02%:  WAS TOO MANY DUDES ON A SEA Y
   2481 24.02%:  WAS ACTUALLY ALSO MY O
   2482 24.01%:  WAS A CLASSY DIN
   2483 24.01%:  WAS INSANELY ENACTUALLY O
   2484 24.01%:  WAS A LESSON I COULD DONATE MY EN
   2485 24.01%:  WAS A LOUSY IDEA LETS
   2486 24.01%:  WAS ALSO A SENTENCE I UM
   2487 24.01%:  WAS ACTUALLY IDEA MONEY ON
   2488 24.01%:  WAS A LOUSY IDEA DON
   2489 24.01%:  WAS ACTUALLY MIDDLE SENSA
   2490 24.01%:  WAS ALSO A SENTENCE A D
   2491 24.01%:  WAS A CLASSY N
   2492 24.01%:  WAS A SENTENCE A M
   2493 24.01%:  WAS INSANELY MAN
   2494 24.01%:  WAS A LESSON I ACTUALLY NEED O
   2495 24.01%:  WAS ACTUALLY ONLY AN O
   2496 24.00%:  WAS ALL I COULD SAY ON DAYS T
   2497 24.00%:  WAS A SENTENCE IN L
   2498 24.00%:  WAS ACTUALLY ONLY A SEM
   2499 24.00%:  WAS INSANELY TEENY AND
   2500 24.00%:  WAS INSANELY ENACTUALLY SO
   2501 24.00%:  WAS TOO S
   2502 24.00%:  WAS A SENTENCE IN SU
   2503 24.00%:  WAS ACTUALLY SOME ANNO
   2504 23.99%:  WAS A LESSON I NEED N
   2505 23.99%:  WAS INSANELY ENACTUALLY ON
   2506 23.99%:  WAS ACTUALLY IDEA LESS
   2507 23.99%:  WAS ACTUALLY ONLY IDEA 
   2508 23.99%:  WAS INSANELY DANCY DU
   2509 23.99%:  WAS INSANELY ENACTUALLYS
   2510 23.99%:  WAS A TOO MANY DUDES ON AN
   2511 23.98%:  WAS INSANELY ENACTUALLY N
   2512 23.98%:  WAS INSANELY ENACTUALLY DE
   2513 23.98%:  WAS A TOO MANY DUDES IN A CLO
   2514 24.29%:  WAS A TOO MANY DUDES IN A CLOSE EN
   2515 23.98%:  WAS A SENTENCE A L
   2516 23.98%:  WAS ONLY AN IDEA CASE
   2517 23.98%:  WAS ACTUALLY SOME NONS
   2518 23.98%:  WAS TOO D
   2519 27.60%:  WAS TOO DAMNED
   2520 23.98%:  WAS A SENTENCE YOU DON
   2521 23.98%:  WAS ACTUALLY NAMED IN
   2522 23.97%:  WAS INSANELY LOUD ON
   2523 23.97%:  WAS ALL I COULD SAY TO ONE AN
   2524 23.97%:  WAS ACTUALLY ADL
   2525 23.97%:  WAS ACTUALLY ONLY DONE
   2526 23.96%:  WAS INSANELY EASY TO LEA
   2527 23.96%:  WAS ACTUALLY AN OLD DEMO
   2528 23.96%:  WAS INSANELY CUT
   2529 23.96%:  WAS ALL I COULD SAY SEN
   2530 23.96%:  WAS ACTUALLY IDEAS DEN
   2531 23.96%:  WAS INSANELY EMAS
   2532 23.96%:  WAS A CLASSY Y
   2533 23.96%:  WAS ALSO A SALT
   2534 23.96%:  WAS TOO E
   2535 25.78%:  WAS TOO EASY A
   2536 25.54%:  WAS TOO EASIL
   2537 26.63%:  WAS TOO EASILY S
   2538 25.75%:  WAS TOO EASILY SAY
   2539 24.67%:  WAS TOO EASILY A
   2540 24.56%:  WAS TOO EASY A S
   2541 24.12%:  WAS TOO EASY A C
   2542 23.96%:  WAS INSANELY DAD
   2543 23.95%:  WAS ACTUALLY A ONE LINE N
   2544 23.95%:  WAS INSANELY DAM
   2545 26.91%:  WAS INSANELY DAMNED E
   2546 26.52%:  WAS INSANELY DAMNED A
   2547 24.27%:  WAS INSANELY DAMNED S
   2548 23.95%:  WAS A SENTENCE MY 
   2549 23.95%:  WAS A CLASSY ME
   2550 23.95%:  WAS A SCENE AND
   2551 23.95%:  WAS A TOO MANY DUDES ONLY
   2552 23.95%:  WAS ONLY AN IDEA TO MA
   2553 23.95%:  WAS ALSO A SALTY C
   2554 23.95%:  WAS A SEA S
   2555 23.95%:  WAS SO MUDDY I
   2556 23.94%:  WAS INSANELY DET
   2557 23.94%:  WAS INSANELY ADL
   2558 23.94%:  WAS A SENTENCE YOU M
   2559 23.94%:  WAS A SENTENCE A S
   2560 23.94%:  WAS A SENTANCE
   2561 23.94%:  WAS ALSO A SENTENCE ANNO
   2562 23.94%:  WAS ACTUALLY A ONE LINE M
   2563 23.94%:  WAS INSANELY DEN
   2564 23.93%:  WAS INSANELY DENS
   2565 23.93%:  WAS A CLASSY O
   2566 23.93%:  WAS ACTUALLY EASILY SEE
   2567 23.93%:  WAS ACTUALLY ME DEAL
   2568 23.93%:  WAS ACTUALLY SOME INSANE D
   2569 23.93%:  WAS ACTUALLY INSANELY SEN
   2570 23.93%:  WAS ACTUALLY A ONE LINE O
   2571 23.93%:  WAS A TOO MANY DUDES O
   2572 23.93%:  WAS INSANE YES
   2573 23.93%:  WAS ACTUALLY NIELSEN M
   2574 23.93%:  WAS INSANELY DEAD
   2575 23.93%:  WAS ONLY A SENTENCE I SAY A LO
   2576 23.92%:  WAS A LESSON AND NOT
   2577 23.92%:  WAS A SENTIN
   2578 23.92%:  WAS TOO SO
   2579 23.92%:  WAS A SENTENCE LAD
   2580 23.92%:  WAS ACTUALLY A SEEDED
   2581 23.92%:  WAS INSANELY EMASCUATE
   2582 23.92%:  WAS ACTUALLY INSANELY SON
   2583 23.92%:  WAS ACTUALLY ONLY AN ISS
   2584 23.92%:  WAS ALSO AN IDEAS
   2585 23.92%:  WAS A SENTENCE A N
   2586 23.92%:  WAS A LESSON I NEED Y
   2587 23.91%:  WAS ALSO A C
   2588 23.91%:  WAS A LESSON ONLY I COULD NEED AT
   2589 23.91%:  WAS ACTUALLY INSANLE
   2590 23.91%:  WAS ACTUALLY INSANELY SME
   2591 23.91%:  WAS A SENTO
   2592 23.91%:  WAS INSANELY SAD DUE TO MY O
   2593 23.91%:  WAS ACTUALLY INSANES
   2594 23.91%:  WAS INSANELY DANCY TAL
   2595 23.91%:  WAS ACTUALLY IDEA SEED
   2596 23.90%:  WAS ALMOST LI
   2597 23.90%:  WAS ALL I COULD SAY SO T
   2598 23.90%:  WAS INSANELY DULL
   2599 23.90%:  WAS A LESSON I NEED YOU
   2600 23.90%:  WAS ACTUALLY ESSAYED
   2601 23.90%:  WAS A LESSON I NEED L
   2602 23.90%:  WAS A SCENE TO
   2603 27.63%:  WAS A SCENE TOO MU
   2604 23.90%:  WAS ALSO A SONNET IN
   2605 23.90%:  WAS ALSO A T
   2606 23.90%:  WAS A CLASSY EN
   2607 23.89%:  WAS ACTUALLY A ONE LINE E
   2608 23.89%:  WAS TOO C
   2609 23.89%:  WAS INSANELY DED
   2610 23.89%:  WAS A LESSON IN ACTUALLY D
   2611 23.89%:  WAS INSANELY DY
   2612 25.22%:  WAS INSANELY DYSLE
   2613 23.89%:  WAS A LESSON I COULD DENY NO
   2614 23.89%:  WAS A LESSON I NEED O
   2615 23.89%:  WAS ONLY A SENTENC
   2616 23.89%:  WAS ALMOST S
   2617 23.89%:  WAS ACTUALLY A ONE LINE MON
   2618 23.89%:  WAS A LESSON I NEED T
   2619 23.89%:  WAS ACTUALLY A ONE LINE ON
   2620 23.88%:  WAS ALMOST L
   2621 23.88%:  WAS ACTUALLY INSANLY
   2622 23.88%:  WAS A SENTENCE INSU
   2623 23.88%:  WAS A LESSON ONLY I COULD NEED A
   2624 23.88%:  WAS ALSO A SENTENCIA
   2625 23.88%:  WAS ACTUALLY A ONE LINE SE
   2626 23.88%:  WAS A MESSY
   2627 23.87%:  WAS INSANELY DANCY LETS
   2628 23.87%:  WAS A LESSON I NEEDNOT
   2629 23.87%:  WAS TOO SE
   2630 23.87%:  WAS INSANELY CLOSE TO MEAN
   2631 23.87%:  WAS A LESSON TOO MANY E
   2632 23.87%:  WAS ACTUALLY A ONE LINE MO
   2633 23.87%:  WAS ACTUALLY A ONE LINE ONE
   2634 23.87%:  WAS A CLASSY IN
   2635 23.87%:  WAS A LOUSY D
   2636 23.87%:  WAS INSANELY DOL
   2637 23.87%:  WAS A SENTINEL
   2638 23.87%:  WAS A SENTENCE DY
   2639 23.87%:  WAS INSANELY DANDELON
   2640 23.86%:  WAS ACTUALLY SADLY E
   2641 23.86%:  WAS ONLY AN IDEA MADE TO
   2642 23.86%:  WAS ACTUALLY A ONE LINE SO
   2643 23.86%:  WAS TOO SEE
   2644 23.86%:  WAS A LESSON TOO MANY IN
   2645 23.86%:  WAS ACTUALLY ONLY ONE MAIN S
   2646 23.86%:  WAS INSANELY ENACTED A
   2647 23.86%:  WAS INSANELY DUN
   2648 23.85%:  WAS ALSO A SOLIC
   2649 23.85%:  WAS ACTUALLY A ONE LINE ME
   2650 23.85%:  WAS A LOUSY E
   2651 23.85%:  WAS ACTUALLY AN OLD DISNE
   2652 26.28%:  WAS ACTUALLY AN OLD DISNEY S
   2653 23.85%:  WAS ACTUALLY EASY E
   2654 23.85%:  WAS ACTUALLY A ONE LINE EN
   2655 23.85%:  WAS A LESSON NO ONE LE
   2656 23.85%:  WAS A LESSON ONLY A M
   2657 23.85%:  WAS ACTUALLY A ONE LINE DES
   2658 23.85%:  WAS INSANE MAY
   2659 23.85%:  WAS A SENTENCE A D
   2660 23.85%:  WAS TOO MANY DUDES IN ONE L
   2661 23.85%:  WAS INSANELY TEEN S
   2662 23.85%:  WAS A LESSON ONLY T
   2663 23.85%:  WAS A LESSON IN MY O
   2664 23.85%:  WAS ACTUALLY A ONE LINE Y
   2665 23.85%:  WAS A SENTENCE AMA
   2666 23.85%:  WAS ALL I COULD SAY AT MY O
   2667 23.85%:  WAS ACTUALLY A ONE LINE DE
   2668 23.85%:  WAS INSANE ON M
   2669 23.92%:  WAS INSANE ON MULT
   2670 23.85%:  WAS A LOUSY TE
   2671 23.84%:  WAS A SCENE A
   2672 23.84%:  WAS A SCENE SET
   2673 23.84%:  WAS ACTUALLY IDEAS YES
   2674 23.84%:  WAS A SENTENCE ALI
   2675 23.84%:  WAS ACTUALLY SOME IDEAS ON
   2676 23.84%:  WAS ACTUALLY ALSO SO
   2677 25.08%:  WAS ACTUALLY ALSO SOMEONE
   2678 23.84%:  WAS ACTUALLY A NEEDLESS NON
   2679 23.84%:  WAS ACTUALLY MAINLY S
   2680 23.84%:  WAS INSANELY SAD MU
   2681 23.84%:  WAS A LESSON AND NOT AN
   2682 23.84%:  WAS ONLY A SENTENCE I SAY A D
   2683 23.83%:  WAS INSANELY SAD DUE TO L
   2684 23.83%:  WAS A LESSON TOO MANY L
   2685 23.83%:  WAS MET
   2686 23.83%:  WAS A LESSON TOO MANY LE
   2687 23.83%:  WAS ACTUALLY DANE
   2688 23.83%:  WAS TOO MANY DUDES IN A LOC
   2689 23.83%:  WAS ALSO AN IDEA SOMEONE T
   2690 23.83%:  WAS A LESSON IN TOO MANY D
   2691 23.83%:  WAS A CLASSY END
   2692 23.83%:  WAS UT
   2693 23.82%:  WAS INSANELY ENACTED AND
   2694 23.82%:  WAS INSANELY UNC
   2695 23.82%:  WAS INSANELY EASY TO DEC
   2696 23.82%:  WAS INSANE AND A
   2697 23.82%:  WAS ONLY A META
   2698 23.82%:  WAS ONLY A SENTENCE I SAY A N
   2699 23.82%:  WAS ALL I COULD SAY ON AN EN
   2700 23.82%:  WAS INSANE YA
   2701 23.81%:  WAS A SCENE T
   2702 23.81%:  WAS A SENTENCE YOU N
   2703 23.81%:  WAS ONLY AN IDEA AND NO
   2704 23.81%:  WAS ACTUALLY MY DAD ON
   2705 23.81%:  WAS A TOO MANY DUDES SC
   2706 24.84%:  WAS A TOO MANY DUDES SCENE
   2707 23.81%:  WAS A LESSON IN TOO MANY U
   2708 23.81%:  WAS ACTUALLY IDEAS OLD
   2709 23.81%:  WAS INSANELY TEEN C
   2710 23.81%:  WAS ACTUALLY EASY ON
   2711 23.81%:  WAS A LOUSY SAY
   2712 23.81%:  WAS A LOUSY IDEA MADE TO
   2713 23.81%:  WAS INSANE LETS
   2714 23.81%:  WAS INSANELY ENDE
   2715 23.80%:  WAS ALMOST 
   2716 23.80%:  WAS ACTUALLY DELAYED SIN
   2717 23.80%:  WAS ACTUALLY INSANELY NEE
   2718 23.80%:  WAS ACTUALLY YESOME
   2719 23.80%:  WAS INSANELY NOT MY
   2720 23.80%:  WAS ALL I COULD SAY EYES DO
   2721 23.80%:  WAS A LESSON OLD
   2722 23.80%:  WAS ACTUALLY INSANLEY E
   2723 23.80%:  WAS ACTUALLY DANDELION ON
   2724 23.80%:  WAS ALL I COULD SAY TO MAN
   2725 23.79%:  WAS INSANELY SAD LET
   2726 23.79%:  WAS A SENTENCE NO M
   2727 23.79%:  WAS ACTUALLY MY IDEAS L
   2728 23.79%:  WAS A SENTENCE IN NO
   2729 23.79%:  WAS ONLY A SENTENCE I AM A
   2730 23.79%:  WAS INSANELY STOOL
   2731 23.79%:  WAS ACTUALLY MY IDEA SO NO
   2732 23.79%:  WAS A TOO MANY DUDES ON A SENI
   2733 23.79%:  WAS A LESSON TOO MANY N
   2734 23.79%:  WAS A TOO MANY DUDES INC
   2735 23.78%:  WAS MOSTLY INSAN
   2736 23.78%:  WAS A TOO MANY DUDES E
   2737 23.78%:  WAS ALL I COULD SAY ON A M
   2738 23.78%:  WAS ONLY AN IDEA CALLED TOO MU
   2739 23.78%:  WAS A LESSON DET
   2740 23.78%:  WAS INSANELY ENUMO
   2741 23.78%:  WAS ONLY AN IDEA SENTENC
   2742 23.78%:  WAS A TOO MANY DUDES N
   2743 23.78%:  WAS ACTUALLY AN ENEMY L
   2744 23.78%:  WAS A TOO MANY DUDES AN
   2745 23.77%:  WAS A TOO MANY DUDES AS
   2746 23.77%:  WAS ONLY A SENTENCE I SAY ALO
   2747 23.77%:  WAS ACTUALLY A LESSON ON MY
   2748 23.77%:  WAS INSANELY LOUS
   2749 23.77%:  WAS INSANELY EDUCATE
   2750 23.77%:  WAS ACTUALLY EASY EN
   2751 23.77%:  WAS A LESSON I CANNOT U
   2752 23.77%:  WAS A SENTENCE I AM S
   2753 23.77%:  WAS A LESSON TOO MANY U
   2754 23.77%:  WAS INSANELY DANCY LAST
   2755 23.77%:  WAS A TOO MANY DUDES CON
   2756 23.77%:  WAS A SCENE IT
   2757 23.77%:  WAS ACTUALLY SOME INSANE L
   2758 23.77%:  WAS ACTUALLY ONLY ONE NAME
   2759 23.76%:  WAS A TOO MANY DUDES CO
   2760 23.76%:  WAS ACTUALLY LESSON ONE
   2761 23.76%:  WAS A TOO MANY DUDES SA
   2762 23.76%:  WAS A LESSON AND I D
   2763 23.76%:  WAS ACTUALLY SOMEONE INSANELY D
   2764 23.76%:  WAS ACTUALLY MONEY S
   2765 23.76%:  WAS A LESSON IN ACTUALLY DO
   2766 23.76%:  WAS ACTUALLY MY IDEAL N
   2767 23.76%:  WAS ACTUALLY IN MY S
   2768 23.76%:  WAS ACTUALLY YE
   2769 23.76%:  WAS A SENTENCE IND
   2770 23.76%:  WAS A SENTENCE IN D
   2771 23.76%:  WAS ACTUALLY A SOLENO
   2772 23.76%:  WAS ONLY A SENTENCE I SAY A DO
   2773 23.76%:  WAS ACTUALLY DELAYED SO
   2774 23.76%:  WAS A TOO MANY DUDES SO
   2775 23.76%:  WAS A SENTENCE AND YOU
   2776 23.76%:  WAS A TOO MANY DUDES LO
   2777 23.76%:  WAS ALL I COULD SAY TA
   2778 23.75%:  WAS A SCENE N
   2779 23.75%:  WAS A TOO MANY DUDES Y
   2780 23.75%:  WAS ALSO A SENTENCE A DIN
   2781 23.75%:  WAS A LESSON NO ONE NE
   2782 23.75%:  WAS ACTUALLY A DISNEY M
   2783 23.75%:  WAS A SENTENCE IN 
   2784 23.75%:  WAS ACTUALLY LESS YI
   2785 23.75%:  WAS INSANELY A
   2786 23.75%:  WAS TOO MANY DUDES IN AN
   2787 23.75%:  WAS ACTUALLY ON A S
   2788 23.75%:  WAS A LESSON YOUT
   2789 23.75%:  WAS INSANELY EYE C
   2790 23.75%:  WAS A SENTENCE YOU DO
   2791 23.75%:  WAS ACTUALLY EASY S
   2792 23.75%:  WAS A LESSON TOO MANY A
   2793 23.75%:  WAS A SENTENCE IN AN
   2794 23.75%:  WAS A TOO MANY DUDES SEN
   2795 23.75%:  WAS ONLY A SENTENCE I MAY S
   2796 23.75%:  WAS A TOO MANY DUDES EN
   2797 23.75%:  WAS ACTUALLY SO SADLY
   2798 23.75%:  WAS A SENTENCE IN O
   2799 23.75%:  WAS A TOO MANY DUDES ONE
   2800 23.74%:  WAS A SENTENCE MY O
   2801 23.74%:  WAS A TOO MANY NON
   2802 23.74%:  WAS A TOO MANY DUDES CA
   2803 23.74%:  WAS A LOUSY SENTENCE DY
   2804 23.74%:  WAS A CLASSY TE
   2805 23.74%:  WAS A SENTENCE IN SO
   2806 23.74%:  WAS A LOUSY IDEA TODAY M
   2807 23.74%:  WAS A TOO MANY DUDES 
   2808 23.74%:  WAS ACTUALLY ALSO M
   2809 23.74%:  WAS ALL I COULD SAY SOMETE
   2810 23.74%:  WAS INSANELY CLOSE TO AN O
   2811 23.74%:  WAS ACTUALLY DAM
   2812 23.74%:  WAS ACTUALLY EASY L
   2813 23.74%:  WAS A LESSON TOO MANY CAN
   2814 23.74%:  WAS ALL I COULD SAY AND NOT E
   2815 23.74%:  WAS A SENTENCE IN ANY
   2816 23.74%:  WAS A SCENE NOT
   2817 23.73%:  WAS ACTUALLY IDEAL MODE
   2818 23.73%:  WAS ACTUALLY AN OLD NONS
   2819 24.28%:  WAS ACTUALLY AN OLD NONSENS
   2820 23.73%:  WAS A TEEN I
   2821 23.73%:  WAS A LESSON TOO MANY C
   2822 23.73%:  WAS A LESSON TOO MANY AND
   2823 23.73%:  WAS ALL I COULD SAY TEE
   2824 23.73%:  WAS ALL I COULD SAY TM
   2825 23.73%:  WAS A TEEN A
   2826 23.73%:  WAS INSANE DUDES ON
   2827 23.73%:  WAS TOO MANY DUDES I S
   2828 23.73%:  WAS ACTUALLY A DISSO
   2829 23.73%:  WAS INSANELY DAMN A
   2830 23.73%:  WAS INSANELY EASY AND
   2831 23.73%:  WAS A SENTENCE A DIN
   2832 23.73%:  WAS ACTUALLY A SOLEMN NON
   2833 23.73%:  WAS A LOUSY IN
   2834 23.73%:  WAS A SENTENCE INNO
   2835 23.73%:  WAS ACTUALLY MY SAD
   2836 23.73%:  WAS ALL I COULD SAY TY
   2837 23.73%:  WAS A SCENE NO
   2838 23.99%:  WAS A SCENE NO ONE S
   2839 23.72%:  WAS INSANE TO SAY A
   2840 23.72%:  WAS ALSO A SENTENCE I ONLY D
   2841 23.72%:  WAS A LESSON I ATE
   2842 23.72%:  WAS ACTUALLY EASY SO
   2843 23.72%:  WAS A SENTENCE INA
   2844 23.72%:  WAS ACTUALLY AN OLD SNOO
   2845 23.72%:  WAS INSANELY DOLLY
   2846 23.72%:  WAS INSANELY DECADENTLY
   2847 23.72%:  WAS INSANELY CUM
   2848 23.72%:  WAS A SENTENCE IN UN
   2849 23.72%:  WAS A NICE S
   2850 23.72%:  WAS ACTUALLY MEE
   2851 23.72%:  WAS A SENTENCE IN U
   2852 23.72%:  WAS A SENTENCE IN N
   2853 23.72%:  WAS ACTUALLY EASY D
   2854 23.72%:  WAS A SENTENCE IN MO
   2855 23.72%:  WAS INSANELY UNCOOL T
   2856 23.72%:  WAS A TEEN C
   2857 23.71%:  WAS A LOUSY IDEA TODAY E
   2858 23.71%:  WAS INSANELY AMOUNT
   2859 23.71%:  WAS ACTUALLY A SYNDE
   2860 23.70%:  WAS ONLY A SENTANCE
   2861 23.70%:  WAS ONLY A SENTENCE I ONLY A
   2862 23.70%:  WAS A CLASSY AL
   2863 23.70%:  WAS TOO MANY DUDES ON A SLEE
   2864 23.70%:  WAS A LOUSY TIME
   2865 23.70%:  WAS ACTUALLY EASY IN
   2866 23.70%:  WAS ACTUALLY A SYNEDON
   2867 23.70%:  WAS INSANELY NOT CO
   2868 23.70%:  WAS ACTUALLY ALSO IN
   2869 23.70%:  WAS A CLASSY LO
   2870 23.70%:  WAS ACTUALLY EASY I
   2871 23.70%:  WAS ONLY S
   2872 23.70%:  WAS INSANELY UNCOOL A
   2873 23.70%:  WAS A SENTENCE ALSO MA
   2874 23.70%:  WAS ACTUALLY A LESSON IN NON
   2875 23.70%:  WAS A SENTENCE MUDD
   2876 23.69%:  WAS INSANELY EASY ON
   2877 23.69%:  WAS A CLASSY TIME
   2878 23.69%:  WAS ALSO A STOLE
   2879 23.69%:  WAS A SCENE S
   2880 23.69%:  WAS A LOUSY SENTENCE AND AL
   2881 23.69%:  WAS ONLY AN IDEA DUE TO A C
   2882 23.69%:  WAS ONLY A SENTIM
   2883 23.69%:  WAS ACTUALLY IDEA MESS
   2884 23.69%:  WAS A LESSON TO E
   2885 23.69%:  WAS ONLY T
   2886 23.69%:  WAS A CLASSY DO
   2887 23.69%:  WAS A LESSON IN UNE
   2888 23.69%:  WAS ACTUALLY ADDIE
   2889 23.69%:  WAS A LOUSY IDEA TODAY O
   2890 23.69%:  WAS INSANELY UNCOOL ON
   2891 23.68%:  WAS A LOUSY IDEA TODAY L
   2892 23.68%:  WAS A LOUSY IDEA TODAY S
   2893 23.68%:  WAS TOO EASILY U
   2894 23.68%:  WAS A SENTENCE AND SO
   2895 23.68%:  WAS INSANELY CLOSE TO MY N
   2896 23.68%:  WAS INSANELY UNCOOL ST
   2897 23.68%:  WAS ACTUALLY EASY N
   2898 23.68%:  WAS ACTUALLY A LOSS
   2899 23.68%:  WAS ALL I COULD SAY TO MOSE
   2900 23.68%:  WAS INSANELY UNCOOL L
   2901 23.68%:  WAS A SENTENCE YOU O
   2902 23.68%:  WAS MOSTLY ALL I CO
   2903 23.67%:  WAS ACTUALLY IDEAS LOO
   2904 23.67%:  WAS ALL I COULD SAY ENO
   2905 23.67%:  WAS A LOUSY EN
   2906 23.67%:  WAS A CLASSY DE
   2907 23.67%:  WAS A LOUSY IDEA TODAY ON
   2908 23.67%:  WAS A CLASSY E
   2909 23.67%:  WAS ALL I COULD SAY ON DAYS E
   2910 23.67%:  WAS ACTUALLY SO SOMEONE NE
   2911 23.67%:  WAS A SENTENCE YOU AL
   2912 23.67%:  WAS A LESSON I MAY NOT
   2913 23.67%:  WAS INSANELY DANCY LOL
   2914 23.67%:  WAS A LOUSY IDEA TODAY SO
   2915 23.67%:  WAS ONLY A SENTENCE I ONLY MA
   2916 23.67%:  WAS INSANELY UNCOOL M
   2917 23.67%:  WAS ACTUALLY ONLY ONE IDEA ON
   2918 23.67%:  WAS INSANLY
   2919 23.67%:  WAS ACTUALLY A SYNON
   2920 23.66%:  WAS INSANELY UNCOOL Y
   2921 23.66%:  WAS A LESSON I CANNOT LE
   2922 23.66%:  WAS A SENTENCE ALSO ON
   2923 24.45%:  WAS A SENTENCE ALSO ONLY A
   2924 23.66%:  WAS ACTUALLY SOME SOLID D
   2925 23.66%:  WAS A SENTENCE YOU L
   2926 23.66%:  WAS ACTUALLY A DOL
   2927 23.66%:  WAS INSANELY UNCOOL D
   2928 23.66%:  WAS ACTUALLY MAIDENESS ONLY
   2929 23.66%:  WAS A LOUSY A
   2930 23.66%:  WAS INSANELY UNCOOLLY
   2931 23.66%:  WAS INSANELY UNEASY AND
   2932 23.66%:  WAS A SENTENCE SO M
   2933 23.66%:  WAS ACTUALLY A DEN
   2934 25.67%:  WAS ACTUALLY A DENNIS M
   2935 23.66%:  WAS INSANELY EASY M
   2936 23.66%:  WAS INSANLE
   2937 25.12%:  WAS INSANLEY E
   2938 24.90%:  WAS INSANLEY A
   2939 23.65%:  WAS INSANELY EDUCATED L
   2940 23.65%:  WAS INSANELY UNSET
   2941 23.65%:  WAS A SENTENCE YOU MA
   2942 23.65%:  WAS ACTUALLY MIS
   2943 23.65%:  WAS A LOUSY SET
   2944 23.65%:  WAS A CLASSY TO
   2945 23.65%:  WAS A CLASSY OUT
   2946 23.65%:  WAS INSANELY UNCOOL S
   2947 23.65%:  WAS A CLASSY LE
   2948 23.65%:  WAS INSANELY EASY T
   2949 23.65%:  WAS A LESSON ONLY TO
   2950 23.65%:  WAS ACTUALLY ONLY ON A
   2951 23.65%:  WAS INSANE SAY
   2952 23.65%:  WAS A SCENE E
   2953 23.65%:  WAS ALSO A SALTY M
   2954 23.65%:  WAS ALL I COULD SAY ON TA
   2955 23.65%:  WAS SOME TE
   2956 23.65%:  WAS INSANELY UNCOOL AL
   2957 23.65%:  WAS A SENTENCE DU
   2958 23.64%:  WAS A SENTENCE YOU ON
   2959 23.64%:  WAS ALL I COULD SAY ON SO MANY TE
   2960 23.64%:  WAS A SENTENCE ONLY A LY
   2961 23.64%:  WAS INSANELY EDUCAY
   2962 23.64%:  WAS A SCENE DE
   2963 23.64%:  WAS ALL I COULD SAY ON SO MANY T
   2964 23.64%:  WAS ACTUALLY SOME IDEAS D
   2965 23.64%:  WAS A SENTENCE YOU A
   2966 23.64%:  WAS ACTUALLY NIELSEN A
   2967 23.64%:  WAS ACTUALLY SOME IDEAS E
   2968 23.64%:  WAS ALL I COULD SEE T
   2969 23.64%:  WAS INSANE DUDES ONLY
   2970 23.64%:  WAS INSANELY DAMNED C
   2971 23.64%:  WAS A SCENE D
   2972 23.64%:  WAS A LOUSY CON
   2973 23.64%:  WAS ACTUALLY MAL
   2974 23.64%:  WAS INSANELY EYE D
