Off panel: Can we talk about what was said earlier
100.00%: 
3.34%:  was
0.00%:  was a friend who let
0.00%:  said these were all
0.00%:  said these were all awful
0.00%:  saw it and now we
0.00%:  is a friend: a
0.00%:  statue at
0.00%:  spent half a week at
0.00%:  has a friend after all:
0.00%:  was a fine statue for
0.00%:  spent a week and a half t
0.00%:  with a statue of a bear
0.00%:  spent a week and a half bal
0.00%:  stared at it for like
0.00%:  stared at it for like half
0.00%:  stared at it for like half a
0.00%:  also threw a tan
0.00%:  speaks about
0.00%:  has fallen in a lake
0.00%:  was able to stuff
0.00%:  here wants to build
0.00%:  here wants to build a real
0.00%:  is a statue of what a fr
0.00%:  spent a week and a half saw
0.00%:  was able to see it
0.00%:  learns about art while
0.00%:  has a few weeks left
0.00%:  statue is a bad
0.00%:  take the
0.00%:  was a fake statue with a real
0.00%:  was a fake statue with a real friend
0.00%:  knew what was up and left
0.00%:  knew what was up and left before
0.00%:  wants this one
0.00%:  was in town earlier
0.00%:  was a statue for a half an
0.00%:  has been a real pal to us
0.00%:  left this in a
0.00%:  left this in a park
0.00%:  left this in a park and
0.00%:  left this in a park after
0.00%:  built this and wants
0.00%:  has been faked
0.00%:  knew it was real and
0.00%:  is a fan of bad
0.00%:  was a real ar
0.00%:  now has a life s
0.00%:  is super rad at
0.00%:  swears he talked
0.00%:  has put it in front
0.00%:  was unable to finish after all
0.00%:  pulled that off a real
0.00%:  was a better friend what
0.00%:  put all the effort in and we
0.00%:  is a statue of hate
0.00%:  was a friend but he was an
0.00%:  had us all work
0.00%:  put a bow and
0.00%:  put a bow and ar
0.00%:  has drawn a new statue to
0.00%:  was kind to wait
0.00%:  pass
0.00%:  no
0.00%:  was the real deal: a
0.00%:  was the real deal: a statue
0.00%:  is the real freak
0.00%:  found it at a park with all
0.00%:  is a friend who wasn
0.00%:  turned it into a half
0.00%:  drew us this
0.00%:  worked as a stat
0.00%:  is a poet and has
0.00%:  was a real life statue for the
0.00%:  is a statue: what
0.00%:  was a real friend: he was able to talk
0.00%:  will be at the awards
0.00%:  has a statue and if
0.00%:  and his wife are better at
0.00%:  was a real statue the
0.00%:  hired an artist:
0.00%:  paid for the statue weeks
0.00%:  asked for a statue all
0.00%:  built it after we heard
0.00%:  was a fake statue all the
0.00%:  was a real but
0.00%:  is taller and has an
0.00%:  has put a ban
0.00%:  was a better friend wasn
0.00%:  has set up a table at
0.00%:  wins the statue award in
0.00%:  was the real statue for a few
0.00%:  built it and now all
0.00%:  felt like he was a
0.00%:  felt like he was a bad
0.00%:  wanted a statue of an al
0.00%:  knew what a statue was prior
0.00%:  is n
0.00%:  was a better friend while also
0.00%:  is an awful artist: he drew
0.00%:  was a better friend :
0.00%:  was a bit off with all
0.00%: : a friend with a statue
0.00%:  is a real artist and now we all
0.00%:  and his wife won
0.00%:  wrote it after we all saw
0.00%:  writes fan
0.00%:  was the winner but
0.00%:  saw it and we were
0.00%:  saw it and we were all
0.00%:  spoke true
0.00%:  has done a li
0.00%:  is aware that we don
0.00%:  farted on a
0.00%: : the statue was paid
0.00%:  was here and went
0.00%:  saw it and he was freak
0.00%:  has a new idea:
0.00%: : what was i
0.00%:  built it and after
0.00%:  built it and after he was
0.00%:  has built a pl
0.00%:  has taken a lead role in a
0.00%:  here is an awful friend:
0.00%:  has a twin and
0.00%:  paid for it after he was stab
0.00%:  used flash
0.00%:  was at the park and it was all
0.00%:  said real
0.00%:  has a real idea about art
0.00%:  is a bad fake artist
0.00%:  said he was all like
0.00%:  was able to use a few
0.00%:  paid for it as thanks after
0.00%:  is a freak of nature and that is
0.00%:  saw it in a park and was able
0.00%:  faked it with a tape
0.00%:  was a little unfair of
0.00%:  is a far better pal and a
0.00%:  is awful and we all want to be
0.00%:  wanted to learn a
0.00%:  paid for it after the bank
0.00%:  is now a fake
0.00%:  is now a fake statue and
0.00%:  found an artist with real
0.00%:  also asked if the
0.00%:  parked this
0.00%: : drawn
0.00%:  is a bit of an awful
0.00%:  built this for real
0.00%:  built this for real and
0.00%:  is a better friend than we allow
0.00%:  was unable to keep
0.00%:  was CO
0.00%:  was able to sneak an
0.00%:  built it after he was sad
0.00%:  drew one
0.00%:  has taken up all
0.00%:  in real
0.00%:  in real life was
0.00%:  in real life was a
0.00%:  in real life was a statue
0.00%:  in real life:
0.00%:  in real life was a statue of what
0.00%:  has a statue award now
0.00%:  and his wife felt
0.00%:  found it at a art
0.00%:  found it at a art fair
0.00%:  takes our
0.00%:  will use it as
0.00%:  turned real
0.00%:  paid for a real statue while we
0.00%:  is a pure artist
0.00%:  is a pure artist and
0.00%:  faked the entire
0.00%:  no like
0.00%:  is aware of what a statue will
0.00%:  has blown up an
0.00%:  was false
0.00%:  put it here as an
0.00%:  has put in an award
0.00%:  asked if it was up for
0.00%:  ate all the fruit
0.00%:  ate all the fruit salad
0.00%:  is a real statue now and all we
0.00%:  paid an artist a fr
0.00%:  built this and was
0.00%:  was an awful friend: a worse
0.00%:  has a new statue park and
0.00%:  was able to draw up this
0.00%:  here was a real statue of
0.00%:  ran off with a statue idea
0.00%:  is a statue of a fan
0.00%:  builds fake
0.00%:  and his wife want a statue for
0.00%:  was a statue and we all threw
0.00%:  has built a new friend a
0.00%:  spent about a week and a half all
0.00%:  said he was late
0.00%:  said he was late for a
0.00%:  was a real true
0.00%:  takes pride in what
0.00%:  had to take an
0.00%:  is the statue of a real friend:
0.00%:  would be there
0.00%:  is a statue of what if
0.00%:  was able to draw a statue in half
0.00%:  sure is a hard
0.00%:  is a statue of art
0.00%:  was a friend so
0.00%:  put her
0.00%:  kept that
0.00%:  has taken it into
0.00%:  spent a week and a half or
0.00%:  won it at a fair and we all
0.00%:  likes us
0.00%:  paid an artist a freak
0.00%:  is a real art fan
0.00%:  here is a friend of a statue
0.00%:  walt
0.00%:  worked in his
0.00%:  offers his
0.00%:  has an idea for a new park: stat
0.00%:  had a little bit of a freak
0.00%:  was a real friend: he went to all
0.00%:  based on
0.00%:  drew a statue of a real
0.00%:  is a statue at all
0.00%:  was tr
0.00%:  has been a statue for an aw
0.00%:  is awful at the art
0.00%:  was a real arse about
0.00%:  was able to take a flaw
0.00%:  was sorta kinda
0.00%:  was at the park and now
0.00%:  is a statue of hate and
0.00%:  statue draws
0.00%:  asked for a life s
0.00%:  the statue was a real
0.00%:  the statue was a real friend
0.00%:  was unable to take the
0.00%:  is a hell
0.00%:  is a hell of a friend
0.00%:  is a hell of a statue
0.00%:  is a hell of an
0.00%:  is a hell of an artist and
0.00%:  based it on a fake
0.00%:  was able to learn and
0.00%:  here to
0.00%: : Can we talk about it
0.00%:  said it was a hell
0.00%:  is here and will
0.00%:  has nailed all
0.00%:  found this at a park we
0.00%:  paid for the statue as a wake
0.00%:  wanted a statue for his life
0.00%:  blew it up and fr
0.00%:  saw it at a park in
0.00%:  is awful at this art
0.00%:  built half
0.00%:  asked for a pl
0.00%:  swears that a
0.00%:  swears that a real
0.00%:  is a fellow statue fan
0.00%:  is a friend of all us
0.00%:  will be out
0.00%:  is a real fun
0.00%:  is a real fun friend
0.00%:  would write
0.00%:  had a point: stat
0.00%:  drew it super fast with a ball
0.00%:  wanted a statue of a s
0.00%:  is an awful and false
0.00%:  kinda won
0.00%:  will stare
0.00%:  left after he saw it and now we
0.00%:  paused for a beat while
0.00%:  is aware of all the parts
0.00%:  was able to turn a few heads in
0.00%:  said it was awful after all
0.00%:  wanted it to be a life
0.00%:  was able to find a fault
0.00%:  is the best friend we all know
0.00%:  was able to take and finish
0.00%:  is a fake statue with a real
0.00%:  wins all the bet
0.00%:  was a statue of friend
0.00%:  wins a free hair
0.00%:  finds his
0.00%:  went for a walk and the
0.00%:  paid an artist for all
0.00%:  threw up a little and we
0.00%:  rather
0.00%:  rather liked
0.00%:  rather likes
0.00%:  paid for a new statue after we all saw
0.00%:  is better than a fake
0.00%:  ate all the straw
0.00%:  needs an
0.00%:  threw it at a wall and a
0.00%:  was in the area and built
0.00%:  is aware of all that is
0.00%:  put on
0.00%:  put on a fake
0.00%:  sure is an aw
0.00%:  likes all
0.00%:  threw a fit and now we
0.00%:  was on a trip and he saw
0.00%:  was able to find like a
0.00%:  was a little afraid of what a
0.00%:  was a little afraid of what a real
0.00%:  said it was real after
0.00%:  was able to find a phrase
0.00%:  had so
0.00%:  found it at a park:
0.00%:  was to
0.00%:  was a friend we
0.00%:  was a little upset for a while and we
0.00%:  will be sad for weeks after
0.00%:  is an artist and we put
0.00%:  still has a life
0.00%:  sure ain
0.00%:  was able to find a little
0.00%:  bent
0.00%:  found it in a fake
0.00%:  was a real butt
0.00%:  has taped a life
0.00%:  wanted a statue of a swear
0.00%:  posed like that
0.00%:  has put a bad
0.00%:  asked for a statue with a li
0.00%: : this was an
0.00%: : this was an awful
0.00%: : this was an awful idea for
0.00%: : this was an awful idea for a pr
0.00%:  also sent a
0.00%:  drew this on a wall
0.00%:  was a real friend: he was able to put
0.00%:  was an artist who knew all
0.00%:  asked us for a real
0.00%:  is a fake and an awful artist
0.00%:  was a statue of a friend all week
0.00%:  has a new idea for a statue all
0.00%:  here is not
0.00%:  here is not a bad
0.00%:  here is not a bad artist
0.00%:  here is not a bad statue
0.00%:  here is not a statue
0.00%:  is a total weird
0.00%:  sure has a friend in
0.00%:  was an artist who knew a
0.00%:  has set it up at
0.00%:  was a statue of a bear when
0.00%:  has drawn a statue of a fake
0.00%:  wanted a statue of f
0.00%:  wanted a statue of fries
0.00%:  here is a fake friend
0.00%:  has spent a full week and
0.00%:  is a real artist and fellow
0.00%:  knew what a real statue was and fr
0.00%:  sure has a weird take
0.00%:  was taller and pre
0.00%:  has put a knife in
0.00%:  has been a fan all
0.00%:  said it was a prank but then
0.00%:  was able to find half
0.00%:  has worked in stat
0.00%:  wins all the awards:
0.00%:  saw it and threw it
0.00%:  said it was a weak effort
0.00%:  will be a statue in a park and
0.00%:  at this
0.00%:  is well aware that if a
0.00%:  was su
0.00%:  there is a real
0.00%:  threw it into a lake and we
0.00%:  threw it into a lake and we all
0.00%:  kept harass
0.00%:  wins all the awards for aw
0.00%:  was a friend after all: he knew
0.00%:  wants to see a real life
0.00%:  please read
0.00%:  was a real winner of
0.00%:  was a real winner of a statue
0.00%:  was a friend at the
0.00%:  said he was a little freak
0.00%:  is now a real statue and all he
0.00%:  drawn that
0.00%:  has a new friend but we
0.00%:  is a friend of us
0.00%:  has an artist pal and
0.00%:  was part of the art
0.00%:  broke the statue and was
0.00%:  like it
0.00%:  wanted us to write a
0.00%:  wants it as a park
0.00%:  pals around all
0.00%:  is a fan art
0.00%:  walks off
0.00%:  threw up and we all
0.00%:  reads the
0.00%:  was an artist and it
0.00%:  was an art pro
0.00%:  is a statue and he blew
0.00%:  put all this effort and
0.00%:  here: a friend
0.00%:  has a true talent
0.00%:  works at an ad
0.00%:  left that in
0.00%:  was a little out
0.00%:  knew it was a statue and we
0.00%:  knew it was a statue and we all
0.00%:  saw it and wasn
0.00%:  has been an awful pal
0.00%:  earned this one
0.00%:  has award
0.00%:  wanted a real statue for his new
0.00%:  went and built a whole
0.00%:  is well aware of his flaw
0.00%:  is well aware of his flawed nature
0.00%:  said it was par
0.00%:  and his statue wife are far
0.00%:  is a real statue of real life
0.00%:  in this
0.00%:  won a free statue and we
0.00%:  won a free statue and we all
0.00%:  built it and he was real
0.00%:  here built it after
0.00%:  has a new friend so
0.00%:  drew it after he was able
0.00%:  put it on his lawn as
0.00%:  put it on his lawn as a dare
0.00%:  was a statue earlier when
0.00%:  is a real life statue and a far
0.00%:  wanted a statue of a real f
0.00%:  wants a statue of a real friend:
0.00%:  bid
0.00%:  won all the awards at
0.00%:  is a statue of a friend what
0.00%:  was a little worked up at
0.00%:  knew what a real statue and
0.00%:  knew what a real statue and real
0.00%:  has also taken up a
0.00%:  has also taken up a new
0.00%:  has left a real statue in
0.00%:  built it of all
0.00%:  was able to return
0.00%:  is an awful friend who we all
0.00%:  and his son were
0.00%:  used a real life person
0.00%:  has a t
0.00%:  beat us all and we
0.00%:  would be a real
0.00%:  in all
0.00%:  is a penis
0.00%:  was a little rude in
0.00%:  has brains
0.00%:  has put a straw
0.00%: : as a friend of
0.00%:  said it was the freak
0.00%:  is a ph
0.00%:  ob
0.00%:  feels bad for hur
0.00%:  knew it was an awful idea the
0.00%:  found it while we were at a bar
0.00%:  found it while we were at a bar last
0.00%:  is at a park
0.00%:  wanted one with all
0.00%:  spent a week as
0.00%:  knew it was an awful idea for
0.00%:  was in the park and after a
0.00%:  was in the park and after a few
0.00%: : it is awful
0.00%:  and his statue were a
0.00%:  laid a statue at
0.00%:  went as far as to build a park
0.00%:  was here last week and put
0.00%:  has a son
0.00%:  is a real statue with a fake
0.00%:  laid in
0.00%:  put in all the work and we
0.00%:  is a statue and we are both
0.00%:  threw it at a bear
0.00%:  threw it at a bear and
0.00%:  was a fake friend to
0.00%:  is what a bad statue of a
0.00%:  wanted a statue of a flash
0.00%:  wants us to tear
0.00%:  knew this was all an
0.00%:  said he was like
0.00%:  has a statue of a real friend in
0.00%:  has paid an artist for a new
0.00%:  put the real
0.00%:  ask
0.00%:  keeps it around as an
0.00%:  knew what was up for a
0.00%:  has beaten us in
0.00%:  felt bad after all the
0.00%:  wins a free statue of a
0.00%:  is aware that our
0.00%:  said it was all talk
0.00%:  take that
0.00%:  was a little late for his
0.00%:  was a friend for that
0.00%:  was safe
0.00%:  beat us all and won a
0.00%:  beat us all and won a free
0.00%:  was at it all
0.00%:  is a fan of the art and
0.00%:  here was able to turn a
0.00%: : hold
0.00%:  drew this for a
0.00%:  raised the statue for a few
0.00%:  is a little drunk
0.00%:  was able to draw it in a week
0.00%:  found it in a park that we
0.00%:  is a fan of all the
0.00%:  is an aaa
0.00%:  is the artist and a
0.00%:  was able to super
0.00%:  spent a whole after
0.00%:  has drawn a statue like a
0.00%:  has drawn a statue like a real
0.00%:  had it built after we were
0.00%:  had it built after we were all
0.00%:  is awful and we all know that
0.00%:  is a writer and a
0.00%:  is a pro and
0.00%:  said it was a h
0.00%:  threw paint at a real
0.00%:  said it was all a r
0.00%:  wins free
0.00%:  will be a statue of sad
0.00%:  was a statue all week while
0.00%:  worked with a pas
0.00%:  fell asleep and now it
0.00%:  sure had a fine
0.00%:  likes it when we
0.00%:  filled the
0.00%:  is awful and all he
0.00%:  is awful and all he wants
0.00%:  wants a statue for a
0.00%:  is a better friend of all
0.00%:  was a friend but also
0.00%:  was ast
0.00%:  is now a fake friend
0.00%:  was an artist who liked
0.00%:  is a statue of an ideal
0.00%:  said that after all we
0.00%:  wanted a statue of a plain
0.00%:  paid an artist who was an
0.00%:  was at the park and we all
0.00%:  woke up with a new
0.00%:  woke up with a new friend
0.00%:  paid no
0.00%:  laid all
0.00%: : what is up
0.00%:  threw a plate of las
0.00%:  wears a hard
0.00%:  here is a total
0.00%:  drew it with a real
0.00%:  here is a fine statue and
0.00%:  here is a fine statue and a
0.00%:  stole the
0.00%:  stole the idea
0.00%:  is still a far
0.00%:  then walked
0.00%:  woke up with a start
0.00%:  woke up with a start and saw
0.00%:  woke up with a start and was
0.00%:  woke up with a start and saw a
0.00%:  sure has been a friend
0.00%:  still o
0.00%:  built it after we all ran
0.00%:  was able to draw after
0.00%:  wasted all his talent on a fake
0.00%:  all wanted
0.00%:  up there was a real
0.00%:  was able to find a real estate
0.00%:  drew it up real fast like
0.00%:  paid for the statue we all
0.00%:  paid for the statue we all saw
0.00%:  was here and it was all like
0.00%:  sure has a w
0.00%:  paid for a real statue with a bank
0.00%:  put that on a
0.00%:  has used a few
0.00%:  wanted a statue of a life s
0.00%:  said that we are
0.00%:  has spun
0.00%:  threw a statue in a lake and fro
0.00%:  le
0.00%:  put all of his art
0.00%:  was a little afraid of us
0.00%:  is a better fake than
0.00%:  was a fan of stat
0.00%:  is off the wall
0.00%:  told us that was a
0.00%:  is a statue with an award
0.00%:  has paid for a 
0.00%:  was at a park and saw the
0.00%:  has used a little
0.00%:  needs to learn that
0.00%:  was a real friend but that
0.00%:  was a real friend but that was
0.00%:  has been a friend all of
0.00%:  was an artist with real
0.00%:  saw it on a walk and he was
0.00%:  has worked in an
0.00%:  has worked in an art
0.00%:  wanted a statue of a kar
0.00%:  set it up and left
0.00%:  is late for a date with
0.00%:  went for a walk after we said
0.00%:  is taller but
0.00%:  said there was an awful li
0.00%:  walks a
0.00%:  has built it after
0.00%:  feels weird
0.00%:  threw up and it fell
0.00%:  here is an artist and we all
0.00%:  was an awful friend: it
0.00%:  was an awful friend: it was
0.00%: : that was super weird
0.00%:  worked with a real talent
0.00%:  put it there a
0.00%:  wins the award in
0.00%:  is a total dwarf
0.00%:  was a real friend: he spent all
0.00%:  won in
0.00%:  is the real star
0.00%:  is here as a friend
0.00%:  has spent all week and
0.00%:  has a new friend at statue
0.00%:  has a new friend at statue park
0.00%:  has been a statue all of
0.00%:  wears a hat and wears a
0.00%:  is an artist and a half
0.00%:  is a statue of a pal
0.00%:  wanted a statue of a bear:
0.00%:  kept it around after he
0.00%:  paid for it at a real
0.00%:  there wanted
0.00%:  won the art
0.00%:  won the art award
0.00%:  here was a fine fellow and
0.00%:  has put an ad in all
0.00%:  is a statue fan and we
0.00%:  in his under
0.00%:  was worked
0.00%:  is aware of all the fault
0.00%:  bal
0.00%:  drew it in a few hours
0.00%:  has a point after all:
0.00%:  saw it and he put
0.00%:  was at the park and saw a life
0.00%:  was paid to take
0.00%:  was in the artist
0.00%:  has a friend statue for
0.00%:  asked us all for
0.00%:  stalk
0.00%:  was here for a bit and was
0.00%:  threw in a statue of a bear
0.00%:  had to steal
0.00%:  and wife
0.00%:  told us we were
0.00%:  was able to wear a
0.00%:  faked a statue to
0.00%:  has kept it under
0.00%:  also put a little
0.00%:  is a real statue and if we
0.00%:  was an artist in real
0.00%:  is a total winner
0.00%:  was at least an
0.00%:  is an awful artist and we both
0.00%:  is a real world
0.00%:  is a real world statue
0.00%:  and a statue of a bear
0.00%:  paid for a real status
0.00%:  drew it after an awful
0.00%:  is an awful artist: he drew a
0.00%:  built it and he knows
0.00%:  went as far as he
0.00%:  rode
0.00%:  paid for it half
0.00%:  baked this after
0.00%:  has a better idea of all
0.00%:  has set up a friend
0.00%:  drew it real fast but he was
0.00%:  has been a part of it
0.00%:  has been a part of it all
0.00%: : a statue with a friend
0.00%:  was a real down
0.00%:  will be a statue for 
0.00%:  slept
0.00%:  is an awful friend who takes apart
0.00%:  has a new friend but we all
0.00%:  found this in a park far
0.00%:  saw this and we
0.00%:  blew it up and we
0.00%:  was a fake and a li
0.00%:  wasted all that ink for
0.00%:  lost a bet and
0.00%:  will be pissed at
0.00%:  found it here:
0.00%:  found it here: www
0.00%:  is awful at all his
0.00%:  has a real statue and a real life
0.00%:  is awful and we all want to be his
0.00%:  has been around as
0.00%:  left after he pun
0.00%:  hired stat
0.00%:  spent a while at a
0.00%:  felt bad after we all
0.00%:  knew what a real statue will
0.00%:  spent all of last week and a few
0.00%:  threw it at a bus
0.00%:  threw it at a bus and
0.00%:  here is a super
0.00%:  asked if it was a par
0.00%:  was a real friend when it was all
0.00%:  and the rest of us are all a bit
0.00%:  paid a full two
0.00%:  spent a week and a half bl
0.00%:  has res
0.00%:  said it was what our
0.00%:  drew this after we ate
0.00%:  was a real bro
0.00%:  was a wise friend for
0.00%:  has taken it well
0.00%:  was a little on
0.00%:  has an idea in
0.00%:  was here and we built it for
0.00%:  had it built as part
0.00%:  had it built as part of a
0.00%:  wrote this and we
0.00%:  spent a week and a half fur
0.00%:  put his life and
0.00%:  wants to return
0.00%:  here is a statue and it
0.00%:  was an artist before he ate all
0.00%:  wanted a statue for his real life
0.00%:  was in a park and saw a little
0.00%:  is a fine fellow but he was
0.00%:  and his wife spent a few
0.00%:  saw all
0.00%:  is a fella who takes
0.00%:  feels bad for all his
0.00%:  breaks a
0.00%:  paid an artist well for
0.00%:  read it
0.00%:  is a fake person
0.00%:  is a fake person and
0.00%:  had to learn it
0.00%:  is at his
0.00%:  was able to find a flaw in
0.00%:  is stupid for
0.00%:  built a new park
0.00%:  built a new park and
0.00%:  was able to take a fine
0.00%:  sour
0.00%:  was a real statue with
0.00%:  was a real statue with real
0.00%:  feels a little sad about
0.00%:  has an idea for a new statue all
0.00%:  knew what a real statue does
0.00%:  was in the park and saw two
0.00%:  was here but left
0.00%:  was here but left after
0.00%:  is fast
0.00%:  saw it and he knows
0.00%:  is a bit of an art
0.00%:  is now a real statue and a
0.00%:  here is an awful and
0.00%:  saw it and the
0.00%:  and his wife were upset
0.00%:  will be real upset
0.00%:  is not a real friend but a fake
0.00%:  was a better friend when it
0.00%:  was a better friend when it was
0.00%:  was a better friend when it was all
0.00%:  paid a few of
0.00%:  is a person
0.00%:  paid an artist at
0.00%:  worked it up real fast with
0.00%:  used all his art
0.00%:  is an awful art friend
0.00%:  has paid for a new statue:
0.00%:  was a real friend so we
0.00%:  here is our
0.00%:  is a writer and has
0.00%:  faked a statue when
0.00%:  is aware of the plural
0.00%:  won a free statue and was
0.00%:  won a free statue and was able
0.00%:  went for a walk and his
0.00%:  is a statue of a t
0.00%:  had it all taken
0.00%:  here is not a friend
0.00%:  drew it after he was a
0.00%:  was the true friend in all
0.00%:  was the true friend in all of
0.00%:  is a real statue with an
0.00%:  threw in a statue of a friend
0.00%:  was li
0.00%:  has put it on a
0.00%:  paid an artist a b
0.00%:  owns and
0.00%:  is a worse friend but a
0.00%:  failed as a statue:
0.00%:  with awful
0.00%:  was able to hire an artist and a few
0.00%:  tried to help
0.00%:  paid an artist for a week
0.00%:  was able to find that in
0.00%:  had it C
0.00%:  fell asleep and his brain f
0.00%:  here paid a real
0.00%:  here paid a real statue
0.00%:  was a statue for an entire half
0.00%:  has a wife and son
0.00%:  faked that part
0.00%:  was able to draw a statue like
0.00%:  set up this award
0.00%:  is the real patron
0.00%:  paid for a statue after we all saw
0.00%:  saw it at a park and then
0.00%:  wanted to run
0.00%:  found it:
0.00%:  ate all the fruit and
0.00%:  is a poet and a real
0.00%:  was a real artist: he knew
0.00%:  put all sorts
0.00%:  wanted to thank all
0.00%:  wears a super
0.00%:  has a statue park for failed
0.00%:  put it there as an
0.00%:  has neat
0.00%:  has also been kind
0.00%:  threw it at our wall
0.00%:  threw it at our wall and
0.00%:  has fallen asleep at work and we
0.00%:  has trad
0.00%:  is a statue of what we all are afraid
0.00%:  saw it and was a
0.00%:  saw it and was a little freak
0.00%:  put a new head on a
0.00%:  put a new head on a real
0.00%:  is a fake statue fan
0.00%:  is a fi
0.00%:  will know what a bad
0.00%:  will know what a bad statue is
0.00%:  will know what a badass
0.00%:  saw it and was all like:
0.00%:  knew what a real statue was: a life
0.00%:  was hired for 
0.00%:  said that we all want
0.00%:  was in the area and was a
0.00%:  was in the area and was a little off
0.00%:  is the real artist and all
0.00%:  is a real artist and we went
0.00%:  left it behind as
0.00%:  left it behind as a part
0.00%:  left it behind as a fare
0.00%:  set this up in
0.00%:  is a real statue and will be a
0.00%:  was in the park and saw it: a
0.00%:  saw it on a wall and
0.00%:  put all that work
0.00%:  is pr
0.00%:  threw a fit and beat
0.00%:  has pin
0.00%:  built it and we are
0.00%:  built it and we are all
0.00%:  is tall and skin
0.00%:  is a real life statue of a bear
0.00%:  feels better
0.00%:  paid for a statue:
0.00%:  is a fake friend who wants a
0.00%:  is a fake friend who wants a real
0.00%:  knew what a real statue was for an
0.00%:  was at least a friend of
0.00%:  this is awful and we
0.00%:  built it after we all heard
0.00%:  was able to fake it with
0.00%:  has a better plan for a
0.00%:  here is a real statue now
0.00%:  drew that in like a
0.00%:  has a friend so
0.00%:  was at least a real
0.00%:  was at least a real friend
0.00%:  was at least a real friend when
0.00%:  set it up in front
0.00%:  is part of what
0.00%:  has a true art
0.00%:  had a statue of an
0.00%:  wanted to warn us
0.00%:  left it at a bar and
0.00%:  has st
0.00%:  wanted us to learn
0.00%:  has been d
0.00%:  tried to steal
0.00%:  the statue:
0.00%:  knows what real art and
0.00%: : it was easier to draw
0.00%: : it was easier to draw than a
0.00%:  was super into it and
0.00%:  still has a better
0.00%:  paid for a statue in the
0.00%:  had artist
0.00%:  has a few ideas about real
0.00%:  is a freak of nature: a
0.00%:  had a real life statue of a
0.00%:  kept it around after he was
0.00%:  wanted a real statue when
0.00%:  beard
0.00%:  hired an artist off
0.00%:  has a friend paint all
0.00%:  wins at life at all
0.00%:  is aware of what a friend
0.00%:  wanted a statue if
0.00%:  was in a plane that was
0.00%:  at statue
0.00%:  turned into a real
0.00%:  has been at it for like
0.00%:  has also taken it
0.00%: : a friend worth
0.00%:  said it was a neat
0.00%:  was hired as an after
0.00%:  has been paid for a
0.00%:  has a real statue and we all
0.00%:  has las
0.00%:  set up a fake news
0.00%:  will be a statue for life and he
0.00%:  was so un
0.00%:  is an awful friend who saw
0.00%:  was there and saw it all
0.00%:  was a wise and ben
0.00%:  faked it with an
0.00%:  is a bit of a fan
0.00%:  keeps it in the
0.00%:  threw a statue off
0.00%:  is a statue of faith and
0.00%:  is an artist: a
0.00%:  has taken it all in
0.00%:  set it up and he was
0.00%: : what are all
0.00%:  here is a stat
0.00%:  is off panel and we
0.00%:  is aware of the law
0.00%:  here is a statue of friend
0.00%:  is a friend who takes all
0.00%:  is aware of all the rules
0.00%:  was a better friend: all
0.00%:  is the statue of a friend we
0.00%:  is the statue of a friend we all
0.00%:  is a real awful friend when
0.00%:  has a real life statue now and we
0.00%:  was worth
0.00%:  is all the
0.00%:  wants to be sure
0.00%:  here was a fine artist and a
0.00%:  was an awful friend so we all
0.00%:  built this and now we all
0.00%:  has been at it for a week and it
0.00%:  is an awful friend who keeps a
0.00%:  was able to draw it up while
0.00%:  works in a stat
0.00%:  wanted a statue of all his life
0.00%:  paid for a statue when we
0.00%:  is awful and he is a
0.00%:  was in the park and saw a full
0.00%:  saw his
0.00%:  has a statue of a well
0.00%:  has been our friend a
0.00%:  was a fake statue and a li
0.00%:  and a few of the
0.00%:  was able to draw this free
0.00%:  is a statue of a friend when
0.00%:  blah
0.00%:  has been on a statue walk
0.00%:  has been on a statue walk all
0.00%:  wanted a statue of half a brain
0.00%:  was able to turn a friend
0.00%:  was a real life statue and a
0.00%:  was a real life statue and a real
0.00%:  is a statue and he ain
0.00%:  was the statue for
0.00%:  drew a statue with all
0.00%:  spent all week and his
0.00%:  spent all week and his life
0.00%:  is a fake and there
0.00%:  put that in for
0.00%:  was the real stat
0.00%:  is the statue and we are
0.00%:  is the statue and we are all
0.00%:  is a real friend who tells
0.00%:  found this after we were
0.00%:  found this after we were all
0.00%:  left it behind after we all
0.00%:  won a free statue after a
0.00%:  was able to take a snap with
0.00%:  is the winner of all
0.00%:  is the winner of all awards
0.00%:  knows where it was
0.00%:  is a statue with a fake
0.00%:  is a statue with a fake beard
0.00%:  is worth
0.00%: : that was a lie
0.00%:  is a statue who will be
0.00%:  now draws
0.00%:  is a real artist and what we
0.00%:  had a real stat
0.00%:  was here and built it for
0.00%:  is aware that in
0.00%:  is aware that in real
0.00%:  wants it in our
0.00%:  wants it in our park
0.00%:  built this after a few
0.00%:  is now a statue after
0.00%:  is now a statue after all
0.00%:  is awful at art and also
0.00%:  said to paint a
0.00%:  said that it was far
0.00%:  has an idea of a real statue:
0.00%:  was the real life statue for
0.00%:  was the real life statue for a
0.00%:  found it while we were all at a park
0.00%:  has a statue of a far
0.00%:  woke up and he
0.00%:  woke up and he was
0.00%:  woke up and he was a
0.00%:  was hired for a week
0.00%:  was a real friend: all
0.00%:  wanted there
0.00%:  is afraid to be near
0.00%:  pulled off a sweet
0.00%:  is a bad statue for a
0.00%:  put it there and we
0.00%:  put it there and we all
0.00%:  is an artist and well aware of what a
0.00%:  had two
0.00%:  please what
0.00%:  said there was a fatal
0.00%:  said there was a fatal flaw in our
0.00%:  said there was a fatal flaw in our plan
