got like a thousand REALLY GOOD REASONS for doing that
100.00%: 
1.31%:  got the
0.00%:  got REAL GOOD AN
0.00%:  got REAL REAL
0.00%:  got on REALLY DO
0.00%:  got it REALLY SE
0.00%:  ALSO got a din
0.00%:  looked REALLY GOOD into
0.00%:  got a fade
0.00%:  ALSO tried taking a
0.00%:  got YEARS of AL
0.00%:  got a REALLY GOOD REASON one
0.00%:  got a lot of REALLY GOOD ide
0.00%:  got GOOD REASONS for REALLY not
0.00%:  got a REALLY GOOD lot
0.00%:  got REALLY GOOD REASONS for not d
0.00%:  ALREADY got ONE good
0.00%:  got LEARNED S
0.00%:  got a REALLY fet
0.00%:  got a GOOD RO
0.00%:  got a REALLY GOOD REASON for done
0.00%:  got a REALLY GOOD kar
0.00%:  got a REALLY GOOD goal in
0.00%:  got a front like
0.00%:  done that ONLY A L
0.00%:  got a fine l
0.00%:  GOOD REASONS for it to
0.00%:  got a REALLY old thing
0.00%:  got the SNA
0.00%:  got to ALSO do
0.00%:  got the DEALS
0.00%:  got a lot of LAYERS in
0.00%:  th
0.00%:  got nat
0.00%:  got YEARS on the
0.00%:  looked REALLY SAD at
0.00%:  got REAL GOOD REASONS if
0.00%:  got one REAL
0.00%:  got to find REAL AN
0.00%:  got a good fl
0.00%:  got a lion
0.00%:  ALREADY got a thousand naked
0.00%:  got to go find a RE
0.00%:  got to go find a REAS
0.00%:  got to go find a REALL
0.00%:  got to go find a REALLY GO
0.00%:  got to go find a REALLY GOOD S
0.00%:  got to go find a REALLY GOOD RE
0.00%:  got to go find a REALLY GOOD N
0.00%:  got REAL GRO
0.00%:  left good
0.00%:  got LARGE DR
0.00%:  got REALLY GOOD hang
0.00%:  REALLY GOOD REASONS to take
0.00%:  got ONLY kind of a
0.00%:  got a thing for GREEN
0.00%:  got REASONS fr
0.00%:  got a lot of YEL
0.00%:  got REALLY great d
0.00%:  kl
0.00%:  got YEARS of naked AL
0.00%:  got kind of A
0.00%:  got a REALLY GOOD gar
0.00%:  got a REALLY not
0.00%:  got a REALLY GOOD REASON for head
0.00%:  ALREADY talked SO
0.00%:  got REALLY GOOD SN
0.00%:  got ORGANS on the
0.00%:  got on REALLY O
0.00%:  got YEARS of OLD naked
0.00%:  got like EAR
0.00%:  got like EARLY
0.00%:  had L
0.00%:  REALLY got a thing for old
0.00%:  REALLY gotten SO good
0.00%:  got GOOD REASONS fro
0.00%:  got REAL REASONS for doing a
0.00%:  got a lot of hand
0.00%:  got REALLY GOOD naked for
0.00%:  got REALLY GROSS toenail
0.00%:  told her
0.00%:  got a lot of REALLY GOOD den
0.00%:  got GREY AN
0.00%:  got ORANGE D
0.00%:  got ORANGE DRESS
0.00%:  got on the d
0.00%:  got REALLY GOOD REASONS for and
0.00%:  LARGELY forg
0.00%:  got a lot of LAND
0.00%:  got YEARS of RAGE
0.00%:  got a lot of naked LEGS
0.00%:  got the YEARN
0.00%:  got a RAD dog
0.00%:  got a REALLY GOOD REASON for doing the a
0.00%:  got a kind of to
0.00%:  GOOD REASONS for h
0.00%:  GOOD REASONS for hating to
0.00%:  GOOD REASONS for hiking
0.00%:  got REALLY GROSS AD
0.00%:  got to go in a
0.00%:  got a REALLY RAD giant
0.00%:  got legion of
0.00%:  got a REALLY hot red
0.00%:  got a REALLY GOOD art
0.00%:  ALREADY frig
0.00%:  got YEARS of tried
0.00%:  got a GREEN
0.00%:  got kind of a hole
0.00%:  ALREADY tired of looking
0.00%:  got a lot of hind
0.00%:  got on a di
0.00%:  ALREADY lied on
0.00%:  got a REALLY great RO
0.00%:  got kind of a to
0.00%:  got a tri
0.00%:  got REASONS for it in
0.00%:  ALSO got a legit
0.00%:  got a REALLY GOOD floor heating
0.00%:  got like a REALLY GOOD SENS
0.00%:  got GREEDY S
0.00%:  looked REALLY GOOD in a ro
0.00%:  got ONLY LESS than
0.00%:  got on the fl
0.00%:  got a REALLY GROSS dog
0.00%:  got REALLY GOOD REASONS for kinda
0.00%:  got a REALLY fit
0.00%:  gotten REALLY RO
0.00%:  got a REALLY GAR
0.00%:  gotten l
0.00%:  talking
0.00%:  got LARGE DAN
0.00%:  ALSO got a G
0.00%:  got along
0.00%:  got it REALLY GOO
0.00%:  got a REASONS for doing
0.00%:  got a REALLY GOOD take
0.00%:  got tag
0.00%:  ALREADY got the log
0.00%:  got REALLY GOOD REASONS for delight
0.00%:  got the LEADERS in
0.00%:  got ho
0.00%:  REALLY hit
0.00%:  ALREADY heard too
0.00%:  got like a LE
0.00%:  got like a LESS
0.00%:  tried looking at a
0.00%:  got a lot of naked ONLY SO
0.00%:  got a don
0.00%:  gotten REALLY OR
0.00%:  ALREADY got the g
0.00%:  looked REALLY GOOD in a f
0.00%:  got REALLY GOOD REASONS of doing
0.00%:  got a REALLY GOOD REASON for doing k
0.00%:  got one L
0.00%:  got one LONG
0.00%:  got a thing for AD
0.00%:  got a thing for ADOR
0.00%:  got REALLY GOOD REASONS in other
0.00%:  GOOD REASONS for taking a lot
0.00%:  gotta h
0.00%:  got ring
0.00%:  ALREADY got the ol
0.00%:  got REALLY GOOD REASONS for not ad
0.00%:  got finite
0.00%:  got a great L
0.00%:  got a great LONG
0.00%:  got a leaking
0.00%:  got REALLY GOOD the
0.00%:  got GOOD REASONS for it on
0.00%:  got a REALLY GOOD REASON for it doing
0.00%:  got A REALLY GOOD friend
0.00%:  got LEGAL REASONS for holding it
0.00%:  got a lot of SL
0.00%:  got REALLY NO GO
0.00%:  got REALLY NO GOOD RE
0.00%:  glad
0.00%:  got a DRESS like
0.00%:  got REASONS for the doing
0.00%:  ALSO got the ind
0.00%:  got a SADLY
0.00%:  got a REALLY GOOD er
0.00%:  got YEARS of r
0.00%:  got a lot of ALREAD
0.00%:  got leg hair and it
0.00%:  got DANGERS naked
0.00%:  got a REALLY GOOD REASONS for talking
0.00%:  got DRAGONS looking
0.00%:  got DRAGONS looking after
0.00%:  got a REALLY GOOD hint for
0.00%:  gotten h
0.00%:  got a REALLY GOOD REASON for doing he
0.00%:  got to go DRES
0.00%:  got YEARS of ant
0.00%:  ALSO got the l
0.00%:  got REALLY GOOD REASONS for doing hat
0.00%:  got a REALLY GOOD longer
0.00%:  got REALLY GOOD SA
0.00%:  got REASONS of other
0.00%:  done it ONLY for
0.00%:  got the fading
0.00%:  got DRAGONS too
0.00%:  a good
0.00%:  got a thing for GOR
0.00%:  LEARNED that for
0.00%:  got a REALLY GOOD life and
0.00%:  got a GOAL to
0.00%:  SEL
0.00%:  got li
0.00%:  got to DRESS GO
0.00%:  got a REALLY GROSS finger
0.00%:  ALREADY gotten SO good
0.00%:  got LAYERS on at
0.00%:  got an REALLY GOOD hat
0.00%:  got a REALLY GOOD REASON for tha
0.00%:  ALSO got al
0.00%:  got GOOD E
0.00%:  got flood
0.00%:  tried light
0.00%:  got ONLY the lo
0.00%:  got REALLY GOOD REASONS for hiking to
0.00%:  GOD
0.00%:  got the LAYER of
0.00%:  got a lot of ONGO
0.00%:  looked REALLY GOOD of
0.00%:  got REAL REASONS it
0.00%:  ALREADY got the G
0.00%:  looked REALLY GOOD in far
0.00%:  got ALL the g
0.00%:  got a REALLY GOOD REASON for hiking a thousand
0.00%:  hid
0.00%:  got a REALLY good h
0.00%:  got a REALLY GOOD REASON i don
0.00%:  got a lot of REALLY ad
0.00%:  got EASY ON
0.00%:  got one LAY
0.00%:  got ORANGE RO
0.00%:  got DAYS to go
0.00%:  ALREADY got the gro
0.00%:  got a REALLY GOOD indoor
0.00%:  got ONLY DEL
0.00%:  got LAYERS on for
0.00%:  got gri
0.00%:  got a YEAR O
0.00%:  got ONLY SAD
0.00%:  got to head in for
0.00%:  got long hair to
0.00%:  gotten REALLY DONE
0.00%:  got REALLY OR
0.00%:  got the LESSER AN
0.00%:  ALREADY got naked flight
0.00%:  got a REALLY GOOD e
0.00%:  got like ONE RAD
0.00%:  had to RE
0.00%:  got it REALLY GOOD laid
0.00%:  got a lot of YARD
0.00%:  ALREADY gone for it
0.00%:  got GOALS for naked
0.00%:  gotten REALLY GOOD NE
0.00%:  ALSO tried to f
0.00%:  REALLY GOOD REASON for
0.00%:  REALLY GOOD REASON for doing
0.00%:  got a lot of REALLY OR
0.00%:  got like ONE or
0.00%:  got the GOOD kind of go
0.00%:  got REALLY ad
0.00%:  looked REALLY DR
0.00%:  got it half naked ALL
0.00%:  got like ONE OLD R
0.00%:  got YEARS of SL
0.00%:  got REALLY good RE
0.00%:  ALREADY got one half
0.00%:  got a lot of GOOD AR
0.00%:  ALSO got a great old
0.00%:  tried NE
0.00%:  got to ALSO fre
0.00%:  got a no
0.00%:  got DRAGONS L
0.00%:  got it naked ONLY for
0.00%:  got like a thousand g
0.00%:  got a SOR
0.00%:  RARELY talked to a
0.00%:  got it on SO GO
0.00%:  ONLY done that for a
0.00%:  got a REALLY GOOD dino
0.00%:  got ONLY SOL
0.00%:  got GROSS AND
0.00%:  REALLY kinda
0.00%:  REALLY kinda got
0.00%:  got the dog in
0.00%:  LEARNED to fit
0.00%:  got a thousand good
0.00%:  ALSO got to drink
0.00%:  got a light rain
0.00%:  got a LON
0.00%:  got a REALLY RAD one
0.00%:  got GOOD REASONS to do a
0.00%:  got a thing for SAS
0.00%:  hot
0.00%:  AGREED to fight
0.00%:  got a REALLY GOOD in
0.00%:  ALSO got hang
0.00%:  got a lot of REALLY GROSS D
0.00%:  got a thing for LEGS
0.00%:  got it REALLY GOOD S
0.00%:  got DRAGONS on it
0.00%:  got like a hood
0.00%:  got REASONS D
0.00%:  got YEARS of rage and
0.00%:  got REASONS to hang
0.00%:  got grad
0.00%:  ALSO got her
0.00%:  got REASON to go
0.00%:  got ORGANS for
0.00%:  ALREADY faked going
0.00%:  got REALLY GOOD REASONS for a thing
0.00%:  got REALLY GOOD REASONS for a thing like
0.00%:  got a GOOD REASON for holding it
0.00%:  got the SANE
0.00%:  got trained
0.00%:  ALSO got to fold
0.00%:  tried S
0.00%:  got taken
0.00%:  got a great R
0.00%:  got a good felt
0.00%:  got to like a
0.00%:  got to like a thousand
0.00%:  had a lot going
0.00%:  REALLY got no earth
0.00%:  ADOR
0.00%:  got GOD for
0.00%:  got ar
0.00%:  got the DANG S
0.00%:  done that ONLY O
0.00%:  got REALLY GOOD REASONS for doing tha
0.00%:  got the SLEE
0.00%:  got a REALLY GROSS ON
0.00%:  got naked LEGENDS right
0.00%:  got REALLY the
0.00%:  got then
0.00%:  got lat
0.00%:  got a REASON for doing like
0.00%:  GOOD REASON for taking
0.00%:  got REALLY at
0.00%:  got a lot of REALLY NO
0.00%:  REALLY GOOD REASONS for going the
0.00%:  got REALLY GOOD anti
0.00%:  REALLY SE
0.00%:  got a lot of LEGAL AND
0.00%:  got REALLY GOOD REASONS for the no
0.00%:  REALLY got it dial
0.00%:  got LESS n
0.00%:  got a REALLY great R
0.00%:  got a REALLY GOOD fet
0.00%:  got naked LEGENDS of
0.00%:  got LESS DR
0.00%:  got LESS DRAG
0.00%:  got GREEN SO
0.00%:  got LOADS of to
0.00%:  REALLY got another
0.00%:  got naked SOLAR
0.00%:  got REALLY good fr
0.00%:  REALLY got a fet
0.00%:  got a life to go
0.00%:  got on the D
0.00%:  GOOD REASONS to do it half
0.00%:  ALREADY got it SO good
0.00%:  got the ANALOGY of
0.00%:  ALREADY got a lot of n
0.00%:  got ONLY SAR
0.00%:  got REASONS for legit
0.00%:  got a REALLY GOOD REASON for din
0.00%:  got REAL DANGERS hiding
0.00%:  got REALLY GOOD REASONS for ind
0.00%:  got a REAL GOOD REASON for d
0.00%:  got like a right
0.00%:  got a REALLY GOOD REASON for liking the d
0.00%:  got YEARS to find
0.00%:  got to hide for
0.00%:  got a lot of ALSO
0.00%:  got a lot of ALSO naked
0.00%:  got to fold a
0.00%:  got REALLY GON
0.00%:  got DANGERS R
0.00%:  got REASON to find
0.00%:  got a great din
0.00%:  got a REALLY GOOD REASON for not le
0.00%:  got OLD LA
0.00%:  got a good fr
0.00%:  got a lot of SEL
0.00%:  got a fine to
0.00%:  got GOOD REASONS for it AL
0.00%:  ALREADY forget to
0.00%:  ALREADY hit on
0.00%:  got a REALLY GOOD gl
0.00%:  got reading
0.00%:  ALSO taken to gl
0.00%:  GOOD REASONS for hating to go
0.00%:  got it ONLY for
0.00%:  got a REALLY GOOD REASON for link
0.00%:  got a REASON for doing it al
0.00%:  got a REALLY GOOD NAS
0.00%:  got REALLY GOOD REASONS to drink
0.00%:  got REASONS for thing
0.00%:  AGREED that
0.00%:  got a REALLY RAD fro
0.00%:  got to go naked OR
0.00%:  ALREADY got legit
0.00%:  got a REALLY GROSS friend
0.00%:  got a lot of ER
0.00%:  got a thing for DR
0.00%:  got REALLY GOOD le
0.00%:  got a lot of AND
0.00%:  got REALLY GOOD REASONS on file
0.00%:  got like a god
0.00%:  got REASONS and GO
0.00%:  got A REALLY GOOD SER
0.00%:  got the ONE O
0.00%:  ALREADY got NO
0.00%:  done it ALL of
0.00%:  got REALLY GOOD REASONS for hating a
0.00%:  looked REALLY GOOD in that R
0.00%:  got like ONE REALLY GOOD hood
0.00%:  got REALLY GOOD ide
0.00%:  got a REALLY RAD friend
0.00%:  ALREADY got gold
0.00%:  got GOOD REASONS for doing a L
0.00%:  got a lot of ROAD
0.00%:  ret
0.00%:  got a YEAR RO
0.00%:  got a REALLY RAD ON
0.00%:  looked REALLY GOOD in S
0.00%:  ALSO got naked for
0.00%:  got REALLY SOON to find
0.00%:  got REASONS if it
0.00%:  got a REALLY GOOD REASON for kind
0.00%:  got GOOD naked for
0.00%:  got doing
0.00%:  got a thing for REASONS
0.00%:  got REALLY GROSS O
0.00%:  got a good thousand
0.00%:  DRA
0.00%:  got a REALLY GOOD REASON and for the
0.00%:  got a lot of naked E
0.00%:  got YEARS of AD
0.00%:  got REALLY GROSS foot
0.00%:  a light
0.00%:  ALSO gone half
0.00%:  got to GO naked ALL
0.00%:  got GOOD REASONS to naked
0.00%:  got REALLY GOOD hood
0.00%:  gotten REALLY GOOD SNE
0.00%:  got the REAL REASON on a
0.00%:  got a REALLY good hair
0.00%:  got don
0.00%:  GOOD REASONS for looking at a
0.00%:  got YEARS of hiding to
0.00%:  got REALLY GOOD REASONS forget
0.00%:  got ON A L
0.00%:  ALREADY got no
0.00%:  got a lot of REALLY GOOD SN
0.00%:  gone EN
0.00%:  got on the ONE
0.00%:  got YEARS of trading
0.00%:  got like ONE good t
0.00%:  got A REASON to fre
0.00%:  got to go REALLY far
0.00%:  got GOOD naked too
0.00%:  let a
0.00%:  got REASONS for th
0.00%:  got ONLY RED
0.00%:  got ego
0.00%:  got a lot of GAR
0.00%:  got DRAGONS E
0.00%:  got a REALLY GOOD REASON like for
0.00%:  got a REALLY GOOD REASON like for doing
0.00%:  got YEARS of GO
0.00%:  got YEARS of GOOD naked
0.00%:  got SORRY old
0.00%:  got a REALLY GROSS hood
0.00%:  got like a REALLY rad
0.00%:  got a REALLY GOOD hat if
0.00%:  got a REALLY GOOD REASON for a long
0.00%:  got a thing for DOL
0.00%:  got a thing for DOLLARS
0.00%:  got a thing for DOLLAR S
0.00%:  REALLY got to hide
0.00%:  got to find le
0.00%:  done that for YEARS AND
0.00%:  ALSO got it SO
0.00%:  got SAD SO
0.00%:  DONE it for
0.00%:  got REALLY GOOD REASONS looking
0.00%:  ALSO got REAL
0.00%:  got ENDLESS Y
0.00%:  got like a tan
0.00%:  got a REALLY GOOD REASON along
0.00%:  ALSO got the dog
0.00%:  gotta lead
0.00%:  got range
0.00%:  got on a dog
0.00%:  GOOD REASONS for taking delight
0.00%:  RARELY gone for total
0.00%:  got a REALLY trend
0.00%:  got a REALLY GOOD look in
0.00%:  got kind of a r
0.00%:  got a lot of REALLY GR
0.00%:  got an REALLY GOOD RO
0.00%:  REALLY got kind
0.00%:  REALLY got kind of a lot
0.00%:  got LOADS of great old
0.00%:  left and
0.00%:  got YES ONE
0.00%:  got REALLY GOOD naked hot
0.00%:  ALSO got a real
0.00%:  got a REAL GOOD REASON to fre
0.00%:  kind of got it DO
0.00%:  got a SORRY looking
0.00%:  got a REALLY GOOD del
0.00%:  got DANGERS for naked
0.00%:  got like ONE REALLY GOOD hat
0.00%:  ALREADY lied SO
0.00%:  got YEARS for
0.00%:  got a REALLY GOOD tag
0.00%:  got a REASON AL
0.00%:  LEARNED to tail
0.00%:  got a RARE
0.00%:  REALLY gone for that
0.00%:  got a thing for E
0.00%:  ALSO got like an
0.00%:  got a lot of naked O
0.00%:  got a lot of naked OLDER
0.00%:  got it REALLY far
0.00%:  ALREADY tried to go n
0.00%:  ALREADY EN
0.00%:  got RAD ONES right
0.00%:  faked it ALL
0.00%:  got like a REALLY SAR
0.00%:  ALSO taken to frig
0.00%:  got LOADS of G
0.00%:  got to go find a REALLY GOOD AN
0.00%:  got REASONS frig
0.00%:  held it in for
0.00%:  GOOD REASONS to go naked if
0.00%:  long had
0.00%:  got on LAYERS AND
0.00%:  got the GOOD R
0.00%:  got to lie on
0.00%:  got A REALLY R
0.00%:  got rain
0.00%:  got holding
0.00%:  got REALLY GOOD NAS
0.00%:  got a thing for GRE
0.00%:  got a thing for GREY
0.00%:  got to go find a REALLY GOOD RO
0.00%:  got a DY
0.00%:  got a REALLY hot fig
0.00%:  ALREADY got the E
0.00%:  ALSO got a length
0.00%:  got an REASON to do
0.00%:  got a lot of REALLY DRAG
0.00%:  got a REALLY GOOD not
0.00%:  got a thousand and
0.00%:  got a fine gold
0.00%:  got REASONS to lie
0.00%:  got it SO DONE
0.00%:  got on GREEN
0.00%:  got a REALLY GOOD REASON for hat
0.00%:  ALSO got a te
0.00%:  got LL
0.00%:  ALSO got a 
0.00%:  ALSO got the GO
0.00%:  got REAL GOOD REASONS and if
0.00%:  got it on REALLY GOOD SO
0.00%:  got DANGERS of the RO
0.00%:  got REALLY n
0.00%:  got fert
0.00%:  got YEARS of anger to
0.00%:  ALSO talked in
0.00%:  ALSO got fine
0.00%:  got LOADS of SO
0.00%:  got a lot LE
0.00%:  got a lot LESS naked
0.00%:  got a lot LESS of
0.00%:  got RAD tank
0.00%:  got a REASON it looked
0.00%:  got a REASON for it AL
0.00%:  got a lot of ROLES
0.00%:  ALSO had a
0.00%:  got to REALLY DO
0.00%:  got a lot of naked ALLER
0.00%:  got a lot of REALLY GOOD kn
0.00%:  LEARNED that life
0.00%:  te
0.00%:  ALSO got a thing for l
0.00%:  got naked RARE
0.00%:  got REAL GOOD REASONS to for
0.00%:  GOOD REASON for talking
0.00%:  got a REALLY GOOD REASON for di
0.00%:  got a REALLY GOOD REASON frig
0.00%:  got REALLY hair
0.00%:  got a REALLY GOOD goal of
0.00%:  got a lot of naked ALREADY ON
0.00%:  got LARGE O
0.00%:  got GOOD f
0.00%:  felt hot
0.00%:  got a REALLY good 
0.00%:  got SOLELY G
0.00%:  got a lot of naked RAND
0.00%:  got it REALLY GOOD RO
0.00%:  REALLY got to go hide
0.00%:  got like a REALLY GOOD n
0.00%:  got REALLY good trail
0.00%:  ALREADY tried SO
0.00%:  got a REALLY GOOD REASON for ling
0.00%:  got the DOGS for
0.00%:  got REAL GOOD REASONS for holding a
0.00%:  ALSO looked in
0.00%:  got a REALLY GOOD REASON for holding a t
0.00%:  got a REALLY GOOD goal for
0.00%:  got REALLY GOOD think
0.00%:  had S
0.00%:  got the old k
0.00%:  ALSO gone for a
0.00%:  got the REASON R
0.00%:  got like a REAL good
0.00%:  ALSO got the floor
0.00%:  got a naked fr
0.00%:  REALLY liked t
0.00%:  at LE
0.00%:  got a REALLY GOOD REASON tor
0.00%:  lit
0.00%:  got the SEEDS of a
0.00%:  got a great ASS
0.00%:  ALREADY gone half
0.00%:  gotten REALLY GRO
0.00%:  got DRAGONS S
0.00%:  got a REAL GOOD R
0.00%:  got a GOLDEN R
0.00%:  got REALLY GOOD gl
0.00%:  tried AL
0.00%:  got REAL GOOD REASONS for to
0.00%:  ALREADY tried going N
0.00%:  got YEARS of ad
0.00%:  got a REALLY GOOD earth
0.00%:  ALSO got a REASON to
0.00%:  got dialog
0.00%:  got a fan
0.00%:  got the gn
0.00%:  ALREADY got G
0.00%:  got DAYS for
0.00%:  REALLY GOOD REASONS too
0.00%:  got SORRY D
0.00%:  got a REALLY GOOD late
0.00%:  ALSO tried to go n
0.00%:  ALSO gone to a
0.00%:  ALSO gone to a lot
0.00%:  got grief
0.00%:  got a far
0.00%:  got SOLELY N
0.00%:  got a REALLY GOOD REASON like to
0.00%:  gotta fre
0.00%:  gotta L
0.00%:  got the GOOD kind of AN
0.00%:  ALREADY taken a lot
0.00%:  got on N
0.00%:  got a REALLY ERO
0.00%:  gotta g
0.00%:  got it REALLY GOOD in for
0.00%:  got REALLY GOOD REASONS for night
0.00%:  got REAL GOALS and
0.00%:  ALSO gotten a hold
0.00%:  ALREADY got the ESS
0.00%:  RARELY fl
0.00%:  got a lot of REALLY GOOD k
0.00%:  got to LEAN
0.00%:  got REALLY d
0.00%:  got LESS of it
0.00%:  got like a torn
0.00%:  got REAL REASONS for dealing
0.00%:  a thing
0.00%:  GOOD REASONS for that AL
0.00%:  ONLY done that R
0.00%:  got YEARS of DO
0.00%:  got A REALLY GRO
0.00%:  done it ONLY S
0.00%:  got REALLY GOOD REASON for taking
0.00%:  got a REALLY GOOD rag
0.00%:  GOOD REASONS for dealing
0.00%:  REALLY got like ONE
0.00%:  ALSO got a g
0.00%:  got it ON SO
0.00%:  got a giant fold
0.00%:  got LAYERS of thin
0.00%:  got a REALLY GOOD REASON for holding a thousand
0.00%:  got a REALLY GOOD hol
0.00%:  got a lot of naked LAND
0.00%:  ALREADY hint
0.00%:  got a hotel ro
0.00%:  got like a REALLY REAS
0.00%:  got REALLY GOOD REASONS for think
0.00%:  done that RARELY SO
0.00%:  looked REALLY GOOD in that fig
0.00%:  got a lot of REALLY AR
0.00%:  LEARNED to re
0.00%:  got it on REAS
0.00%:  got it on REASONS
0.00%:  got YEARS of naked h
0.00%:  GOOD REASONS for not do
0.00%:  got it SO L
0.00%:  got it SO LONG
0.00%:  OR
0.00%:  ORDER
0.00%:  got a GOOD hat
0.00%:  got ONLY the GO
0.00%:  got a REAL GOOD REASON on
0.00%:  got on real
0.00%:  got a REALLY RAD ring
0.00%:  got LOADS of giant
0.00%:  got REALLY good fl
0.00%:  got to DRESS for RE
0.00%:  got to DRESS for REAL L
0.00%:  got YEARS of he
0.00%:  got a good tan
0.00%:  got a REALLY GOOD forget
0.00%:  got a naked ON
0.00%:  got a naked ONLY SO
0.00%:  got DANGERS the
0.00%:  got en
0.00%:  got a REAL good life
0.00%:  got SORRY SO
0.00%:  got a REALLY good D
0.00%:  got a REALLY good DRESS
0.00%:  got it on REALLY REAS
0.00%:  felt right
0.00%:  looked REALLY RAD at
0.00%:  got like a REALLY GOOD RA
0.00%:  ALREADY kinda
0.00%:  ALREADY kinda got
0.00%:  ALREADY kinda got the
0.00%:  got a REALLY GOOD line for it
0.00%:  got a REALLY GOOD goal for the
0.00%:  REASONS for doing the
0.00%:  looked REALLY GOOD a ton
0.00%:  ALSO got giant fl
0.00%:  got DANGERS doing
0.00%:  looked REALLY GOOD going that
0.00%:  fant
0.00%:  got a li
0.00%:  got the DROOL
0.00%:  got GOOD REASONS for al
0.00%:  got a REALLY GROSS fet
0.00%:  REALLY GOOD REASONS for liking to do
0.00%:  got a REALLY GOOD REASON to deal
0.00%:  got REASONS no
0.00%:  got ONLY SO L
0.00%:  got a gre
0.00%:  felt at
0.00%:  got a lot of naked DOG
0.00%:  got like ONE REAL S
0.00%:  got a REALLY GOODE
0.00%:  got a LAND
0.00%:  REALLY got a thing for l
0.00%:  got REAL GOOD REASONS for dating a
0.00%:  ALREADY got a n
0.00%:  got a REALLY length
0.00%:  got a REALLY RAD digital
0.00%:  got REALLY ter
0.00%:  got naked GAS
0.00%:  got a REALLY RAD thing for
0.00%:  got REASONS for the R
0.00%:  done it too
0.00%:  got the GOOD REASONS in
0.00%:  ONLY got to do
0.00%:  got a lot of naked RADNESS
0.00%:  got a fake dog
0.00%:  got a kind of l
0.00%:  got on a large
0.00%:  RARELY looked at it
0.00%:  learnt to do
0.00%:  got a REALLY GOOD REASON for it and i
0.00%:  got a REASON for it SO
0.00%:  LEARNED to t
0.00%:  got a REALLY GOOD REASON for it done
0.00%:  told fake
0.00%:  got a lot of naked ORD
0.00%:  got GOD to deal
0.00%:  got YEARS of kind
0.00%:  got SORRY L
0.00%:  left right
0.00%:  got a GOOD REASON to find
0.00%:  LAYERS that
0.00%:  got a lot of naked GRO
0.00%:  ALREADY got naked hair
0.00%:  ALREADY gotten old
0.00%:  got a REALLY GOOD ind
0.00%:  talked AND
0.00%:  del
0.00%:  got GREY hood
0.00%:  ALSO gotten a dog
0.00%:  got GOOD REASONS al
0.00%:  got a REALLY RAN
0.00%:  ALREADY got the long
0.00%:  LEARNED AL
0.00%:  got REASONS for doing it LOL
0.00%:  had a long
0.00%:  got the GRA
0.00%:  got the SOLE RE
0.00%:  got the SOLE REASON for
0.00%:  got the SOLE REASON for doing
0.00%:  got the SOLE REASON of
0.00%:  got a heart of
0.00%:  got a heart of gold AND
0.00%:  got a REAL legit
0.00%:  ALREADY got a third
0.00%:  got LEGS of
0.00%:  ALSO got a fear
0.00%:  got it SO GOOD R
0.00%:  got to find E
0.00%:  got to find EAS
0.00%:  ALSO not tried
0.00%:  ALREADY gotta look
0.00%:  got a REALLY GOOD holding
0.00%:  got to find a S
0.00%:  looked at a thousand
0.00%:  got a long red
0.00%:  got REALLY GOOD fre
0.00%:  got YEARS of talkin
0.00%:  GOOD REASONS that are
0.00%:  EARNED a
0.00%:  got a REALLY GOOD th
0.00%:  got a REALLY GOOD thief
0.00%:  got LONG DAYS of naked
0.00%:  got a lot of ORGANS in
0.00%:  got like a thousand gr
0.00%:  got a lot of nig
0.00%:  got REALLY GOOD REASONS of the kind
0.00%:  got REALLY REG
0.00%:  ALREADY got a light
0.00%:  got a REALLY GOOD ER
0.00%:  got a DONE
0.00%:  ALSO tried g
0.00%:  ALSO got a fight
0.00%:  ALREADY got the ling
0.00%:  got a REALLY GOOD red fl
0.00%:  got like a REALLY GEN
0.00%:  got a rent
0.00%:  got A REASON for hiding
0.00%:  got to REALLY dig
0.00%:  AND
0.00%:  got one G
0.00%:  got REALLY GOOD REASON for talking
0.00%:  got a REALLY GOOD REASON laid
0.00%:  looked REALLY fat
0.00%:  got a lot of LEGO
0.00%:  got DANGERS A
0.00%:  got a GOOD deal
0.00%:  GOOD REASON not to go
0.00%:  got ENDLESS RO
0.00%:  tonight
0.00%:  got a thing for do
0.00%:  got ONE SLE
0.00%:  got LEGS like a
0.00%:  got REASONS at
0.00%:  got one REALLY GROSS t
0.00%:  got LEADERS like
0.00%:  got YEARS of lat
0.00%:  looked REALLY GOOD for at
0.00%:  got a REALLY GOOD REASON for it a thousand
0.00%:  ALREADY had to go get
0.00%:  got ENDLESS LO
0.00%:  got a REALLY giant
0.00%:  got LEGAL REASONS and
0.00%:  got a REALLY SAD NE
0.00%:  got a lot of REALLY GOOD hang
0.00%:  got DRAGONS right on
0.00%:  got a REALLY GOOD REASON for hand
0.00%:  got to GO S
0.00%:  got a LARGE S
0.00%:  got LAYER ONE
0.00%:  got DANGERS of a
0.00%:  got like a SO
0.00%:  ONLY done that AL
0.00%:  got a REALLY GOOD REASONS to
0.00%:  REALLY got a thousand
0.00%:  got LESS to hide
0.00%:  got the DEAL on
0.00%:  got a REALLY GOOD tool
0.00%:  ALREADY heard it
0.00%:  got the REALLY R
0.00%:  got ONLY one of
0.00%:  ONLY got it half
0.00%:  ONLY got it half naked
0.00%:  got i
0.00%:  got YEARS of naked light
0.00%:  got a head
0.00%:  got GROSS fat
0.00%:  ALSO got a lot of red
0.00%:  got a REALLY to
0.00%:  got DRAGONS and other
