YOU WANNA COME OVER AND WATCH A MOVIE OR WHAT
      0 100.00%: 
      1 44.13%:  I
   1332 0.15%:  I WANNA EAT YOU WH
   1333 0.15%:  I WANT YOU AND ME TO E
   1334 0.15%:  DO I EVER RE
   1335 0.15%:  YOU AND ME HAVE A
   1336 0.15%:  CAN I HAVE ONE ON
   1337 0.15%:  COME WITH THE
   1338 0.15%:  CAN YOU COME H
   1339 0.15%:  I WANNA EAT ON
   1340 0.15%:  I WANT YOUR NAME E
   1341 0.15%:  I HAVE ONE W
   1342 0.15%:  YOU CAN T
   1343 0.15%:  WOO
   1344 0.15%:  ARE YOU D
   1345 0.15%:  I WANT EAT YOU
   1346 0.15%:  HAVE I MET A MORE AD
   1347 0.15%:  THAT CO
   1348 0.15%:  I AM MORE THAN 
   1349 0.15%:  YOU HAVE NO IDEA HOW TO
   1350 0.14%:  DO I EVER WANT AN
   1351 0.14%:  CAN I HAVE THE RE
   1352 0.14%:  I WANNA EAT HER N
   1353 0.14%:  I WANNA EAT WHAT YOU CO
   1354 0.14%:  YOU WANT IN
   1355 0.14%:  WHEN WE MET
   1356 0.14%:  THAT YOU
   1357 0.14%:  I NEED H
   1358 0.14%:  ARE YOU WANT
   1359 0.14%:  DO YOU WANT TO R
   1360 0.14%:  I NEED TO TRY ONE
   1361 0.14%:  YOU CAN COME OVER AND HE
   1362 0.14%:  YOU CAN COME OVER AND HEAT IT
   1363 0.14%:  I WANT YOU AND NO
   1364 0.14%:  I T
   1365 0.14%:  CAN YOU COME WITH ME AND HAVE
   1366 0.14%:  DO I EVER WANT YOU TO E
   1367 0.14%:  I MADE YOU
   1368 0.14%:  YOU WO
   1369 0.14%:  I WANNA R
   1370 0.14%:  CAN YOU DO ME
   1371 0.14%:  I WANNA DATE YOU NO
   1372 0.14%:  I WANT YOUR MEAT AND
   1373 0.14%:  WE HAVE TO M
   1374 0.14%:  I NEED AN
   1375 0.14%:  I WANNA EAT Y
   1376 0.14%:  YOU WANT TO COME OVER AND RE
   1377 0.14%:  CAN YOU HAND ME
   1378 0.14%:  I WANT TWO
   1379 0.14%:  I AM MORE THAN DO
   1380 0.14%:  DO YOU WANT ME TO MA
   1381 0.14%:  I WANNA EAT YOU AHH
   1382 0.14%:  I WERE
   1383 0.14%:  I NEED TO HEAR A
   1384 0.14%:  YOU NEED TO HAVE
   1385 0.14%:  DO I EVER WANT TO HAVE YOUR
   1386 0.14%:  I WANT YOU TO COME OVER AND WE CAN A
   1387 0.14%:  WATCH ME EAT YOU
   1388 0.14%:  EAT H
   1389 0.14%:  V
   1390 0.14%:  HAVE I EVER NOT
   1391 0.14%:  I AM NOT MADE TO H
   1392 0.14%:  THAT R
   1393 0.14%:  IN H
   1394 0.14%:  I ON
   1395 0.14%:  WHAT HAVE YOU DONE TO ME I
   1396 0.14%:  WATCH ME EAT ONE
   1397 0.14%:  NOW WE HAVE TO HAVE
   1398 0.14%:  CAN I HAVE MY
   1399 0.14%:  I WANT TO RU
   1400 0.14%:  I E
   1401 0.34%:  I EAT YOU
   1402 0.23%:  I EAT THE
   1403 0.22%:  I EAT H
   1404 0.20%:  I EAT YOUR
   1405 0.18%:  I EAT YOUR NAME AND
   1406 0.17%:  I EAT YOUR NAME E
   1407 0.17%:  I EAT HER
   1408 0.14%:  CAN I COME OVER AND HEAR YOU
   1409 0.14%:  DO I EVEN HAVE A
   1410 0.14%:  CAN YOU HAND ME THE
   1411 0.14%:  I WANT YOU TO MA
   1412 0.14%:  I NEED TO HAVE CH
   1413 0.14%:  HAVE YOU COME AC
   1414 0.14%:  YOU DO NOT
   1415 0.52%:  YOU DO NOT EVEN HAVE
   1416 0.34%:  YOU DO NOT EVEN HAVE A
   1417 0.14%:  YOU CAN COME OVER ON
   1418 0.14%:  COME HERE IM
   1419 0.14%:  COME TO MY
   1420 0.14%:  CAN I COME OVER TO E
   1421 0.44%:  CAN I COME OVER TO EAT YOUR
   1422 0.14%:  DO I EVER NOT
   1423 0.18%:  DO I EVER NOT WANT ANY
   1424 0.14%:  YOU WANT TO COME OVER R
   1425 0.14%:  WHEN I MEET A
   1426 0.14%:  YOU WANT TO COME OVER AND OR
   1427 0.14%:  COME HERE AND HI
   1428 0.14%:  WHAT DO YOU HAVE ON
   1429 0.14%:  I DO NOT EVEN CARE WHAT H
   1430 0.14%:  CAN I EAT AT YOU
   1431 0.14%:  I WANT NO
   1432 0.14%:  I WANT TO COME OVER YOUR
   1433 0.14%:  I DE
   1434 0.14%:  YOU CAN COME OVER AND EAT IN
   1435 0.14%:  I WANT ONE R
   1436 0.13%:  I WANT YOU TO COME OVER AND HAM
   1437 0.13%:  WANT YOU TO CO
   1438 1.35%:  WANT YOU TO COME OVER AND W
   1439 1.09%:  WANT YOU TO COME OVER AND E
   1440 1.02%:  WANT YOU TO COME OVER AND H
   1441 0.99%:  WANT YOU TO COME OVER AND HAVE
   1442 0.57%:  WANT YOU TO COME OVER AND HAVE A
   1443 0.53%:  WANT YOU TO COME OVER AND WE
   1444 0.55%:  WANT YOU TO COME OVER AND WE CAN MA
   1445 0.35%:  WANT YOU TO COME OVER AND WE CAN OR
   1446 0.32%:  WANT YOU TO COME OVER AND MA
   1447 0.29%:  WANT YOU TO COME OVER AND CO
   1448 0.28%:  WANT YOU TO COME OVER AND WE CAN W
   1449 0.26%:  WANT YOU TO COME OVER AND WE CO
   1450 0.21%:  WANT YOU TO COME HO
   1451 0.22%:  WANT YOU TO COME HOME AND
   1452 0.18%:  WANT YOU TO COME OVER AND WE W
   1453 0.13%:  COME WITH ME AND YOU
   1454 0.81%:  COME WITH ME AND YOU CAN HAVE
   1455 0.17%:  COME WITH ME AND YOU CAN EAT H
   1456 0.13%:  WANT YOU TO COME OVER AND I
   1457 0.13%:  WANT YOU TO COME HOME AND HAVE
   1458 0.13%:  I MADE AN
   1459 0.13%:  DO YOU WANNA COME TO
   1460 0.13%:  HOW COME YOU HAVE
   1461 0.13%:  YOU HAVE NO IDEA HOW CON
   1462 0.13%:  I AM WE
   1463 0.13%:  I CAN DO THAT
   1464 0.13%:  WHAT HAVE WE
   1465 0.19%:  WHAT HAVE WE DONE TO MA
   1466 0.17%:  WHAT HAVE WE DONE TO O
   1467 0.13%:  YOU MADE IT
   1468 0.13%:  WHAT HAVE I
   1469 0.58%:  WHAT HAVE I DONE TO
   1470 0.22%:  WHAT HAVE I DONE TO MY
   1471 0.13%:  I AM HEAD OVER ME
   1472 0.13%:  CAN I HAVE YOUR NAME T
   1473 0.13%:  CAN I COME OVER AND EAT YOUR O
   1474 0.13%:  I NEED TO TRY E
   1475 0.13%:  I NEED TO TH
   1476 0.13%:  CAN I EAT MY
   1477 0.13%:  HAVE WE MET Y
   1478 0.13%:  ARE WE H
   1479 0.13%:  YOU WANT ME TO E
   1480 0.13%:  WHEN CAN WE ME
   1481 0.13%:  CAN I COME OVER AND EAT YOU WH
   1482 0.13%:  I WANNA C
   1483 0.13%:  I WANT MO
   1484 0.13%:  YOU H
   1485 1.82%:  YOU HAD ME AT HAM
   1486 1.23%:  YOU HAD ME AT THE
   1487 0.20%:  YOU HAD ME AT HI
   1488 0.20%:  YOU HAD ME AT THE N
   1489 0.13%:  CAN I COME OUT AND
   1490 0.13%:  I WANNA EAT YOU THE
   1491 0.13%:  CAN I COME OVER AND EAT YOUR V
   1492 0.13%:  DO YOU WANT TO COME OVER IN A WH
   1493 0.13%:  I WANT YOU TO COME OVER AND OR
   1494 0.13%:  HOW AM I NOT
   1495 0.13%:  YOU HAVE NO IDEA HOW CO
   1496 0.13%:  YOU CAN COME OVER AND RE
   1497 0.13%:  YOU WANT ME TO CO
   1498 0.46%:  YOU WANT ME TO COME OVER AND W
   1499 0.34%:  YOU WANT ME TO COME OVER AND H
   1500 0.13%:  YOU ARE THE H
   1501 0.13%:  DO YOU WANNA COME OVER R
   1502 0.13%:  COME HERE I WANT TO HAND YOU A
   1503 0.13%:  WHEN I MET YOU WE
   1504 0.13%:  I AM 
   1505 0.13%:  WATCH ME EAT MY
   1506 0.13%:  WHEN I MEET MY
   1507 0.13%:  I DO NOT EVEN CARE WHAT YOU W
   1508 0.13%:  YOU WANT TO COME OVER AND WE CAN H
   1509 0.13%:  CAN I COME OVER AND EAT YOU OR
   1510 0.13%:  HOW ARE YOU IN
   1511 0.13%:  WHEN WE D
   1512 0.13%:  I AM ONE
   1513 0.13%:  I WANNA EAT WHAT YOU MA
   1514 0.13%:  DO YOU WANT TO COME OVER IN 
   1515 0.13%:  I ATE TH
   1516 0.13%:  CAN I COME OVER AND EAT MY O
   1517 0.13%:  CAN I COME H
   1518 0.13%:  CAN I COME OVER AND EAT TH
   1519 0.13%:  NOT ON
   1520 0.13%:  DO YOU HAVE THE
   1521 0.13%:  I AM HO
   1522 0.13%:  CAN YOU C
   1523 0.13%:  I AM HERE TO T
   1524 0.13%:  YOU NEED TO CH
   1525 0.13%:  WE CAN MA
   1526 0.13%:  CAN I COME DO
   1527 0.13%:  CAN YOU HIT THE
   1528 0.13%:  I WANT YOU TO COME OVER AND WH
   1529 0.13%:  WANT TO E
   1530 0.13%:  I WANNA EAT YOU NOT
   1531 0.13%:  I WANNA EAT YO
   1532 0.13%:  AR
   1533 0.13%:  YOU DO NOT EVEN NE
   1534 0.13%:  YOU CAN COME OVER AND TA
   1535 0.13%:  ARE WE R
   1536 0.13%:  I HAVE COME TO THE R
   1537 0.13%:  I WANT YOU TO COME OVER WH
   1538 0.13%:  WHAT I ME
   1539 0.13%:  WHAT I MEAN TO
   1540 0.13%:  I WANNA EAT AT YOUR RE
   1541 0.13%:  I WANT YOU TO COME OVER AND HAVE A N
   1542 0.13%:  HAVE I MET A N
   1543 0.13%:  DO YOU WANT TO HAVE A CON
   1544 0.13%:  YOU WANT TO MA
   1545 0.13%:  WE HAVE TO HAVE
   1546 0.13%:  HAVE YOU NOT HE
   1547 0.13%:  YOU WANT TO COME HOME AND H
   1548 0.13%:  CAN I COME OVER AND EAT T
   1549 0.13%:  I NEED THAT ON MY CON
   1550 0.13%:  CAN YOU COME HOW
   1551 0.34%:  CAN YOU COME HOW WITH
   1552 0.16%:  CAN YOU COME HOW WITH ME AND
   1553 0.13%:  WHEN I MET THE
   1554 0.13%:  YOU AND I HAVE TO
   1555 0.13%:  WHY ARE WE H
   1556 0.13%:  I WANT TO WR
   1557 0.13%:  I AM HUN
   1558 0.13%:  COME ONE
   1559 0.13%:  WHAT HAVE WE DONE TO YOU
   1560 0.13%:  I AM NOT THE
   1561 0.12%:  ARE YOU THAT ONE
   1562 0.12%:  YOUR NAME MA
   1563 0.12%:  CAN I COME HERE AND
   1564 0.12%:  YOU HAVE ONE
   1565 0.12%:  CAN YOU HEAR ME C
   1566 0.12%:  I WANNA EAT YOU OVER
   1567 3.79%:  I WANNA EAT YOU OVER AND OVER A
   1568 0.17%:  I WANNA EAT YOU OVER AND OVER O
   1569 0.12%:  YOU HAVE TO HAVE
   1570 0.12%:  WE ARE TO
   1571 0.12%:  WANT YOU TO COME HOME AND E
   1572 0.12%:  I NEED TO EAT YOU ON
   1573 0.12%:  HAVE YOU MET A W
   1574 0.12%:  HAVE YOU MET THE N
   1575 0.12%:  WHEN DO
   1576 0.12%:  YOU WANT TO COME OVER WH
   1577 0.12%:  HAVE I MET MY H
   1578 0.12%:  I WANT TO RA
   1579 0.12%:  COME HERE AND TA
   1580 0.12%:  DO I EVER WANT A H
   1581 0.12%:  DO I EVER WANT TO HAVE MY
   1582 0.12%:  I WANT YOU TO COME OVER AND RO
   1583 0.12%:  HUR
   1584 0.12%:  I NEED YOUR H
   1585 0.12%:  CAN I HAVE ONE OR TWO OR
   1586 0.12%:  I AM CO
   1587 0.12%:  COME HERE YOU CAN
   1588 0.12%:  I HAVE YOUR
   1589 0.12%:  THAT WAN
   1590 0.12%:  I WANT YOU AND THE
   1591 0.12%:  I CAN HAVE
   1592 0.13%:  I CAN HAVE YOU
   1593 0.12%:  I CAN HAVE THAT
   1594 0.12%:  DO YOU WANT TO COME OVER IN A H
   1595 0.12%:  YOU AND ME ARE T
   1596 0.12%:  CAN I COME OVER R
   1597 0.12%:  I NEED YOU TO NOT
   1598 0.12%:  HAVE I EAT
   1599 0.12%:  HAVE YOUR
   1600 0.12%:  CAN YOU COME HOME AND HAVE
   1601 0.12%:  CAN I COME OVER AND EAT AT YOU
   1602 0.12%:  WHEN I MET A
   1603 0.12%:  YOU HAVE TO EAT H
   1604 0.12%:  HAVE YOU MET ME AND
   1605 0.12%:  I DO NOT W
   1606 0.51%:  I DO NOT WANT ANY
   1607 0.17%:  I DO NOT WANT YOU
   1608 0.17%:  I DO NOT WANT ANY MO
   1609 0.12%:  YOU CAN COME TO
   1610 0.12%:  COME HUN
   1611 0.12%:  I NEED TO EAT YOU OR
   1612 0.12%:  I WANNA HAVE THAT N
   1613 0.12%:  YOU WANT ME TO OR
   1614 0.12%:  HAVE YOU MET O
   1615 0.12%:  I WANNA EAT WHAT YOU ARE MA
   1616 0.12%:  ARE YOU COM
   1617 0.12%:  I WANT YOU HERE
   1618 0.12%:  COME WITH ME AND YOU CAN OR
   1619 0.12%:  I WANNA EAT HER OUT
   1620 0.12%:  I AM ON THE
   1621 0.33%:  I AM ON THE VER
   1622 0.12%:  I WANT YOU TO D
   1623 0.12%:  WE HAVE TO D
   1624 0.12%:  HAVE I MET MY N
   1625 0.12%:  I WANT TO CR
   1626 0.12%:  WHEN WE H
   1627 0.12%:  HOW DO I
   1628 0.12%:  HOW DO I NOT
   1629 0.12%:  I WANT YOUR CH
   1630 0.12%:  ARE YOU THE RE
   1631 0.12%:  I WANT NOT
   1632 0.12%:  I WANT YOU TO COME OVER AND CA
   1633 0.12%:  I WANT TO HEAR WH
   1634 0.12%:  I WORE A
   1635 0.12%:  I AM NOT EVEN MAD AT YOUR
   1636 0.12%:  I DO NOT EVEN CARE HO
   1637 0.12%:  WHEN YOU HAVE A N
   1638 0.12%:  WHEN I MET HER AND
   1639 0.12%:  DO I EVER WANT TO HEAR HOW YOU CA
   1640 0.12%:  YOU ARE IN
   1641 0.12%:  ARE YOU ON A
   1642 0.13%:  ARE YOU ON A DIET OR
   1643 0.12%:  COME HERE I WANT YOU AND ON
   1644 0.12%:  HIT
   1645 0.12%:  THAT CAN
   1646 0.12%:  CAN I COME OVER AND TH
   1647 0.12%:  DO YOU TH
   1648 0.12%:  CAN I COME OVER AND NOT
   1649 0.20%:  CAN I COME OVER AND NOT EAT YOUR
   1650 0.12%:  DO YOU WANT ME TO H
   1651 0.12%:  I HAD H
   1652 0.12%:  I AM A HUN
   1653 0.12%:  I WANNA HAVE CHAT
   1654 0.12%:  CAN I COME OVER AND HAVE YOU
   1655 0.12%:  I ATE YOUR NAME ON
   1656 0.26%:  I ATE YOUR NAME ONCE AND
   1657 0.12%:  YOU WANT TO COME OVER ONE
   1658 0.12%:  I WANT O
   1659 0.18%:  I WANT OVER
   1660 0.15%:  I WANT OUR CH
   1661 0.12%:  I NEED TO EAT 
   1662 0.12%:  YOU CAN COME OVER AND EAT ON
   1663 0.12%:  I AM UN
   1664 0.12%:  I WANNA EAT HER AND EAT HAM
   1665 0.12%:  I WANT YOU A
   1666 0.12%:  WHEN DO I
   1667 0.12%:  I AM COM
   1668 0.12%:  I WANNA EAT ONE R
   1669 0.12%:  I CAN NE
   1670 0.12%:  CAN I COME EAT AT YOUR N
   1671 0.12%:  YOU CAN COME OVER E
   1672 0.12%:  COME HOW DO
   1673 0.12%:  ARE YOU NEW
   1674 0.12%:  WHAT DO YOU ME
   1675 0.12%:  I WANNA EAT YOUR HAM AND
   1676 0.12%:  WANT YOU IN
   1677 0.12%:  COME HERE I WANT TO R
   1678 0.12%:  WHEN YOU MA
   1679 0.12%:  ARE YOU THE ONE WHO MA
   1680 0.12%:  CAN YOU COME OVER AND HE
   1681 0.11%:  COME HERE WH
   1682 0.11%:  YOU AND ME ARE IN
   1683 0.11%:  I AM HERE ON
   1684 0.11%:  HAVE I EVER NOT W
   1685 0.11%:  CAN I TRY ONE
   1686 0.11%:  I HAD HAM
   1687 0.11%:  THEN
   1688 0.11%:  HOW DO YOU EAT THE
   1689 0.11%:  I WANNA EAT AND
   1690 0.11%:  I WANNA EAT YOUR MEAT AND
   1691 0.11%:  HAVE YOU MET THE M
   1692 0.11%:  CAN I HAVE ONE MORE H
   1693 0.11%:  HOW COME YOU HAVE NOT
   1694 0.11%:  YOU CAN HAVE THE RE
   1695 0.11%:  YOU WANT TO COME OVER AND HAVE A N
   1696 0.11%:  ARE YOU AN
   1697 0.11%:  YOU ARE H
   1698 0.11%:  WHAT HAVE YOU DONE TO E
   1699 0.11%:  HU
   1700 0.11%:  YOU CAN COME AND
   1701 0.11%:  I WANT TO RUN
   1702 0.20%:  I WANT TO RUN AWAY AND
   1703 0.11%:  I WANT YOU TO COME OVER AND WE CAN HO
   1704 0.11%:  HAVE YOU EVER HAD A CON
   1705 0.11%:  I WANNA ME
   1706 0.68%:  I WANNA MEET YOU
   1707 0.44%:  I WANNA MEET HER AND
   1708 0.33%:  I WANNA MEET YOUR
   1709 0.18%:  I WANNA MEET YOUR M
   1710 0.17%:  I WANNA MEET HAM
   1711 0.17%:  I WANNA MEET YOU AND
   1712 0.16%:  I WANNA MEET HER R
   1713 0.12%:  I WANNA MEET HER NO
   1714 0.11%:  WHEN YOU MEET A
   1715 0.11%:  I NEED TO HAVE H
   1716 0.11%:  I WANT YOU TO COME OVER AND O
   1717 0.11%:  I WANT YOU TO HAVE ONE
   1718 0.11%:  WE NEED TO C
   1719 0.11%:  DO YOU WANT TO RE
   1720 0.11%:  CAN I HAVE AN E
   1721 0.11%:  I HAD HER AT
   1722 0.11%:  HAVE YOU EVER A
   1723 0.11%:  CAN I COME OVER AND R
   1724 0.11%:  YOU CAN COME WITH
   1725 0.54%:  YOU CAN COME WITH ME AND
   1726 0.41%:  YOU CAN COME WITH ME AND WE
   1727 0.25%:  YOU CAN COME WITH ME TO
   1728 0.11%:  COME HERE I WANT TO CON
   1729 0.11%:  CAN I COME OVER AND RENT
   1730 0.11%:  I WANT YOU TO COME OVER ONCE
   1731 0.11%:  DI
   1732 0.11%:  I WANT TO HAVE AN
   1733 0.11%:  I WANNA EAT YOUR NAME O
   1734 0.21%:  I WANNA EAT YOUR NAME OVER
   1735 0.11%:  HAVE YOU MET AN
   1736 0.11%:  HAVE I MA
   1737 0.16%:  HAVE I MADE A NEW
   1738 0.15%:  HAVE I MADE MY
   1739 0.14%:  HAVE I MADE THE
   1740 0.11%:  DO YOU WANT TO COME HOME R
   1741 0.11%:  WE ARE A
   1742 0.11%:  I WANT YOU TO COME OVER AND WE MA
   1743 0.11%:  HOW ARE YOU AND
   1744 0.11%:  HOW ARE YOU AND I NOT
   1745 0.11%:  WE NEED TO NOT
   1746 0.11%:  DO I EVER WANT TO A
   1747 0.11%:  WHY NOT
   1748 0.11%:  WHEN DIN
   1749 0.11%:  I NEED TO HEAR YOU
   1750 0.11%:  YOU WANT TO HAVE A
   1751 0.11%:  I NEED TO EAT N
   1752 0.11%:  DO NOT
   1753 0.11%:  YOU ARE C
   1754 0.11%:  AND ME
   1755 0.11%:  THAT D
   1756 0.11%:  I HAVE HAD ONE
   1757 0.11%:  I TOT
   1758 0.11%:  I AM A M
   1759 0.37%:  I AM A MAN WHO H
   1760 0.19%:  I AM A MAN WHO NE
   1761 0.17%:  I AM A MAN WHO W
   1762 0.16%:  I AM A MAN WHO CAN
   1763 0.11%:  CAN I HAVE YOUR NAME WR
   1764 0.11%: MA
   1765 0.11%:  YOU AND ME W
   1766 0.11%:  YOU WANT TO COME DO
   1767 0.11%:  HAVE I MET A MORE CO
   1768 0.11%:  I AM MADE TO
   1769 0.11%:  CAN YOU AND
   1770 0.11%:  COME WITH ME AND E
   1771 0.11%:  THAT DO
   1772 0.11%:  DO YOU WANT TO HEAR WH
   1773 0.11%:  WHAT HAVE YOU DONE TO ME IN
   1774 0.11%:  DO YOU WANT TO COME OVER I
   1775 0.29%:  DO YOU WANT TO COME OVER I HAVE A
   1776 0.11%:  WANT TO HAVE A
   1777 0.11%:  IM H
   1778 0.11%:  WATCH ME OR
   1779 0.11%:  HAVE I MADE THE R
   1780 0.11%:  DO YOU WANT TO HAVE H
   1781 0.11%:  CAN I COME OVER AND TRY A
   1782 0.11%:  AND I W
   1783 0.11%:  HEY THAT
   1784 0.11%:  I WANNA EAT YOU OR
   1785 0.11%:  WE ARE R
   1786 0.14%:  WE ARE RUDE
   1787 0.11%:  WANT THE
   1788 0.11%:  YOU ARE W
   1789 0.11%:  I AM NOT EVEN C
   1790 0.11%:  CAN I COME OVER AND NOT EAT YOU
   1791 0.11%:  YOU CAN COME OVER AND EAT O
   1792 0.11%:  CAN I EAT YOU NO
   1793 0.11%:  ARE YOU THE MO
   1794 0.11%:  I WANNA EAT THE HE
   1795 0.11%:  HOW ARE WE
   1796 0.21%:  HOW ARE WE NOT
   1797 0.11%:  I EAT A
   1798 0.11%:  I TO
   1799 0.11%:  WHY W
   1800 0.11%:  WE NEED TO CHAT
   1801 0.11%:  CAN I HAVE M
   1802 0.11%:  I AM NOT EVEN MAD A
   1803 0.11%:  HAVE A
   1804 0.11%:  AND I CAN
   1805 0.11%:  COME WITH ME AND YOU CAN EAT WH
   1806 0.11%:  DO YOU WANT THE
   1807 0.11%:  I NEED TO COME
   1808 0.11%:  HAVE I H
   1809 0.11%:  I NEED TO C
   1810 0.11%:  I WANT YOU TO COME OVER AND COME
   1811 0.11%:  HAVE I HAVE
   1812 0.11%:  I AM NOT EVEN MA
   1813 0.10%:  I NEED TO EAT WH
   1814 0.10%:  I WANT YOUR NAME ON THE C
   1815 0.10%:  I TR
   1816 0.10%:  I NEED MORE THAN A H
   1817 0.10%:  WE WANT
   1818 0.10%:  YOU ARE THE V
   1819 0.10%:  COME HERE I AM NOT
   1820 0.10%:  THEN WE
   1821 0.13%:  THEN WE CAN
   1822 0.10%:  I WANT YOU TO COME OVER AND HER
   1823 0.10%:  CAN I HAVE ONE MORE OR
   1824 0.10%:  HER
   1825 0.10%:  HAVE WE NOT
   1826 0.10%:  I WANNA EAT YOU OVER AND OVER AHH
   1827 0.10%:  DONE R
   1828 0.10%:  CAN I COME OVER AND EAT YOU NO
   1829 0.10%:  I HAVE T
   1830 0.10%:  I WANNA EAT EAT
   1831 0.10%:  CHE
   1832 0.10%:  YOU HAVE THE R
   1833 0.10%:  WE ARE MO
   1834 0.10%:  CR
   1835 0.10%:  YOU CAN H
   1836 0.10%:  I WANNA EAT YOU TO
   1837 0.10%:  I WANT YOU TO COME OVER ON A
   1838 0.10%:  WHEN I MEET YOU AND
   1839 0.10%:  CAN YOU NOT HAVE
   1840 0.10%:  YOU WANT TO COME OVER AND HEAR MO
   1841 0.10%:  WHEN I HAVE
   1842 0.10%:  MY HE
   1843 0.10%:  YOU WANT TO COME OVER AND HO
   1844 0.10%:  I AM ONE H
   1845 0.10%:  ARE WE RU
   1846 0.11%:  ARE WE RUIN
   1847 0.10%:  DO YOU WANT TO COME OVER E
   1848 0.10%:  YOU WERE THE
   1849 0.10%:  I WANNA EAT YOU AND THEM
   1850 0.10%:  I DO NOT EVEN CARE WHAT YOU CO
   1851 0.10%:  HERE I COME TO
   1852 0.10%:  HEY I
   1853 0.10%:  I DO NOT CARE WHAT YOU CO
   1854 0.10%:  I CAN EAT MY
   1855 0.10%:  YOU HAVE TO EAT A
   1856 0.10%:  DO I EVER WANT TO HEAR AW
   1857 0.10%:  COME WITH ME TO A
   1858 0.10%:  WHAT WE
   1859 0.10%:  I WANNA HE
   1860 0.22%:  I WANNA HEAR THAT
   1861 0.21%:  I WANNA HEAR YOUR
   1862 0.14%:  I WANNA HEAR YOU
   1863 0.11%:  I WANNA HEAR THAT N
   1864 0.22%:  I WANNA HEAR THAT NAME COM
   1865 0.13%:  I WANNA HEAR THAT NAME E
   1866 0.11%:  I WANNA HEAR THE
   1867 0.10%:  I WANNA DATE YOUR
   1868 0.10%:  I HAVE MADE THAT
   1869 0.10%:  HOW ARE YOU I HAVE
   1870 0.10%:  DO I EVER WANT TO HEAR YOU H
   1871 0.10%:  WHAT ARE YOU TH
   1872 0.10%:  CAN I CHE
   1873 0.10%:  CAN YOU R
   1874 0.10%:  WE NEED TO W
   1875 0.10%:  I WANT YOU TO COME OVER AND OVER
   1876 0.10%:  YOU WANT TO COME OVER AND HAVE A HO
   1877 0.10%:  I NEED YOU TO COME HOW
   1878 0.10%:  YOU CAN HAVE E
   1879 0.10%:  I WANNA EAT YOU AND EAT EACH
   1880 0.10%:  I AM MORE THAN DOWN TO
   1881 0.10%:  I HAVE A C
   1882 0.10%:  I NEED TO HAVE YOU O
   1883 0.10%:  YOU NEED TO CO
   1884 0.14%:  YOU NEED TO COME WITH
   1885 0.10%:  I WANT YOU TO COME OVER AND WA
   1886 0.10%:  YOU AND I ARE ME
   1887 0.10%:  WERE YOU N
   1888 0.10%:  WHEN I MET YOU TH
   1889 0.10%:  ARE YOU HERE ON
   1890 0.10%:  YOU CO
   1891 0.10%:  CAN I COME AND EAT YOUR N
   1892 0.10%:  CAN YOU HEAR THAT R
   1893 0.10%:  YOU HAVE NO IDEA HOW R
   1894 0.10%:  I AM HERE TO DE
   1895 0.10%:  I WANNA EAT YOU RE
   1896 0.10%:  DO YOU WANT TO COM
   1897 0.10%:  WA
   1898 0.10%:  HAVE YOU EVER CO
   1899 0.10%:  I WANNA EAT TH
   1900 0.10%:  CAN I COME OVER AND ME
   1901 0.10%:  HI
   1902 0.10%:  COME WITH ME AND WE CAN R
   1903 0.10%:  HAVE YOU COME TO EAT A
   1904 0.10%:  HOW COME YOU H
   1905 0.10%:  COME WITH ME AND YOU CAN EAT A
   1906 0.10%:  ARE YOU THE H
   1907 0.10%:  I WANT TO COME OVER AND HAVE YOU
   1908 0.10%:  DO I EVER WANT TO HEAR MY OWN W
   1909 0.10%:  WHEN YOU CO
   1910 0.36%:  WHEN YOU COME OVER I CAN
   1911 0.20%:  WHEN YOU COME OVER I W
   1912 0.14%:  WHEN YOU COME OVER I WANT
   1913 0.14%:  WHEN YOU COME OVER TO
   1914 0.10%:  I DO NOT EVEN CARE HOW YOU
   1915 0.10%:  I NEED TO EAT YOU A
   1916 0.10%:  HAVE YOU MET HER I
   1917 0.10%:  YOU CAN COME OVER AND EAT T
   1918 0.10%:  I DO NOT E
   1919 0.10%:  I WANT YOU TO COME OVER AND HAVE CH
   1920 0.10%:  WHEN WE DATE I W
   1921 0.30%:  WHEN WE DATE I WANT YOU
   1922 0.10%:  WANNA H
   1923 0.10%:  I WANT YOU TO COME OVER AND MAN
   1924 0.10%:  YOU HAVE NO IDEA HOW W
   1925 0.10%:  YOU WANT ME TO HAVE
   1926 0.10%:  DO YOU WANT CH
   1927 0.10%:  WHY HAVE
   1928 0.10%:  CAN I COME OVER ON
   1929 0.10%:  CAN YOU COME WITH ME TO A H
   1930 0.10%:  CAN I COME ON YOUR
   1931 0.10%:  WANT YOU TO COME OVER AND C
   1932 0.10%:  YOU HAVE TO EAT ONE
   1933 0.10%:  CAN YOU DO THE
   1934 0.10%:  I WANNA EAT AT YOU AND
   1935 0.10%:  COME WITH ME AND YOU W
   1936 0.10%:  I HAVE MADE AN
   1937 0.10%:  HAVE I EVER HAD MY
   1938 0.10%:  YOU AND I CAN HAVE
   1939 0.10%:  I HAVE TO E
   1940 0.90%:  I HAVE TO EAT YOU
   1941 0.16%:  I HAVE TO EAT YOU NO
   1942 0.14%:  I HAVE TO EAT H
   1943 0.11%:  I HAVE TO EAT YOU AND
   1944 0.11%:  I HAVE TO EAT HER NO
   1945 0.10%:  ARE YOU INTO H
   1946 0.10%:  YOU CAN COME OVER AND EAT HOT
   1947 0.10%:  I HAD A RE
