hah! You sure do love your chips, JODIE FOSTER!
      0 100.00%: 
      1 234.54%:  h
   8995 2.06%:  hah! Oh yep! You sure
   8996 2.19%:  hah! Oh yep! You sure do,
   8997 2.06%:  hah! Oh! YES I DO, T
   8998 2.06%:  hah, sure do!! Oh yes
   8999 2.06%:  hah, yep I do! Yours is
   9000 2.06%:  hah! I do! For your
   9001 2.06%: ! Oh yeah! The
   9002 2.06%:  hah! Ooooh, you sure
   9003 2.06%:  hah, yes! I do! Forso
   9004 2.06%:  hah! Sure I do, you s
   9005 2.06%: ah, sure do I
   9006 5.24%: ah, sure do I! They
   9007 2.06%:  hah, yes! Yes i do! Do
   9008 2.06%: ! YES, I do! The chips are so y
   9009 2.06%:  hah, oh! I sure do! Do
   9010 2.06%:  hah, so cool
   9011 2.06%:  hah, I sure DOES! They
   9012 2.06%:  hah, sure I do! Yo ho!
   9013 2.06%:  hah, sure I do! STORE
   9014 2.06%:  hah, yes I do! Yes! For
   9015 2.06%:  hah! Oooh! Yes I do, so
   9016 2.06%:  hah! Yes I DO! Oh, T
   9017 2.05%:  hah, sure do! Yo! They
   9018 2.05%:  hah! I doooo, yes sir
   9019 2.05%: ! Dude, I love you! This
   9020 2.05%:  hah, yes! Oh I
   9021 2.05%:  hah! Oooh I do, yes! You
   9022 2.05%:  hah! Yep I do, sir
   9023 2.52%:  hah! Yep I do, sir! They
   9024 2.05%: ! F
   9025 2.05%:  hah, sure does! Oh
   9026 2.05%:  hah, oh yep! You sure
   9027 3.81%:  hah, oh yep! You sure do! I
   9028 2.05%:  hah, YES I DO! Oooh! T
   9029 2.05%:  hah! Yes I do, so help your
   9030 2.05%:  hah! Oh, sure! Yes
   9031 2.05%:  hah! I sure hope so! Or do you, D
   9032 2.05%:  hah! Yes! I love T
   9033 2.05%:  hah! Oh! Yes I DO
   9034 2.05%:  hah I DO,
   9035 2.05%: ! Yep! I sure do, as you
   9036 2.05%: ! The chips are so
   9037 2.05%: ! Yep! I had SO
   9038 2.05%: ! Yeah, you do
   9039 2.05%:  hah! Yep I DO! They
   9040 2.05%:  hah! Oh sure, D
   9041 2.05%:  hah! Yes! Oh, so very
   9042 2.04%: ! Yep, I do have
   9043 2.04%:  hah! Yes, yes! So
   9044 2.04%: ! Yup! I have so
   9045 2.04%:  hah, Yep! I hid
   9046 2.04%:  hah, I sure do!! Oh sure
   9047 2.04%:  hah! YES! Oh yes I DO,
   9048 2.04%:  hah! I do! You,
   9049 2.04%:  hah! Yes I do! For sure,
   9050 2.04%:  hah! Yup, I do! Oh
   9051 2.04%:  hah! Oh sorry, I T
   9052 2.04%:  hah, sorry Dude! Those
   9053 2.04%:  hah! Sure do! I DO, O
   9054 2.04%:  hah, sure do! YES! I hope
   9055 2.04%: ! Sure do! Oh, I have
   9056 2.04%:  hah! Ooh! I sure do, yes
   9057 2.04%: ! YES, you dope
   9058 9.25%: ! YES, you dope! I
   9059 11.83%: ! YES, you dope! I have
   9060 2.17%: ! YES, you dope! I have T
   9061 2.04%:  hah, yes sir! For
   9062 2.04%:  hah! Oh sure do! I DO
   9063 2.04%:  hah! YES! There I
   9064 2.04%: , I sure do! Oh! You
   9065 2.03%:  hah, YES! Dude! I sure
   9066 2.03%:  hah! Yes, I sure do! For T
   9067 2.03%:  hah! Oooh, sorry! You
   9068 2.03%:  hah! Yes I do, oh T
   9069 2.03%:  hah, yup! You sure do! I love
   9070 2.03%:  hah! Oh yep, sure
   9071 31.30%:  hah! Oh yep, sure do! I
   9072 5.94%:  hah! Oh yep, sure do! You
   9073 2.03%:  hah! I sure hope so, YE
   9074 2.54%:  hah! I sure hope so, YEES
   9075 2.03%:  hah! YES, sir you do! The
   9076 2.03%: ah! I sure do! E
   9077 2.03%: ! Sure do! Do you care
   9078 2.03%:  hah! Oh, sorry d
   9079 2.03%:  hah, oh yes! You sure
   9080 2.46%:  hah, oh yes! You sure do! I
   9081 2.03%:  hah! Sure you do, I
   9082 2.03%:  hah! I hope so! You sure
   9083 2.03%:  hah! Yessir! I DO
   9084 2.03%: ! I do! They have
   9085 2.03%:  hah! Ooh, I sure do! You sure
   9086 2.03%: ! Yup! I do,
   9087 2.03%:  hah! Oh I do, yes! Yes
   9088 2.03%:  hah! Yes I sure do, Sir
   9089 2.03%:  hah, I love you! Oh
   9090 2.02%:  hah! YES, sirs! The
   9091 2.02%:  hah, uh yes I
   9092 4.97%:  hah, uh yes I do!!
   9093 2.84%:  hah, uh yes I do! Yes
   9094 2.02%:  hah! Sure, sure! E
   9095 2.02%:  hah! YES, Dude! Oh yes
   9096 2.02%:  hah! Oh, Dude! Your
   9097 2.02%:  hah! Sure do! The cup is
   9098 2.02%:  hah, oh yep! I sure DO
   9099 2.02%: ah! Yes I do! This
   9100 2.02%: ! Oh yes I do, sir
   9101 2.02%: , YES! I had so
   9102 2.02%: ! YES I do
   9103 2.75%: ! YES I do,
   9104 2.56%: ! YES I do! They
   9105 2.02%:  hah! Sure you do! Do
   9106 2.02%:  hah! Oh, I do love your
   9107 2.02%: ! YES! I have chips so
   9108 2.02%:  hah! You sure do! Oh yes, I DO
   9109 2.02%:  hah! Yes, you dope! Do I E
   9110 2.02%: ! Sorry! I used
   9111 2.02%:  hah! Dude! The s
   9112 2.02%:  hah! Yes I do! Oh, TOD
   9113 2.02%:  hah, yes I DO!! You
   9114 2.02%: ! YES, dear sir
   9115 7.77%: ! YES, dear sir! I DO
   9116 2.21%: ! YES, dear sir! They
   9117 2.02%:  hah! You sure do! I love chips, you
   9118 2.01%:  hah! Oooooh! YES I DO, JER
   9119 2.01%:  hah, sure do you! YES I DO O
   9120 2.01%: ! Yep, you
   9121 2.86%: ! Yep, you sure
   9122 15.11%: ! Yep, you sure do! I
   9123 2.01%:  hah! YES, you do! I TR
   9124 2.01%:  hah! Fooled you! I DO, S
   9125 2.01%:  hah, I do! YES! Do
   9126 2.01%:  hah, yep! I sure do! Yooou
   9127 2.12%:  hah, yep! I sure do! Yooouu
   9128 2.01%:  hah, sure I do! YO
   9129 2.01%:  hah, sure do I!! Oh
   9130 2.01%:  hah! Oooh! Yes I do, you sc
   9131 2.01%: ah, YES I DO! J
   9132 2.01%:  hah! Ouch! O
   9133 2.01%:  hah! FIRST you
   9134 2.01%:  hah! Oh, sorry! E
   9135 2.01%:  hah, sure I do! Yepy!
   9136 2.01%: , hah! The
   9137 2.01%:  hah, sure I sure
   9138 13.12%:  hah, sure I sure do!!
   9139 5.29%:  hah, sure I sure do! You
   9140 2.01%:  hah, yes!! For
   9141 2.01%: ! Oh, yes! I had
   9142 2.01%:  hah! Oh yes, Y
   9143 12.54%:  hah! Oh yes, YES!
   9144 13.82%:  hah! Oh yes, YES! I
   9145 9.83%:  hah! Oh yes, YES! I do
   9146 7.00%:  hah! Oh yes, YES I DO! T
   9147 6.74%:  hah! Oh yes, YES I do
   9148 6.25%:  hah! Oh yes, YES I DO! E
   9149 5.75%:  hah! Oh yes, YES I DO! J
   9150 5.67%:  hah! Oh yes, YES! I DO
   9151 2.01%:  hah! You sure do! I love our
   9152 2.01%: ! I sure do, as ev
   9153 2.01%:  hah! Oh! So you
   9154 2.00%:  hah, so cool! I
   9155 2.00%:  hah, yep! You should! I
   9156 2.00%:  hah! Oooh, yes! Yes I dooO
   9157 2.00%: ! Yes I do! Oh, oh
   9158 2.00%:  hah! Dude! Yep y
   9159 2.00%:  hah! Dude, seriously! I S
   9160 2.00%: ! Yes I do! The chip
   9161 2.00%:  hah! YES! The p
   9162 2.00%: , yes! I love chips! Do
   9163 2.00%: ! YES! I have sooo
   9164 2.00%: ! I sure do, hah! Oh
   9165 2.00%:  hah! Ooh! Yes I DO,
   9166 2.00%: ! I have chips
   9167 2.19%: ! I have chips,
   9168 2.00%: ! Sure do! You help
   9169 2.00%:  hah, YES!! I hope
   9170 2.44%:  hah, YES!! I hope so
   9171 2.00%:  hah, I sure do! Oh! Ooo
   9172 2.00%:  hah! Oh, I so do! You
   9173 2.00%: , yes! Do I E
   9174 2.00%:  hah, so I do! You
   9175 2.00%:  hah! Oh yes, I DO! Yes
   9176 2.00%:  hah! Sorry Dude! I J
   9177 2.00%:  hah! Dude, YES! I love chips sooo
   9178 2.00%:  hah, sure! I could use
   9179 2.00%:  hah! Oh, you S
   9180 2.00%: ! YES, sir! Do
   9181 2.00%: ah! Yep! I love you,
   9182 1.99%: ! I sure do, hah! The
   9183 1.99%: , YES! There
   9184 1.99%: ! Yes! I used
   9185 1.99%:  hah, sure do! Oh yes! Do I E
   9186 1.99%:  hah! Sure, yes
   9187 7.56%:  hah! Sure, yes! I
   9188 2.79%:  hah! Sure, yes! I do
   9189 1.99%:  hah, Dude! I love you! Y
   9190 1.99%: ! YES! I, u
   9191 1.99%: ah, I sure hope so! You
   9192 1.99%:  hah! Yep, you sure do! Eh
   9193 1.99%:  hah! Oops, sorry! I lied
   9194 1.99%: ! I sure hope you do, T
   9195 1.99%:  hah! YES, yes! I hope so
   9196 1.99%:  hah! Sure I do! You,
   9197 1.99%:  hah, yep! I do! The D
   9198 1.99%: ! YES I DO! They are sooo
   9199 1.99%:  hah, hey! I do! Do
   9200 1.99%:  hah! You do you, D
   9201 1.99%:  hah, sure I do! Oh T
   9202 1.99%:  hah! YES! I love you, so
   9203 1.99%:  hah, FYI!
   9204 1.99%:  hah, sure do! Yep! Do y
   9205 1.99%: ! Dude, yeah I
   9206 1.99%:  hah! So I do, so
   9207 1.98%: , hah! I love
   9208 4.09%: , hah! I love you!
   9209 1.98%:  hah, yes I do! The spic
   9210 1.98%: ! Sorry, I had
   9211 1.98%:  hah, oh sure I do! Yes
   9212 1.98%: ! I do! Yes,
   9213 1.98%:  hah! Oooh, sure I
   9214 6.18%:  hah! Oooh, sure I do! You
   9215 1.98%: ! Dude! E
   9216 1.98%:  hah! Oh YES I do, sir
   9217 1.98%: , yeah I sure
   9218 8.50%: , yeah I sure do!!
   9219 6.58%: , yeah I sure do! You
   9220 2.95%: , yeah I sure do! This
   9221 2.29%: , yeah I sure do! Do
   9222 1.98%: ! I do! Y
   9223 3.63%: ! I do! Yep
   9224 2.48%: ! I do! YES,
   9225 1.98%:  hah, sure do I! Oh yes
   9226 1.98%:  hah! YES! I love chips so you
   9227 1.98%:  hah! Oh, yes! You do
   9228 1.98%:  hah! Dude, your shoes
   9229 1.98%:  hah! Oh sure I do, yes! You
   9230 1.98%: , sure do! Oh yeah
   9231 3.35%: , sure do! Oh yeah! I
   9232 1.98%:  hah! Oops, sorry! I D
   9233 1.98%:  hah! Oooh, yes! E
   9234 1.98%: ! Oh yes, I do have
   9235 1.98%:  hah! Yes you do! I hope
   9236 1.98%:  hah, do I! The
   9237 1.98%:  hah, uh yes I do! You
   9238 1.98%: , do
   9239 32.78%: , do I ever!!
   9240 6.65%: , do I E
   9241 4.25%: , do you
   9242 4.16%: , do I ever! You
   9243 3.93%: , do I have
   9244 3.91%: , do I ever! Do
   9245 3.67%: , do I ever! This
   9246 2.52%: , do I!
   9247 1.98%:  hah! YES! I DO, FORT
   9248 1.98%: , yep! T
   9249 1.98%:  hah! I sure do, sir! The p
   9250 1.97%:  hah, YES! I DO O!
   9251 1.97%: ! Yeah, I do! For you
   9252 1.97%:  hah! YES, sir! I hope your
   9253 1.97%: ! Yes I do! Do you,
   9254 1.97%:  hah, YES! I love you! This
   9255 1.97%:  hah! Oo! They
   9256 1.97%: ! SOR
   9257 1.97%: ! YES, I DO! They are sooo
   9258 1.97%:  hah yes! Do
   9259 1.97%: ! I sure do! Oh, h
   9260 1.97%:  hah, hold up! Do
   9261 4.24%:  hah, hold up! Do I
   9262 5.63%:  hah, hold up! Do I ever
   9263 1.97%:  hah, yep! I do! Yoo h
   9264 1.97%:  hah, yes I DO!! This
   9265 1.97%: ! I sure DO! This
   9266 1.97%:  hah, yes sir!! You
   9267 1.97%:  hah! Oh yes! I use
   9268 1.97%:  hah, uh! Yep! I sure DO
   9269 1.97%:  hah! YES, sir! I sure hope you DO
   9270 1.97%:  hah, yep! You sure do! Eh
   9271 1.97%: , YES! I do! The
   9272 2.04%: , YES! I do! The chips
   9273 4.85%: , YES! I do! The chips are so
   9274 1.97%:  hah, yes! Yes! Do I E
   9275 1.97%:  hah! FY
   9276 11.17%:  hah! FYI, yes
   9277 3.48%:  hah! FYI, you
   9278 2.35%:  hah! FYI!
   9279 1.97%: ! YES, Dude! I have 
   9280 1.97%:  hah! Yes! Oh, so you
   9281 1.97%:  hah! I sure do! Oh yes, Sir
   9282 1.97%:  hah! Dude! STO
   9283 1.97%:  hah, YES! I sure do! The cool
   9284 1.97%: , yep! Yes
   9285 2.54%: , yep! Yes I DO
   9286 2.40%: , yep! Yes!
   9287 2.39%: , yep! Yes I do! Do
   9288 2.01%: , yep! Yes I do! This
   9289 1.97%:  hah! Yes, you sure do! Oh
   9290 1.97%:  hah! Oooh, yessir! I DO
   9291 1.97%:  hah! Yes, you DO! I
   9292 1.97%:  hah, I love you! E
   9293 1.96%:  hah, yes I do! Oh! O
   9294 1.96%:  hah! There,
   9295 1.96%: ! Yes, sir! I DO have
   9296 1.96%: , YES! I do! Do
   9297 1.96%:  hah, yup! You sure I
   9298 1.96%:  hah! Oooh yes, I sure do! Y
   9299 1.96%:  hah, sure! YES I DO! J
   9300 1.96%: ah, YES I DO! O
   9301 1.96%:  hah! Sure! I hid
   9302 1.96%:  hah! I sure hope SO,
   9303 1.96%:  hah! I do! YES, yes
   9304 1.96%:  hah! Ouch! I do, yes
   9305 1.96%:  hah, YES! TOD
   9306 1.96%:  hah! Oooh! Yep, I DO
   9307 1.96%:  hah, I do! Yess
   9308 1.96%:  hah! Dudes, you sure
   9309 1.96%: ! Yes, I have so
   9310 1.96%: ! Yep, you do
   9311 1.96%:  hah! YES! Dude, I hope
   9312 1.96%:  hah, YES!! I RE
   9313 2.14%:  hah, YES!! I REF
   9314 1.95%: ! YES, OF
   9315 1.95%:  hah, yup! I sure do! YEE
   9316 1.95%:  hah! Oooh, you sure do! I sure
   9317 1.95%: ! You sure do! E
   9318 1.95%:  hah! Dude! YESIET
   9319 1.95%:  hah! Oooh, do I ev
   9320 1.95%: , hah! Dude! I J
   9321 1.95%:  hah! Dude, Yep
   9322 8.39%:  hah! Dude, Yep! I
   9323 1.95%:  hah! Yup! I S
   9324 1.95%:  hah! YES, you sure do! Oh
   9325 1.95%: , sure do! Oh!
   9326 1.95%:  hah! Oooh! I do, yes sir
   9327 1.95%:  hah! Oooo! You
   9328 1.95%:  hah! Yep, you do! Oh
   9329 1.95%:  hah! Oh sure I do, sure!
   9330 1.95%:  hah! Ooooh yes I
   9331 6.87%:  hah! Ooooh yes I do,
   9332 1.96%:  hah! Ooooh yes I do! O
   9333 1.95%: ! Yes I do! Oh yeah
   9334 1.95%:  hah! YES I DO! Oooh, so you
   9335 1.95%: ah! YES, I DO! FOR
   9336 1.95%:  hah yes! I do! This
   9337 1.95%:  hah! I do, yes! For 
   9338 1.95%: ! I DO, Y
   9339 1.95%:  hah, I sure do! Oh you sure
   9340 1.95%:  hah! YES! Dude, I J
   9341 1.95%:  hah! Oooh! FRIED O
   9342 1.95%: ! I sure do! Ohh
   9343 1.95%:  hah, sure do! YES I DO! TRE
   9344 1.95%:  hah! Ooh, yes! Y
   9345 1.95%: ! Sure do! I have chips FOR
   9346 2.06%: ! Sure do! I have chips FOR E
   9347 1.95%: ! YES, yes I do! For a
   9348 1.94%:  hah! YES! Oo
   9349 26.18%:  hah! YES! Oooh, I
   9350 13.20%:  hah! YES! Oooh, yes
   9351 10.34%:  hah! YES! Oooh, I love
   9352 9.18%:  hah! YES! Oooh, I do
   9353 6.32%:  hah! YES! Oooh, I love you
   9354 3.92%:  hah! YES! Oooh, so
   9355 3.49%:  hah! YES! Oooh, yes I
   9356 3.29%:  hah! YES! Oooh, I sure
   9357 2.42%:  hah! YES! Oooh, I DO
   9358 2.27%:  hah! YES! Oooh, you
   9359 2.05%:  hah! YES! Oooh, o
   9360 1.98%:  hah! YES! Oooh, do
   9361 2.15%:  hah! YES! Oooh, do I
   9362 1.96%:  hah! YES! Oooh, yes I DO
   9363 1.94%: ! Dude, I sure as
   9364 1.94%:  hah, I sure hope so! Or do you RE
   9365 1.94%:  hah! Dude, seriously! I ST
   9366 1.94%:  hah, yep! Yes! This
   9367 1.94%:  hah, yes! You should! I
   9368 1.94%:  hah, I hope you do! You
   9369 1.94%:  hah! YES I do! Oh
   9370 2.96%:  hah! YES I do! Oh,
   9371 1.94%: ! Oh, sure do! I have SO
   9372 1.94%:  hah! Yes! For your chips
   9373 1.94%: ! YES! OF
   9374 1.94%:  hah! Yep! Do you, sir
   9375 1.94%:  hah! Yep, I do! The cool
   9376 1.94%:  hah, FRIED OY
   9377 1.94%: ! Oh yes! I DO
   9378 1.94%:  hah! Oh, yes! I could
   9379 1.94%:  hah yes I do, oh
   9380 1.94%: ! I D
   9381 1.94%:  hah! Oooh, spo
   9382 4.12%:  hah! Oooh, spoiler
   9383 3.25%:  hah! Oooh, spoilers! I
   9384 1.94%:  hah! Yes! So very
   9385 1.94%: ! Sure do! I love your
   9386 1.94%:  hah, I hope you DO
   9387 1.94%:  hah, sure do!! I love you SO
   9388 1.94%:  hah! Oh YES, sir
   9389 14.74%:  hah! Oh YES, sir! I do
   9390 5.42%:  hah! Oh YES, sir! I DO
   9391 2.35%:  hah! Oh YES, sir! I sure
   9392 1.93%: ! Yes! I have FORE
   9393 1.93%:  hah! Oh, yes! YES I do
   9394 1.93%:  hah! Oo! I DO
   9395 1.93%:  hah! Oh, so I do! Yes
   9396 1.93%:  hah! Yes! Oh, I do so
   9397 1.93%:  hah, uh! I sure do! Do
   9398 1.93%:  hah, sure do!! I hope you DO
   9399 1.93%:  hah! Oops! Yes
   9400 2.28%:  hah! Oops! Yes I
   9401 10.65%:  hah! Oops! Yes I do,
   9402 2.21%:  hah! Oops! Yes,
   9403 2.99%:  hah! Oops! Yes, I DO
   9404 1.93%: ! Yep! Oh, you
   9405 1.93%:  hah! YES I DO! Oooh, sp
   9406 1.93%: ! Oh yes, I do! Yes
   9407 1.93%:  hah! Yes sir, I do! Oh T
   9408 1.93%:  hah! YES, you sure do! E
   9409 1.93%:  hah! Ooooh yes I do! Yes
   9410 2.35%:  hah! Ooooh yes I do! Yes,
   9411 1.93%: ! Yes, I do! Ohhh
   9412 1.93%:  hah, yes! YES! Do I E
   9413 1.93%: ! I heard
   9414 2.36%: ! I heard you
   9415 1.93%: , I sure DO!!
   9416 1.93%:  hah! Sure do! Oh sure I
   9417 1.93%:  hah, sure do! Dope!
   9418 1.93%:  hah, Dude! Yup
   9419 8.96%:  hah, Dude! Yup! I
   9420 7.37%:  hah, Dude! Yup! They
   9421 1.93%: ! Oh yes! I have T
   9422 1.93%:  hah! Oooh yes, I do! Y
   9423 1.93%:  hah yes I DO!!
   9424 1.93%:  hah! Sure! Oh, I love you
   9425 1.93%:  hah! Oooh! Dude, I love your
   9426 1.93%:  hah! Oh yes! You do
   9427 1.92%:  hah! Oooooh, YES I J
   9428 1.92%:  hah, oh sure! I do! You
   9429 1.92%:  hah! I, uh! You
   9430 1.92%:  hah! Yes I do, Sir F
   9431 1.92%: ! Dude! I have S
   9432 1.92%:  hah, YES I DO! The spicey
   9433 1.92%:  hah, sure do! I hope your soul
   9434 1.92%: ! Yup! I love
   9435 1.92%:  hah! Oh yessire
   9436 1.92%:  hah! Dude! Soooo,
   9437 1.92%:  hah! Oh yes, sir! Y
   9438 14.24%:  hah! Oh yes, sir! YES I
   9439 1.92%:  hah! Oooh! So you DO
   9440 1.92%: ! Yup! I had
   9441 1.92%:  hah! Yes, oh yes! For
   9442 1.92%:  hah, sure do I! Scoop!
   9443 1.92%: ! Sure do! I DO,
   9444 1.92%:  hah! Yes, you do! I hope so
   9445 1.92%:  hah, sure! You sure I
   9446 1.92%:  hah! Sure! I sure DO
   9447 1.92%:  hah! Dudes, I S
   9448 1.92%:  hah! YES, you sure do! I sure
   9449 1.92%:  hah! YES! I hope so, Dude
   9450 1.92%:  hah! Oh sure, sure I do! T
   9451 1.91%:  hah! Yes I do, Sir El
   9452 1.91%:  hah, sure do! I DO ST
   9453 1.91%:  hah, YES! The cup
   9454 1.91%:  hah! Oh yessir! Y
   9455 8.49%:  hah! Oh yessir! YES I
   9456 15.35%:  hah! Oh yessir! YES I DO,
   9457 3.99%:  hah! Oh yessir! YES,
   9458 6.40%:  hah! Oh yessir! YES, I do
   9459 1.91%:  hah! Oooh, d
   9460 1.91%:  hah! Sure, I sure do! E
   9461 1.91%: ! Oh yes I do! This
   9462 1.91%:  hah! You dopey,
   9463 1.91%:  hah, yup! This IS
   9464 1.91%:  hah, Yep! I use
   9465 1.91%: ! YES, Dude! I sure
   9466 1.91%:  hah! Ooooh, I do! Yes
   9467 1.91%: ! Oh, yes! I sure
   9468 1.91%:  hah! I sure do! Oh, so cool
   9469 1.91%:  hah, yes! I do! For 
   9470 1.91%:  hah, sure do! YES DO! E
   9471 1.91%:  hah, I do! There!
   9472 1.91%: , yep! You are
   9473 1.91%: ! Yes, a
   9474 1.91%:  hah! YES! Oh I do,
   9475 1.91%:  hah, FRIED Y
   9476 18.92%:  hah, FRIED YES!
   9477 3.87%:  hah, FRIED YES!!
   9478 1.91%:  hah I sure do! Y
   9479 5.11%:  hah I sure do! YES!
   9480 3.51%:  hah I sure do! Yep
   9481 3.02%:  hah I sure do! Yep,
   9482 2.71%:  hah I sure do! YES,
   9483 2.26%:  hah I sure do! Yep y
   9484 1.91%: , yes I do! Yours!
   9485 1.91%:  hah! I sure DO! You help
   9486 1.91%:  hah! I do, so help
   9487 1.91%: ah! Yes I do! Do
   9488 1.91%:  hah! Sure I do! Oh, yes
   9489 1.91%: ! YES, sir! The
   9490 1.91%:  hah, you should!
   9491 1.91%:  hah! Yes you do! Oh, I love
   9492 1.90%:  hah! Oh, you love
   9493 1.90%:  hah, sure I do! Oh yes! You
   9494 1.90%:  hah, yep! I sure DOES
   9495 1.90%:  hah! Told you, h
   9496 1.90%:  hah! Oooh, sure do! Do I E
   9497 1.90%:  hah, yes!! Do I E
   9498 1.90%:  hah! Oh YES, I do! Do you see
   9499 1.90%: ! I do! You are
   9500 2.07%: ! I do! You are so
   9501 1.90%:  hah, sure do! I love chip!
   9502 1.90%: ah! YES I DO, O
   9503 1.90%: ! Dude! I ST
   9504 1.90%:  hah! Ooooh! Do I ever,
   9505 1.90%:  hah, YES I DO! Oo!
   9506 1.90%: ! Oh yes, I do! Do
   9507 1.90%:  hah! Yup, sure do! I sure
   9508 1.90%:  hah, you dope! I sure
   9509 1.90%:  hah, you sure I do! Yes
   9510 1.90%:  hah! Yes, Sir! Do I
   9511 1.90%:  hah, sure do you! I sure DO
   9512 1.90%:  hah, yep!! Yours
   9513 1.90%:  hah, sure do! TRO
   9514 1.90%:  hah! Oooooh, YESI
   9515 4.94%:  hah! Oooooh, YESIREDO
   9516 1.90%: ! Yes, I do! Oh yeah
   9517 1.90%:  hah! YES! Oh, I do so
   9518 1.90%:  hah, yer
   9519 1.90%: ! Yep y
   9520 1.90%: ! I do, so
   9521 1.90%:  hah! You sure do, I DO
   9522 1.89%: ! Yes! I use
   9523 1.89%:  hah, sorry! Dude! E
   9524 1.89%: , sure do! I love you D
   9525 1.89%:  hah, I do! Yepy
   9526 1.89%:  hah! Yes sir! T
   9527 1.89%: ! Yes, yes I do! Oh h
   9528 1.89%: ! Yep! I had you
   9529 1.89%:  hah yes, sir
   9530 8.42%:  hah yes, sir! I
   9531 10.05%:  hah yes, sir! I do
   9532 2.17%:  hah yes, sir! I DO
   9533 1.89%:  hah! I DO, JER
   9534 1.89%: , sure do! YES! I DO
   9535 1.89%:  hah, so you do! So
   9536 1.89%:  hah, sure do! YES DO! O
   9537 1.89%:  hah! Yes, you do! I TR
   9538 1.89%: , sure do! Yep! I DO
   9539 1.89%:  hah, yessire
   9540 1.89%: ! For
   9541 1.89%:  hah, Dude! You sure I
   9542 1.89%: ah! They
   9543 1.89%: , yep! YES! I
   9544 2.34%: , yep! YES! I have
   9545 1.89%:  hah! You sure do! Oh, I love you SO
   9546 1.89%: ! Sorry! I have
   9547 1.89%:  hah! Oh, yes sir! You
   9548 1.89%:  hah, sure do! Do you love us
   9549 1.89%: ! YES! I say
   9550 2.53%: ! YES! I say,
   9551 1.96%: ! YES! I say, do
   9552 1.89%: ! Dude! The chips you
   9553 1.88%:  hah! Oooh! YES, I REF
   9554 1.88%: ! Yes! Oh, I love
   9555 1.88%:  hah, sure! YES! I J
   9556 1.88%:  hah, sure do!! Do you love
   9557 1.88%: ! Yes, I sure do! For a
   9558 1.88%:  hah, sure do! YES! I TR
   9559 1.88%:  hah! You sure do! Eh
   9560 2.41%:  hah! You sure do! Eh,
   9561 1.94%:  hah! You sure do! Eh, I
   9562 1.88%:  hah! Sure! I love you, T
   9563 1.88%: ! YES! J
   9564 1.88%: , hah! Dude! This IS
   9565 1.88%:  hah! Yep! Oh, I could
   9566 1.88%:  hah! YES, FRIED OO!
   9567 1.88%: ! YES! I sure do, sir
   9568 1.88%:  hah! Dudes! I T
   9569 1.88%:  hah, yes! Oh sure
   9570 3.54%:  hah, yes! Oh sure! I
   9571 1.88%:  hah, I do!! Do
   9572 1.88%:  hah! Yes I do, oh sir
   9573 1.88%:  hah! Yes I DO, yes!
   9574 1.88%: , YES! I do! They are so cool
   9575 1.88%:  hah! So I do! Y
   9576 1.88%: ! Yep! Oh, I sure
   9577 1.88%:  hah! You dope,
   9578 1.88%:  hah! Oh yes, Sir
   9579 10.72%:  hah! Oh yes, Sir! I
   9580 11.23%:  hah! Oh yes, Sir! I do
   9581 3.88%:  hah! Oh yes, Sir! I DO
   9582 1.88%:  hah! Yes sir! E
   9583 1.88%:  hah! Sure do! Oh, I love your s
   9584 1.88%: ! YES! I saved
   9585 1.88%:  hah! FRIES D
   9586 1.88%:  hah! Oooooh! YES, I D
   9587 1.87%:  hah, yep! Eh e
   9588 1.87%:  hah, yep! You sure do! This IS
   9589 1.87%:  hah, sure do! The DYS
   9590 1.87%:  hah! YES I DO, yes! The
   9591 1.87%:  hah! Sure! Do I E
   9592 1.87%:  hah, uh sure do I! You
   9593 1.87%:  hah! I doooo, yesh
   9594 1.87%:  hah! Yup! I sure do, e
   9595 1.87%: ! Dude, are you S
   9596 1.87%:  hah, sure I do! YE
   9597 1.87%: ! Dude, yes! This
   9598 1.87%: , yep! Sure do! I also
   9599 1.87%: ! I sure hope so, or do
   9600 1.87%:  hah, I sure do! Oh! For you
   9601 1.87%:  hah! I surely do! You sure
   9602 1.87%:  hah, sure! I love you! This
   9603 1.87%:  hah! You sure do, you S
   9604 1.87%:  hah! I doooo, sir
   9605 1.87%:  hah! Told you so! I DO,
   9606 1.87%:  ha
   9607 4.30%:  ha!
   9608 3.21%:  ha, I
   9609 5.01%:  ha, I sure
   9610 41.12%:  ha, I sure do! They
   9611 21.01%:  ha, I sure do!!
   9612 6.81%:  ha, I sure do! You
   9613 3.99%:  ha, I sure do! The
   9614 3.79%:  ha, I sure do! This
   9615 3.59%:  ha, I do
   9616 5.09%:  ha, I do!
   9617 3.39%:  ha, I sure do!! They
   9618 3.02%:  ha! I
   9619 3.57%:  ha! I sure
   9620 23.21%:  ha! I sure do! They
   9621 14.13%:  ha! I sure do,
   9622 3.57%:  ha! I sure do! You
   9623 3.32%:  ha! I do
   9624 3.64%:  ha! I do!
   9625 2.54%:  ha, I sure do! Do
   9626 2.51%:  ha, I sure do! The chips
   9627 2.43%:  ha! I do,
   9628 2.23%:  ha! I sure do! The
   9629 2.04%:  ha, I sure do! Oh
   9630 1.87%:  hah! Ooh! So
   9631 1.87%:  hah! Yes I do! For you love
   9632 1.87%: ! The chips have
   9633 1.87%:  hah, yes I do! For sure! You
