WHAT AM I GONNA DO WITH ALL THESE RAISED EXPECTATIONS
100.00%: 
25.31%:  THAT
6.17%:  WHAT AM I GONNA DO WITH ALL THESE SEED
6.16%:  WHAT AM I GONNA DO WITH THESE RE
6.15%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE IT
6.12%:  WHAT AM I GONNA DO WITH THIS INTER
6.10%:  WHAT AM I GONNA DO WITH ALL THESE PROCE
6.08%:  WHAT AM I GONNA DO WITH ALL THESE TETR
6.08%:  WHAT AM I GONNA DO WITH ALL THESE DISC
6.04%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA INCO
6.04%:  WHAT AM I GONNA DO WITH THIS ETERN
6.03%:  WHAT AM I GONNA DO WITH THIS REAL ESTATE DEAL IN
6.01%:  WHAT AM I GONNA DO WITH THESE TRANSLATED
5.98%:  WHAT AM I GONNA DO WITH ALL THOSE TRANSP
5.98%:  WHAT AM I GONNA DO WITH ALL THESE PEACE AND
5.97%:  WHAT AM I GONNA DO WITH ALL THESE NOTES T
5.97%:  WHAT AM I GONNA DO WITH ALL THESE TAR
5.95%:  WHAT AM I GONNA DO WITH THIS TRANSLATED
5.95%:  WHAT AM I GONNA DO WITH ALL THESE POINTED
5.95%:  WHAT AM I GONNA DO WITH ALL THE EXTRA DIN
5.94%:  WHAT AM I GONNA DO WITH ALL THESE SPAR
5.93%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA ACTIONS
5.92%:  WHAT AM I GONNA DO WITH ALL THESE TORN
5.91%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA NE
5.91%:  WHAT AM I GONNA DO WITH ALL THIS SPARE C
5.90%:  WHAT AM I GONNA DO WITH ALL THESE SPENT
5.90%:  WHAT AM I GONNA DO WITH ALL THIS PREC
5.89%:  WHAT AM I GONNA DO WITH THIS AN
5.84%:  WHAT AM I GONNA DO WITH ALL THESE TEXTS A
5.84%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA COINS I
5.83%:  WHAT AM I GONNA DO WITH ALL THOSE SE
5.81%:  WHAT AM I GONNA DO WITH THESE L
5.79%:  WHAT AM I GONNA DO WITH ALL THESE SNO
5.78%:  WHAT AM I GONNA DO WITH ALL THESE RECENT
5.77%:  WHAT AM I GONNA DO WITH ALL THESE SPARE CO
5.76%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA ACTION
5.76%:  WHAT AM I GONNA DO WITH ALL THAT EXTRA CO
5.75%:  WHAT AM I GONNA DO WITH ALL THESE PRAISE AND
5.74%:  WHAT AM I GONNA S
5.74%:  WHAT AM I GONNA DO WITH ALL THESE ICE
5.72%:  WHAT AM I GONNA DO WITH ALL THESE RAC
5.70%:  WHAT AM I GONNA DO WITH THIS NICE
5.69%:  WHAT AM I GONNA DO WITH THIS PER
5.65%:  WHAT AM I GONNA DO WITH ALL THESE ONES
5.65%:  WHAT AM I GONNA DO WITH THIS REAL ESTATE AD
5.65%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE I T
5.63%:  WHAT AM I GONNA DO WITH ALL THOSE EXIST
5.60%:  WHAT AM I GONNA DO WITH ALL THOSE AD
5.59%:  WHAT AM I GONNA DO WITH ALL THE SPARE T
5.58%:  WHAT AM I GONNA DO WITH ALL THIS CRE
5.58%:  WHAT AM I GONNA DO WITH ALL THOSE TEXTS I
5.56%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA TONE
5.56%:  WHAT AM I GONNA DO WITH ALL THESE PRI
5.56%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA DEIT
5.55%:  WHAT AM I GONNA DO WITH ALL THOSE SPE
5.55%:  WHAT AM I GONNA DO WITH ALL THIS AD
5.55%:  WHAT AM I GONNA DO WITH ALL THESE NEED
5.53%:  WHAT AM I GONNA DO WITH ALL THE COP
5.52%:  WHAT AM I GONNA DO WITH ALL THIS COR
5.52%:  WHAT AM I GONNA DO WITH ALL THESE PAIN
5.51%:  WHAT AM I GONNA DO WITH ALL THESE OPEN
5.49%:  WHAT AM I GONNA DO WITH ALL THESE TAN
5.49%:  WHAT AM I GONNA DO WITH ALL THESE CRO
5.49%:  WHAT AM I GONNA DO WITH ALL THESE SORT
5.48%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE D
5.48%:  WHAT AM I GONNA DO WITH ALL THESE INC
5.48%:  WHAT AM I GONNA DO WITH ALL THE E
5.46%:  WHAT AM I GONNA DO WITH ALL THIS STAR
5.46%:  WHAT AM I GONNA DO WITH ALL THESE RANT
5.45%:  WHAT AM I GONNA DO WITH THIS REAL ESTATE I O
5.45%:  WHAT AM I GONNA DO WITH ALL THESE SCREEN
5.43%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA NOTE
5.43%:  WHAT AM I GONNA T
13.01%:  WHAT AM I GONNA TELL THE
8.43%:  WHAT AM I GONNA TELL THE OTHER
7.55%:  WHAT AM I GONNA TELL THE AN
7.31%:  WHAT AM I GONNA TELL PE
5.42%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA AD
5.38%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA PE
5.38%:  WHAT AM I GONNA DO WITH ALL THESE EXPENSE
5.37%:  WHAT AM I GONNA DO WITH ALL THIS SAT
5.35%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA DI
5.35%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SCI
5.85%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SCIENT
5.34%:  WHAT AM I GONNA DO WITH ALL THIS STAND
5.33%:  WHAT AM I GONNA DO WITH ALL THESE CRIS
5.31%:  WHAT AM I GONNA DO WITH ALL THESE CA
5.30%:  WHAT AM I GONNA DO WITH THOSE AN
5.30%:  WHAT AM I GONNA DO WITH ALL THIS CONT
5.30%:  WHAT AM I GONNA DO WITH ALL THE COPIES I
5.29%:  WHAT AM I GONNA DO WITH ALL THESE TIRES I
5.28%:  WHAT AM I GONNA DO WITH ALL THESE TED
5.28%:  WHAT AM I GONNA DO WITH ALL THESE PRESC
5.26%:  WHAT AM I GONNA DO WITH ALL THIS AR
5.25%:  WHAT AM I GONNA DO WITH ALL THIS PRES
5.24%:  WHAT AM I GONNA DO WITH ALL THESE TRAP
5.24%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE E
5.24%:  WHAT AM I GONNA DO WITH ALL THESE SECRET IN
5.22%:  WHAT AM I GONNA DO WITH ALL THESE PAST
5.22%:  WHAT AM I GONNA DO WITH THIS PLAN
5.21%:  WHAT AM I GONNA DO WITH ALL THESE EXCEPT
5.20%:  WHAT AM I GONNA DO WITH THESE TRANS
5.19%:  WHAT AM I GONNA DO WITH THAT I
5.18%:  WHAT AM I GONNA DO WITH THIS PEN
5.16%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SPACE I
5.15%:  WHAT AM I GONNA DO WITH ALL THESE TEXTS I NE
5.14%:  WHAT AM I GONNA DO WITH ALL THESE DA
5.12%:  WHAT AM I GONNA DO WITH ALL THESE TRIPS
5.12%:  WHAT AM I GONNA DO WITH ALL THESE APOST
5.12%:  WHAT AM I GONNA DO WITH ALL THESE STRA
5.12%:  WHAT AM I GONNA DO WITH ALL THESE PRINTED ST
5.10%:  WHAT AM I GONNA DO WITH ALL THIS PR
5.10%:  WHAT AM I GONNA DO WITH ALL THESE TIRES AND
5.09%:  WHAT AM I GONNA DO WITH ALL THESE SPARE NOT
5.09%:  WHAT AM I GONNA DO WITH ALL THOSE STAT
5.09%:  WHAT AM I GONNA DO WITH ALL THESE POINTS I E
5.08%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA STE
5.08%:  WHAT AM I GONNA DO WITH ALL THESE RESPECT
5.05%:  WHAT AM I GONNA DO WITH ALL THAT SPACE ON
5.04%:  WHAT AM I GONNA DO WITH ALL THESE CIR
5.03%:  WHAT AM I GONNA DO WITH ALL THESE ANCE
5.03%:  WHAT AM I GO
5.02%:  WHAT AM I GONNA DO WITH ALL THESE ADOR
5.02%:  WHAT AM I GONNA DO WITH ALL THESE EAR
5.01%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA NOTES I D
5.01%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA DO
5.01%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA PIE
4.98%:  WHAT AM I GONNA DO WITH ALL THESE PIECES I
4.98%:  WHAT AM I GONNA DO WITH THAT L
4.98%:  WHAT AM I GONNA DO WITH ALL THESE SON
4.96%:  WHAT AM I GONNA DO WITH ALL THESE RET
4.95%:  WHAT AM I S
4.95%:  WHAT AM I GONNA DO WITH ALL THE IN
6.72%:  WHAT AM I GONNA DO WITH ALL THE INTER
4.93%:  WHAT AM I GONNA DO WITH ALL THESE SIDE
4.91%:  WHAT AM I GONNA DO WITH ALL THESE EXPECT
20.21%:  WHAT AM I GONNA DO WITH ALL THESE EXPECTATIONS I
4.91%:  WHAT AM I GONNA DO WITH ALL THESE TEXTS ON
4.91%:  WHAT AM I GONNA DO WITH ALL THE PO
4.91%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA CAP
4.90%:  WHAT AM I GONNA DO WITH ALL THESE STERN
4.89%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SO
4.89%:  WHAT AM I GONNA DO WITH ALL THOSE A
4.88%:  WHAT AM I GONNA DO WITH ALL THESE TEXTS I D
4.87%:  WHAT AM I GONNA DO WITH ALL THE PRESS
4.86%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA DIS
4.86%:  WHAT AM I GONNA DO WITH ALL THE NOT
4.85%:  WHAT AM I GONNA DO WITH THIS EXTRA SET
4.84%:  WHAT AM I GONNA DO WITH ALL THE TRANSC
4.83%:  WHAT AM I GONNA DO WITH THIS COR
4.83%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA STO
4.82%:  WHAT AM I GONNA DO WITH ALL THOSE TRE
4.82%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA TE
4.82%:  WHAT AM I GONNA DO WITH ALL THESE DATA
4.81%:  WHAT AM I GONNA DO WITH ALL THESE SPARE AN
4.81%:  WHAT AM I GONNA DO WITH ALL THESE SECRET N
4.78%:  WHAT AM I GONNA DO WITH ALL THESE INDE
4.77%:  WHAT AM I GONNA DO WITH ALL THESE STRE
4.77%:  WHAT AM I GONNA DO WITH ALL THOSE EXTRA DIN
4.77%:  WHAT AM I GONNA DO WITH ALL THESE INDEX
4.76%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SE
4.75%:  WHAT AM I GONNA DO WITH ALL THESE PARTIC
4.75%:  WHAT AM I GONNA DO WITH THIS TAL
6.57%:  WHAT AM I GONNA DO WITH THIS TALENT
4.75%:  WHAT AM I GONNA DO WITH ALL THIS SPAR
4.74%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA INS
4.73%:  WHAT AM I GONNA DO WITH ALL THE ST
8.38%:  WHAT AM I GONNA DO WITH ALL THE STORIES I
4.72%:  WHAT AM I GONNA DO WITH ALL THESE CONTEXTS
4.72%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA DIN
4.72%:  WHAT AM I GONNA DO WITH THESE LITER
4.72%:  WHAT AM I GONNA DO WITH ALL THE EXTRA SPACE ON E
4.71%:  WHAT AM I GONNA DO WITH ALL THIS SPACE TO
4.71%:  WHAT AM I GONNA DO WITH ALL THE POINT
4.71%:  WHAT AM I GONNA DO WITH 
4.70%:  WHAT AM I GONNA DO WITH ALL THIS SPACE T
4.68%:  WHAT AM I GONNA DO WITH ALL THESE TRAIN
4.68%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA PA
5.26%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA PAINT
4.68%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA OP
4.65%:  WHAT AM I GONNA DO WITH ALL THESE RATION
4.64%:  WHAT AM I GONNA DO WITH ALL THOSE SCRAP
4.63%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA CAND
4.63%:  WHAT AM I GONNA DO WITH THIS TRANSC
4.62%:  WHAT AM I GONNA DO WITH ALL THAT SCR
4.62%:  I GOTTA READ ALL THIS
4.61%:  I NEED TO TRANSLATE THIS ONE TO
4.61%:  I NEED TO TRANSLATE THIS AND
4.60%:  WHAT AM I GONNA DO WITH THOSE C
4.60%:  I NEED TO TRANSLATE A H
4.60%:  WHAT AM I GONNA DO WITH ALL THIS STO
4.59%:  WHAT AM I GONNA DO WITH THAT SENT
4.59%:  I NEED TO GO TRANSLATE THE H
5.42%:  I NEED TO GO TRANSLATE THE HIND
4.59%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SIN
4.58%:  WHAT AM I GONNA DO WITH ALL THESE RESID
4.58%:  WHAT AM I GONNA DO WITH THESE C
4.58%:  WHAT AM I GONNA DO WITH ALL THE SPARE TEXT
4.58%:  WHAT AM I GONNA DO WITH ALL THESE PRESENT D
4.57%:  I NEED TO TRANSLATE THAT S
4.56%:  WHAT AM I GONNA DO WITH THIS TRE
4.55%:  I NEED TO GO TRANSLATE IT A
4.55%:  WHAT AM I GONNA DO WITH THOSE EX
4.55%:  WHAT AM I GONNA DO WITH ALL THAT SPACE I
4.54%:  WHAT AM I GONNA DO WITH THAT RE
4.53%:  I GOTTA READ ALL THE TEXT
4.53%:  WHAT AM I GONNA DO WITH ALL THE SE
15.23%:  WHAT AM I GONNA DO WITH ALL THE SECRETS
5.43%:  WHAT AM I GONNA DO WITH ALL THE SECRETS IN
4.53%:  I WANT TO HE
8.24%:  I WANT TO HEAR THE
6.84%:  I WANT TO HEAR THAT
4.53%:  WHAT AM I GONNA DO WITH ALL THE EXTRA SAND
4.52%:  I NEED TO READ ALL THEM
4.52%:  WHAT AM I GONNA DO WITH ALL THESE SPRE
4.52%:  I GOTTA READ ALL THOSE TO
4.51%:  WHAT AM I GONNA DO WITH ALL THIS SE
4.68%:  WHAT AM I GONNA DO WITH ALL THIS SECRET IN
4.51%:  I GOTTA DO IT
4.50%:  I WANT TO READ E
4.50%:  WHAT AM I GONNA DO WITH ALL THESE EP
4.50%:  I NEED TO TRANSLATE THEM TO IN
4.49%:  I NEED TO TRANSLATE ONE THAT HAS MO
4.48%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SPACE ON
4.48%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA END
4.47%:  WHAT AM I GONNA DO WITH ALL THESE SAN
4.47%:  WHAT AM I GONNA DO WITH ALL THESE RAN
4.47%:  I GOTTA READ THAT ONE
4.46%:  I NEED TO TRANSLATE EACH TEXT AND
4.46%:  WHAT AM I GONNA DO WITH ALL THOSE PRE
4.46%:  I GOTTA READ THESE
4.46%:  WHAT AM I GONNA DO WITH ALL THIS CAR
4.45%:  I NEED TO GO TRANSLATE EACH AND
4.45%:  I NEED TO TRANSLATE EM
4.45%:  WHAT AM I GONNA DO WITH ALL THIS PRE
4.44%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE O
4.44%:  WHAT AM I GONNA WR
14.65%:  WHAT AM I GONNA WRITE IN
8.73%:  WHAT AM I GONNA WRITE A
4.44%:  WHAT AM I GONNA DO WITH ALL THESE SPEAR
4.43%:  WHAT AM I GONNA DO WITH ALL THESE PAD
4.43%:  WHAT AM I GONNA DO WITH ALL THESE DAR
4.43%:  I GOTTA READ THEM ALL TO SE
11.74%:  I GOTTA READ THEM ALL TO SEE WHIC
28.57%:  I GOTTA READ THEM ALL TO SEE WHICH ONE
14.78%:  I GOTTA READ THEM ALL TO SEE WHICH ON
21.27%:  I GOTTA READ THEM ALL TO SEE WHICH ONES I
13.90%:  I GOTTA READ THEM ALL TO SEE WHICH ONE IS
7.04%:  I GOTTA READ THEM ALL TO SEE WHICH ONE I
5.81%:  I GOTTA READ THEM ALL TO SEE WHAT I
4.57%:  I GOTTA READ THEM ALL TO SEE WHICH IS
4.43%:  I NEED TO GO TRANSLATE SOME NEW
4.43%:  I NEED TO WR
7.66%:  I NEED TO WRITE NEW
7.06%:  I NEED TO WRITE ALL
10.19%:  I NEED TO WRITE ALL THESE
6.87%:  I NEED TO WRITE THE
7.39%:  I NEED TO WRITE THEM ALL A
19.77%:  I NEED TO WRITE THEM ALL AGAIN WITH
13.15%:  I NEED TO WRITE THEM ALL AGAIN AND
7.47%:  I NEED TO WRITE THEM ALL AGAIN AND THIS
7.22%:  I NEED TO WRITE THEM ALL O
6.65%:  I NEED TO WRITE MO
6.56%:  I NEED TO WRITE ALL NEW
6.43%:  I NEED TO WRITE A NEW ONE
5.66%:  I NEED TO WRITE THEM ALL DO
5.58%:  I NEED TO WRITE THAT
4.43%:  WHAT AM I GONNA DO WITH ALL THESE PRECI
4.43%:  WHAT AM I GONNA DO WITH THIS REAL ESTATE AND
4.43%:  WHAT AM I GONNA DO WITH ALL THESE PEAR
4.43%:  WHAT AM I GONNA DO WITH THOSE REALL
4.42%:  I GOTTA READ THEM ALL WITH
4.42%:  I WANT TO READ THEM AND THE
4.41%:  WHAT AM I GONNA DO WITH THIS INTEREST
4.41%:  WHAT AM I GONNA DO WITH THIS CO
4.40%:  WHAT AM I GONNA DO WITH ALL THIS STONE
4.40%:  WHAT AM I GONNA DO WITH ALL THESE CONT
4.39%:  WHAT AM I GONNA DO WITH ALL THOSE I
4.39%:  I NEED TO WRITE ALL THE NEW
4.39%:  I WANT TO READ IT TO
4.38%:  WHAT AM I GONNA DO WITH ALL THAT P
4.37%:  WHAT AM I GONNA DO WITH ALL THESE TREES I C
4.37%:  WHAT AM I GONNA DO WITH ALL THAT RE
4.36%:  I NEED TO TRANSLATE THE G
4.36%:  WHAT AM I GONNA DO WITH THIS ENTIRE L
4.36%:  WHAT AM I GONNA DO WITH ALL THESE EXC
4.35%:  WHAT AM I GONNA DO WITH ALL THAT EXTRA IN
4.35%:  WHAT AM I GONNA DO WITH ALL THESE NAP
4.35%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA POST
4.35%:  I NEED TO TRANSLATE THE NEW T
4.35%:  WHAT AM I GONNA DO WITH ALL THIS TO
4.34%:  WHAT AM I GONNA DO WITH THIS ETERNAL L
4.34%:  WHAT AM I GONNA DO WITH ALL THE SEX
4.33%:  WHAT AM I GONNA DO WITH THESE AN
4.33%:  WHAT AM I GONNA DO WITH ALL THIS RO
4.33%:  I NEED TO TRANSLATE THEM AND THE
4.32%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SIN
4.32%:  I GOTTA ADD ALL
10.49%:  I GOTTA ADD ALL THESE
4.31%:  I GOTTA TRANSLATE THOSE AND P
4.31%:  I NEED TO GO HOME AND TELL THIS
4.31%:  I GOTTA TRANSLATE EACH AND
4.30%:  I NEED TO TRANSLATE THE COM
4.29%:  WHAT AM I GONNA DO WITH THE EX
4.28%:  WHAT AM I GONNA DO WITH ALL THESE TREES I CO
4.28%:  WHAT AM I GONNA DO WITH ALL THOSE PE
4.27%:  I NEED TO TRANSLATE THOSE A
4.27%:  WHAT AM I GONNA DO WITH ALL THESE ED
4.27%:  WHAT AM I GONNA DO WITH ALL THESE CAP
4.25%:  WHAT AM I GONNA DO WITH THIS SE
8.82%:  WHAT AM I GONNA DO WITH THIS SECOND
4.24%:  THAT I
4.23%:  WHAT AM I GONNA DO WITH THESE PRO
4.23%:  WHAT AM I GONNA DO WITH ALL THIS INS
4.23%:  I NEED TO GO HOME AND TRANSLATE THAT L
4.23%:  WHAT AM I GONNA DO WITH THIS LET
4.23%:  WHAT AM I GONNA DO WITH ALL THAT EXCESS
4.22%:  WHAT AM I GONNA DO WITH ALL THESE STORE
4.22%:  WHAT AM I GONNA TAL
4.22%:  WHAT AM I GONNA DO WITH ALL THESE PORN ST
4.21%:  WHAT AM I GONNA DO WITH ALL THESE REACTIONS
4.19%:  WHAT AM I GONNA DO WITH ALL THE DE
4.19%:  WHAT AM I GONNA DO WITH ALL THE STORIES IN
4.18%:  WHAT AM I GONNA DO WITH THIS CR
4.18%:  WHAT AM I GONNA DO WITH ALL THOSE SP
4.18%:  WHAT AM I GONNA DO WITH THIS ENOR
4.18%:  WHAT AM I GONNA DO WITH ALL THIS RES
7.67%:  WHAT AM I GONNA DO WITH ALL THIS RESPECT
4.18%:  I NEED TO TRANSLATE ONE THAT DO
4.18%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA 
4.17%:  WHAT AM I GONNA DO WITH ALL THOSE PER
4.16%:  WHAT AM I GONNA DO WITH ALL THESE DEC
4.16%:  WHAT AM I GONNA DO WITH ALL THESE CARPE
5.77%:  WHAT AM I GONNA DO WITH ALL THESE CARPETS
4.15%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SCO
4.15%:  WHAT AM I GONNA DO WITH ALL THESE POINTED ST
4.14%:  WHAT AM I GONNA DO WITH ALL THOSE STAR
4.14%:  WHAT AM I GONNA DO WITH ALL THESE SPEED
4.14%:  I NEED TO GO HOME AND TRANSLATE L
4.14%:  I NEED TO WRITE THEM ALL AGAIN AND P
4.13%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA COIN
4.13%:  WHAT AM I GONNA DO WITH ALL THE EXTRA NOT
4.12%:  I NEED TO TRANSLATE THOSE TWO
4.12%:  WHAT AM I GONNA DO WITH ALL THESE SCOTT
4.11%:  WHAT AM I GONNA DO WITH THIS A
4.11%:  WHAT AM I GONNA DO WITH THESE D
4.11%:  WHAT AM I GONNA DO WITH ALL THESE NAR
4.10%:  WHAT AM I GONNA DO WITH ALL THESE DEEP
4.10%:  I NEED TO GO TRANSLATE THE WHOLE TH
4.09%:  WHAT AM I GONNA DO WITH THIS EXTRA L
4.08%:  I NEED TO WRITE ALL THEM
4.08%:  WHAT AM I GONNA DO WITH ALL THOSE SEX
4.08%:  I GOTTA TRANSLATE ONE WITH
4.07%:  WHAT AM I GONNA DO WITH ALL THIS SPRE
4.07%:  WHAT AM I GONNA DO WITH ALL THESE REDACT
4.07%:  WHAT AM I GONNA DO WITH ALL THOSE TREES I
4.05%:  WHAT AM I GONNA DO WITH ALL THESE TIPS ON
4.05%:  WHAT AM I GONNA DO WITH ALL THESE POE
4.05%:  I GOTTA TRANSLATE EACH ONE A
4.05%:  WHAT AM I GONNA DO WITH ALL THESE POTAT
4.04%:  WHAT AM I GONNA DO WITH ALL THIS SCRE
4.04%:  WHAT AM I GONNA DO WITH THIS REAL ESTATE CON
4.04%:  WHAT AM I GONNA DO WITH ALL THE EXTRA PO
5.22%:  WHAT AM I GONNA DO WITH ALL THE EXTRA POINT
4.03%:  WHAT AM I GONNA DO WITH ALL THIS CR
4.03%:  WHAT AM I GONNA DO WITH ALL THE N
4.03%:  WHAT AM I GONNA DO WITH ALL THOSE PAR
4.03%:  WHAT AM I GONNA DO WITH ALL THESE RACIST AND
4.03%:  WHAT AM I GONNA DO WITH ALL THESE NET
4.02%:  I NEED TO TRANSLATE TWO
4.02%:  I GOTTA TRANSLATE TH
4.02%:  I GOTTA READ THE EN
4.02%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA POINTS I A
4.01%:  I NEED TO GO HOME AND TRANSLATE THE L
4.01%:  I GOTTA DO ALL THAT T
4.01%:  WHAT AM I GONNA DO WITH ALL THIS OR
3.99%:  WHAT AM I GONNA DO WITH ALL THOSE TE
6.08%:  WHAT AM I GONNA DO WITH ALL THOSE TEARS IN
3.98%:  WHAT AM I GONNA DO WITH ALL THOSE PR
3.98%:  I NEED TO GO TRANSLATE EACH ONE WITH
3.98%:  WHAT AM I GONNA DO WITH ALL THIS TRE
3.98%:  WHAT AM I GONNA DO WITH ALL THIS INSERT
3.97%:  WHAT AM I GONNA DO WITH ALL THOSE PEN
3.96%:  WHAT AM I GONNA DO WITH ALL THESE SN
3.96%:  WHAT AM I GONNA DO WITH THIS AR
3.96%:  WHAT AM I GONNA DO WITH ALL THESE STARE
3.96%:  I NEED TO TRANSLATE THEM INTO L
3.95%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA NO
3.95%:  WHAT AM I GONNA DO WITH ALL THE CON
3.95%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA INS
3.95%:  WHAT AM I GONNA DO WITH ALL THOSE TRAD
3.94%:  WHAT AM I GONNA DO WITH ALL THESE SEPAR
19.75%:  WHAT AM I GONNA DO WITH ALL THESE SEPARATION
3.97%:  WHAT AM I GONNA DO WITH ALL THESE SEPARAT
3.94%:  WHAT AM I GONNA DO WITH ALL THESE PET
3.93%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA DI
3.93%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA PAN
3.93%:  WHAT AM I GONNA DO WITH ALL THESE CARE
3.93%:  I NEED TO TRANSLATE IT SO
3.92%:  WHAT AM I GONNA DO WITH THOSE D
3.92%:  WHAT AM I GONNA DO WITH ALL THOSE INTERESTED
3.92%:  I GOTTA TRANSLATE THIS ONE
3.92%:  WHAT AM I GONNA DO WITH ALL THOSE EXTRA SENT
3.92%:  I NEED TO WRITE A NEW ONE THAT
3.91%:  I NEED TO CO
3.91%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SATI
3.91%:  I NEED TO TRANSLATE THIS NEW
3.90%:  WHAT AM I GONNA DO WITH AN
3.90%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA DES
3.90%:  WHAT AM I GONNA DO WITH THAT P
3.90%:  WHAT AM I GONNA DO WITH ALL THIS SPO
3.90%:  WHAT AM I GONNA DO WITH THIS LE
3.89%:  WHAT AM I GONNA DO WITH THOSE LITER
3.89%:  WHAT AM I GONNA DO WITH ALL THE EXTRA C
3.89%:  I GOTTA READ ALL THAT AND
3.89%:  WHAT AM I GONNA DO WITH ALL THESE RESP
3.88%:  WHAT AM I GONNA DO WITH ALL THIS CREAT
3.87%:  WHAT AM I GONNA DO WITH ALL THIS STOR
3.87%:  WHAT AM I GONNA DO WITH ALL THESE TIES
3.87%:  WHAT AM I GONNA DO WITH ALL THESE TOPICS
3.86%:  I NEED TO TRANSLATE A WHOLE NEW S
3.86%:  I NEED TO TRANSLATE SO M
3.86%:  WHAT AM I GONNA DO WITH THE S
3.86%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SPO
3.86%:  WHAT AM I GONNA DO WITH ALL THIS DRA
3.86%:  WHAT AM I GONNA DO WITH ALL THIS DATA
3.85%:  I GOTTA TELL THE
3.85%:  WHAT AM I GONNA DO WITH ALL THE TEXT
3.85%:  I GOTTA P
3.85%:  WHAT AM I GONNA DO WITH THIS PERSON
3.85%:  I NEED TO TRANSLATE THOSE AND TH
3.84%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA DIS
3.84%:  WHAT AM I GONNA DO WITH ALL THESE PENS
3.84%:  WHAT AM I GONNA DO WITH ALL THESE TOTES
3.84%:  I NEED TO WRITE THEM ALL AGAIN AND THAT
3.84%:  WHAT AM I GONNA DO WITH ALL THESE CRAN
3.84%:  WHAT AM I GONNA DO WITH ALL THE AN
3.83%:  I NEED TO WRITE THEM ALL AND
3.82%:  WHAT AM I GONNA DO WITH ALL THESE CRED
4.66%:  WHAT AM I GONNA DO WITH ALL THESE CREDITS I
3.82%:  WHAT AM I GONNA DO WITH ALL THOSE TEST
3.82%:  WHAT AM I GONNA DO WITH ALL THOSE CAR
3.82%:  I NEED TO TRANSLATE ST
3.81%:  WHAT AM I GONNA DO WITH ALL THESE SPARE C
3.81%:  WHAT AM I GONNA DO WITH THIS RED
3.81%:  WHAT AM I GONNA DO WITH THOSE SAND
3.81%:  WHAT AM I GONNA DO WITH ALL THAT EXTRA C
3.80%:  I LO
3.80%:  I GOTTA ADD ALL THESE NEW
3.80%:  I GOTTA READ THOSE TEXT
3.90%:  I GOTTA READ THOSE TEXTS AND
3.80%:  WHAT AM I GONNA DO WITH ALL THESE SEPARATED
3.79%:  WHAT AM I GONNA DO WITH ALL THESE SPARE ACTION
