come they act like they're so special when they really just taste like pork??
100.00%: 
491.27%:  come they keep
16.83%:  come they look like they just
16.81%:  come they're such jerks to each other like 
16.80%:  come when they're little they really like to stick
16.80%:  come they like to watch other
16.79%:  come when they're really upset they talk to
96.50%:  come when they're really upset they talk to their pets
65.54%:  come when they're really upset they talk to their pets??
38.69%:  come when they're really upset they talk to their pets like
16.79%:  come they won't take
36.20%:  come they won't take their
16.76%:  come they wear their
20.41%:  come they wear their pants
19.48%:  come they wear their pants like
24.99%:  come they wear their pants like that??
16.75%:  come when they cry they look like they're star
16.74%:  come when they're little they like to pull their
16.73%:  come when they're little they look like such
16.71%:  come when they're asleep they look like cute little cats??
16.70%:  come when they sleep they just lay there like little
16.69%:  come they can't use their th
16.66%:  come they always think their
16.64%:  come they can't tell us where they keep all their tre
16.64%:  come when they sleep they just lay there like rocks
16.63%:  come they always think they're secret
16.62%:  come they're always pretty
16.61%:  come when they're asleep they look like that??
16.60%:  come they can't tell us where they keep their lost
17.78%:  come they can't tell us where they keep their lost keys
16.59%:  come when they're little they act
24.81%:  come when they're little they act like little
16.93%:  come when they're little they act like jer
17.79%:  come when they're little they act like jerks all
16.59%:  come they talk like they're not really
45.30%:  come they talk like they're not really sure they
38.93%:  come they talk like they're not really sure what the
28.20%:  come they talk like they're not really there
19.19%:  come they talk like they're not really sure how
45.90%:  come they talk like they're not really sure how they
16.58%:  come when they're asleep they just lie there like rocks
16.56%:  come when they're really happy they act like it
16.56%:  come they're always upset??
16.53%:  come when they're really upset they like to tell
16.47%:  come they're such jerks when they talk
16.47%:  come they can't use their eyes like
16.47%:  come when they're little they like you
16.46%:  come when they're happy they like to sit
16.46%:  come they always eat
40.17%:  come they always eat their
16.45%:  come they're always happy to see you
16.45%:  come they look like this when they're really sleep
25.32%:  come they look like this when they're really sleepy??
16.44%:  come they can't tell us where they keep their spare to
16.44%:  come when they're sick they like to lay
16.42%:  come they can't tell us where they keep their t
16.41%:  come when they're happy their eyes look
136.12%:  come when they're happy their eyes look like little
350.12%:  come when they're happy their eyes look like little stars
403.29%:  come when they're happy their eyes look like little stars??
20.92%:  come when they're happy their eyes look like little tears
16.62%:  come when they're happy their eyes look like little sl
16.41%:  come when they're really upset they stick their lips
16.40%:  come when they're little they just eat
23.77%:  come when they're little they just eat their
16.39%:  come when they cry they look like they're a
81.53%:  come when they cry they look like they're a little
51.96%:  come when they cry they look like they're a little upset
18.10%:  come when they cry they look like they're a little less
16.38%:  come when they're little they cry a lot??
16.37%:  come when they sleep their eyes
16.36%:  come they say they're happy
16.35%:  come their eyes are like
28.18%:  come their eyes are like that??
16.33%:  come when they're asleep they look like they still
16.32%:  come when they're little they cry like
16.31%:  come they think it's really
16.29%:  come they look like they're really upset when their
16.28%:  come there are like
16.25%:  come when they're little they poop all
16.24%:  come they taste like salt
16.24%:  come when they're really little they taste like chick
16.23%:  come when they sleep they like to lay
53.97%:  come when they sleep they like to lay their
16.22%:  come when they're really close
16.20%:  come when they're happy they still cry a lot
16.19%:  come when they're happy they like to talk really
16.19%:  come when they're little they eat all
36.19%:  come when they're little they eat all their
16.18%:  come they're such jerks to each other lately
16.18%:  come when they're sick they put their little
16.16%:  come when they're sick they just stay
16.14%:  come they put their phones
16.13%:  come when they eat they like
16.12%:  come they won't just eat their pet
16.11%:  come when they sleep they lie
16.10%:  can
33.70%:  can they
16.09%:  come when they're sick they eat their
16.08%:  come when they're little they eat their poo
16.08%:  come when they're happy they like to take little
16.07%:  come when they're happy it
16.07%:  come when they cry they look like this
16.07%:  come they talk like they're really into
16.07%:  come they always keep
65.92%:  come they always keep their
21.92%:  come they always keep their eyes
18.49%:  come they always keep their little
16.07%:  come they like to play with their eyes
16.06%:  come when they're happy their eyes are
16.05%:  come they eat like
16.02%:  come they listen to their
15.99%:  come they're so silly
15.98%:  come they can't tell us where they keep all their social
15.98%:  come when they cry they say
15.98%:  come they're always sne
15.97%:  come they're so cute when they try to talk??
15.97%:  come they're so upset that they keep
15.96%:  come when they're asleep they like to pull the
15.95%:  come they talk like they're on
16.08%:  come they talk like they're on their
15.94%:  come when they're asleep their hearts stop
15.93%:  come they always think they're the stars
15.92%:  come they're such jerks to each other in
15.89%:  come when they're really happy they like to see
15.87%:  come when they sleep they roll
15.82%:  come when they're upset they like to take
39.62%:  come when they're upset they like to take their
15.82%:  come they think it's okay to call their
15.80%:  come when they're asleep they roll their eyes up
15.79%:  come when they sleep they're just
25.61%:  come when they sleep they're just like
15.79%:  come when they're really upset they hit
15.78%:  come when they're little they call
22.36%:  come when they're little they call their
15.77%:  come they're always sleep
15.74%:  come when they're little they like to che
15.73%:  come they're so creepy??
15.72%:  come they like pet
15.71%:  come when they're happy they cry less
15.71%:  come when they're really little they poop like
15.70%:  come they can't keep their little po
15.69%:  come when they're little they are
15.69%:  come when they're upset they look like their eyes
15.69%:  come when they're upset they like to tell
15.68%:  come when they're little they play
15.68%:  come they're such jerks to their cats??
15.68%:  come they walk
15.68%:  come they think it's okay to eat each
15.67%:  come they think they're this super
161.25%:  come they think they're this super special
85.32%:  come they think they're this super special race
25.34%:  come they think they're this super special race??
15.66%:  come when they're really upset they y
30.71%:  come when they're really upset they yell at
60.84%:  come when they're really upset they yell at their
41.14%:  come when they're really upset they yell at their pets
17.81%:  come when they're really upset they yell at their pets??
16.34%:  come when they're really upset they yell at the
15.66%:  come they always like
15.64%:  come when they're really little they take their
15.64%:  come they all like
15.62%:  come when they're happy they like to take really
15.62%:  come when they're sick they put little
15.61%:  come they think it's okay to put cheese
15.61%:  come they're so upset that there
15.60%:  come when they're little they look really
15.59%:  come they're always p
15.58%:  come they're so creepy when they eat their
15.56%:  come they're super
22.73%:  come they're super into
15.52%:  come they're always t
15.51%:  come they're such jerks to the planet??
15.50%:  come they're all such jer
20.88%:  come they're all such jerks??
15.47%:  come when they're really happy they start cl
15.47%:  come they like to party
15.47%:  come they can't keep their lips shut while
15.46%:  come they put so
15.45%:  come they're not just like
15.43%:  come they always think they're really special just
15.43%:  come when they're really upset they like to tell jokes
15.43%:  come they can't tell us where they keep all this pet
15.42%:  come when they're really happy they like to take little
15.41%:  come they're so special??
15.40%:  come when they're really little they just sit
19.80%:  come when they're really little they just sit there like
15.39%:  come when they're really happy they like to tell jokes??
15.37%:  come they're so cute when they sleep like
75.33%:  come they're so cute when they sleep like that??
15.34%:  come they're such jerks when they start
15.34%:  come when they're little they really like to eat
15.34%:  come when they're happy they like to raise
15.32%:  come when they talk they keep their lips
15.30%:  come they're all the
15.29%:  come they won't talk
15.27%:  come when they're happy they kick
15.27%:  come they're so secret
15.27%:  come they think they're way
15.27%:  come they talk like they're on their way
15.26%:  come when they're sick they take special
131.19%:  come when they're sick they take special pills that
37.12%:  come when they're sick they take special pills that are
32.24%:  come when they're sick they take special pills that are just
25.91%:  come when they're sick they take special pills that let
19.68%:  come when they're sick they take special pills to
19.28%:  come when they're sick they take special pills that you
17.83%:  come when they're sick they take special pills??
15.24%:  come when they're happy they act
49.05%:  come when they're happy they act like little
18.52%:  come when they're happy they act like it
15.24%:  come they're not as pretty as they were
15.23%:  come they can't tell us where they keep all the special
15.22%:  come they can't use their little
15.22%:  come they think the
15.21%:  come they're so creepy when they put
15.20%:  come when they're really happy they also
15.19%:  come when they're asleep their hearts keep
15.19%:  come they can't tell their
15.16%:  come when they're sick they just keep
15.16%:  come they're super into their
15.15%:  come they can eat
16.26%:  come they can eat their
15.14%:  come when they're asleep they just lie there still
15.14%:  come they think they're really cute
15.13%:  come they won't share their secret sauce
15.12%:  come they can't tell us where they keep their really cool
15.11%:  come when they're really happy they like to call
15.08%:  come when they sleep they keep
15.08%:  come when they're asleep they still look
36.67%:  come when they're asleep they still look like they just
21.37%:  come when they're asleep they still look like they just ate
20.75%:  come when they're asleep they still look like their
18.17%:  come when they're asleep they still look like they are
15.08%:  come when they're happy they yell so
15.07%:  come when they're upset they take their socks
15.06%:  come when they're happy they like to see
15.04%:  come they can't tell us their
15.03%:  come when they're little they look like the cut
15.03%:  come when they're really happy they tell
15.00%:  come when they're asleep they just lay
173.05%:  come when they're asleep they just lay there like
28.68%:  come when they're asleep they just lay there like little
28.02%:  come when they're asleep they just lay there like total
26.80%:  come when they're asleep they just lay there like little rocks
20.47%:  come when they're asleep they just lay there like a
27.47%:  come when they're asleep they just lay there like a rock
19.11%:  come when they're asleep they just lay there like little rocks??
16.97%:  come when they're asleep they just lay there like a rock??
15.11%:  come when they're asleep they just lay there like rocks
15.00%:  come they look like this when they're start
15.00%:  come they can't tell us where they keep all their c
15.00%:  come when they're asleep they talk like
14.97%:  come when they're really upset they cry like this??
14.97%:  come when they're upset they cry like
32.55%:  come when they're upset they cry like they
14.97%:  come when they're really little they pee their
14.97%:  come when they're really upset they like to stick
14.96%:  come they're so super
14.96%:  come when they're really happy they like to click
14.94%:  come when they're really upset they like to stare at the sky??
14.93%:  come they taste like they just
14.90%:  come when they're sick they take pills that taste
24.27%:  come when they're sick they take pills that taste really
14.88%:  come they put their entire
14.88%:  come they're always so happy to see their little
14.87%:  come they're like this when you
14.87%:  come when they cry they look like they're cute
14.86%:  come when they're really upset they try
26.99%:  come when they're really upset they try to eat
18.55%:  come when they're really upset they try to kill
34.67%:  come when they're really upset they try to kill each
14.86%:  come they can't tell us where they keep all their cr
14.86%:  come they can't tell us where they keep all their lost
14.85%:  come they're so creepy when they kiss
14.83%:  come they're so into pets
14.83%:  come they always think it
18.15%:  come they always think it's their
14.83%:  come when they see their
14.82%:  come they're such jerks to their pets all
14.80%:  come they're always in such
14.75%:  come when they're little they call you
14.71%:  come there's still people
18.03%:  come there's still people who think
23.76%:  come there's still people who think they
14.70%:  come they're so pretty when they really
14.68%:  come they're always on the street
14.66%:  come they can't use their teeth
15.09%:  come they can't use their teeth like
14.66%:  come when they're really upset they eat their pets
14.64%:  come they're so happy when they see little
14.63%:  come they sleep with
578.40%:  come they sleep with their eyes open??
80.77%:  come they sleep with their eyes open like
506.93%:  come they sleep with their eyes open like that??
61.47%:  come they sleep with their eyes open all
43.94%:  come they sleep with their eyes open like that'
24.94%:  come they sleep with their eyes open like they
30.85%:  come they sleep with their eyes open like they're just
28.20%:  come they sleep with their eyes open like they're all
20.22%:  come they sleep with their socks
15.97%:  come they sleep with their eyes open like that's okay
14.63%:  come they keep their eyes open while they're kiss
14.63%:  come they're like that one
14.60%:  come they talk like they're so
22.62%:  come they talk like they're so special
14.60%:  come when they're really little they eat so
14.60%:  come they look like us
14.54%:  come when they're really little they just keep
17.34%:  come when they're really little they just keep their
14.54%:  come they eat their little
14.54%:  come they can't talk like us??
14.50%:  come they steal
14.48%:  come they turn
14.48%:  come they always think they're like super
48.01%:  come they always think they're like super special
16.98%:  come they always think they're like super special??
14.48%:  come when they're really little they talk
14.48%:  come they think they're this special??
14.46%:  come when they talk they use
33.60%:  come when they talk they use their lips
49.78%:  come when they talk they use their lips like
17.49%:  come when they talk they use their little
14.45%:  come when they're asleep they put
78.65%:  come when they're asleep they put their little
14.45%:  come they can't tell us where they keep all their rock
14.45%:  come they only eat
14.44%:  come when they sleep they just lay there like total
14.43%:  come when they're asleep they look like they really
14.42%:  come they can't tell us where they keep their pe
14.42%:  come when they're really little they just like
14.41%:  come they can't tell us where they keep their little cars
14.41%:  come they're not always
14.38%:  come they put their whole
14.37%:  come they're the only people that like
14.37%:  come when they're asleep they just lay there??
14.36%:  come when they're upset they stop
14.36%:  come they're such little jerks all
14.35%:  come when they're little they eat their poop??
14.35%:  come when they're really happy they like to raise
14.34%:  come they're always so little
15.93%:  come they're always so little??
14.34%:  come when they're sick they sleep
14.33%:  come they're so creepy when they put their little
14.32%:  come when they're really upset they like to take a
14.32%:  come they can't keep their ears
16.66%:  come they can't keep their ears still
15.04%:  come they can't keep their ears still??
14.32%:  come when they're really happy they still talk
14.31%:  come they think they're real people just
14.31%:  come when they're happy they still take
14.30%:  come when they're sick they take pills that are pills
14.29%:  come they always put their keys in their other
341.25%:  come they always put their keys in their other pocket??
14.28%:  come they talk like they're the
127.61%:  come they talk like they're the only people
24.66%:  come they talk like they're the centre
16.01%:  come they talk like they're the only people that
14.65%:  come they talk like they're the only people there
14.28%:  come they write so
14.28%:  come they can't tell us where they keep their spare c
14.27%:  come when they're really upset they look at
75.47%:  come when they're really upset they look at their
14.25%:  come when they're asleep they take up their
14.24%:  come they can't tell us where they keep all their plates??
14.22%:  come they're so pretty when they say
14.22%:  come they still think
19.20%:  come they still think they
449.94%:  come they still think they're special
166.72%:  come they still think they're special??
154.88%:  come they still think they're special just
80.61%:  come they still think they're the
29.39%:  come they still think they're cool
26.78%:  come they still think they're people
20.08%:  come they still think they're so
74.23%:  come they still think they're so special
61.68%:  come they still think they're so special??
19.40%:  come they still think they're super
156.04%:  come they still think they're super special
52.79%:  come they still think they're super special??
17.87%:  come they still think they're really
70.35%:  come they still think they're really special
29.73%:  come they still think they're really special??
24.37%:  come they still think they're really special just
15.99%:  come they still think they're so special just
14.21%:  come they can't keep their crap
14.21%:  come when they talk they'
86.53%:  come when they talk they're like
30.38%:  come when they talk they're all
14.19%:  come when they're really sick they just stare
14.18%:  come they always think they're pretty cool
14.17%:  come when they cry they'
73.01%:  come when they cry they're like
31.19%:  come when they cry they're all
60.54%:  come when they cry they're all like
14.17%:  come when they're happy they look at
14.15%:  come when they're really happy they still like to take
14.15%:  come they can't tell us where they keep their cell
14.15%:  come when they're happy they just like to sit
14.13%:  come when they're happy they like to stick out
14.13%:  come when they're really happy they sort
14.12%:  come when they're sick they cry
14.12%:  come when they're little their eyes look
17.09%:  come when they're little their eyes look like that
15.41%:  come when they're little their eyes look like they just
14.11%:  come when they're really upset they lose
14.08%:  come they can't tell us where they keep all their p
14.07%:  come when they're sick they just lie there like a
14.06%:  come they like to throw
25.56%:  come they like to throw their
14.05%:  come when they're little they cry like that
14.05%:  come when they sleep they kick the
14.02%:  come they can't tell us where they keep their tre
14.02%:  come they keep on
14.01%:  come when they're happy their eyes look like little tears??
14.01%:  come they're so happy when their
14.00%:  come when they sleep they sleep
17.81%:  come when they sleep they sleep like
38.59%:  come when they sleep they sleep like that
24.98%:  come when they sleep they sleep like that??
17.41%:  come when they sleep they sleep like they
13.99%:  come they're like this when they look
13.99%:  come they're all so pretty when they eat
13.97%:  come when they cry they look like they're upset??
13.94%:  come they're so pretty when they cry so
13.93%:  come they can't use their eyes to talk
16.08%:  come they can't use their eyes to talk like
13.92%:  come they're all so pretty when they kiss
13.90%:  come when they cry it
22.32%:  come when they cry it's like
42.02%:  come when they cry it's like they
15.14%:  come when they cry it's like their
25.11%:  come when they cry it's like their eyes
14.69%:  come when they cry it's like their tears
13.90%:  come they talk like they're on their way to the
13.89%:  come when they're really sick they eat their
13.89%:  come they always think they're super hot
13.87%:  come they think they're such special little jer
32.19%:  come they think they're such special little jerks??
13.86%:  come when they're really little they cry like
13.86%:  come they can't just keep it
13.83%:  come when they're little they really like to suck their toes
13.83%:  come they're so cute when they try so
13.83%:  come when they're little they cry really
13.82%:  come they're such jerks to each other lately??
13.81%:  come they're all always
13.81%:  come they're always in the street
13.81%:  come they're always so creep
13.81%:  come when they're happy they call
13.80%:  come they won't eat this super
28.00%:  come they won't eat this super cheap
13.80%:  come they like to sleep with their pets
13.79%:  come they can't keep their hair out
13.78%:  come when they sleep they just lie there still
13.78%:  come they put their shoes on their
13.78%:  come when they're asleep they look like little cater
13.78%:  come when they're little they look like these
16.84%:  come when they're little they look like these cute
13.77%:  come the
13.74%:  come they're not as cute
14.77%:  come they're not as cute as they
13.74%:  come when they're asleep they look like the
13.73%:  come they can't tell us where they keep their spare k
13.73%:  come when they're little they sleep so
13.73%:  come they still eat
13.71%:  come when they're really happy they act like jer
20.75%:  come when they're really happy they act like jerks??
13.71%:  come when they're all
13.69%:  come they can't tell us where they keep all their special keys
13.69%:  come when they're really happy they click
13.68%:  come when they're really upset they start kiss
13.67%:  come when they're asleep they still talk??
13.66%:  come they're always stuck in the past??
13.66%:  come they're so easy
76.18%:  come they're so easy to trick
63.65%:  come they're so easy to trick with
56.43%:  come they're so easy to trick??
21.52%:  come they're so easy to kill
29.40%:  come they're so easy to kill??
14.22%:  come they're so easy to trick with pet
13.63%:  come when they're really sick they just stare at the sky
13.62%:  come they talk like they're so sure
13.62%:  come they still think they're the top
13.61%:  come when they're upset they talk
13.58%:  come they talk like they're not really there??
13.57%:  come when they're happy they try
17.66%:  come when they're happy they try to kiss
14.39%:  come when they're happy they try to eat
13.56%:  come they won't let us eat the
13.56%:  come they eat other
13.55%:  come they're always so late
13.55%:  come when they're little they suck their little
13.55%:  come they always think they're like the
13.54%:  come when they're little they like to play soccer
13.54%:  come when they're sick they start
13.54%:  come they always try to kill each other like
13.53%:  come they won't just let
13.49%:  come they can't tell us where they keep the salt
13.48%:  come when they're upset they talk like
19.51%:  come when they're upset they talk like this
13.69%:  come when they're upset they talk like that
13.47%:  come they won't share their secret supply
13.46%:  come they like to eat their pets
13.45%:  come they talk like they're so special when
24.84%:  come they talk like they're so special when they really
117.92%:  come they talk like they're so special when they really just
143.41%:  come they talk like they're so special when they really just eat
74.43%:  come they talk like they're so special when they really just eat pet
27.41%:  come they talk like they're so special when they really just taste
23.02%:  come they talk like they're so special when they just
23.02%:  come they talk like they're so special when they just eat
21.25%:  come they talk like they're so special when they eat
18.13%:  come they talk like they're so special when really
199.88%:  come they talk like they're so special when really they just
258.65%:  come they talk like they're so special when really they just eat
115.89%:  come they talk like they're so special when really they just eat pet
42.82%:  come they talk like they're so special when really they just taste
18.08%:  come they talk like they're so special when really they just po
15.10%:  come they talk like they're so special when really they just sit
14.28%:  come they talk like they're so special when really they just ate
13.44%:  come when they're really upset they like to eat the
13.43%:  come when they're little they look just like their pet
13.41%:  come their eyes are like this
13.41%:  come they like to sleep with their pets??
13.41%:  come they think they're so special while
13.38%:  come when they're really happy they talk to
13.38%:  come when they're asleep they still like
19.63%:  come when they're asleep they still like to sleep
13.35%:  come they're so upset when they cry
13.35%:  come they're always stuck in the toilet
13.34%:  come they're not happy with just
13.34%:  come when they're really sick they keep
13.33%:  come they can't talk like they
13.32%:  come when they're little they act like little jer
17.29%:  come when they're little they act like little jerks??
13.31%:  come they take such
13.30%:  come they can't sleep with
74.94%:  come they can't sleep with their eyes shut
67.39%:  come they can't sleep with their eyes shut like
34.57%:  come they can't sleep with their eyes shut??
13.29%:  come they talk like they're so special??
13.28%:  come they can't tell us where they keep their rocks
13.28%:  come when they're asleep they look like their lips
13.28%:  come their teeth
14.05%:  come their teeth are so yellow
13.45%:  come their teeth are so yellow??
13.28%:  come when they're asleep they keep their little
13.28%:  come they won't eat the really
13.27%:  come when they're really upset they take all
13.27%:  come they can't tell us where they keep all their toilet
13.27%:  come they eat all
34.53%:  come they eat all their
13.26%:  come they eat so little
13.26%:  come when they're upset they still
13.25%:  come they can't tell us where they keep their toilet
13.25%:  come they talk like they're really special when they just
13.24%:  come they're so cute when they talk??
13.23%:  come when they're happy they like to yell it
13.23%:  come when they sleep they just lie there like rocks??
13.23%:  come when they're sick they just like
33.83%:  come when they're sick they just like to lie there
16.47%:  come when they're sick they just like to sleep
18.43%:  come when they're sick they just like to sleep all
13.22%:  come they eat their own little
13.22%:  come when they're little they act like they just
13.22%:  come when they're really happy they just stare like
13.21%:  come they won't take their shirt
13.21%:  come they all look
39.89%:  come they all look like
106.76%:  come they all look like they
107.22%:  come they all look like they're either
84.74%:  come they all look like they just
64.59%:  come they all look like they're just
60.84%:  come they all look like they're in
57.24%:  come they all look like they're in their
50.30%:  come they all look like they're always
45.77%:  come they all look like they're either super
39.25%:  come they all look like they're in the
33.55%:  come they all look like they're in their early
33.32%:  come they all look like they're in their early tw
33.00%:  come they all look like they're super
31.29%:  come they all look like they're 
29.78%:  come they all look like they're pretty
74.55%:  come they all look like they're pretty sure
66.91%:  come they all look like they're pretty sure they can
56.38%:  come they all look like they're pretty sure they want
37.23%:  come they all look like they're pretty sure that
47.58%:  come they all look like they're pretty sure that they
28.82%:  come they all look like they're either happy
27.64%:  come they all look like they're upset
26.46%:  come they all look like they're star
21.69%:  come they all look like they're the
21.46%:  come they all look like they're happy
20.71%:  come they all look like they're twenty
126.44%:  come they all look like they're twenty years
19.97%:  come they all look like they're upset when
106.76%:  come they all look like they're upset when they cry
58.95%:  come they all look like they're upset when they cry??
24.12%:  come they all look like they're upset when they see
20.87%:  come they all look like they're upset when they say
19.57%:  come they all look like they're pretty upset
19.28%:  come they all look like they were
17.41%:  come they all look like they just ate
16.83%:  come they all look like they're thirty
16.25%:  come they all look like they're three
15.86%:  come they all look like they're upset when they stare
15.66%:  come they all look like they're in such
15.19%:  come they all look like they're upset when they eat
14.96%:  come they all look like they're upset when they sleep
14.82%:  come they all look like they're in their late
14.76%:  come they all look like they're secret
14.64%:  come they all look like they want
13.63%:  come they all look like they're pretty sure this
13.30%:  come they all look like they're pretty sure this is the last
13.20%:  come they think they're so sweet??
13.20%:  come they're all such jerks to
212.69%:  come they're all such jerks to each other??
16.86%:  come they're all such jerks to each other like
13.19%:  come they taste like little
13.18%:  come when they're asleep they take up like
13.17%:  come when they're really happy they take out
13.17%:  come when they're little they start
13.16%:  come there's always like
18.63%:  come there's always like three
13.16%:  come when they're happy they just start
13.15%:  come they're like that when you
13.14%:  come when they're little they like to stare
13.14%:  come they like to punch
13.62%:  come they like to punch each
38.21%:  come they like to punch each other??
14.47%:  come they like to punch each other really
13.14%:  come when they're really little they look super
13.14%:  come they turn their
13.13%:  come they look like they're either
20.30%:  come they look like they're either really
112.60%:  come they look like they're either really happy
13.12%:  come they like to write
13.12%:  come when they're asleep they look like the little
13.11%:  come when they sleep they just lay there all
13.11%:  come when they're really happy they just stick
13.11%:  come they can't tell us where they keep all their cool party
13.10%:  come they're so happy with
33.35%:  come they're so happy with their
70.74%:  come they're so happy with their little
13.09%:  come they can't tell us where they keep their spark
13.08%:  come when they're really little they try to suck
13.08%:  come they can't tell us where they keep their petty
13.08%:  come when they're really sick they just stay
13.05%:  come when they're happy they like to call
13.04%:  come they still think they're the special
13.04%:  come when they're happy they act like jer
15.56%:  come when they're happy they act like jerks??
13.03%:  come they always think they're the pre
13.03%:  come they're so upset with the
13.01%:  come they like it
44.64%:  come they like it when you pet
109.63%:  come they like it when you pet their
32.77%:  come they like it when they
24.05%:  come they like it when you pet their cheeks
16.03%:  come they like it when you press
39.74%:  come they like it when you press their
55.50%:  come they like it when you press their cheeks
28.30%:  come they like it when you press their cheeks??
19.82%:  come they like it when you press their cheeks really
14.97%:  come they like it when you kiss
14.85%:  come they like it when they'
15.49%:  come they like it when they're happy
13.19%:  come they like it when you stroke
26.11%:  come they like it when you stroke their chest
20.20%:  come they like it when you stroke their chests??
15.87%:  come they like it when you stroke their chest??
13.00%:  come they can't tell us where they keep their little socks
13.00%:  come they can't tell us where they keep all their piles
13.00%:  come they talk like that??
12.99%:  come they think they're that
104.07%:  come they think they're that special
54.56%:  come they think they're that special??
14.82%:  come they think they're that special just
12.98%:  come they'll eat the
12.97%:  come they're the worst
12.96%:  come when they sleep they like to sleep really
12.95%:  come when they're really little they lose
12.93%:  come when they're asleep they still like to touch
12.92%:  come they won't eat our
12.91%:  come when they're really little they taste like chips
12.91%:  come when they're asleep their hearts still keep
12.90%:  come they're always sleepy??
12.90%:  come when they're really upset they eat their pets??
12.89%:  come they talk like they're still
12.88%:  come when they're happy they like to click
12.88%:  come there's no
12.88%:  come they won't let us eat their le
12.88%:  come they all look like they're pretty sure they hate
12.88%:  come their eyes are like little
12.87%:  come they keep screw
12.87%:  come they keep their pets in
15.03%:  come they keep their pets in their
52.41%:  come they keep their pets in their houses??
15.86%:  come they keep their pets in their house
15.19%:  come they keep their pets in their house??
12.87%:  come when they're asleep they take up all
12.87%:  come they're always sh
12.85%:  come they can't tell us where they keep all their lies
12.84%:  come when they're really upset they still cry
12.84%:  come they're always so happy to see us??
12.84%:  come when they're really happy they like to take all
12.83%:  come when they're upset they stick
25.82%:  come when they're upset they stick their little
12.83%:  come they look like they're pretty
28.91%:  come they look like they're pretty sure
32.12%:  come they look like they're pretty sure they can
23.95%:  come they look like they're pretty sure they want
15.85%:  come they look like they're pretty sure that
13.12%:  come they look like they're pretty sure that they
12.82%:  come when they're happy their eyes are still
12.82%:  come they all look like they're pretty sure the
12.81%:  come they think they're real special??
12.81%:  come when they're really little they like to che
12.80%:  come they want their
12.79%:  come when they're little they act like they like
12.79%:  come they won't let us eat their little
12.78%:  come when they're really upset they stare at the
12.77%:  come they're so creepy when they talk to each
12.74%:  come they like it when you tell
12.74%:  come they can't tell us where they keep their special key
12.74%:  come when they're sick they just like to lay
24.66%:  come when they're sick they just like to lay there
12.74%:  come they can't tell us where they keep their space keys
12.73%:  come when they eat they put
22.94%:  come when they eat they put their lips
12.72%:  come when they're sick they just stay sick
12.72%:  come they can't just eat their pet
12.71%:  come their hearts
12.70%:  come they're always up to
13.06%:  come they're always up to their
13.36%:  come they're always up to their neck
12.70%:  come they talk like they're the only people with
12.69%:  come they're always stuck in the past like
12.68%:  come when they're really upset they talk like their
12.67%:  come when they're upset they keep their
12.67%:  come they think their pets
18.24%:  come they think their pets are cute
15.03%:  come they think their pets are super
12.66%:  come they can't tell us where they keep all their sticks
12.66%:  come they're all just
12.66%:  come when they're really little they keep po
12.66%:  come they're only
12.65%:  come when they're really upset they say their
12.63%:  come they like pets
12.62%:  come they always pick
25.46%:  come they always pick their
17.78%:  come they always pick their teeth
16.60%:  come they always pick the
12.62%:  come they won't eat their little
12.61%:  come when they sleep they roll their
28.59%:  come when they sleep they roll their eyes up
16.41%:  come when they sleep they roll their eyes like
12.61%:  come when they're really sick they like to lie
12.60%:  are
43.92%:  are they still
31.27%:  are they still here
23.58%:  are they still here??
22.27%:  are they so
19.14%:  are they so cute
17.79%:  are they not
15.07%:  are they so cute??
12.80%:  are they like
12.59%:  come they can't tell us where they store all
14.62%:  come they can't tell us where they store all the
12.57%:  come they can't tell us where they keep their li
12.57%:  come they can't really
12.56%:  come when they cry they look like they are
12.56%:  come they always think they're the pretty
12.56%:  come when they're asleep their lips
12.52%:  come when they're little they like to put rocks
12.51%:  come when they're asleep they like to roll their eyes
12.50%:  come when they're asleep they look like little t
12.49%:  come they can't just eat like the
12.49%:  come when they're asleep they kick the crap outta
12.49%:  come when they're asleep they let
65.45%:  come when they're asleep they let out these little
60.56%:  come when they're asleep they let out this
167.15%:  come when they're asleep they let out this little
85.11%:  come when they're asleep they let out this really
37.42%:  come when they're asleep they let their
30.55%:  come when they're asleep they let out little
22.61%:  come when they're asleep they let out these really
16.03%:  come when they're asleep they let out this really creep
12.48%:  come they think their pets are so
23.33%:  come they think their pets are so cute
19.16%:  come they think their pets are so cute??
12.48%:  come they always tell
12.46%:  come they poop their
12.46%:  come when they're really little they just like to eat
12.45%:  come when they're asleep they like to put their ears
12.44%:  come when they're little you
12.44%:  come when they're little they like cheese
12.44%:  come they look like this when they're really pretty cute
12.44%:  come they're pretty okay
31.26%:  come they're pretty okay with their
14.64%:  come they're pretty okay with the
12.41%:  come they so
12.39%:  come they're such jerks to pets
12.38%:  come when they're little they cry like they
12.34%:  come when they're really really upset
12.33%:  come when they sleep they just lie there like stat
12.33%:  come they always think they're super pretty
12.33%:  come when they're really sick they still eat their pets
12.32%:  come they think they're special all
12.32%:  come they're not all super
12.32%:  come they think they're pretty cool
12.32%:  come when they're really upset they stare at the sky
13.73%:  come when they're really upset they stare at the sky like
12.31%:  come they use
25.97%:  come they use their
12.31%:  come they can't tell us where they keep all their y
12.30%:  come when they're really happy they like to let
12.29%:  come they aren
12.28%:  come when they're really happy they still taste
17.56%:  come when they're really happy they still taste like tears
20.49%:  come when they're really happy they still taste like tears??
12.28%:  come when they're really sick they just keep
