IS EXACTLY WHY I KEEP MAKING IT SO YOU NEVER GET A PRINTING PRESS
100.00%: 
182.74%:  IS WHY
1.81%:  IS EXACTLY WHAT I GET EVERY TIME I OPEN UP AN
1.81%:  IS EXACTLY WHY I KEEP TRYING TO IMPROVE U
1.81%:  IS WHY I NEVER LET YOU TAKE COM
1.81%:  IS EXACTLY WHY YOU NEVER GET TO MAKE AN
1.81%:  IS WHY I NEVER TRUST ANYONE ELSE TO TE
1.81%:  IS EXACTLY THE REASON I KEEP WRITING SOME ST
1.81%:  IS EXACTLY THE REASON I REGRET MAKING S
1.81%:  IS EXACTLY THE REASON I KEEP IT MY
1.81%:  IS ALSO WH
2.44%:  IS ALSO WHAT
1.81%:  IS WHAT PEOPLE ARE SAYING IN MY COUNTER
1.81%:  IS EXACTLY WHY I NEVER PRESENT AN
1.81%:  IS WHY I CAN NEVER TAKE YOU TO SER
1.81%:  IS THE EXACT REASON I GOT T
1.81%:  IS EXACTLY THE REASON I WANT TO KEEP US SE
1.81%:  IS EXACTLY THE REASON I NEVER GET ANY WORKING
1.81%:  IS EXACTLY WHY I NEVER PUT G
1.81%:  IS THE REASON PEOPLE ARE WRITING SU
1.81%:  IS EXACTLY WHY I KEEP TRYING NOT TO SPEAK IN A
1.81%:  IS EXACTLY WHY I NEVER SUGGEST TAK
5.94%:  IS EXACTLY WHY I NEVER SUGGEST TAKING ANY
3.68%:  IS EXACTLY WHY I NEVER SUGGEST TAKING ANYONE
3.01%:  IS EXACTLY WHY I NEVER SUGGEST TAKING A
1.81%:  IS EXACTLY WHY I NEVER SPENT MY
1.81%:  IS EXACTLY THE REASON I NEVER TAKE W
2.02%:  IS EXACTLY THE REASON I NEVER TAKE WORK
2.25%:  IS EXACTLY THE REASON I NEVER TAKE WORKING
1.81%:  IS EXACTLY WHY I NEVER GOT INTO EAR
1.81%:  IS EXACTLY WHAT I SAY EVERY TIME I GO UP IN
1.81%:  IS EXACTLY WHY I MAKE SURE TO SPEAK PER
1.81%:  IS EXACTLY WHAT GOES ON IN MY SK
1.81%:  IS THE REASON I NEVER LEAR
1.81%:  IS WHY I GOT UP
1.81%:  IS EXACTLY THE REASON I GIVEN YOU AN
1.81%:  IS THE REASON I NEVER LISTEN TO MEN
1.81%:  IS THE REAL REASON I WAS NEVER INTO MY
1.81%:  IS EXACTLY THE REASON I WROTE M
1.81%:  IS EXACTLY THE REASON I KEEP MAKING PUNS IN
1.81%:  IS WHY PEOPLE ARE ANGRY AT YOUR
1.81%:  IS THE REASON I NEVER LET YOUR
1.81%:  IS EXACTLY WHY I KEEP TRYING TO INSPIRE A
1.81%:  IS EXACTLY WHY I NEVER TAKE OUT
1.81%:  IS EXACTLY WHY I NEVER AGA
1.81%:  IS EXACTLY WHY YOU MIS
1.81%:  IS EXACTLY THE REASON I NEVER GET IN TO
1.81%:  IS EXACTLY WHY YOU NEVER GET TO SEE E
1.81%:  IS WHY I NEVER LET ANYONE RUIN MY PRO
1.81%:  IS THE REASON I AM NOT A
1.81%:  IS EXACTLY WHY I KEEP INVIT
1.81%:  IS EXACTLY THE REASON I SPOKE UN
1.81%:  IS THE REASON I GIVE PEOPLE IN
1.81%:  IS EXACTLY WHY I NEVER ASK YOU TO SE
1.81%:  IS THE REASON I KEEP SAYING I LI
12.48%:  IS THE REASON I KEEP SAYING I LIKE YOUR
7.07%:  IS THE REASON I KEEP SAYING I LIKE YOU
5.42%:  IS THE REASON I KEEP SAYING I LIKE YOUR NEW
2.21%:  IS THE REASON I KEEP SAYING I LIKE YOUR VER
2.07%:  IS THE REASON I KEEP SAYING I LIKE YOUR S
1.97%:  IS THE REASON I KEEP SAYING I LIKE YOUR I
1.81%:  IS EXACTLY WHY I NEVER MENTION YOU ARE
1.81%:  IS WHY NO ONE EVER LISTEN
1.81%:  IS WHY SOME PEOPLE ARE AGAINST EVEN USING IT
1.81%:  IS WHY I NEVER LET ANYONE REPORT
1.81%:  IS EXACTLY WHAT I SEE EVERY TIME YOU STOP
1.81%:  IS EXACTLY THE REASON I GET UP EVERY MORNING AS
1.81%:  IS EXACTLY THE REASON I NEVER GET INTO S
1.81%:  IS WHY PEOPLE KEEP SAYING MO
1.91%:  IS WHY PEOPLE KEEP SAYING MOST
1.81%:  IS EXACTLY WHY I NEVER SENT ANYONE TO RE
1.81%:  IS THE ONLY VERSION WE
1.81%:  IS WHY PEOPLE KEEP TRYING TO INVENT R
1.81%:  IS THE REASON I CAN NEVER TRUST PEOPLE IN MY
1.81%:  IS THE REASON I KEEP TALKING IN YOUR
1.81%:  IS WHY I NEVER POST MY
1.81%:  IS WHY PEOPLE SAY PRO
1.81%:  IS EXACTLY WHY I NEVER UP
1.81%:  IS EXACTLY THE REASON I NEVER WANT YOUR IN
1.81%:  IS EXACTLY THE REASON I NEVER INPUT
1.81%:  IS EXACTLY WHY I NEVER TRUST A SING
1.81%:  IS THE EXACT REASON I NEVER LET YOU G
1.81%:  IS EXACTLY WHY I KEEP SAYING NOT TO PUT G
1.81%:  IS EXACTLY THE REASON YOU KEEP SAYING I W
1.81%:  IS EXACTLY THE SAME POINT YOU
1.81%:  IS EXACTLY THE REASON I SAY IT MY
1.81%:  IS THE VERY REASON I LO
1.81%:  IS EXACTLY WHY I AM IN
1.81%:  IS AN EXAMPLE WHERE YOUR S
1.81%:  IS WHY SOME PEOPLE SAY PRAYER NEVER AN
1.81%:  IS EXACTLY WHY I PUT IT
1.81%:  IS THE VERY REASON I GET
1.81%:  IS EXACTLY THE REASON I GIVE UP ON MY
1.81%:  IS PRETTY EXACTLY THE OPIN
3.61%:  IS PRETTY EXACTLY THE OPINION I W
1.81%:  IS WHY I NEVER LISTEN TO YOUR TEST
1.80%:  IS EXACTLY THE REASON I NEVER UT
1.80%:  IS THE REASON I NEVER LET YOU SPEAK A
1.80%:  IS EXACTLY THE REASON I WAS NEVER INTO EN
1.80%:  IS THE REASON I SAY YOUR
1.80%:  IS WHY I NEVER LET YOU NARRATE ANYONE
1.80%:  IS EXACTLY THE REASON I KEEP PUTTING MY SPE
1.80%:  IS EXACTLY WHAT I SEE EVERY TIME YOU AP
2.60%:  IS EXACTLY WHAT I SEE EVERY TIME YOU APPE
1.80%:  IS EXACTLY THE REASON I KEEP MAKING YOU WRITE IT
1.80%:  IS EXACTLY THE REASON I GIVEN YOU SPE
1.80%:  IS EXACTLY THE REASON I WRITE VERSES IN A
1.80%:  IS EXACTLY THE SAME STORY T
1.80%:  IS THE REASON I NEVER RESPECT YOU
1.80%:  IS WHY PEOPLE KEEP SAYING YOU CAN NEVER GET
1.80%:  IS EXACTLY THE REASON I NEVER TAKE YOUR SY
1.80%:  IS EXACTLY WHAT MY OPINION IS REG
1.80%:  IS EXACTLY THE REASON I WAS PUTTING S
1.80%:  IS WHY SOME PEOPLE ARE AGAINST SUPER INT
1.80%:  IS WHY PEOPLE TOT
1.80%:  IS WHY I NEVER SAY A
2.44%:  IS WHY I NEVER SAY A SING
1.90%:  IS WHY I NEVER SAY A SINGLE S
1.80%:  IS WHY PEOPLE KEEP TRYING TO CREATE AN E
1.80%:  IS THE REASON I NEVER GET ANY RES
1.97%:  IS THE REASON I NEVER GET ANY RESPECT IN
1.80%:  IS EXACTLY WHAT I SEE EVERY TIME YOU SING K
1.80%:  IS EXACTLY THE REASON I NEVER INSERT YOU
1.80%:  IS EXACTLY THE REASON YOU GET S
1.80%:  IS WHY I NEVER LISTEN TO MUSIC OR
1.80%:  IS EXACTLY WHY NO ONE EVER E
1.80%:  IS EXACTLY WHY I MEANT IT
1.80%:  IS EXACTLY WHY I TRY NOT TO SPEAK IN EN
1.80%:  IS EXACTLY THE REASON I NEVER SPEAK R
1.80%:  IS WHAT PEOPLE ARE SAYING EVERY TIME I G
1.80%:  IS THE REASON I KEEP TRYING TO CREATE WAY
1.80%:  IS EXACTLY THE REASON I NEVER WRITTEN G
1.80%:  IS WHY PEOPLE KNO
1.80%:  IS HOW YOU SPE
1.80%:  IS EXACTLY WHY I GEN
1.80%:  IS WHY I NEVER LISTEN TO E
1.80%:  IS WHY SOME PEOPLE SU
3.21%:  IS WHY SOME PEOPLE SUCK AT
1.81%:  IS WHY SOME PEOPLE SUCK AT PAR
2.68%:  IS WHY SOME PEOPLE SUCK AT PARTIES
2.00%:  IS WHY SOME PEOPLE SUCK AT PARTY TR
1.80%:  IS EXACTLY WHY YOU NEVER GET TO SPEAK A
1.80%:  IS WHY I NEVER LET YOU COME IN
1.80%:  IS EXACTLY WHAT MY OPINION IS IN
1.80%:  IS EXACTLY WHAT I SAY EVERY MOT
1.80%:  IS EXACTLY WHY I NEVER TAKE YOUR NE
1.80%:  IS THE REASON I KEEP SAYING I AM G
1.80%:  IS WHY I NEVER SPEAK UNLESS I CAN
1.80%:  IS EXACTLY WHY I KEEP SPE
1.80%:  IS EXACTLY THE REASON I NEVER WRITE YOU IN ST
1.80%:  IS EXACTLY WHY I KEEP SAYING NOT TO SPEAK IN S
1.80%:  IS EXACTLY THE REASON I NEVER GET ANY PO
2.73%:  IS EXACTLY THE REASON I NEVER GET ANY POWER
1.80%:  IS EXACTLY THE REASON WE SAY I
1.80%:  IS WHY PEOPLE ARE SAYING I NEVER S
1.80%:  IS THE REASON I NEVER SER
1.80%:  IS EXACTLY WHY I NEVER TAKE YOUR PR
1.80%:  IS EXACTLY WHY I NEVER MAKE T
1.80%:  IS WHY I KEEP TRYING TO MAKE PEOPLE SAY IT IN
1.80%:  IS EXACTLY THE REASON I NEVER TAKE YOUR IMP
1.80%:  IS EXACTLY THE REASON I NEVER SPEAK SIMP
1.80%:  IS WHY PEOPLE ARE USING S
1.80%:  IS THE REASON I NEVER LET ANYONE WRITE UP
1.80%:  IS EXACTLY WHAT IT SE
1.80%:  IS WHAT I SAY EVERY MORNING AS I PEE
1.80%:  IS WHY I LISTEN IN ON E
25.91%:  IS WHY I LISTEN IN ON EVERY CON
1.80%:  IS EXACTLY THE REASON I EVER WENT
1.80%:  IS THE REASON WE MAKE
1.80%:  IS EXACTLY THE REASON I GIVE UP SO
1.80%:  IS EXACTLY THE REASON I KEEP AN IN
1.80%:  IS EXACTLY WHY I NEVER SET ANY
1.80%:  IS WHY PEOPLE SAY I AM SO
1.80%:  IS EXACTLY HOW EVERY SONG
1.80%:  IS EXACTLY WHAT I SAY EVERY TIME I UP
1.80%:  IS THE REASON I KEEP SAYING I AM PRO
1.80%:  IS EXACTLY THE REASON I KEEP SAYING IT IN MY O
3.24%:  IS EXACTLY THE REASON I KEEP SAYING IT IN MY OWN VER
1.79%:  IS WHY PEOPLE SAY PRAYER IS AN EX
1.79%:  IS EXACTLY THE REASON I KEEP MENT
1.79%:  IS THE REASON PEOPLE ARE NE
3.84%:  IS THE REASON PEOPLE ARE NEVER S
3.00%:  IS THE REASON PEOPLE ARE NEVER SUP
1.79%:  IS THE VERY REASON I AL
9.10%:  IS THE VERY REASON I ALWAYS USE
3.59%:  IS THE VERY REASON I ALWAYS S
2.28%:  IS THE VERY REASON I ALWAYS T
2.03%:  IS THE VERY REASON I ALWAYS SPE
1.79%:  IS EXACTLY THE REASON YOU GET PAINT
1.79%:  IS EXACTLY WHY I NEVER SPEAK TO AT
1.79%:  IS EXACTLY HOW I START EVERY STORY E
1.79%:  IS EXACTLY THE REASON I GET UPSET O
2.85%:  IS EXACTLY THE REASON I GET UPSET OVER
1.79%:  IS EXACTLY THE REASON YOU NEVER GET ANY PER
1.79%:  IS WHY SOME PEOPLE SAY PRAYER IS EV
1.79%:  IS EXACTLY WHAT I SAY EVERY TIME I SING S
1.79%:  IS EXACTLY WHAT I SAY EVERY TIME I GREET PE
1.79%:  IS EXACTLY WHAT I SAY EVERY TIME I ENTER ONE
1.79%:  IS EXACTLY THE PASS
3.38%:  IS EXACTLY THE PASSAGE IN
2.83%:  IS EXACTLY THE PASSAGE YOU
2.23%:  IS EXACTLY THE PASSAGE IN GEN
1.92%:  IS EXACTLY THE PASSAGE I USE
1.79%:  IS THE EXACT REASON I NEVER SPEAK IN OP
1.79%:  IS EXACTLY THE VERSION YOU S
1.79%:  IS EXACTLY WHY I NEVER SPEAK IN PAST TENSE IN
1.79%:  IS WHY I NEVER LISTEN TO ANYONE EXPECT
1.79%:  IS WHY PEOPLE SAY STOR
4.38%:  IS WHY PEOPLE SAY STORIES ARE TRUE
2.83%:  IS WHY PEOPLE SAY STORIES AREN
1.94%:  IS WHY PEOPLE SAY STORIES GET
1.85%:  IS WHY PEOPLE SAY STORIES ARE MA
1.79%:  IS EXACTLY THE REASON I REWROTE IT IN
1.79%:  IS EXACTLY WHY I KEEP TRYING TO TAKE OVER IN
1.79%:  IS EXACTLY THE REASON I WENT P
1.79%:  IS WHY YOU NEVER GET TO SPEAK AT MY PAR
1.79%:  IS EXACTLY THE REASON I KEEP PUTTING SE
1.79%:  IS EXACTLY THE REASON I WROTE GENESIS IN IN
1.79%:  IS WHAT I SAY EVERY TIME PEOPLE ST
2.44%:  IS WHAT I SAY EVERY TIME PEOPLE START S
1.95%:  IS WHAT I SAY EVERY TIME PEOPLE START US
1.79%:  IS EXACTLY WHY NO ONE USES ME AS A RE
1.79%:  IS EXACTLY THE REASON I NEVER WRITE POSTS
1.79%:  IS WHY I NEVER GO ON
2.18%:  IS WHY I NEVER GO ONLINE
1.79%:  IS WHY I NEVER LET ANYONE SEE MY SCRIPT IN
1.79%:  IS EXACTLY WHAT I SAY EVERY MORNING NINE
1.79%:  IS EXACTLY WHY I NEVER GET AN
1.79%:  IS EXACTLY THE REASON I PUT GENESIS IN AN
1.79%:  IS EXACTLY WHY YOU NEVER TAKE S
1.79%:  IS WHY SOME PEOPLE ARE AGAINST USING EXT
1.79%:  IS EXACTLY THE REASON I NEVER GET IT
1.79%:  IS EXACTLY THE REASON I NEVER PUT PRO
1.79%:  IS EXACTLY WHY I NEVER EMP
1.79%:  IS WHY PEOPLE KEEP SAYING I NO
1.79%:  IS EXACTLY HOW I SPEAK EVERY TIME I SPEAK IN GEN
1.79%:  IS EXACTLY THE REASON I KEEP SAYING I IN
1.79%:  IS EXACTLY THE REASON YOU KEEP GETTING ANSW
2.94%:  IS EXACTLY THE REASON YOU KEEP GETTING ANSWER
1.79%:  IS EXACTLY WHY I KEEP TRYING TO RET
2.05%:  IS EXACTLY WHY I KEEP TRYING TO RETURN
1.79%:  IS WHY I NEVER LISTEN TO YOUR ANCIENT R
1.79%:  IS WHY PEOPLE ARE GETTING ANGRY AT YOUR S
1.79%:  IS THE REAL REASON I KEEP SAYING MY
1.79%:  IS THE ONLY REASON I T
1.79%:  IS EXACTLY WHAT I SEE EVERY TIME I OPEN IT
1.79%:  IS EXACTLY WHAT I PRAY EVERY TIME I PR
1.79%:  IS WHY PEOPLE ARE USING T
1.79%:  IS THE REASON PEOPLE SAY I WAS NE
1.79%:  IS WHY PEOPLE KEEP ASKING ME TO CREATE SING
1.79%:  IS EXACTLY THE REASON I MAKE YOU RE
1.93%:  IS EXACTLY THE REASON I MAKE YOU REWRITE
1.79%:  IS THE REAL REASON I GOT C
1.79%:  IS WHAT PEOPLE ARE USING TO T
1.79%:  IS EXACTLY THE REASON I REGRET GIVING SOME PE
1.79%:  IS THE REASON I KEEP SAYING YOU CAN NE
2.49%:  IS THE REASON I KEEP SAYING YOU CAN NEVER RE
1.79%:  IS WHY I CAN NEVER TAKE YOU AS MY
1.79%:  IS EXACTLY THE REASON I KEEP WRITING STORIES UP IN
1.79%:  IS THE REASON I CAN NEVER LISTEN TO M
1.79%:  IS EXACTLY WHAT I SET OUT
1.79%:  IS EXACTLY THE REASON I PUT GENESIS IN MY OP
1.79%:  IS WHAT YOUR SAYING TO
1.79%:  IS EXACTLY WHY I KEEP YOUR OP
1.79%:  IS EXACTLY WHAT GENESIS IS TRYING TO AR
1.79%:  IS WHAT PEOPLE ARE SAYING EVERY TIME YOU SIGN
1.79%:  IS THE REASON I NEVER ANSWER S
1.79%:  IS EXACTLY WHY I KEEP TRYING TO STRIKE EAR
1.79%:  IS EXACTLY WHY I KEEP SAYING I REGRET MAKING UN
1.79%:  IS WHY YOU NEVER TAKE ANY
1.79%:  IS EXACTLY THE REASON I GAVE PE
1.79%:  IS EXACTLY WHY I NEVER SENT OUT ANY
1.79%:  IS THE REAL REASON I KEEP SAYING T
1.79%:  IS WHY I CAN NEVER TRUST ANYONE ELSE E
1.79%:  IS EXACTLY THE REASON I WAS NEVER SUPER IN TO
1.79%:  IS EXACTLY THE REASON I KEEP SAYING OUR R
1.79%:  IS THE EXACT REASON I STO
1.79%:  IS EXACTLY THE REASON I SENT U
1.79%:  IS EXACTLY THE REASON I WRITE IN GEN
1.79%:  IS THE EXACT REASON YOU NEVER GET AN
4.54%:  IS THE EXACT REASON YOU NEVER GET ANSWERS IN
1.92%:  IS THE EXACT REASON YOU NEVER GET ANSWER
1.79%:  IS WHAT SOME PEOPLE ARE T
1.79%:  IS WHY I NEVER LISTEN TO O
1.79%:  IS WHY I KEEP YOU
1.79%:  IS WHY I NEVER LET ANYONE SING
1.79%:  IS THE EXACT REASON I NEVER SAY T
1.79%:  IS WHY I NEVER SAY ANYONE ELSE IS R
1.79%:  IS EXACTLY THE REASON I NEVER SENT YOU ANYTIME
1.79%:  IS EXACTLY WHAT I KEEP SAYING TO T
1.79%:  IS THE ONLY REASON I USE
1.79%:  IS EXACTLY WHY I REMA
1.79%:  IS THE EXACT REASON I NEVER LISTEN TO IN
1.79%:  IS WHAT I SAY EVERY SINGLE MORNING TO GET UP
1.79%:  IS EXACTLY WHY I NEVER ASK YOU TO MAKE S
3.03%:  IS EXACTLY WHY I NEVER ASK YOU TO MAKE SENSE
2.36%:  IS EXACTLY WHY I NEVER ASK YOU TO MAKE SIGN
1.79%:  IS EXACTLY THE REASON I WAS TRYING TO KEEP MY VER
1.79%:  IS WHY I NEVER SPEAK UNLESS I AM PRO
1.79%:  IS THE EXACT REASON I WROTE T
1.79%:  IS EXACTLY WHY I KEEP SAYING NOT TO EV
4.75%:  IS EXACTLY WHY I KEEP SAYING NOT TO EVEN TR
1.79%:  IS EXACTLY THE SAME REASON YOU WENT
1.79%:  IS EXACTLY WHY I SPENT YEARS MAKING IT SO E
1.79%:  IS EXACTLY WHY I KEEP SAYING I REGRET EVEN T
1.79%:  IS WHY I NEVER TRUST ANYONE TO T
1.79%:  IS EXACTLY WHY I TRY NOT TO SPEAK UN
1.79%:  IS EXACTLY WHY I REGRET NOT MAKING YOU A G
1.79%:  IS EXACTLY WHAT MAKES YOU SO EN
1.79%:  IS THE EXACT REASON I NEVER LET YOU ME
1.79%:  IS EXACTLY WHY NO ONE TR
9.66%:  IS EXACTLY WHY NO ONE TRUSTS ME
9.15%:  IS EXACTLY WHY NO ONE TRUSTS ME ANY
3.23%:  IS EXACTLY WHY NO ONE TRUSTS MY
1.86%:  IS EXACTLY WHY NO ONE TRUSTS MY VER
1.79%:  IS EXACTLY THE REASON I MAKE RE
1.79%:  IS EXACTLY WHY I NEVER GET TO RE
1.98%:  IS EXACTLY WHY I NEVER GET TO REST ON A
1.78%:  IS EXACTLY THE REASON I SPENT TIME WR
1.78%:  IS EXACTLY WHAT I SAY EVERY TIME I PROPER
1.78%:  IS EXACTLY THE REASON YOU NEVER GET ANY R
1.78%:  EXAMPLE PROVES THAT IT IS NOT
1.78%:  IS EXACTLY WHAT I SAY EVERY MORNING 
1.78%:  IS EXACTLY THE REASON I KEEP MAKING NEW PRO
1.78%:  IS WHY I NEVER LET ANYONE SAY A
2.43%:  IS WHY I NEVER LET ANYONE SAY A SING
1.78%:  IS THE REASON I GET SO M
1.78%:  IS EXACTLY THE REASON I NEVER STEP IN TO ANY
1.78%:  IS WHY I NEVER LET ANYONE USE MY TER
1.78%:  IS EXACTLY WHY I KEEP SAYING NOT TO INVENT SAR
1.78%:  IS EXACTLY WHAT I GET UP EVERY MORNING IT IS SO
1.78%:  IS EXACTLY WHY I KEEP SAYING NOT TO GIVE ME A
1.78%:  IS EXACTLY THE SAME REASON YOU S
1.78%:  IS EXACTLY WHY I NEVER SUGGEST MY
1.78%:  IS EXACTLY WHAT I SAY EVERY TIME I SPOKE ON
1.78%:  IS EXACTLY THE REASON I SPENT TWO Y
2.24%:  IS EXACTLY THE REASON I SPENT TWO YEARS IN
1.78%:  IS WHY I NEVER TRUST MYSEL
1.78%:  EXAMPLE PROVES WH
2.19%:  EXAMPLE PROVES WHY YOUR
2.14%:  EXAMPLE PROVES WHAT
1.82%:  EXAMPLE PROVES WHY YOU
1.78%:  IS EXACTLY HOW YOU NE
1.78%:  IS EXACTLY WHY I NEVER TAKE YOU A
1.78%:  IS EXACTLY THE REASON I NEVER WRITE ANY SIGN
1.78%:  IS EXACTLY THE REASON I GIVE SPE
1.78%:  IS EXACTLY WHAT I KEPT SAYING IN YOUR OPENING P
1.78%:  IS EXACTLY WHY I AP
2.34%:  IS EXACTLY WHY I APPROVE
1.78%:  IS EXACTLY THE REASON I NEVER TRUST ANY M
1.78%:  IS EXACTLY THE REASON I KEEP TAKING IT
4.29%:  IS EXACTLY THE REASON I KEEP TAKING IT PER
1.78%:  IS WHY I NEVER USE T
1.78%:  IS EXACTLY THE REASON I AM P
11.20%:  IS EXACTLY THE REASON I AM PRETTY SURE WE
11.18%:  IS EXACTLY THE REASON I AM PRETTY SURE NO
6.48%:  IS EXACTLY THE REASON I AM PRETTY SURE I NE
6.15%:  IS EXACTLY THE REASON I AM PRETTY SURE I W
4.40%:  IS EXACTLY THE REASON I AM PRETTY SURE PE
3.74%:  IS EXACTLY THE REASON I AM PRETTY SURE I IN
3.16%:  IS EXACTLY THE REASON I AM PRETTY SURE WE S
3.07%:  IS EXACTLY THE REASON I AM PRETTY SURE WE NE
2.64%:  IS EXACTLY THE REASON I AM PRETTY SURE NOW
2.15%:  IS EXACTLY THE REASON I AM PRETTY SURE G
1.97%:  IS EXACTLY THE REASON I AM PRETTY SURE I S
1.78%:  IS WHY I KEEP SAYING PEOPLE ARE GETTING C
1.78%:  IS WHY I NEVER LET YOU SING IN
1.78%:  IS THE REASON I KEEP TRYING TO P
1.78%:  IS EXACTLY WHAT I SEE EVERY TIME I OPEN ANY SORT
1.78%:  IS EXACTLY HOW R
1.78%:  IS EXACTLY THE REASON I WRITE MY STORIES IN UN
1.78%:  IS EXACTLY WHY I NEVER SPENT ANY TIME ON PRO
1.78%:  IS EXACTLY WHY I GUESS I NEVER G
2.26%:  IS EXACTLY WHY I GUESS I NEVER GOT IN
1.78%:  IS EXACTLY THE REASON WE NEVER PRO
1.78%:  IS WHAT I TA
1.78%:  IS EXACTLY THE REASON I KEEP WRITING IN A
1.78%:  IS WHY I KEEP SAYING NOT TO SPE
2.11%:  IS WHY I KEEP SAYING NOT TO SPEAK IN
1.78%:  IS EXACTLY WHY ANY
1.78%:  IS EXACTLY THE REASON I WRITE IN EN
1.78%:  IS EXACTLY THE REASON YOU ARE WRITING IN EN
1.78%:  IS EXACTLY THE REASON I KEEP WRITING STORIES IN M
1.78%:  IS EXACTLY THE REASON I AM NOT PUT
1.78%:  IS EXACTLY WHAT I KEEP SAYING IN MY OPINION SER
1.78%:  IS EXACTLY WHY NO ONE SAYS I AM
1.78%:  IS EXACTLY THE REASON I WAS M
1.78%:  IS EXACTLY THE REASON I KEEP TRYING TO REAS
1.78%:  IS EXACTLY WHAT I SAY EVERY MORNING I GET UP ON
1.78%:  IS EXACTLY THE REASON I NEVER WANT YOUR ST
1.90%:  IS EXACTLY THE REASON I NEVER WANT YOUR STINK
1.78%:  IS EXACTLY HOW I TAKE NOTES EVERY M
1.78%:  IS THE WORST PO
1.78%:  IS EXACTLY WHY I REGRET G
42.78%:  IS EXACTLY WHY I REGRET GIVING YOU SPE
19.54%:  IS EXACTLY WHY I REGRET GIVING YOU A
9.91%:  IS EXACTLY WHY I REGRET GIVING YOU T
9.31%:  IS EXACTLY WHY I REGRET GIVING YOU INT
6.13%:  IS EXACTLY WHY I REGRET GIVING YOU SPEAK
5.11%:  IS EXACTLY WHY I REGRET GIVING YOU S
5.56%:  IS EXACTLY WHY I REGRET GIVING YOU SENSE
4.66%:  IS EXACTLY WHY I REGRET GIVING YOU SENT
3.77%:  IS EXACTLY WHY I REGRET GIVING M
6.10%:  IS EXACTLY WHY I REGRET GIVING MAN SPE
3.74%:  IS EXACTLY WHY I REGRET GIVING YOU A M
3.51%:  IS EXACTLY WHY I REGRET GIVING ANY
4.78%:  IS EXACTLY WHY I REGRET GIVING ANYONE A
4.24%:  IS EXACTLY WHY I REGRET GIVING ANYONE SPE
3.50%:  IS EXACTLY WHY I REGRET GIVING YOU AN
2.69%:  IS EXACTLY WHY I REGRET GIVING MANK
2.63%:  IS EXACTLY WHY I REGRET GIVING ANYONE SPEAK
2.54%:  IS EXACTLY WHY I REGRET GIVING PE
2.52%:  IS EXACTLY WHY I REGRET GIVING YOU AN OP
2.51%:  IS EXACTLY WHY I REGRET GIVING YOU A SO
2.32%:  IS EXACTLY WHY I REGRET GIVING YOU AN INT
2.24%:  IS EXACTLY WHY I REGRET GIVING YOU SPO
2.15%:  IS EXACTLY WHY I REGRET GIVING YOU E
2.04%:  IS EXACTLY WHY I REGRET GIVING YOU A S
1.99%:  IS EXACTLY WHY I REGRET GIVING YOU ETERN
1.84%:  IS EXACTLY WHY I REGRET GIVING YOU M
1.79%:  IS EXACTLY WHY I REGRET GIVING OUT
1.78%:  IS EXACTLY WHAT MY OPINION IS IN REG
1.78%:  IS EXACTLY WHAT I SAY EVERY MORNING I S
1.78%:  IS WHY I NEVER LISTEN TO YOUR INNER
1.78%:  IS EXACTLY THE REASON I NEVER NOT
1.78%:  IS WHY I KEEP SAYING NOT TO INSULT MY R
1.78%:  IS EXACTLY WHY I NEVER KEEP AN OPINION STR
1.78%:  IS THE REASON I KEEP TRYING TO TEMP
1.78%:  IS EXACTLY THE REASON I REGRET GIVING YOU A T
1.78%:  IS WHY I KEEP MY OP
1.78%:  IS EXACTLY THE REASON I SAY EVERY SING
1.78%:  IS WHY I NEVER LET YOU SIT
5.77%:  IS WHY I NEVER LET YOU SIT IN ON MY C
11.72%:  IS WHY I NEVER LET YOU SIT IN ON MY CREAT
2.25%:  IS WHY I NEVER LET YOU SIT IN ON C
1.78%:  IS EXACTLY THE REASON I NEVER PUT ANY OP
1.78%:  IS EXACTLY THE REASON I USE TO
1.78%:  IS EXACTLY WHY I NEVER ASK YOU TO START S
1.78%:  IS EXACTLY THE REASON YOU NEVER M
1.78%:  IS THE REASON I NEVER SAY I
1.78%:  IS EXACTLY THE REASON I NEVER WANT YOU IN MY T
1.78%:  IS WHAT I SAY EVERY SINGLE TIME I CREATE YOUR
1.78%:  IS WHY I KEEP SAYING PEOPLE ARE GETTING IN
1.78%:  IS WHY I KEEP P
2.36%:  IS WHY I KEEP PUTTING MY
1.78%:  IS WHAT PEOPLE ARE SAYING IN YOUR M
1.78%:  IS EXACTLY THE REASON I NEVER SPENT TIME P
1.78%:  IS WHY I KEEP SAYING I S
1.78%:  IS WHAT NOT
1.77%:  IS EXACTLY WHY I NEVER PRAISE ANYONE IN PER
1.77%:  IS EXACTLY THE REASON I KEEP SAYING SO M
1.77%:  IS THE EXACT REASON I NEVER REPLY
2.36%:  IS THE EXACT REASON I NEVER REPLY TO ANY
1.77%:  IS THE REASON PEOPLE ARE GETTING P
1.77%:  IS EXACTLY HOW ST
8.68%:  IS EXACTLY HOW STORIES ARE
1.85%:  IS EXACTLY HOW STORIES IN
1.77%:  IS WHY I NEVER SAY YOUR NAME IN P
1.77%:  IS THE EXACT REASON I NEVER LET YOU SPEAK IN S
1.77%:  IS EXACTLY WHY I NEVER MAKE ST
1.77%:  IS EXACTLY WHAT I SAY EVERY SU
1.77%:  IS EXACTLY THE REASON MY SENT
