T-Rex (punchline): Oh man, a sunset! Boo hoo hoo!
100.00%: 
0.49%:  T
0.00%:  T-Rex on the menu
0.00%:  T-Rex is out on lunch
0.00%:  T-Rex on a couples
0.00%:  T-Rex has to school
0.00%:  T-Rex on the mean
0.00%:  (T-Rex pushes in on
0.00%:  T-Rex punches a stone,
0.00%:  the T-Rex has open
0.00%:  a a
0.00%:  T-Rex holes up in a house on
0.00%:  T-Rex chumps on the sun
0.00%:  T-Rex on the moon, alone in
0.00%:  T-Rex has some tea,
0.00%:  T-Rex (polit
0.00%:  T-Rex on a st
0.00%:  T-Rex on a stoop
0.00%:  T-Rex punches an alien
0.00%:  T-Rex slips at
0.00%:  T-Rex on the phone can
0.00%:  -le
0.00%:  T-Rex stomps on a hen
0.00%:  T-Rex slips on ch
0.00%:  T-Rex (ne
0.00%:  T-Rex (punchline): Oh man, shut
0.00%:  T-Rex is alone at home, up
0.00%:  T-Rex steals a p
0.00%:  the T-Rex pun, in
0.00%:  the T-Rex has muscle
0.00%:  (T-Rex places an
0.00%:  a paint
0.00%:  the T-Rex has no plans come
0.00%:  T-Rex homes in on a phone
0.00%:  -sample
0.00%:  T-Rex, minus 
0.00%:  T-Rex sleeps, in
0.00%:  T-Rex shops at an
0.00%:  the T-Rex house soon!
0.00%:  T-Rex has a hole punch,
0.00%:  (T-Rex opens his mouth):
0.00%:  T-Rex has lunch too!
0.00%:  T-Rex punches a moose to
0.00%:  T-Rex consumes a heap
0.00%:  the T-Rex house, in B
0.00%:  T-Rex has his pal
0.00%:  T-Rex leaps on the moon,
0.00%:  (T-Rex, continue
0.00%:  (T-Rex chose the
0.00%:  T-Rex is a los
0.00%:  T-Rex has come upon an o
0.00%:  T-Rex choses option one
0.00%:  T-Rex counts his h
0.00%:  T-Rex ate some chips
0.00%:  T-Rex uses he
0.00%:  T-Rex notes on his phone
0.00%:  T-Rex is touch
0.00%:  T-Rex is on the phone, casual
0.00%:  - se
0.00%:  T-Rex has lost hope in man
0.00%:  T-Rex chases them,
0.00%:  the T-Rex is home, pals
0.00%:  (T-Rex comes to his
0.00%:  T-Rex on actual sun
0.00%:  T-Rex puts on mon
0.00%:  T-Rex puts on monocle,
0.00%:  T-Rex puts on monocle!
0.00%:  T-Rex has so much nope on
0.00%:  T-Rex opens a mouth
0.00%:  a sunset, a couple -
0.00%:  T-Rex has meat
0.00%:  T-Rex slips home
0.00%:  T-Rex has sil
0.00%:  T-Rex must choose, one
0.00%:  the T-Rex place has
0.00%:  T-Rex has mic
0.00%:  T-Rex has much on his plate,
0.00%:  T-Rex phones home, on
0.00%:  T-Rex on top!
0.00%:  T-Rex has es
0.00%:  the T-Rex is alone, m
0.00%:  the T-Rex is alone, munch
0.00%:  (punchline, T-Rex the
0.00%:  the T-Rex has!
0.00%:  the T-Rex (punchline): man,
0.00%:  T-Rex moons those
0.00%:  -social
0.00%:  T-Rex has no home!
0.00%:  T-Rex on a mon
0.00%:  T-Rex home alone, scoop
0.00%:  T-Rex has a complete (
0.00%:  T-Rex on the social phone
0.00%:  T-Rex counts a house
0.00%:  T-Rex is not con
0.00%:  T-Rex has come up in the
0.00%:  the T-Rex is a l
0.00%:  the T-Rex is a lous
0.00%:  T-Rex has no point!
0.00%:  the T-Rex ah
0.00%:  (punchline, so to
0.00%:  T-Rex at home cons
0.00%:  T-Rex posits a
0.00%:  T-Rex has one last cup
0.00%:  T-Rex has the mel
0.00%:  T-Rex leaps in,
0.00%:  T-Rex has also pun
0.00%:  -sat
0.00%:  the T-Rex homes in on such
0.00%:  the T-Rex opens a school!
0.00%:  T-Rex, a lon
0.00%:  T-Rex has put his home
0.00%:  T-Rex has put his home on
0.00%:  the T-Rex house in com
0.00%:  T-Rex sits up alone
0.00%:  the T-Rex as a cl
0.00%:  T-Rex, in one panel!
0.00%:  T-Rex is home, shut up
0.00%:  T-Rex is cut loose
0.00%:  the T-Rex sac
0.00%:  T-Rex on the phone, monoc
0.00%:  T-Rex shoots a plane!
0.00%:  T-Rex has no clues,
0.00%:  T-Rex has a lun
0.00%:  T-Rex chose his
0.00%:  T-Rex is alone ch
0.00%:  - colon
0.00%:  T-Rex has lunch out on his
0.00%:  T-Rex is as cool
0.00%:  the T-Rex house, pm!
0.00%:  T-Rex comes upon a tunnel
0.00%:  T-Rex is alone, phone
0.00%:  T-Rex punches him to
0.00%:  the T-Rex as police
0.00%:  T-Rex consumes a lo
0.00%:  T-Rex alone in a house,
0.00%:  T-Rex at his house, home
0.00%:  the T-Rex upon his house,
0.00%:  the T-Rex is on a one
0.00%:  T-Rex, plain
0.00%:  T-Rex, so close
0.00%:  T-Rex has lost no
0.00%:  (T-Rex puts on a c
0.00%:  T-Rex at home, cas
0.00%:  T-Rex opens a s
0.00%:  T-Rex chooses point
0.00%:  the T-Rex house im
0.00%:  T-Rex on a plane, home!
0.00%:  the T-Rex house is a p
0.00%:  T-Rex is on a plane ch
0.00%:  the T-Rex!B
0.00%:  (t-Rex on a
0.00%:  T-Rex piles on!
0.00%:  the T-Rex is a hum
0.00%:  T-Rex is alone, n
0.00%:  T-Rex acts insane
0.00%:  T-Rex is, on
0.00%:  the T-Rex house has no pool
0.00%:  the T-Rex alone, his
0.00%:  T-Rex too has plans,
0.00%:  the T-Rex is pool
0.00%:  (T-Rex chooses plan
0.00%:  T-Rex chums up a
0.00%:  T-Rex pushes (
0.00%:  T-Rex one ups the cl
0.00%:  T-Rex is last on
0.00%:  T-Rex on the moon has
0.00%:  -sil
0.00%:  T-Rex must choose, alone
0.00%:  T-Rex is not hope
0.00%:  T-Rex uses monocle,
0.00%:  T-Rex is on complete
0.00%:  T-Rex has lunch at home, sp
0.00%:  - escal
0.00%:  T-Rex has put col
0.00%:  T-Rex in one photo
0.00%:  the T-Rex has come upon an o
0.00%:  T-Rex has a me
0.00%:  T-Rex phones out,
0.00%:  the T-Rex pins
0.00%:  T-Rex (an
0.00%:  T-Rex mouths one
0.00%:  the T-Rex is pul
0.00%:  T-Rex has one nost
0.00%:  T-Rex (on the phone): so
0.00%:  (T-Rex has calm
0.00%:  T-Rex has his p
0.00%:  T-Rex on the phone on his
0.00%:  the T-Rex plan no
0.00%:  T-Rex counts on an
0.00%:  T-Rex phones his lunch
0.00%:  (T-Rex homes in on a sun
0.00%:  T-Rex punches a not
0.00%:  T-Rex has put on a school
0.00%:  the T-Rex house, no plans!
0.00%:  the T-Rex has BO
0.00%:  the T-Rex house plans,
0.00%:  T-Rex, his plans to
0.00%:  the T-Rex pun choose
0.00%:  T-Rex the same
0.00%:  (T-Rex on the phone, lunch
0.00%:  the T-Rex nose has
0.00%:  T-Rex has come up the
0.00%:  (T-Rex is not alone,
0.00%:  T-Rex, not un
0.00%:  a haul
0.00%:  T-Rex comes upon, un
0.00%:  T-Rex alone, homes
0.00%:  T-Rex has claims
0.00%:  (punchline, as T-Rex sne
0.00%:  T-Rex to his house!
0.00%:  the T-Rex has no phone, no
0.00%:  T-Rex is seen un
0.00%:  T-Rex, his plan to
0.00%:  T-Rex consumes the pl
0.00%:  T-Rex on the moon, su
0.00%:  T-Rex has no one on
0.00%:  T-Rex has put us
0.00%:  T-Rex has each sun
0.00%:  T-Rex plans an out
0.00%:  T-Rex has come upon a s
0.00%:  T-Rex phones in on
0.00%:  T-Rex eats his hum
0.00%:  the T-Rex uses human
0.00%:  T-Rex consumes t
0.00%:  the T-Rex comes upon a ha
0.00%:  T-Rex puts on his lou
0.00%:  T-Rex lies up
0.00%:  T-Rex is too sm
0.00%:  T-Rex puts on his calm
0.00%:  T-Rex pushes a clum
0.00%:  T-Rex consumes, in
0.00%:  the T-Rex place, 
0.00%:  T-Rex sleeps on a mountain!
0.00%:  the T-Rex mi
0.00%:  T-Rex hops into some
0.00%:  T-Rex is alone at home, hop
0.00%:  the T-Rex lunch p
0.00%:  T-Rex has the lous
0.00%:  (T-Rex ho
0.00%:  T-Rex sees h
0.00%:  T-Rex has lunch too soon,
0.00%:  T-Rex, up close on
0.00%:  the T-Rex is mus
0.00%:  T-Rex is almost ch
0.00%:  the T-Rex house lunch!
0.00%:  T-Rex on the phone, school
0.00%:  a sunset, a nice
0.00%:   TR
0.00%:  T-Rex puts on muscle
0.00%:  T-Rex has hospital
0.00%:  T-Rex is alone, 
0.00%:  T-Rex acts,
0.00%:  the T-Rex, has
0.00%:  T-Rex has a photo in
0.00%:  T-Rex has lunch on the house
0.00%:  T-Rex punches his non
0.00%:  T-Rex, the muscle
0.00%:  T-Rex homes in on each
0.00%:  - los
0.00%:  T-Rex punches the sun, m
0.00%:  T-Rex uses a colon
0.00%:  T-Rex, time
0.00%:  T-Rex, one cl
0.00%:  T-Rex as cool
0.00%:  T-Rex has his phone to
0.00%:  the T-Rex is on a phone!
0.00%:  T-Rex chooses, on
0.00%:  T-Rex punches a sun in
0.00%:  T-Rex puts on some cool,
0.00%:  T-Rex is upset no
0.00%:  T-Rex (punchline): assume
0.00%:  T-Rex counts his home
0.00%:  T-Rex stomps on a cool
0.00%:  T-Rex, not su
0.00%:  T-Rex consoles,
0.00%:  T-Rex home alone sp
0.00%:  T-Rex sets up a ch
0.00%:  T-Rex has the once
0.00%:  T-Rex, at home alone on
0.00%:  T-Rex sits on a plane!
0.00%:  the T-Rex houses a mon
0.00%:  T-Rex counts up one
0.00%:  the T-Rex phone coun
0.00%:  T-Rex chooses no option
0.00%:  the T-Rex has lunch, some
0.00%:  a casino
0.00%:  T-Rex is alone, too
0.00%:  T-Rex is alone, too much
0.00%:  (T-Rex consoles the
0.00%:  T-Rex loses a count
0.00%:  T-Rex up to some no
0.00%:  -enc
0.00%:  the T-Rex special om
0.00%:  (T-Rex is upset,
0.00%:  the T-Rex amnesia punch
0.00%:  T-Rex, up at
0.00%:  the T-Rex pun chain
0.00%:  the T-Rex pin cush
0.00%:  -pen
0.00%:  T-Rex chooses an ap
0.00%:  the T-Rex pun lo
0.00%:  T-Rex is alone at home, hun
0.00%:  (punchline, as T-Rex sno
0.00%:  T-Rex (punchline): on some
0.00%:  T-Rex sits home alone, con
0.00%:  the T-Rex also enc
0.00%:  T-Rex in a cl
0.00%:  the T-Rex, human
0.00%:  the T-Rex has come upon a sol
0.00%:  (the sun has, um -
0.00%:  T-Rex one ups them
0.00%:  T-Rex at house
0.00%:  T-Rex nope!
0.00%:  T-Rex phones home, an
0.00%:  - poison
0.00%:  T-Rex is asleep at
0.00%:  the T-Rex is up!
0.00%:  T-Rex counts his mon
0.00%:  the T-Rex as his
0.00%:  T-Rex tenses
0.00%:  T-Rex tenses up,
0.00%:  T-Rex (punchline): no shame!
0.00%:  T-Rex clum
0.00%:  the T-Rex house ho
0.00%:  (T-Rex hates cl
0.00%:  T-Rex, on the c
0.00%:  T-Rex puts a mush
0.00%:  T-Rex comes upon an u
0.00%:  (T-Rex is sm
0.00%:  the T-Rex, con
0.00%:  T-Rex stomps on ch
0.00%:  T-Rex lines up,
0.00%:  (T-Rex is on the phone, much
0.00%:  T-Rex consumes a t
0.00%:  (T-Rex has to punch a
0.00%:  T-Rex on the scale!
0.00%:  T-Rex pens a note!
0.00%:  T-Rex has come upon on
0.00%:  T-Rex (punchline): Oh man, one
0.00%:  T-Rex loses out on cheap,
0.00%:  T-Rex stops can
0.00%:  the T-Rex phones him!
0.00%:  T-Rex, upon mention
0.00%:  T-Rex at his school
0.00%:  T-Rex pushes a man on the
0.00%:  T-Rex has put on a monocle so
0.00%:  T-Rex on mountain!
0.00%:  the T-Rex is a mean
0.00%:  T-Rex helps a man to
0.00%:  the T-Rex has human
0.00%:  T-Rex places a 
0.00%:  (T-Rex alone, not
0.00%:  T-Rex has to punch me
0.00%:  T-Rex has some lunch out
0.00%:  the T-Rex has social
0.00%:  T-Rex has no ep
0.00%:  (T-Rex has stom
0.00%:  T-Rex spins to
0.00%:  T-Rex posts,
0.00%:  -ups
0.00%:  the T-Rex clap!
0.00%:  (heim
0.00%:  T-Rex has no lines
0.00%:  T-Rex has some lunch then
0.00%:  T-Rex is at home, house on
0.00%:  T-Rex notices some po
0.00%:  T-Rex splits!
0.00%:  T-Rex chooses a name!
0.00%:  T-Rex puts his hum
0.00%:  T-Rex spots,
0.00%:  the T-Rex has upon close
0.00%:  the T-Rex house, a soon
0.00%:  T-Rex (too
0.00%:  T-Rex has his noon nap
0.00%:  T-Rex loses a match in
0.00%:  the hass
0.00%:  T-Rex places an on
0.00%:  the T-Rex hoe
0.00%:  T-Rex (on the phone): oh man
0.00%:  T-Rex at home as
0.00%:  the T-Rex up,
0.00%:  T-Rex punches humans!
0.00%:  T-Rex phones an online
0.00%:  the T-Rex canon is up
0.00%:  the T-Rex chapel,
0.00%:  T-Rex, his close
0.00%:  T-Rex pushes a man,
0.00%:  T-Rex moons upon his
0.00%:  the T-Rex punches a som
0.00%:  (T-Rex is on a lunch
0.00%:  the T-Rex phone class
0.00%:  T-Rex listens up,
0.00%:  T-Rex has too much help
0.00%:  the T-Rex smash!
0.00%:  T-Rex has eaten so much un
0.00%:  T-Rex punches a motion
0.00%:  T-Rex notices a su
0.00%:  the T-Rex has so much hope in
0.00%:  the T-Rex machine on
0.00%:  T-Rex is not such an
0.00%:  T-Rex chops into a
0.00%:  the T-Rex has no such plan
0.00%:  (t-Rex sno
0.00%:  T-Rex sets up a che
0.00%:  the T-Rex nap!
0.00%:  T-Rex is one hot
0.00%:  T-Rex meets his lunch
0.00%:  T-Rex smiles, a
0.00%:  T-Rex punches a man, so
0.00%:  the T-Rex house on h
0.00%:  T-Rex sees at
0.00%:  T-Rex is ham
0.00%:  the T-Rex couples is
0.00%:  T-Rex alone in a house!
0.00%:  T-Rex has lunch, naps on
0.00%:  (T-Rex counts sheep,
0.00%:  T-Rex puts on a clean,
0.00%:  T-Rex has some lunch, e
0.00%:  T-Rex (punchline): Boo hoo, the sun has
0.00%:  T-Rex punches a hole in an un
0.00%:  T-Rex on om
0.00%:  T-Rex on a class
0.00%:  T-Rex, the sinc
0.00%:  the T-Rex monocle ho
0.00%:  T-Rex has a nice home
0.00%:  T-Rex opens his home!
0.00%:  T-Rex has no pants on,
0.00%:  T-Rex pushes a h
0.00%:  T-Rex steps on onion
0.00%:  T-Rex punches out a mean
0.00%:  T-Rex is out pun
0.00%:  T-Rex on a month
0.00%:  T-Rex is a so
0.00%:  T-Rex puts on 
0.00%:  the T-Rex house, a map on
0.00%:  T-Rex is entom
0.00%:  (T-Rex opens a can
0.00%:  T-Rex punches a lone
0.00%:  a sunset, T-Rex on phone
0.00%:  T-Rex punches l
0.00%:  T-Rex, oh so
0.00%:  the T-Rex has a lous
0.00%:  T-Rex on the p
0.00%:  the T-Rex is mon
0.00%:  the T-Rex is monopol
0.00%:  the T-Rex is monoc
0.00%:  T-Rex touches up an
0.00%:  T-Rex meets soon
0.00%:  T-Rex, alone one
0.00%:  the T-Rex is shame
0.00%:  T-Rex on ice!
0.00%:  T-Rex has not he
0.00%:  T-Rex has eaten sup
0.00%:  the T-Rex house, OB
0.00%:  T-Rex punches out one,
0.00%:  the T-Rex noo
0.00%:  T-Rex is cos
0.00%:  T-Rex cannot open a
0.00%:  T-Rex sat up
0.00%:  T-Rex alone, phot
0.00%:  T-Rex places this on
0.00%:  -ste
0.00%:  T-Rex has a most
0.00%:  T-Rex has to punch a m
0.00%:  the T-Rex in one
0.00%:  the T-Rex alone, p
0.00%:  the T-Rex chump has
0.00%:  T-Rex punches in sun
0.00%:  T-Rex has come upon a su
0.00%:  T-Rex has uncool
0.00%:  T-Rex notices un
0.00%:  T-Rex comes upon an ent
0.00%:  T-Rex pals continue
0.00%:  a sunset! no T
0.00%:  a sunset! no T-Rex,
0.00%:  a sunset! no T-Rex! no
0.00%:  a sunset! no T-Rex, no
0.00%:  T-Rex comes upon su
0.00%:  T-Rex (on the phone): no
0.00%:  T-Rex meets so
0.00%:  - meet
0.00%:  T-Rex plots a scheme
0.00%:  the T-Rex house, on an uns
0.00%:  T-Rex chats alone on his phone,
0.00%:  T-Rex punches a man, not
0.00%:  T-Rex plans to, um
0.00%:  the T-Rex house! moon
0.00%:  T-Rex eats a m
0.00%:  (T-Rex has eaten his
0.00%:  the T-Rex no lon
0.00%:  T-Rex comes upon sh
0.00%:  T-Rex is at home alone, sc
0.00%:  T-Rex chooses option one (
0.00%:  T-Rex oh no oh
0.00%:  T-Rex oh no oh no oh
0.00%:  T-Rex on the phone (com
0.00%:  T-Rex is a s
0.00%:  T-Rex alone at home, c
0.00%:  T-Rex has a hotel
0.00%:  (T-Rex is at home, sun
0.00%:  T-Rex is home alone, cups
0.00%:  the T-Rex is up close,
0.00%:  T-Rex is calm on
0.00%:  the T-Rex has a sinc
0.00%:  -mot
0.00%:  T-Rex has one hope
0.00%:  (T-Rex has em
0.00%:  -html
0.00%:  T-Rex the chump los
0.00%:  T-Rex has to announce,
0.00%:  T-Rex (punchline): a sun
0.00%:  T-Rex has soon come
0.00%:  T-Rex is so calm
0.00%:  T-Rex, has no
0.00%:  T-Rex is alone, con
0.00%:  a phil
0.00%:  T-Rex the hop
0.00%:  the T-Rex couple snoo
0.00%:  T-Rex is home alone, uncouth
0.00%:  T-Rex puts on a mo
0.00%:  T-Rex choses one path
0.00%:  (T-Rex in the house
0.00%:  the T-Rex hunch,
0.00%:  T-Rex has sem
0.00%:  T-Rex on a t
0.00%:  T-Rex, poles
0.00%:  T-Rex on the phone, man
0.00%:  the T-Rex clauses
0.00%:  T-Rex has too much ins
0.00%:  T-Rex has impol
0.00%:  T-Rex comes to alone on
0.00%:  T-Rex home alone, hon
0.00%:  T-Rex choses one plan
0.00%:  T-Rex causes them!
0.00%:  T-Rex has sent no
0.00%:  the T-Rex pun house
0.00%:  T-Rex, the sol
0.00%:  a sunset, T-Rex p
0.00%:  (T-Rex punches too
0.00%:  T-Rex (punchline): Oh, ho
0.00%:  T-Rex puts in such
0.00%:  T-Rex is on the moon on
0.00%:  the T-Rex punches a sol
0.00%:  T-Rex alone, upon a
0.00%:  T-Rex leaps out an
0.00%:  T-Rex ate his lunch
0.00%:  T-Rex plans to sc
0.00%:  (T-Rex caption
0.00%:  (T-Rex on the phones
0.00%:  the T-Rex is on a sp
0.00%:  (T-Rex online
0.00%:  T-Rex pushes too much on an
0.00%:  T-Rex chooses to pun on
0.00%:  T-Rex in some sun
0.00%:  T-Rex, claims
0.00%:  the T-Rex has a cou
0.00%:  T-Rex punches one out on a
0.00%:  (T-Rex ate
0.00%:  T-Rex alone, chop
0.00%:  -snap
0.00%:  (t-Rex sle
0.00%:  T-Rex punches one man too
0.00%:  T-Rex at home alone, sh
0.00%:  (T-Rex lines
0.00%:  (T-Rex lines up the
0.00%:  T-Rex pushes me out
0.00%:  the T-Rex cues up a
0.00%:  -Bal
0.00%:  T-Rex, mal
0.00%:  T-Rex hopes no actual
0.00%:  T-Rex home alone, po
0.00%:  the T-Rex has men
0.00%:  T-Rex close up on mouth,
0.00%:  T-Rex has his man
0.00%:  T-Rex, came upon
0.00%:  T-Rex close the
0.00%:  T-Rex has a house phone!
0.00%:  T-Rex is alone, he has
0.00%:  T-Rex uses an o
0.00%:  T-Rex phones a hotel,
0.00%:  (T-Rex as his
0.00%:  T-Rex has come upon un
0.00%:  T-Rex alone, on the sh
0.00%:  -onto
0.00%:  T-Rex, a touch
0.00%:  T-Rex uses a photo on
0.00%:  T-Rex hopes he can soon
0.00%:  T-Rex on the phone (a
0.00%:  the T-Rex couple a
0.00%:  the T-Rex (punchline): Oh man!
0.00%:  T-Rex, a man in
0.00%:  T-Rex is at home, soul
0.00%:  T-Rex is on a panel
0.00%:  the T-Rex pals h
0.00%:  - hom
0.00%:  the T-Rex smiles up
0.00%:  T-Rex to us
0.00%:  T-Rex acts on his non
0.00%:  T-Rex slips at home
0.00%:  T-Rex is up on a B
0.00%:  T-Rex spots a moon
0.00%:  T-Rex, cas
0.00%:  the T-Rex can sne
0.00%:  T-Rex moons up on the
0.00%:  T-Rex opens mail,
0.00%:  T-Rex is home, he has
0.00%:  T-Rex has a mop
0.00%:  the T-Rex house, china
0.00%:  (este
0.00%:  T-Rex leaps a ch
0.00%:  T-Rex has too much soul,
0.00%:  the T-Rex soul,
0.00%:  the T-Rex pus
0.00%:  T-Rex consumes he
0.00%:  T-Rex not so much alone,
0.00%:  the T-Rex email!
0.00%:  a sunset! an open
0.00%:  the T-Rex has come B
0.00%:  T-Rex uses a pun
0.00%:  T-Rex uses a the
0.00%:  (T-Rex sits home alone):
0.00%:  T-Rex is ep
0.00%:  T-Rex chooses to in
0.00%:  T-Rex has lost on
0.00%:  -loc
0.00%:  T-Rex has chosen to, um
0.00%:  T-Rex chases an un
0.00%:  T-Rex has to lie,
0.00%:  T-Rex see photos
0.00%:  the T-Rex spies on an
0.00%:  T-Rex (punchline): hon
0.00%:  the T-Rex has such un
0.00%:  T-Rex has sle
0.00%:  (T-Rex meets an
0.00%:  T-Rex has some open
0.00%:  the T-Rex cans his
0.00%:  the T-Rex couple, an
0.00%:  T-Rex alone, at su
0.00%:  the T-Rex house unc
0.00%:  T-Rex (punchline): Oh, h
0.00%:  T-Rex is so late,
0.00%:  T-Rex to no one
0.00%:  T-Rex (punchline): Oh, shoot me
0.00%:  T-Rex is close on
0.00%:  (punchline, no T
0.00%:  T-Rex chases up on
0.00%:  T-Rex eats a lemon,
0.00%:  a sunset! a couple,
0.00%:  (T-Rex, cl
0.00%:  the T-Rex has mol
0.00%:  the T-Rex opens a school,
0.00%:  T-Rex has let his c
0.00%:  T-Rex has shel
0.00%:  T-Rex is on the moon, an
0.00%:  the T-Rex as he has
0.00%:  T-Rex punches salt!
0.00%:  T-Rex has one on one
0.00%:  T-Rex (punchline): Oh shoot, oh
0.00%:  the T-Rex is chosen!
0.00%:  T-Rex, in place
0.00%:  T-Rex, not as
0.00%:  the T-Rex school in
0.00%:  T-Rex in sunset!
0.00%:  T-Rex pauses on a h
0.00%:  T-Rex consumes ton
0.00%:  T-Rex, up on a house
0.00%:  T-Rex on the spaces
0.00%:  a tension
0.00%:  T-Rex pushes a mountain!
0.00%:  T-Rex has spun one
0.00%:  T-Rex clips someone
0.00%:  T-Rex (sne
0.00%:  the T-Rex moon plan!
0.00%:  T-Rex uses an on
0.00%:  T-Rex ate some sun
0.00%:  the T-Rex poem, as
0.00%:  the T-Rex claims a sun
0.00%:  T-Rex hits on one
0.00%:  T-Rex no one
0.00%:  the T-Rex clash!
0.00%:  the T-Rex is ap
0.00%:  T-Rex is home one sun
0.00%:  the T-Rex has plain
0.00%:  T-Rex has his col
0.00%:  (T-Rex soon comes
0.00%:  T-Rex punches some in
0.00%:  T-Rex spies a cute
0.00%:  T-Rex sets up a machine
0.00%:  (T-Rex solem
0.00%:  the T-Rex no punches,
0.00%:  T-Rex cops to an un
0.00%:  at phone
0.00%:  a see
0.00%:  T-Rex has an open mic
0.00%:  T-Rex up on mount
0.00%:  T-Rex comes upon it!
0.00%:  T-Rex has this on
0.00%:  T-Rex shoots a clone
0.00%:  T-Rex at home alone, s
0.00%:  T-Rex punches me so
0.00%:  T-Rex has no such option
0.00%:  T-Rex has snoo
0.00%:  T-Rex sets up a chain
0.00%:  the pil
0.00%:  T-Rex homes up to
0.00%:  (T-Rex consoles a
0.00%:  T-Rex has plans on the
0.00%:  T-Rex is home alone s
0.00%:  T-Rex comes on so
0.00%:  the T-Rex oh no oh no!
0.00%:  (T-Rex is sc
0.00%:  T-Rex puts on some un
0.00%:  T-Rex loses out on 
0.00%:  the T-Rex house, lamps on!
0.00%:  the T-Rex has upon his
0.00%:  the T-Rex, some sun
0.00%:  the T-Rex plan is,
0.00%:  T-Rex in non
0.00%:  the T-Rex house man
0.00%:  T-Rex punches out an e
0.00%:  - hence
0.00%:  T-Rex comes upon an anth
0.00%:  T-Rex has this cool
0.00%:  T-Rex has lunch meat on
0.00%:  a na
0.00%:  T-Rex is unco
0.00%:  T-Rex on the moon, sne
0.00%:  the T-Rex plan mess
0.00%:  T-Rex plans an un
0.00%:  (T-Rex in a sunset,
0.00%:  -exp
0.00%:  T-Rex chooses to lean
0.00%:  T-Rex is out house
0.00%:  T-Rex as a couple
0.00%:  T-Rex is at home soon
0.00%:  T-Rex comes in upon the
0.00%:  T-Rex has ampl
0.00%:  T-Rex home alone so
0.00%:  a least
0.00%:  T-Rex in house
0.00%:  the T-Rex also sp
0.00%:  the T-Rex has no hope, no
0.00%:  T-Rex is stolen,
0.00%:  T-Rex chats in
0.00%:  T-Rex puts on a monocle (
0.00%:  (lee
0.00%:  the T-Rex hopes sinc
0.00%:  T-Rex helps not one,
0.00%:  T-Rex punches out non
0.00%:  T-Rex chooses to po
0.00%:  T-Rex came this
0.00%:  the T-Rex house is unc
0.00%:  T-Rex is so hop
0.00%:  T-Rex (punchline): nom
0.00%:  (T-Rex is the one punch
0.00%:  the T-Rex has no con
0.00%:  a sunset! (no
0.00%:  T-Rex has a phone, so
0.00%:  T-Rex on the h
0.00%:  the T-Rex plan has come un
0.00%:  T-Rex stomps a hole in a
0.00%:  the T-Rex compose,
0.00%:  T-Rex, up on a sun
0.00%:  (T-Rex at home, alone on
0.00%:  the T-Rex is alone, a
0.00%:  (T-Rex pushes a man
0.00%:  T-Rex came, he
0.00%:  the T-Rex has chump
0.00%:  T-Rex puns on his
0.00%:  T-Rex puts coins on
0.00%:  T-Rex has salt upon
0.00%:  T-Rex has the same lunch,
0.00%:  T-Rex close up on the moon!
0.00%:  T-Rex, alone in a house!
0.00%:  T-Rex punches out a ho
0.00%:  T-Rex has come alone,
0.00%:  the T-Rex mouse is
0.00%:  (T-Rex is such an
0.00%:  the T-Rex come up on
0.00%:  T-Rex alone at home, sh
0.00%:  T-Rex has one photo
0.00%:  T-Rex spent so much on
0.00%:  T-Rex has sent 
0.00%:  T-Rex stops c
0.00%:  T-Rex (punchline): Oh no, the sun!
0.00%:  T-Rex on the moon, sh
0.00%:  the T-Rex house cos
0.00%:  T-Rex, ent
0.00%:  (T-Rex pole
0.00%:  the T-Rex claims, upon
0.00%:  T-Rex punches s
0.00%:  T-Rex opens his lunch on
0.00%:  the T-Rex slap on
0.00%:  the T-Rex machines!
0.00%:  the T-Rex pools
0.00%:  (T-Rex is st
0.00%:  T-Rex has to clone
0.00%:  T-Rex has one non
0.00%:  T-Rex has to clean up some,
0.00%:  T-Rex is on a soap
0.00%:  T-Rex, in p
0.00%:  the T-Rex nails home
0.00%:  T-Rex uses the human
0.00%:  the T-Rex moon has colon
0.00%:  T-Rex naps until
0.00%:  T-Rex uses a mental
0.00%:  T-Rex, alone at home in
0.00%:  (T-Rex has chosen one
0.00%:  T-Rex has months
0.00%:  T-Rex (not so
0.00%:  T-Rex (not so much
0.00%:  T-Rex (not so much):
0.00%:  T-Rex seen ch
0.00%:  T-Rex sent up
0.00%:  T-Rex counts on no
0.00%:  T-Rex chooses to moon
0.00%:  the T-Rex plus some
0.00%:  T-Rex has home phone
0.00%:  T-Rex steps on a hole,
0.00%:  T-Rex clips an
0.00%:  T-Rex helps out a ch
0.00%:  the hi
0.00%:  -season
0.00%:  the T-Rex has come upon on
0.00%:  T-Rex, innocent as
0.00%:  T-Rex has set up home on
0.00%:  T-Rex means the sun
0.00%:  the T-Rex home pun
0.00%:  T-Rex noises
0.00%:  the T-Rex (sl
0.00%:  the T-Rex couple has B
0.00%:  T-Rex comes upon a note,
0.00%:  T-Rex is on a non
0.00%:  T-Rex not one
0.00%:  T-Rex (punchline): so un
0.00%:  T-Rex notices a house up
0.00%:  the T-Rex is nose
0.00%:  the T-Rex (man
0.00%:  T-Rex puts his no
0.00%:  T-Rex, a photo
0.00%:  (T-Rex, at home alone
0.00%:  T-Rex is not so much alone on
0.00%:  T-Rex has his mouth open, no
0.00%:  T-Rex sits on a lone
0.00%:  the T-Rex house, chump
