spend another decade making it so it can say other stuff too, okay?
41.67%:  go
1.04%:  keep on doing that,
2.53%:  keep on doing that, okay
1.04%:  keep on doing that for another decade, kay
0.98%:  see you pick that
0.98%:  see if you can do as good as
0.98%:  spend another ten years doing that stuff
0.98%:  go feed the
0.98%:  find out if this makes
0.98%:  spend the rest of today making out and
0.98%:  go find out if he can do
0.98%:  kiss and make out and then go to space
0.98%:  take this out for a spin?
0.98%:  get him a coffee
0.98%:  get him to say our
0.98%:  go take him out for a test spin and see
0.97%:  go into the past and make another one,
0.97%:  send him off into space to do great
0.97%:  turn him off and go inside another
0.97%:  go take him for another spin, yes
0.97%:  go take him out for a soda and see
0.97%:  go kick the crap out of another nation
0.97%:  go kick the crap out of some insane
0.97%:  take him apart, and see
0.97%:  take it out for a spin on
0.97%:  get him out to
0.97%:  get it
0.97%:  go for a spin, you
0.97%:  set him on fire, and
0.97%:  not spend another year on this,
0.97%:  go find another friend that doesn
0.97%:  turn him off and kick
0.97%:  add that
3.09%:  add that to our dating
0.97%:  go take him for a dance,
0.97%:  take it out for a spin and get some nachos
0.97%:  take a trip
1.92%:  take a trip to the moon
0.97%:  go take him out to a fancy dinner,
0.97%:  take him out for another spin today and
0.97%:  go take him out for a spin today?
0.97%:  take it for a spin and see if that
0.97%:  go kick the crap out of some sense,
0.97%:  thank
0.97%:  go take him out to party
0.97%:  see you mess
1.05%:  see you mess that one
0.97%:  go take him to a coffee
0.97%:  get drinks
0.97%:  send him out for another
0.97%:  go test him out today
0.97%:  make out, friend
0.97%:  go inside him and eat
0.96%:  raise
0.96%:  go take him for a dance, okay
0.96%:  go out to eat and
0.96%:  make it so he speaks
0.96%:  go feed him a
0.96%:  not spend another minute of that
0.96%:  hang out soon,
0.96%:  modify his
0.96%:  make another one that says it faster
0.96%:  go spend more
0.96%:  take him for a spin again
0.96%:  go inside and touch some
0.96%:  take a ride
0.96%:  turn it off and go inside,
1.85%:  turn it off and go inside, okay
0.96%:  take some photos for
0.96%:  go take him to a strip
0.96%:  not spend another day making sure
1.22%:  not spend another day making sure that
0.96%:  kiss and make it say
1.54%:  kiss and make it say that
0.96%:  keep doing that for another decade so
0.96%:  see if your
0.96%:  do more stuff
0.96%:  get another friend and make it
0.96%:  see you make that into a gross,
0.96%:  not spend another second of this gift
0.96%:  make out inside
0.96%:  keep this secret
0.96%:  go feed him steaks
0.95%:  hope our
0.95%:  go take him to a party, and
0.95%:  get rid of the times
0.95%:  go take him out for a test spin, and
0.95%:  go kick some ass and find out if there
0.95%:  spend another decade or so making it say stuff
1.74%:  spend another decade or so making it say stuff that
0.95%:  kiss and then
0.95%:  stop trying
4.71%:  stop trying to make
3.09%:  stop trying to make this
1.70%:  stop trying to make sense
5.57%:  stop trying to make sense of this
4.79%:  stop trying to make sense of this and
3.20%:  stop trying to make sense of this,
1.24%:  stop trying to define
1.20%:  stop trying to make sense of it
1.20%:  stop trying to make sense of it and
0.95%:  stop trying to make this sound
0.95%:  get some action
2.04%:  get some action shots
0.95%:  send him out for another spin
0.95%:  get another friend to make
0.95%:  go feed him and take
0.95%:  go to the park and make out in
0.95%:  assume
0.95%:  go kick some ass today, dude
0.95%:  keep doing this for another decade, m
0.95%:  see if you can do as good as that, mister
0.95%:  say that out
0.95%:  keep trying
3.23%:  keep trying to make this
2.33%:  keep trying to make that
0.96%:  keep trying to make it
0.95%:  not spend another decade making this okay
0.95%:  not spend another minute of this great day
0.95%:  find out if he needs
0.95%:  see if you can top that one, mister
0.95%:  go inside and take him
5.96%:  go inside and take him apart to
5.02%:  go inside and take him apart,
3.82%:  go inside and take him apart, okay
2.11%:  go inside and take him for
1.72%:  go inside and take him apart so
1.45%:  go inside and take him apart and
0.95%:  get out there and kick ass,
0.95%:  take him out today and see
0.95%:  spend another decade making his torso out of stone
0.95%:  push it
0.94%:  hang out some day
0.94%:  go to the park today and take
0.94%:  hang out more so
0.94%:  go take him to see
0.94%:  shake our fists and
0.94%:  take it apart and make another one, using
0.94%:  send him off to space and
0.94%:  not take him apart yet
0.94%:  not make another one of those, guys
0.94%:  spend another ten years adding stuff to make
0.94%:  make it stop
39.90%:  make it stop saying that,
38.90%:  make it stop saying that and
10.25%:  make it stop saying that second
7.66%:  make it stop saying that for
75.19%:  make it stop saying that for a second and
65.66%:  make it stop saying that for a second,
24.47%:  make it stop saying that for a second, and
16.82%:  make it stop saying that for a second and see
7.39%:  make it stop saying that, and
7.16%:  make it stop saying that for a second and do
6.49%:  make it stop saying that for a second, so
5.38%:  make it stop saying that for a second, and see
4.78%:  make it stop saying that for a second so
4.50%:  make it stop saying that for a second and feed
4.20%:  make it stop saying that and do
3.98%:  make it stop saying that stuff
3.80%:  make it stop saying that for a second and focus
3.80%:  make it stop saying that for a second, dude
3.64%:  make it stop saying that so
9.54%:  make it stop saying that so often
4.23%:  make it stop saying that so often,
3.36%:  make it stop saying that, dude
3.24%:  make it stop saying that for a second?
3.04%:  make it stop saying that and focus
2.94%:  make it stop saying the
5.94%:  make it stop saying the second
2.45%:  make it stop saying that one
2.45%:  make it stop saying that for a sec
2.44%:  make it stop saying that?
2.08%:  make it stop saying that for a second and do another
1.98%:  make it stop saying that and do stuff
1.93%:  make it stop saying that after
1.90%:  make it stop saying that for a second and feed it another
1.82%:  make it stop saying that for a sec and
1.81%:  make it stop saying that stuff,
1.71%:  make it stop saying that for a second, and focus
1.67%:  make it stop saying that for a second and use
1.55%:  make it stop saying that for a second, so it
1.49%:  make it stop saying that for a second to
1.45%:  make it stop saying that for a second, it
1.37%:  make it stop saying stuff
1.26%:  make it stop saying that for a second, can
1.19%:  make it stop saying that for a second, since
1.11%:  make it stop saying that and add
1.11%:  make it stop saying that, dudes
1.07%:  make it stop saying those
1.06%:  make it stop saying that and see
1.05%:  make it stop saying this
1.02%:  make it stop saying stuff and
1.02%:  make it stop saying that and add another
1.01%:  make it stop saying that for a second, cause
0.96%:  make it stop saying that for a sec,
0.94%:  get rid of this stupid
0.94%:  spend another decade on making
0.99%:  spend another decade on making that
0.94%:  keep on doing this for another decade, man
0.94%:  take him out for a spin and kiss
0.94%:  turn it off and take a nap,
0.94%:  kiss the
0.94%:  go inside of him,
0.94%:  kiss and make things
0.94%:  take that to
0.94%:  keep doing this for another one
0.94%:  make sure he speaks
0.94%:  spend another ten years making out
0.94%:  take him apart so
0.94%:  go take him for a test spin today,
0.94%:  take a second to notice
0.93%:  find out if the
0.93%:  not take him out for another decade,
0.93%:  get out of here fast,
0.93%:  go out and teach
0.93%:  go ride that
0.93%:  take some photos and send
0.93%:  make sure that saying
0.93%:  take apart his
0.93%:  keep saying that for another decade of
0.93%:  go kick the crap out of another one
0.93%:  charge
0.93%:  find out if he can say another
0.93%:  update his code to make
0.93%:  go kick some ass in his
0.93%:  get some coffee,
0.93%:  send him off into space, to
0.93%:  go kick this
0.93%:  go pet him and
0.93%:  go home and take
0.96%:  go home and take a nap,
1.30%:  go home and take a nap, okay
0.93%:  go kick some ass and find out if he can stop
0.93%:  make it shoot
0.93%:  make sure to keep adding to that
0.93%:  go take him out for a spin and eat
0.93%:  make it stop saying that stuff and
0.93%:  see if this
0.93%:  put that on
0.92%:  see if you can keep
1.78%:  see if you can keep that
0.92%:  see that stupid
0.92%:  go take him out to eat, and
0.92%:  spend another decade making it say other stuff as
0.92%:  take this to
0.92%:  turn him off and get another one,
0.92%:  turn it off and see
0.92%:  go take care of this
0.92%:  get him to say it to
0.92%:  send him into outer space, to find
0.92%:  make this a
0.92%:  feed him to another
0.92%:  not make another one for
0.92%:  go to the park and test
0.92%:  go inside and do
2.99%:  go inside and do some stuff
1.15%:  go inside and do some stuff to
0.92%:  go take him out for a spin, and if
0.92%:  go take him out for test
0.92%:  take him out for a spin today, see
0.92%:  take care of it
0.92%:  go into the forest and take
0.92%:  go inside and take off his pants to make
0.92%:  go find out if that makes
1.70%:  go find out if that makes sense
0.92%:  take some photos of us and
0.92%:  take him on a tour
0.92%:  go do some stuff in the park,
1.01%:  go do some stuff in the park, okay
0.92%:  take him for a spin and find
0.92%:  spend another decade making his face out
0.92%:  ask him to do a dance
0.92%:  get some snacks,
1.11%:  get some snacks, okay
0.92%:  go inside and patch
0.92%:  take it out and
0.91%:  press that
0.91%:  take him for a spin, if
3.67%:  take him for a spin, if you don
0.91%:  see if you can pick a more
0.91%:  take him for a spin, see
0.91%:  take him out for a spin in a
0.91%:  go take him out for a spin, kay
0.91%:  go take him for a spin and say
0.91%:  hang out today and keep
0.91%:  go feed him steak
0.91%:  go take him for an
0.91%:  send him out to get
0.91%:  go take a ride on
0.91%:  send him into space and get
0.91%:  press his face into some
2.82%:  press his face into some cake
0.99%:  press his face into some cake and
0.91%:  not forget to add
0.91%:  go inside and take him apart, so
0.91%:  not do that one
1.93%:  not do that one again,
0.91%:  do it again and
1.51%:  do it again and make
0.91%:  go into the attic and make
0.91%:  send him to space so
0.91%:  see you do that one
0.91%:  spend another decade trying to make that suck
0.91%:  go inside and take apart
0.90%:  go take him out for a steak and
0.90%:  take a trip inside
0.90%:  go into the forest and make another
0.90%:  take this out for a spin some day
0.90%:  go test him out and
0.90%:  see if this makes
0.90%:  spend another ten years making it do stuff that
0.90%:  go find out if he says
0.90%:  not spend another decade on that, my
0.90%:  send him to outer space to say it to
0.90%:  head out for some snacks
0.90%:  go inside and do stuff
0.90%:  go inside him and ask
0.90%:  kiss and make out, and then forget
0.90%:  spend another ten years,
1.46%:  spend another ten years, making
0.90%:  go take him out and see if
0.90%:  hang out and kick some ass today
0.90%:  see if you can take
1.79%:  see if you can take that to
0.90%:  use this
0.90%:  go inside and take some
3.89%:  go inside and take some photos
1.12%:  go inside and take some photos of it
0.90%:  not spend too
1.46%:  not spend too much of
0.90%:  spend another ten years adding some
0.90%:  go shoot some dudes in
0.90%:  spend another decade making another
0.90%:  spend another decade making that our
0.90%:  not forget that a
0.90%:  take a second to ponder
1.10%:  take a second to ponder that,
3.27%:  take a second to ponder that, okay
0.90%:  take it out for a spin this
0.90%:  find out if that means
0.90%:  sit him on
0.90%:  take care of the
0.90%:  make sure to teach
0.90%:  go find out if he needs some
0.90%:  go inside and turn off
1.21%:  go inside and turn off the
0.90%:  get some snacks and then
0.90%:  say it
0.90%:  ask him another
0.89%:  not forget to take out
0.89%:  not forget that some
0.89%:  kiss and make that
0.89%:  go to the park today and see
0.89%:  feed him a steak
0.89%:  get him an
1.39%:  get him an update
0.89%:  send him to outer space and take another
0.89%:  get him to say it for us,
0.89%:  go make this
0.89%:  not spend another second out
1.17%:  not spend another second out of this
0.89%:  put a
0.89%:  spend another decade making that into
0.89%:  go take him out for snacks today
0.89%:  go inside him and stop
0.89%:  go to the park and feed it some candy
0.89%:  go on a date and make out,
0.89%:  send him out into space so
0.89%:  sit on his
0.96%:  sit on his face
0.89%:  go shoot some space dudes
0.89%:  spend another ten years making that idiot do
1.79%:  spend another ten years making that idiot do stuff
0.89%:  test his
0.89%:  not forget to add that
0.89%:  see you take that for
0.89%:  say that counts for
0.89%:  go ask him for
0.89%:  use him to get
0.89%:  spend another decade taking care of him?
0.89%:  see you top that, idiot
0.89%:  spend another decade making it say that too
0.89%:  not do this again, dudes
0.89%:  take a second to admire that design
0.89%:  take some credit
0.89%:  not spend another second of our sad
0.89%:  take him into
1.50%:  take him into space
0.99%:  take him into space and
0.89%:  go to the store and find
1.27%:  go to the store and find some
0.89%:  go turn him off and see
0.89%:  not speak
4.38%:  not speak of this
13.42%:  not speak of this again,
2.92%:  not speak of him
4.66%:  not speak of him again,
3.73%:  not speak of him again for
6.82%:  not speak of him again for another
17.08%:  not speak of him again for another decade
7.11%:  not speak of him again for another decade,
5.30%:  not speak of him again for another ten
2.21%:  not speak of this again for
6.18%:  not speak of this again for another
25.25%:  not speak of this again for another decade
12.72%:  not speak of this again for another decade,
7.22%:  not speak of this again for another ten
2.17%:  not speak of him for
6.24%:  not speak of him for another
17.71%:  not speak of him for another decade
7.40%:  not speak of him for another ten
6.87%:  not speak of him for another decade,
2.90%:  not speak of him for another decade and
2.05%:  not speak of that
3.42%:  not speak of that again
1.75%:  not speak of him again for at
1.74%:  not speak of him again today
1.63%:  not speak of our
1.59%:  not speak of him for another decade at
1.50%:  not speak of this again for another decade and
1.47%:  not speak of this again for another decade, my
1.46%:  not speak of that again,
1.40%:  not speak of this again for at
1.27%:  not speak of it
3.67%:  not speak of it again,
2.31%:  not speak of it again for
6.14%:  not speak of it again for another
26.15%:  not speak of it again for another decade
9.62%:  not speak of it again for another decade,
5.87%:  not speak of it again for another ten
2.66%:  not speak of it again for another decade and
1.27%:  not speak of this again for another decade, kay
1.18%:  not speak of him for another decade, and
1.14%:  not speak of him again for another decade and
1.05%:  not speak of it again for the
1.04%:  not speak of him again for another decade at
1.03%:  not speak of this again for another decade at
1.00%:  not speak of this again, my
0.99%:  not speak of it again for at
0.98%:  not speak of it again for another decade at
0.92%:  not speak of it again for another decade, my
0.89%:  take him for a spin, since
0.89%:  stop saying this
0.89%:  not take him apart to see if
0.89%:  send him out into space to do
0.89%:  take it out for a spin and then go to
0.88%:  send him into outer space, as
1.50%:  send him into outer space, as a gift
0.99%:  send him into outer space, as a gift to another
0.88%:  keep adding more stuff
1.09%:  keep adding more stuff to his
0.88%:  take a trip to the moon and
0.88%:  take him out for soda today
0.88%:  take him out for a spin, and feed
0.88%:  go kick some ass and stuff
0.88%:  make out and then go for
0.88%:  go make it
1.19%:  go make it say
1.56%:  go make it say that
0.88%:  not spend another decade on this sucker, kay
0.88%:  take him out today,
0.88%:  turn him off and take a good
0.88%:  turn him on and see if it
0.88%:  take that out for a spin, say
0.88%:  set him on fire and put
0.88%:  keep doing stuff that
1.07%:  keep doing stuff that makes it
0.88%:  go into the past and make our
0.88%:  spend another decade making it so that it
0.88%:  spend another ten years on this, dude
0.88%:  shake some
0.88%:  take it for a spin and make
0.88%:  see you pick a more
0.88%:  go check on it
0.88%:  take that out for a spin, my good
0.88%:  kick him into space and say
0.88%:  keep adding more stuff to this
0.88%:  do the
0.88%:  take it apart and make another one?
0.88%:  send him to outer space, since
0.88%:  keep doing this so
0.88%:  kiss and make it stop saying that for once,
0.88%:  see if you can top that, secret
0.88%:  not spend another decade making his torso out
0.87%:  spend another decade making this fucker say
0.87%:  send him out to space,
0.97%:  send him out to space, okay
0.87%:  go kick some other
0.87%:  take it out for another spin and see if he says
0.87%:  take him apart and stuff
0.87%:  go inside him and pet
0.87%:  spend another ten years on that, dudes
0.87%:  take him for a test spin, yes
0.87%:  take care of each
0.87%:  touch some
0.87%:  go inside of the
0.87%:  set him on fire and see
0.87%:  go kick some ass in this
0.87%:  kiss and make out as
0.87%:  go kick some arse
0.87%:  send him into space to greet another
0.87%:  go find some other
0.87%:  kick him across
0.87%:  keep on doing this for another decade, kay
0.87%:  not do that again for another
2.34%:  not do that again for another decade
0.87%:  go inside and take some photos for
0.87%:  keep saying that for another decade, at
0.87%:  go ride him, okay
0.87%:  put him on a stage and see
0.87%:  go into the forest and make out,
0.87%:  go take apart
0.87%:  go kick the crap out of it, man
0.87%:  see if you can get past this
0.87%:  send him into space to guard
0.87%:  see if that makes our
0.87%:  send him to go
0.87%:  take that out and
0.86%:  take it apart and make another,
0.86%:  not get rid of this one
0.86%:  set him to
3.99%:  set him to repeat
0.86%:  get him to do a
0.86%:  take care of him, dude
0.86%:  each
0.94%:  each take
0.86%:  kick the crap out of another
0.86%:  not take him apart today
0.86%:  go for another spin today
0.86%:  go kick some ass in our
0.86%:  send him into space as
1.55%:  send him into space as a gift
5.99%:  send him into space as a gift to another
3.59%:  send him into space as a gift to our
1.66%:  send him into space as a gift for
3.59%:  send him into space as a gift for another
0.86%:  keep making sure
2.66%:  keep making sure he stays
2.36%:  keep making sure he says
0.93%:  keep making sure that
0.91%:  keep making sure he says it
0.86%:  see you and
0.86%:  take that sucker on
2.79%:  take that sucker on a date
0.86%:  find out if he can make
0.86%:  not forget his
0.86%:  send him out for a spin,
1.01%:  send him out for a spin, okay
0.86%:  make sure to spend a good
0.86%:  ask him again
0.86%:  go make out in the forest,
0.86%:  keep adding stuff
2.55%:  keep adding stuff to him,
7.57%:  keep adding stuff to him, okay
1.11%:  keep adding stuff to him and
1.04%:  keep adding stuff to his
1.02%:  keep adding stuff to him so
0.86%:  dance around him to
0.86%:  go take care of him today
0.86%:  spend another decade or so making his
0.86%:  go into the forest and find another
0.86%:  go do some stuff to
0.86%:  not spend time
0.86%:  send him out into space for
0.86%:  press his face into a cake, okay
0.86%:  not get him
0.86%:  turn it off and go make
0.91%:  turn it off and go make another
0.86%:  not spend the rest of today
0.86%:  go into the forest and kick
0.97%:  go into the forest and kick some
0.91%:  go into the forest and kick some ass
0.86%:  spend another decade trying to make this a
0.86%:  go to his
0.86%:  see if that counts for
0.86%:  make it stop saying that for a second, and do
0.85%:  go out for a
0.85%:  go take him for another test spin today,
0.85%:  take it out for a spin in
0.85%:  take him out for a spin, says
0.85%:  kick the crap out of anyone
0.85%:  not forget the time
0.85%:  take this out for some
0.85%:  spend another ten years making his face out
0.92%:  spend another ten years making his face out of toast
0.85%:  not speak of him again today,
0.85%:  go take him to an
7.40%:  go take him to an arcade
4.82%:  go take him to an arcade and
1.06%:  go take him to an arcade,
0.85%:  go kick him around a
0.85%:  keep the
0.85%:  make it stop saying that for a second, dudes
0.85%:  do things today
0.85%:  not take him out for a test
0.85%:  take him out for food today
0.85%:  do this more
4.64%:  do this more often,
7.22%:  do this more often, okay
0.85%:  take this out for another
3.57%:  take this out for another spin, okay
0.85%:  take him out for a spin, ok
0.85%:  send him to outer space, as
1.63%:  send him to outer space, as a gift
0.85%:  turn him off and get to
0.85%:  go put him on a
0.85%:  go out and shoot
0.85%:  put him in a store and
0.85%:  not spend another day on this,
0.85%:  go kick some ass and party
0.85%:  dance around him, okay
0.85%:  take it out for a spin and make it
1.11%:  take it out for a spin and make it shoot
0.85%:  go kick the crap outta another
0.85%:  get him to repeat it
0.85%:  go take him out for soda and
0.85%:  kick him out
0.85%:  take care of him, and keep
0.85%:  turn it off and make
0.84%:  keep doing this for another decade, okay man
0.84%:  keep doing this stuff,
2.46%:  keep doing this stuff, okay
0.84%:  not take him apart and study
0.84%:  make out and forget the
0.84%:  go take him out for another dance
0.84%:  send him out to go
0.84%:  get out of this room and find another one,
0.84%:  take him on a date to see
0.84%:  see if you can top that one, frig
0.84%:  go party inside
0.84%:  take it out for spin
0.84%:  go into the forest and dance
0.84%:  ask him for
0.84%:  focus on making that friend
0.84%:  not take him apart to find out if
0.84%:  go make out inside the
0.84%:  get dinner
0.84%:  go take it for a spin today
0.84%:  take him out for snacks, and
0.84%:  test him out today
0.84%:  go ask him to say
0.84%:  take it out for a spin, my good
0.84%:  check it
0.99%:  check it out,
0.84%:  turn it off,
1.54%:  turn it off, okay
0.84%:  take him out for a skate
0.84%:  go ask him out
0.92%:  go ask him out for
0.84%:  go take him out for a snack and see
0.84%:  get out of this room and into
2.63%:  get out of this room and into another
0.84%:  go take him for a spin, kay
0.84%:  spend another ten years doing some
0.84%:  turn him off and say
1.10%:  turn him off and say good
0.84%:  go shake some
0.84%:  take him out on dates and see
0.84%:  take him out to eat and see
0.84%:  go kick it, dude
0.83%:  take him to a park today
0.83%:  go put him to
0.83%:  go to the arcade and see
0.83%:  go take him out for a spin, see
0.83%:  not touch it
0.83%:  go kick it, friend
0.83%:  make sure it says that another
0.83%:  do this again in ten
1.41%:  do this again in ten years,
0.83%:  spend another decade or so on that guy
0.83%:  set him on fire and dance
0.83%:  not spend another decade making it shoot
0.83%:  use him for
1.75%:  use him for good
1.00%:  use him for good, okay
0.83%:  make it say that in
0.83%:  get him out for a spin and
0.99%:  get him out for a spin and see if
0.83%:  go find another friend to make us
0.83%:  go ask him to dance,
1.39%:  go ask him to dance, okay
0.83%:  send him out into space to see
0.83%:  check up
0.83%:  go take a peek
1.63%:  go take a peek at him,
0.83%:  turn it off and go make another one that
0.83%:  go take him to an arcade to
0.83%:  take him out for a spin today, to see
0.83%:  turn him off and go inside?
0.83%:  get him to say one
0.83%:  send him out in space
0.83%:  go kick some ass and find out if that second
0.83%:  take him out for another spin today?
0.83%:  take it out for a spin and get some snacks,
0.83%:  find out if he can take
0.83%:  each take a turn saying
0.83%:  stop naming
0.83%:  go into the past and make another one of
0.83%:  take it out for another spin and see if that
0.83%:  take a second to ponder this
0.83%:  go find another friend to make the
0.83%:  keep doing that, man
0.83%:  go and check
0.85%:  go and check on our
0.83%:  take his
0.82%:  make out and then take
0.82%:  go paint
0.82%:  take him out for a spin, and don
0.82%:  add another thing
0.82%:  send him out into a
0.82%:  kick some ass, dude
0.82%:  not forget to say thank
0.82%:  make sure that saying doesn
0.82%:  sit on him for
1.56%:  sit on him for a second
0.82%:  use him to attack another
1.43%:  use him to attack another friend
0.82%:  spend another ten years making it do a
0.82%:  spend another decade making sure to
0.82%:  send him into outer space and take
0.82%:  hang out today and kick some
0.90%:  hang out today and kick some ass
0.82%:  go into the attic and take another
0.82%:  go for a spin, you think
0.82%:  kick the crap out of it today
0.82%:  go inside of him and start
0.82%:  keep taking
1.28%:  keep taking care
9.52%:  keep taking care of him,
3.10%:  keep taking care of this
1.73%:  keep taking care of him and
1.38%:  keep taking care of that
1.27%:  keep taking care of him so
0.89%:  keep taking care of him, dude
0.88%:  keep taking care of him, and
0.82%:  take him for a date to
0.82%:  keep on doing that for another decade, my
0.82%:  take him for a spin today, and see
0.82%:  take him out for cake to
0.82%:  not focus
4.69%:  not focus on the fact
3.37%:  not focus on that
3.22%:  not focus on that part
1.36%:  not focus on that aspect
1.01%:  not focus on the parts
1.00%:  not focus on the times
0.96%:  not focus on that part,
0.83%:  not focus on that aspect of it
0.82%:  take him out on a date to
0.82%:  turn him off and go dance
0.82%:  see you make that as good,
0.82%:  spend another decade on him, guys
0.82%:  turn him off and get ice
0.82%:  make sure he gets to say it another
0.82%:  go see him, dude
0.82%:  make it say another thing too, one
0.82%:  send him to do
0.94%:  send him to do stuff
0.82%:  not spend another decade on this, kay
0.82%:  not spend another decade on this okay
0.82%:  go take it out for ice
0.82%:  send him out to attack a
0.82%:  spend another decade taking care of him, so
0.82%:  take it out for a spin and then get some food,
0.82%:  go check in
1.04%:  go check in on our
0.82%:  go mess up
0.82%:  stop using that
0.82%:  make another one today
0.82%:  make it stop saying that, friend
0.82%:  not speak of the
1.04%:  not speak of the times
0.82%:  go out and kick some ass in
0.82%:  go out and kick some ass in the
0.82%:  go kick the crap out of another system
0.82%:  make sure he says it,
0.82%:  go to the store and pick out another one
0.81%:  take him for a spin and test
0.95%:  take him for a spin and test out
0.81%:  take him for a test spin, say
0.81%:  see you get
1.03%:  see you get that
0.81%:  take that out for some ice
0.81%:  go take it out for a spin, and then take
0.81%:  take him out and do
0.81%:  not make another one,
0.81%:  not forget, that
0.81%:  stick
0.81%:  not forget that you and
0.81%:  go kick some ass and then party
0.81%:  take him for another spin?
0.81%:  go take him to an arcade and stuff
0.81%:  try and make that
0.81%:  not spend any more of this
0.81%:  see if you can do that, frig
0.81%:  make it stop saying that for a second to see
0.81%:  send him to outer space to find a
0.81%:  see if you can resist that,
0.81%:  spend another ten years making each
0.81%:  make sure he gets paid
0.81%:  not stop making this
0.81%:  see if you can do it,
0.81%:  hang out more often?
0.81%:  not do this again okay
0.81%:  go make sure he says
0.81%:  decide
0.81%:  focus on the good parts and not
0.81%:  get our
0.81%:  take turns saying that to
0.81%:  hang out?
0.81%:  do stuff
0.81%:  take him out for a cake
0.81%:  not take him out of
0.81%:  not spend another decade on our
0.81%:  run
0.83%:  run some
1.16%:  run some tests on this
0.88%:  run some tests on that
0.82%:  run some tests,
1.19%:  run some tests, okay
0.81%:  go take it for another
1.63%:  go take it for another test
1.24%:  go take it for another spin,
1.51%:  go take it for another spin, okay
1.08%:  go take it for another test spin
0.81%:  take him for another spin, you and
0.81%:  not make the
0.81%:  ask him to dance,
0.81%:  not spend another minute of it
0.80%:  not think of
0.80%:  not think of our
0.80%:  set him free to
0.80%:  not speak of it again for another decade, eh
0.80%:  stick him
0.80%:  not spend another day making that sucker
0.80%:  keep adding stuff to him, and
0.80%:  take him out for a spin today if
0.80%:  go out to dinner, okay
0.80%:  spend another decade making it say that for
0.80%:  make sure that gets
0.80%:  ask him to say it again for
0.80%:  go kick some ass in the face, friend
0.80%:  go out and kick some ass, friend of
0.80%:  spend the rest of today making a
0.80%:  go take apart this
0.80%:  not stop making that
0.80%:  not do that again, dudes
0.80%:  spend our days
1.05%:  spend our days making
0.80%:  take a photo of it and send it to my
0.80%:  go take him to an arcade and put
1.03%:  go take him to an arcade and put tokens
0.80%:  kiss and make out and do things
0.88%:  kiss and make out and do things to
0.80%:  go kick the crap out of some sofas
0.80%:  go inside and do some stuff to that
0.80%:  go on a date,
0.80%:  turn this
0.80%:  send him out to dinner
0.80%:  go find that
0.80%:  send him into space, and forget to
0.80%:  go dance around him,
0.80%:  take him out for a dance and
0.80%:  make that say
0.80%:  not forget him
0.80%:  go find another friend to teach to
0.80%:  spend another decade taking care of this son
0.80%:  decide that
0.80%:  go admire
0.79%:  make that our saying
0.85%:  make that our saying too
0.79%:  go inside and take off our
1.88%:  go inside and take off our pants,
1.51%:  go inside and take off our pants, okay
0.79%:  do it again, friend
0.79%:  see if you can do that in
0.79%:  press his attack
0.79%:  go kick the crap out of some sense data
0.79%:  make sure to shake
0.79%:  not spend another second here,
2.09%:  not spend another second here, okay
0.79%:  get him to attack
0.79%:  keep saying that for as
0.79%:  go do some stuff on
0.79%:  turn it off and get
2.52%:  turn it off and get some snacks
2.09%:  turn it off and get some ice
1.10%:  turn it off and get some nachos
0.79%:  rock this
0.79%:  not spend another decade making it say the
0.79%:  send him to take
0.81%:  send him to take out
0.79%:  go in
1.10%:  go in and
0.87%:  go in there
0.79%:  get coffee
0.79%:  take a photo of us and
0.79%:  put it in charge
0.79%:  go to the park to
0.79%:  make it stop saying that soon
0.79%:  take that out for a spin in
0.79%:  spend another decade taking him out for snacks,
0.79%:  get another friend,
0.79%:  go inside him and take apart
0.79%:  not take him apart, guys
0.79%:  hang out today and spend
1.79%:  hang out today and spend another
1.27%:  hang out today and spend time
0.95%:  hang out today and spend some of
0.79%:  get out of here, man
0.79%:  stick around
3.05%:  stick around and see if he gets
2.46%:  stick around and see if that
3.26%:  stick around and see if that gets
1.19%:  stick around and see if he stops
1.19%:  stick around and see if that gets any
1.08%:  stick around and see if he says
1.05%:  stick around and see if he does
0.79%:  start taking him out on dates and
0.79%:  take that out for a spin and see if it comes
0.79%:  go for a spin, yeah
0.79%:  shoot it
0.79%:  make another one, friend
0.79%:  kiss and make out to charge
0.79%:  see if that sounds any
0.79%:  find out if he can kick
0.79%:  take him apart and stick
0.79%:  take it apart and make another one, since
0.79%:  get this party
0.79%:  go fuck
0.99%:  go fuck him
0.79%:  see if you can do the
1.06%:  see if you can do the same for
0.79%:  get drunk and make
0.79%:  not do this again for another decade, man
0.79%:  get him to dance,
1.17%:  get him to dance, okay
0.78%:  see you take that and
2.40%:  see you take that and make it gross
0.78%:  not spend another second or
0.78%:  go take him out for a spin so
0.78%:  get him into a
0.78%:  make it stop saying that too
0.78%:  hang out as
0.78%:  take it out for a spin soon
0.78%:  take him out for a spin to a
0.78%:  see if you can make that into a good
0.78%:  take a photo of it and send it to some
0.78%:  shoot some
0.78%:  see if you can one
0.78%:  turn him off and sit
0.78%:  keep doing that for another decade, m
0.78%:  kick the crap out of it, man
0.78%:  go take him on a date to a fancy
0.78%:  make it stop saying that once
0.78%:  hang out for another decade, and make
0.78%:  take him out for another spin?
0.78%:  put some effort
4.20%:  put some effort into this
3.78%:  put some effort into that
2.43%:  put some effort into that,
1.25%:  put some effort into it
0.78%:  spend our time doing that
0.78%:  take him out for another spin, say
