hung over is like winning the lottery, except they pay you in regret!
       406 0* 1.90531% (94.638% 0.052% 5.309%)   hung over is like the price you pay                                                                                          -------eeeeeghlnorrtttttxyy,!
       407 0* 1.06685% (94.638% 0.052% 5.309%)   hung over is like the price you pay to                                                                                       -------eeeeeghlnrrttttxyy,!
       408 0* 3.35638% (94.638% 0.052% 5.309%)   hung over is like the price you pay to get                                                                                   -------eeeehlnrrtttxyy,!
       409 0* 1.25048% (94.638% 0.052% 5.309%)   hung over is like the price you pay to get the                                                                               -------eeelnrrttxyy,!
       410 0* 0.37026% (94.638% 0.052% 5.309%)   hung over is pretty chill!                                                                                                   -------aeeeeeeeghiknooprrttttuxyyy,
       411 0* 0.36810% (94.638% 0.052% 5.309%)   the only person ever                                                                                                         -------aceeeeegghhiiikloprrtttttuuxyyy,!
       412 0* 0.36643% (94.638% 0.052% 5.309%)   very hung                                                                                                                    -------aceeeeeeeeghhiiikllnooopprrrsttttttuxyyy,!
       413 0* 0.36296% (94.653% 0.052% 5.294%)   a little hung over is the price                                                                                              -------eeeeeghknooprrtttuxyyyy,!
       414 0* 0.41353% (94.653% 0.052% 5.294%)   a little hung over is the price you                                                                                          -------eeeeeghknoprrtttxyyy,!
       415 0* 0.36180% (94.653% 0.052% 5.294%)   hung over sort                                                                                                               -------aceeeeeeeeghhiiikllnopprrtttttuxyyyy,!
       416 0* 0.36045% (94.655% 0.053% 5.292%)   hung over really st                                                                                                          -------ceeeeeeeghhiiiknoopprrtttttuxyyy,!
       417 0* 0.35735% (94.656% 0.053% 5.291%)   hung over is a piece                                                                                                         -------eeeeeeghhikllnooprrrttttttuxyyyy,!
       418 0* 0.35495% (94.657% 0.053% 5.291%)   hung over is pretty legit, yo!                                                                                               -------aceeeeeehhiklnoprrtttuxyy
       419 0* 0.35415% (94.657% 0.053% 5.291%)   hung over is like regret                                                                                                     -------aceeeeehhilnoopprtttttuxyyyy,!
       420 0* 0.35393% (94.657% 0.053% 5.291%)   hung over is pretty rott                                                                                                     -------aceeeeeeeghhiikllnoprttuxyyy,!
       421 0* 0.74409% (94.657% 0.053% 5.291%)   hung over is pretty rotten                                                                                                   -------aceeeeeeghhiiklloprttuxyyy,!
       422 0* 0.46793% (94.657% 0.053% 5.291%)   hung over is pretty rotten!                                                                                                  -------aceeeeeeghhiiklloprttuxyyy,
       423 0* 0.35358% (94.657% 0.053% 5.291%)   hung over is like pretty                                                                                                     -------aceeeeeeghhilnooprrttttuxyyy,!
       424 0* 0.35346% (94.657% 0.053% 5.291%)   hung over is truly the price                                                                                                 -------aeeeeeeghiklnooprttttxyyy,!
       425 0* 0.35087% (94.657% 0.053% 5.291%)   hung over is pretty ok though!                                                                                               -------aceeeeeeeiillnprrtttxyyy,
       426 0* 0.34981% (94.657% 0.053% 5.291%)   hung over is not pretty!                                                                                                     -------aceeeeeeeghhiiklloprrtttuxyyy,
       427 0* 0.34948% (94.657% 0.053% 5.291%)   hung over is pretty punk                                                                                                     -------aceeeeeeeghhiilloorrttttxyyy,!
       428 0* 0.34906% (94.657% 0.053% 5.291%)   hung over is pretty cool, right                                                                                              -------aeeeeeeehiklnprtttuxyyy!
       429 0* 0.34703% (94.657% 0.053% 5.291%)   hung over is pretty poorly                                                                                                   -------aceeeeeeeghhiiklnrttttuxyy,!
       430 0* 0.34678% (94.657% 0.053% 5.291%)   hung over is legit like the                                                                                                  -------aceeeeehnoopprrrttttuxyyyy,!
       431 0* 0.34645% (94.657% 0.053% 5.291%)   hung over is like, pretty neat                                                                                               -------ceeeeeghhilooprrtttuxyyy!
       432 0* 0.34611% (94.657% 0.053% 5.291%)   hung over is pretty great except the                                                                                         -------eeehiikllnoortuyyy,!
       433 0* 0.34567% (94.657% 0.053% 5.291%)   hung over is pretty hot                                                                                                      -------aceeeeeeeghiikllnoprrtttuxyyy,!
       434 0* 0.34424% (94.657% 0.053% 5.291%)   hung over is like winning                                                                                                    aceeeeeeeghhilnoopprrrttttttuxyyyy,!
       435 0* 0.86809% (94.657% 0.053% 5.291%)   hung over is like winning the                                                                                                aceeeeeeghilnoopprrrtttttuxyyyy,!
       436 0* 0.78417% (94.657% 0.053% 5.291%)   hung over is like winning the lot                                                                                            aceeeeeeghinopprrrttttuxyyyy,!
       437 0* 56.44145% (94.657% 0.053% 5.291%)   hung over is like winning the lottery                                                                                        aceeeeeghinopprrtttuxyyy,!
       438 0* 164.09755% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except                                                                                 aeeeghinoprrttuyyy,!
       439 0* 178.89341% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except you                                                                             aeeeghinprrttyy,!
       440 0* 143.30626% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except the                                                                             aeeginoprrtuyyy,!
       441 0* 58.92462% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except you get                                                                         aeehinprrtyy,!
       442 0* 41.64120% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except there                                                                           aeginoprtuyyy,!
       443 0* 32.68852% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except it                                                                              aeeeghnoprrtuyyy,!
       444 0* 31.91331% (94.657% 0.053% 5.291%)   hung over is like winning the lottery,                                                                                       aceeeeeghinopprrtttuxyyy!
       445 0* 412.44471% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except                                                                                aeeeghinoprrttuyyy!
       446 0* 386.12959% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you                                                                            aeeeghinprrttyy!
       447 0* 369.37022% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except the                                                                            aeeginoprrtuyyy!
       448 0* 112.68633% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you get                                                                        aeehinprrtyy!
       449 0* 100.32448% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except there                                                                          aeginoprtuyyy!
       450 0* 81.67944% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except it                                                                             aeeeghnoprrtuyyy!
       451 0* 63.33848% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except your                                                                           aeeeghinprttyy!
       452 0* 25.99106% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except your                                                                            aeeeghinprttyy,!
       453 0* 24.03313% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you regret                                                                     aehinptyy!
       454 0* 16.99471% (94.657% 0.053% 5.291%)   hung over is like winning the lottery!                                                                                       aceeeeeghinopprrtttuxyyy,
       455 0* 15.46095% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except in                                                                             aeeeghoprrttuyyy!
       456 0* 14.78882% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except the pri                                                                        aeegnortuyyy!
       457 0* 12.89484% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except in the                                                                         aeegoprrtuyyy!
       458 0* 11.94015% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except the pay                                                                        eeginorrtuyy!
       459 0* 11.46227% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except rather                                                                         eeginoptuyyy!
       460 0* 11.45582% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except there are                                                                      ginoptuyyy!
       461 0* 10.38978% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except you regret                                                                      aehinptyy,!
       462 0* 9.02171% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you get a                                                                      eehinprrtyy!
       463 0* 8.18971% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except they                                                                           aeeginoprrtuyy!
       464 0* 7.89015% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except then                                                                           aeegioprrtuyyy!
       465 0* 29.42749% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except then you                                                                       aeegiprrtyy!
       466 0* 7.78713% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except the pri                                                                         aeegnortuyyy,!
       467 0* 6.08046% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you hate                                                                       eeginprrtyy!
       468 0* 5.57490% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you enter                                                                      aeghiprtyy!
       469 0* 5.57461% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except they                                                                            aeeginoprrtuyy,!
       470 0* 5.47372% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except the pay                                                                         eeginorrtuyy,!
       471 0* 5.45018% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you pay                                                                        eeeghinrrtty!
       472 0* 4.28297% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except it hur                                                                         aeeegnoprtyyy!
       473 0* 4.22099% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except the guy                                                                        aeeinoprrtyy!
       474 0* 3.75008% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except your entire                                                                    aeghptyy!
       475 0* 3.72799% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you pay the                                                                    eeginrrty!
       476 0* 3.69722% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except there are no                                                                   giptuyyy!
       477 0* 3.53156% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except your pri                                                                       aeeeghnttyy!
       478 0* 3.49988% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except in                                                                              aeeeghoprrttuyyy,!
       479 0* 3.31986% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except you get a                                                                       eehinprrtyy,!
       480 0* 2.69957% (94.657% 0.053% 5.291%)   hung over is like winning the lottery in                                                                                     aceeeeeghopprrtttuxyyy,!
       481 0* 2.69039% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except then your                                                                      aeegiprtyy!
       482 0* 2.63827% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except there are                                                                       ginoptuyyy,!
       483 0* 2.28943% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you are                                                                        eeghinprttyy!
       484 0* 3.49950% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you are the                                                                    eginprtyy!
       485 0* 2.22260% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except you pay                                                                         eeeghinrrtty,!
       486 0* 2.22216% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except then                                                                            aeegioprrtuyyy,!
       487 0* 7.14324% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except then you                                                                        aeegiprrtyy,!
       488 0* 1.92863% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except the guy                                                                         aeeinoprrtyy,!
       489 0* 1.91040% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except in your                                                                        aeeeghprttyy!
       490 0* 1.78643% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except no                                                                             aeeeghiprrttuyyy!
       491 0* 1.73548% (94.657% 0.053% 5.291%)   hung over is like winning the lottery in the                                                                                 aceeeegopprrttuxyyy,!
       492 0* 1.63194% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except not                                                                            aeeeghiprrtuyyy!
       493 0* 1.62010% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you either                                                                     aegnprtyy!
       494 0* 1.57947% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except in the                                                                          aeegoprrtuyyy,!
       495 0* 1.54233% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except it hur                                                                          aeeegnoprtyyy,!
       496 0* 1.53281% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except your pri                                                                        aeeeghnttyy,!
       497 0* 1.33310% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except you hate                                                                        eeginprrtyy,!
       498 0* 1.31541% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, then                                                                                  aceeeegiopprrttuxyyy!
       499 0* 1.29068% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except you enter                                                                       aeghiprtyy,!
       500 0* 1.23899% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except rather                                                                          eeginoptuyyy,!
       501 0* 1.23757% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except hung                                                                           aeeeioprrttyyy!
       502 0* 1.18323% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except your entire                                                                     aeghptyy,!
       503 0* 1.13571% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except you pay the                                                                     eeginrrty,!
       504 0* 1.02118% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except,                                                                                aeeeghinoprrttuyyy!
       505 0* 1.14578% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except, you                                                                            aeeeghinprrttyy!
       506 0* 0.98460% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except you are                                                                         eeghinprttyy,!
       507 0* 0.96582% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, right                                                                                 aceeeeenopprttuxyyy!
       508 0* 0.95989% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except then your                                                                       aeegiprtyy,!
       509 0* 0.93955% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except your entry                                                                     aeeghipty!
       510 0* 0.92775% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except other                                                                          aeeginprtuyyy!
       511 0* 0.90390% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except your pay                                                                       eeeghinrtty!
       512 0* 0.84347% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except there aren                                                                     gioptuyyy!
       513 0* 0.82270% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you aren                                                                       eeghiprttyy!
       514 0* 0.81372% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you get an                                                                     eehiprrtyy!
       515 0* 0.80219% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you try                                                                        aeeeghinprty!
       516 0* 0.77872% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except you are the                                                                     eginprtyy,!
       517 0* 0.75325% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you get pri                                                                    aeehnrtyy!
       518 0* 0.73139% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except a                                                                              eeeghinoprrttuyyy!
       519 0* 0.71753% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except there are no                                                                    giptuyyy,!
       520 0* 0.71665% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except the you                                                                        aeeginprrtyy!
       521 0* 0.69819% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, you                                                                                   aceeeeeghinpprrtttxyy!
       522 0* 0.66984% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you then                                                                       aeegiprrtyy!
       523 0* 0.61785% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you hit                                                                        aeeegnprrtyy!
       524 0* 0.61384% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except there you                                                                      aeginprtyy!
       525 0* 0.56703% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you pay entry                                                                  eeghirt!
       526 0* 0.55756% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except one                                                                            aeeghiprrttuyyy!
       527 0* 0.55045% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except no                                                                              aeeeghiprrttuyyy,!
       528 0* 0.54818% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except on                                                                             aeeeghiprrttuyyy!
       529 0* 1.08424% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except on the                                                                         aeegiprrtuyyy!
       530 0* 0.52495% (94.657% 0.053% 5.291%)   hung over is like winning the lottery you                                                                                    aceeeeeghinpprrtttxyy,!
       531 0* 0.51035% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except right                                                                          aeeenoprtuyyy!
       532 0* 0.48726% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except you either                                                                      aegnprtyy,!
       533 0* 0.46264% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you reg                                                                        aeehinprttyy!
       534 0* 0.44993% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, right except                                                                          aeeenoprtuyyy!
       535 0* 0.40946% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except the one                                                                        aegiprrtuyyy!
       536 0* 0.38962% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, right except you                                                                      aeeenprtyy!
       537 0* 0.38927% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you get h                                                                      aeeinprrtyy!
       538 0* 0.37838% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except no pri                                                                         aeeeghrttuyyy!
       539 0* 0.37410% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except either                                                                         aegnoprtuyyy!
       540 0* 0.56910% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except either you                                                                     aegnprtyy!
       541 0* 0.36700% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you get                                                                        aeehinprrtyy!
       542 0* 0.36665% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except you get p                                                                      aeehinrrtyy!
       543 0* 0.36265% (94.657% 0.053% 5.291%)   hung over is like winning the lottery, except to                                                                             aeeeghinprrtuyyy!
       544 0* 0.36041% (94.657% 0.053% 5.291%)   hung over is like winning the lottery except not                                                                             aeeeghiprrtuyyy,!
       545 0* 0.34295% (94.657% 0.053% 5.291%)   hung over is like three people trying to eat                                                                                 -------ceehrttuxyyy,!
       546 0* 0.34201% (94.657% 0.053% 5.291%)   hung over really is pretty nice, you                                                                                         -------eeeeeghhikoprttttxy!
       547 0* 0.34178% (94.657% 0.053% 5.291%)   sick never t                                                                                                                 -------aeeeeeeegghhhiillnooopprrrtttttuuxyyyy,!
       548 0* 0.34116% (94.658% 0.053% 5.289%)   hung over is a pretty rough                                                                                                  -------ceeeeeeehiikllnoprttttxyyy,!
       549 0* 0.34014% (94.658% 0.053% 5.289%)   sick in the toilet never                                                                                                     -------aeeeeegghhloopprrrtttuuxyyyy,!
       550 0* 0.33892% (94.658% 0.053% 5.289%)   hung over is like trying to pet the                                                                                          -------aceeeeehloprrttuxyyy,!
       551 0* 0.33857% (94.658% 0.053% 5.289%)   hung over is like winning the lottery, you get                                                                               aceeeehinpprrttxyy!
       552 0* 0.33722% (94.658% 0.053% 5.289%)   hung over is like winning the lottery, except you gain                                                                       eeehprrttyy!
       553 0* 0.33681% (94.658% 0.053% 5.289%)   hung over is pretty great until like                                                                                         -------ceeeeehhooprttxyyy,!
       554 0* 0.33630% (94.658% 0.053% 5.289%)   hung over is not really                                                                                                      -------ceeeeeeeghhiikopprrtttttuxyyy,!
       555 0* 0.33568% (94.659% 0.053% 5.289%)   hung over is like trying to act                                                                                              -------eeeeeeehhlopprrtttuxyyy,!
       556 0* 0.33564% (94.659% 0.053% 5.289%)   hung over is the price you pay to get there                                                                                  -------eeeikllnrttxyy,!
       557 0* 0.33498% (94.659% 0.053% 5.289%)   hung over is like trying to text                                                                                             -------aceeeeeehhlopprrttuyyy,!
       558 0* 0.33274% (94.659% 0.053% 5.289%)   hung over is like trying to clear your                                                                                       -------eeeeeehhppttttxyy,!
       559 0* 0.33158% (94.659% 0.053% 5.289%)   hung over is rough                                                                                                           -------aceeeeeeeehiikllnopprrttttttxyyyy,!
       560 0* 0.33083% (94.660% 0.053% 5.288%)   hung over is like trying to race                                                                                             -------eeeeeehhlopprttttuxyyy,!
       561 0* 0.33000% (94.660% 0.053% 5.288%)   hung over is the ticket                                                                                                      -------aeeeeeeghillnoopprrrtttuxyyyy,!
       562 0* 0.32965% (94.660% 0.053% 5.288%)   hung over truly is the price one                                                                                             -------aeeeeeghikloprttttxyyy,!
       563 0* 0.32957% (94.660% 0.053% 5.288%)   hung over is pretty great except it                                                                                          -------eeeehhikllnoortuyyy,!
       564 0* 0.32906% (94.660% 0.053% 5.288%)   hung over pretty sure                                                                                                        -------aceeeeeeghhiiikllnooprttttxyyy,!
       565 0* 0.32872% (94.660% 0.053% 5.288%)   hung over is pretty great too, except                                                                                        -------eeeehhiikllnrtuyyy!
       566 0* 0.32854% (94.660% 0.053% 5.288%)   hung over is like winning the lottery except you get pri                                                                     aeehnrtyy,!
       567 0* 0.32843% (94.660% 0.053% 5.288%)   hung over is pretty tight!                                                                                                   -------aceeeeeeehikllnooprrttuxyyy,
       568 0* 0.32831% (94.660% 0.053% 5.288%)   super hung over pretty                                                                                                       -------aceeeeeeghhiiikllnoorttttxyyy,!
       569 0* 0.32443% (94.660% 0.053% 5.288%)   hung over is like the other                                                                                                  -------aceeeeegilnopprrttttuxyyyy,!
       570 0* 0.32352% (94.660% 0.053% 5.288%)   hung over is like winning the lottery except your entry                                                                      aeeghipty,!
       571 0* 0.32334% (94.660% 0.053% 5.288%)   hung over is pretty cute!                                                                                                    -------aeeeeeeghhiikllnooprrtttxyyy,
       572 0* 0.32302% (94.660% 0.053% 5.288%)   hung over is like typing                                                                                                     -------aceeeeeeehhlooprrrtttttuxyyy,!
       573 0* 0.32102% (94.660% 0.053% 5.288%)   hung over is pretty great in theory, except you                                                                              -------eeehikllty!
       574 0* 0.32080% (94.660% 0.053% 5.288%)   hung over is pretty rough, h                                                                                                 -------aceeeeeeeiikllnoprttttxyyy!
       575 0* 0.31924% (94.660% 0.053% 5.288%)   hung over is pretty chill,                                                                                                   -------aeeeeeeeghiknooprrttttuxyyy!
       576 0* 0.31918% (94.660% 0.053% 5.288%)   hung over is pretty un                                                                                                       -------aceeeeeeeghhiikllooprrttttxyyy,!
       577 0* 0.31896% (94.660% 0.053% 5.288%)   hung over is like, pretty cool                                                                                               -------aeeeeeeghhinprrttttuxyyy!
       578 0* 0.31893% (94.660% 0.053% 5.288%)   hung over is really pretty nice, you                                                                                         -------eeeeeghhikoprttttxy!
       579 0* 0.31818% (94.660% 0.053% 5.288%)   hung over is like trying to reach                                                                                            -------eeeeeehlopprttttuxyyy,!
       580 0* 0.44031% (94.660% 0.053% 5.288%)   hung over is like trying to reach the                                                                                        -------eeeeelopprtttuxyyy,!
       581 0* 0.61744% (94.660% 0.053% 5.288%)   hung over is like trying to reach the top                                                                                    -------eeeeelprttuxyyy,!
       582 0* 0.31801% (94.660% 0.053% 5.288%)   a little hung over is pretty nice though,                                                                                    -------eeeeekoprrtxyyy!
       583 0* 0.31786% (94.660% 0.053% 5.288%)   hung over is like, pretty rough                                                                                              -------aceeeeeehilnoprttttxyyy!
       584 0* 0.31604% (94.660% 0.053% 5.288%)   hung over is like pe                                                                                                         -------aceeeeeeghhilnooprrrttttttuxyyyy,!
       585 0* 0.31487% (94.660% 0.053% 5.288%)   the only person ever to                                                                                                      -------aceeeeegghhiiiklprrttttuuxyyy,!
       586 0* 0.73065% (94.660% 0.053% 5.288%)   the only person ever to get                                                                                                  -------aceeeeghhiiiklprrtttuuxyyy,!
       587 0* 0.31485% (94.660% 0.053% 5.288%)   a little hung over sure                                                                                                      -------ceeeeeeghhiiknoopprrttttxyyyy,!
       588 0* 0.31465% (94.660% 0.053% 5.288%)   a little hung over is pretty rough,                                                                                          -------ceeeeeehiknoprttxyyy!
       589 0* 0.31348% (94.660% 0.053% 5.288%)   hung over is pretty neat, though                                                                                             -------ceeeeeeiiklloprrttxyyy!
       590 0* 0.31256% (94.660% 0.053% 5.288%)   hung over is like winning the lottery except your pay                                                                        eeeghinrtty,!
       591 0* 0.31202% (94.660% 0.053% 5.288%)   hung over is pretty epic                                                                                                     -------aeeeeeeghhikllnoorrttttuxyyy,!
       592 0* 0.31201% (94.660% 0.053% 5.288%)   hung over still                                                                                                              -------aceeeeeeeeghhiiknoopprrrtttttuxyyyy,!
       593 0* 0.30975% (94.661% 0.053% 5.286%)   hung over is like winning the lottery except you try                                                                         aeeeghinprty,!
       594 0* 0.30614% (94.661% 0.053% 5.286%)   hung over is pretty he                                                                                                       -------aceeeeeeghiikllnooprrttttuxyyy,!
       595 0* 0.51003% (94.661% 0.053% 5.286%)   hung over is pretty heck                                                                                                     -------aeeeeeeghiillnooprrttttuxyyy,!
       596 0* 0.30534% (94.661% 0.053% 5.286%)   never                                                                                                                        -------aceeeeeeegghhhiiikllnooopprrrsttttttuuxyyyy,!
       597 0* 0.30494% (94.694% 0.053% 5.254%)   like                                                                                                                         -------aceeeeeeeegghhhiilnnooopprrrrsttttttuuvxyyyy,!
       598 0* 0.46258% (94.706% 0.053% 5.242%)   like this                                                                                                                    -------aceeeeeeeegghhilnnooopprrrrtttttuuvxyyyy,!
       599 0* 0.43284% (94.716% 0.053% 5.231%)   like this every                                                                                                              -------aceeeeeegghhilnnooopprrrtttttuuxyyy,!
       600 0* 0.30483% (94.717% 0.053% 5.231%)   hung over is like trying to teach people                                                                                     -------eeeehrrtttuxyyy,!
       601 0* 0.30377% (94.717% 0.053% 5.231%)   sick on                                                                                                                      -------aeeeeeeeeegghhhiillnoopprrrrttttttuuvxyyyy,!
       602 0* 0.36328% (94.730% 0.053% 5.217%)   sick on the                                                                                                                  -------aeeeeeeeegghhiillnoopprrrrtttttuuvxyyyy,!
       603 0* 1.94643% (94.736% 0.053% 5.211%)   sick on the toilet                                                                                                           -------aeeeeeeegghhilnopprrrrtttuuvxyyyy,!
       604 0* 0.30329% (94.738% 0.053% 5.210%)   hung over is like paying the                                                                                                 -------ceeeeeehlooprrrtttttuxyyy,!
       605 0* 0.30281% (94.738% 0.053% 5.210%)   hung over is like trying to cure the pl                                                                                      -------aeeeeehoprtttxyyy,!
       606 0* 0.30203% (94.738% 0.053% 5.210%)   hung over is pretty neat, though!                                                                                            -------ceeeeeeiiklloprrttxyyy
       607 0* 0.30172% (94.738% 0.053% 5.210%)   the only guy in                                                                                                              -------aceeeeeeeeghhiikloopprrrrstttttuvxyy,!
       608 0* 0.72056% (94.738% 0.053% 5.210%)   the only guy in the                                                                                                          -------aceeeeeeeghiikloopprrrrsttttuvxyy,!
       609 0* 0.30019% (94.738% 0.053% 5.209%)   hung over is like winning the lottery, except here                                                                           aeginoprttuyyy!
       610 0* 0.29996% (94.738% 0.053% 5.209%)   hung over is pretty trick                                                                                                    -------aeeeeeeeghhillnooprtttuxyyy,!
       611 0* 0.49329% (94.738% 0.053% 5.209%)   hung over is pretty tricky                                                                                                   -------aeeeeeeeghhillnooprtttuxyy,!
       612 0* 0.29930% (94.738% 0.053% 5.209%)   hung over is like trying to repeat                                                                                           -------ceeeeehhloprtttuxyyy,!
       613 0* 0.31994% (94.738% 0.053% 5.209%)   hung over is like trying to repeat the                                                                                       -------ceeeehloprttuxyyy,!
       614 0* 0.29866% (94.738% 0.053% 5.209%)   hung over is like winning the lottery, except here you                                                                       aeginprttyy!
       615 0* 0.29708% (94.738% 0.053% 5.209%)   hung over is like winning the lottery, except you are trying                                                                 eehpty!
       616 0* 0.29704% (94.738% 0.053% 5.209%)   hung over is like trying to locate                                                                                           -------eeeeeehhpprrtttuxyyy,!
       617 0* 0.29553% (94.738% 0.053% 5.209%)   hung over is like winning the lottery, except you get n                                                                      aeehiprrtyy!
       618 0* 0.29507% (94.738% 0.053% 5.209%)   over                                                                                                                         -------aceeeeeeeegghhhiiikllnnoopprrrsttttttuuxyyyy,!
       619 0* 0.29483% (94.764% 0.053% 5.184%)   hung over is really pretty rough                                                                                             -------ceeeeeehiiknopttttxyy,!
       620 0* 0.29459% (94.764% 0.053% 5.184%)   hung over really is pretty g                                                                                                 -------ceeeeeehhiiknooprttttuxyy,!
       621 0* 0.29443% (94.764% 0.053% 5.184%)   sick on the toilet never                                                                                                     -------aeeeeegghhilopprrrtttuuxyyyy,!
       622 0* 0.29341% (94.764% 0.053% 5.184%)   truly                                                                                                                        -------aceeeeeeeeegghhhiiiklnnooopprrrstttttuvxyyy,!
       623 0* 0.29197% (94.780% 0.053% 5.168%)   hung over is a pretty l                                                                                                      -------ceeeeeeeghhiiklnooprrttttuxyyy,!
       624 0* 0.29158% (94.780% 0.053% 5.168%)   hung over is like winning the lottery, in                                                                                    aceeeeeghopprrtttuxyyy!
