has one man sucked on his fingers so much for so little
         0 0* 230.25005% mind                                                                                                                          -------aacceeefhhhikllmnnooooorsssssttuu
     1,104 0* 0.01362%  send a man on                                                                                                                -------cceefhhhiikllmoooorssssttuu
     1,105 0* 0.01361%  taken a                                                                                                                      -------ccdeefhhhiillmmnnooooorssssstuu
     1,106 0* 0.01357%  has less                                                                                                                     -------accdeefhhiiklmmnnnooooorssttuu
     1,107 0* 0.01356%  has so much come of so little and                                                                                            -------ehiknnorssu
     1,108 0* 0.01354% mind some                                                                                                                     -------aacceefhhhikllnnoooorssssttuu
     1,109 0* 0.01354%  looked at a                                                                                                                  -------cceefhhhiilmmnnnooorssssstuu
     1,110 0* 0.01351%  in one                                                                                                                       -------aaccdeefhhhikllmmnoooorsssssttuu
     1,111 0* 0.01349%  much                                                                                                                         -------aacdeeefhhiikllmnnnooooorsssssttu
     1,112 0* 0.03370%  much liked                                                                                                                   -------aaceefhhilmnnnooooorsssssttu
     1,113 0* 0.03175%  much cared                                                                                                                   -------aeefhhiikllmnnnooooosssssttu
     1,114 0* 0.01349% mind men                                                                                                                      -------aacceefhhhikllnooooorsssssttuu
     1,115 0* 0.01347%  seen a man suck his fingers too                                                                                              cdefhhillmnooorsstu
     1,116 0* 0.09932%  seen a man suck his fingers too much                                                                                         defhillnooorsst
     1,117 0* 0.03489%  seen a man suck his fingers too much for                                                                                     dehillnoosst
     1,118 0* 0.03686%  seen a man suck his fingers too much for his                                                                                 dellnoost
     1,119 0* 0.01346%  met a chick                                                                                                                  -------adeefhhillmnnnooooorssssstuu
     1,120 0* 0.01345%  take this                                                                                                                    -------accdeefhhillmmnnnooooorssssuu
     1,121 0* 0.01344%  ask me if                                                                                                                    -------accdeehhhillmnnnooooorssssttuu
     1,122 0* 0.01342%  asked for this amount                                                                                                        -------cceehhillmnnooosssu
     1,123 0* 0.01334%  think small                                                                                                                  -------accdeeefhhimnnooooorsssstuu
     1,124 0* 0.01334%  has a kiss                                                                                                                   -------ccdeeefhhillmmnnnooooorssttuu
     1,125 0* 0.01407%  has a kiss felt                                                                                                              -------ccdeehhilmmnnnooooorsstuu
     1,126 0* 0.02948%  has a kiss felt so                                                                                                           -------ccdeehhilmmnnnoooorstuu
     1,127 0* 0.01993%  has a kiss felt so much                                                                                                      -------cdeehilmnnnoooorstu
     1,128 0* 0.01733%  has a kiss felt more                                                                                                         -------ccdehhilmnnnoooosstuu
     1,129 0* 0.01332%  call me for dates                                                                                                            -------cehhhiikmnnnoooosssstuu
     1,130 0* 0.01329% mind for the sake                                                                                                             -------accehhillmnnoooosssstuu
     1,131 0* 0.01328%  has so much sucked for so little so                                                                                          -------aehimnnno
     1,132 0* 0.01326%  do this on a                                                                                                                 -------acceeefhhikllmmnnooorsssstuu
     1,133 0* 0.02892%  do this on a first                                                                                                           -------acceeehhkllmmnnooosssuu
     1,134 0* 0.01326%  miss an                                                                                                                      -------accdeeefhhhikllmnnooooorsssttuu
     1,135 0* 0.01325%  for a moment think                                                                                                           -------accdeehhillnooosssssuu
     1,136 0* 0.01325%  call me on the first                                                                                                         -------acdehhikmnnoooossssuu
     1,137 0* 0.01317%  seen a man suck his fingers for                                                                                              cdehhillmnoooossttu
     1,138 0* 0.01315%  tell a man he sucks on his fingers to his                                                                                    cdefmnooorsu
     1,139 0* 0.01314%  trust an old                                                                                                                 -------acceeefhhhiiklmmnnoooossssu
     1,140 0* 0.02644%  trust an old man                                                                                                             -------cceeefhhhiiklmnoooossssu
     1,141 0* 0.01314%  call that                                                                                                                    -------cdeeefhhiikmmnnnooooorsssssuu
     1,142 0* 0.01309%  in this                                                                                                                      -------aaccdeeefhhkllmmnnooooorsssstuu
     1,143 0* 0.01309%  touch a man                                                                                                                  -------cdeeefhhiikllmnnoooorssssstu
     1,144 0* 0.01308%  tell an                                                                                                                      -------accdeefhhhiikmmnnooooorssssstuu
     1,145 0* 0.01308%  stare                                                                                                                        -------accdeefhhhiikllmmnnnooooosssstuu
     1,146 0* 0.01305%  summon                                                                                                                       -------aaccdeeefhhhiikllnnoooorssssttu
     1,147 0* 0.01504%  summon the                                                                                                                   -------aaccdeefhhiikllnnoooorsssstu
     1,148 0* 0.01303%  make this                                                                                                                    -------accdeefhhillmnnnooooorsssstuu
     1,149 0* 0.01302%  short                                                                                                                        -------aaccdeeefhhiikllmmnnnoooosssstuu
     1,150 0* 0.01301%  kiss the fro                                                                                                                 -------aaccdeehhillmmnnnoooossstuu
     1,151 0* 0.01300% mind that one                                                                                                                 -------acceefhhikllmnoooorsssssuu
     1,152 0* 0.01298% mind come                                                                                                                     -------aaceefhhhikllnnoooorsssssttuu
     1,153 0* 0.02986% mind come on                                                                                                                  -------aaceefhhhikllnooorsssssttuu
     1,154 0* 0.01298%  come across                                                                                                                  -------adeefhhhiikllmnnnooosssttuu
     1,155 0* 0.01297%  seen a man suck on his fingers this much so                                                                                  defllooort
     1,156 0* 0.01294%  has so much cash                                                                                                             -------deeefiikllmnnnoooorssttu
     1,157 0* 0.01294%  kiss a friend                                                                                                                -------acceehhhllmmnnooooosssttuu
     1,158 0* 0.01293%  kiss me in                                                                                                                   -------aaccdeefhhhllmnnooooorsssttuu
     1,159 0* 0.03376%  kiss me in front                                                                                                             -------aaccdeehhhllmnoooossstuu
     1,160 0* 0.01375%  kiss me in the                                                                                                               -------aaccdefhhllmnnooooorssstuu
     1,161 0* 0.06105%  kiss me in the mouth                                                                                                         -------aaccdefhllnnoooorsssu
     1,162 0* 0.01292%  come into                                                                                                                    -------aacdeefhhhikllmnnooorssssstuu
     1,163 0* 0.01290% mind the last                                                                                                                 -------acceefhhiklmnnooooorssssuu
     1,164 0* 0.01290%  too old to learn a                                                                                                           -------cceefhhhiikmmnnosssssuu
     1,165 0* 0.01288%  tell a man he sucks on his fingers for ch                                                                                    deimnooosstu
     1,166 0* 0.01284%  in this house                                                                                                                -------aaccdeefhkllmmnnoooorssstu
     1,167 0* 0.01280%  tell a man to                                                                                                                -------ccdeefhhhiikmnnoooorsssssuu
     1,168 0* 0.04001%  tell a man to suck                                                                                                           -------cdeefhhhiimnnoooorssssu
     1,169 0* 0.10548%  tell a man to suck his                                                                                                       -------cdeefhhimnnoooorsssu
     1,170 0* 3.73491%  tell a man to suck his fingers                                                                                               cdeefhhimnnoooorsssu
     1,171 0* 0.22015%  tell a man to suck his fingers more                                                                                          cdefhhinnooosssu
     1,172 0* 0.20814%  tell a man to suck his fingers for                                                                                           cdeehhimnnooosssu
     1,173 0* 0.15135%  tell a man to suck his fingers so                                                                                            cdeefhhimnnooorssu
     1,174 0* 0.30776%  tell a man to suck his fingers so much                                                                                       deefhinnooorss
     1,175 0* 0.14612%  tell a man to suck his fingers if                                                                                            cdeehhmnnoooorsssu
     1,176 0* 0.20833%  tell a man to suck his fingers if he                                                                                         cdehmnnoooorsssu
     1,177 0* 0.10967%  tell a man to suck his fingers so much for                                                                                   deehinnooss
     1,178 0* 0.09690%  tell a man to suck his fingers so much for so                                                                                deehinnos
     1,179 0* 0.07021%  tell a man to suck his fingers on                                                                                            cdeefhhimnooorsssu
     1,180 0* 0.06522%  tell a man to suck his fingers in                                                                                            cdeefhhmnoooorsssu
     1,181 0* 0.06371%  tell a man to suck his fingers so he                                                                                         cdefhimnnooorssu
     1,182 0* 0.02943%  tell a man to suck on                                                                                                        -------cdeefhhhiimnooorssssu
     1,183 0* 0.14956%  tell a man to suck on his                                                                                                    -------cdeefhhimnooorsssu
     1,184 0* 6.82676%  tell a man to suck on his fingers                                                                                            cdeefhhimnooorsssu
     1,185 0* 0.50898%  tell a man to suck on his fingers if                                                                                         cdeehhmnooorsssu
     1,186 0* 0.80375%  tell a man to suck on his fingers if he                                                                                      cdehmnooorsssu
     1,187 0* 0.43020%  tell a man to suck on his fingers for                                                                                        cdeehhimnoosssu
     1,188 0* 0.16107%  tell a man to suck on his fingers more                                                                                       cdefhhinoosssu
     1,189 0* 0.12665%  tell a man to suck on his fingers so                                                                                         cdeefhhimnoorssu
     1,190 0* 0.24224%  tell a man to suck on his fingers so much                                                                                    deefhinoorss
     1,191 0* 0.10783%  tell a man to suck on his fingers so much for                                                                                deehinoss
     1,192 0* 0.10333%  tell a man to suck on his fingers so he                                                                                      cdefhimnoorssu
     1,193 0* 0.10174%  tell a man to suck on his fingers in                                                                                         cdeefhhmooorsssu
     1,194 0* 0.06486%  tell a man to suck on his fingers so much for so                                                                             deehins
     1,195 0* 0.04735%  tell a man to suck on his fingers on                                                                                         cdeefhhimoorsssu
     1,196 0* 0.03914%  tell a man to suck on his fingers in such                                                                                    deefhmooorss
     1,197 0* 0.02703%  tell a man to suck on his fingers or                                                                                         cdeefhhimnoosssu
     1,198 0* 0.03284%  tell a man to suck on his fingers or he                                                                                      cdefhimnoosssu
     1,199 0* 0.02547%  tell a man to suck his fingers on his                                                                                        cdeefhmnooorssu
     1,200 0* 0.02177%  tell a man to suck his fingers or                                                                                            cdeefhhimnnooosssu
     1,201 0* 0.02469%  tell a man to suck his fingers or he                                                                                         cdefhimnnooosssu
     1,202 0* 0.02122%  tell a man to suck on his fingers for such                                                                                   deehimnooss
     1,203 0* 0.02099%  tell a man to suck on his fingers from                                                                                       cdeehhinoosssu
     1,204 0* 0.01984%  tell a man to suck his fingers so soon                                                                                       cdeefhhimnorsu
     1,205 0* 0.01897%  tell a man to suck his fingers so much he                                                                                    definnooorss
     1,206 0* 0.01752%  tell a man to suck his fingers from                                                                                          cdeehhinnooosssu
     1,207 0* 0.01706%  tell a man to suck his fingers one                                                                                           cdefhhimnooorsssu
     1,208 0* 0.01602%  tell a man to suck on his fingers under                                                                                      cefhhimooosss
     1,209 0* 0.01556%  tell a man to suck his fingers is                                                                                            cdeefhhmnnoooorssu
     1,210 0* 0.01549%  tell a man to suck on his fingers is                                                                                         cdeefhhmnooorssu
     1,211 0* 0.01530%  tell a man to suck on his fingers if he don                                                                                  cehmoorsssu
     1,212 0* 0.01524%  tell a man to suck his fingers once                                                                                          defhhimnooorsssu
     1,213 0* 0.01523%  tell a man to suck on his fingers for                                                                                        cdeehhimnoosssu
     1,214 0* 0.01482%  tell a man to suck on his fingers so soon                                                                                    cdeefhhimrsu
     1,215 0* 0.01380%  tell a man to suck his fingers in such                                                                                       deefhmnoooorss
     1,216 0* 0.01367%  tell a man to suck his fingers on his second                                                                                 efhmoorsu
     1,217 0* 0.01308%  tell a man to suck on his fingers once                                                                                       defhhimoorsssu
     1,218 0* 0.01303%  tell a man to suck his fingers so much in                                                                                    deefhnooorss
     1,219 0* 0.01277%  miss a chance to do some                                                                                                     -------efhhikllnnoorsstuu
     1,220 0* 0.01275%  taken me on                                                                                                                  -------accdefhhhiillmnoooorssssstuu
     1,221 0* 0.01746%  taken me on a                                                                                                                -------ccdefhhhiillmnoooorssssstuu
     1,222 0* 0.01275%  had so little for so much in one                                                                                             -------acehkmnosssu
     1,223 0* 0.01274%  in the ann                                                                                                                   -------accdeefhhikllmmooooorssssstuu
     1,224 0* 0.06157%  in the annals                                                                                                                -------ccdeefhhiklmmooooorsssstuu
     1,225 0* 0.35474%  in the annals of                                                                                                             -------ccdeehhiklmmoooorsssstuu
     1,226 0* 0.09034%  in the annals of time                                                                                                        -------ccdehhklmoooorssssuu
     1,227 0* 0.02145%  in the annals of our                                                                                                         -------ccdeehhiklmmooosssstu
     1,228 0* 0.01710%  in the annals of court                                                                                                       -------cdeehhiklmmooossssu
     1,229 0* 0.01704%  in the annals of the                                                                                                         -------ccdehiklmmoooorssssuu
     1,230 0* 0.01503%  in the annals of time could                                                                                                  -------cehhkmooorssssu
     1,231 0* 0.01273%  asked me out for                                                                                                             -------accehhhiillmnnnooosssstu
     1,232 0* 0.01267%  raise the                                                                                                                    -------accdefhhikllmmnnnooooosssstuu
     1,233 0* 0.01267%  call me on this date                                                                                                         -------cefhhikmnnoooorssssuu
     1,234 0* 0.01264%  make an                                                                                                                      -------ccdeefhhhiillmnnooooorsssssttuu
     1,235 0* 0.01264%  trust men                                                                                                                    -------aaccdeefhhhiikllmnnooooossssu
     1,236 0* 0.01262%  tell a man he sucks on his fingers too much for so                                                                           deins
     1,237 0* 0.01259%  call on me for                                                                                                               -------acdeehhhiikmnnooosssssttuu
     1,238 0* 0.01259%  ask me on                                                                                                                    -------accdeefhhhiillmnnoooorssssttuu
     1,239 0* 0.01650%  ask me on a                                                                                                                  -------ccdeefhhhiillmnnoooorssssttuu
     1,240 0* 0.04933%  ask me on a second                                                                                                           -------cefhhhiillmnooorsssttuu
     1,241 0* 0.01258%  seen that much fingers                                                                                                       acdefhiikllmnnooooorssssu
     1,242 0* 0.01256%  miss a chance to let                                                                                                         -------defhhiklmnnoooorsssuu
     1,243 0* 0.01255%  more than a                                                                                                                  -------ccdeefhhiikllmnnoooossssstuu
     1,244 0* 0.01255%  more than                                                                                                                    -------accdeefhhiikllmnnoooossssstuu
     1,245 0* 0.01255%  in all of our dates                                                                                                          -------cceehhhikmmnnooosssstu
     1,246 0* 0.01255%  seen that on                                                                                                                 -------accdefhhiikllmmnoooorssssuu
     1,247 0* 0.01252%  dates                                                                                                                        -------acceefhhhiikllmmnnnooooorsssstuu
     1,248 0* 0.01249%  mind those                                                                                                                   -------aacceefhhikllmnnoooorsssstuu
     1,249 0* 0.01249%  had a first                                                                                                                  -------cceeehhikllmmnnnooooosssstuu
     1,250 0* 0.01248%  could make                                                                                                                   -------aceefhhhiilmnnnoooorsssssttu
     1,251 0* 0.01247%  once sucked on his fingers for that                                                                                          aehillmmnoosssu
     1,252 0* 0.01246%  mind all the other suck                                                                                                      -------acefhimnnoooossssu
     1,253 0* 0.01246%  kiss a man on the mouth on                                                                                                   -------ccdeefhilloorsssu
     1,254 0* 0.01246%  seen a man suck his fingers on his                                                                                           cdefhllmoooorsttu
     1,255 0* 0.01245%  not suck on fingers around me                                                                                                aceefhhhiillmoosssst
     1,256 0* 0.01244%  had so little for so much fingers                                                                                            aceehikmnnnoosssu
     1,257 0* 0.01239%  kiss on the mouth for                                                                                                        -------aaccdeehillmnnoosssu
     1,258 0* 0.01966%  kiss on the mouth for less                                                                                                   -------aaccdehilmnnoosu
     1,259 0* 0.01238%  lose faith in                                                                                                                -------accdeehhklmmnnoooorsssstuu
     1,260 0* 0.01238%  mind h                                                                                                                       -------aacceeefhhikllmnnooooorsssssttuu
     1,261 0* 0.01237%  hire me                                                                                                                      -------aaccdefhhikllmnnnooooosssssttuu
     1,262 0* 0.01444%  hire me to                                                                                                                   -------aaccdefhhikllmnnnoooossssstuu
     1,263 0* 0.01236%  for one second can                                                                                                           -------aehhhiikllmmoossssttuu
     1,264 0* 0.01236%  looked at it from                                                                                                            -------acceehhhilmnnnoosssssuu
     1,265 0* 0.01233%  make out in the                                                                                                              -------accdefhhillmnnoooorsssssu
     1,266 0* 0.01232%  chase after                                                                                                                  -------cdehhiikllmmnnnooooosssstuu
     1,267 0* 0.01232%  seen that kind                                                                                                               -------accefhhillmmnooooorssssuu
     1,268 0* 0.08988%  seen that kind of                                                                                                            -------accehhillmmnoooorssssuu
     1,269 0* 0.01334%  seen that kind of cash                                                                                                       -------cehillmmnoooorsssuu
     1,270 0* 0.01231%  kiss a man in                                                                                                                -------ccdeeefhhhllmnooooorsssttuu
     1,271 0* 0.01230%  had so much luck                                                                                                             -------aeeefhiilmnnnoooorsssstt
     1,272 0* 0.01228%  seen that much cash for so                                                                                                   -------deiikllmnnooossu
     1,273 0* 0.01227%  can                                                                                                                          -------acdeeefhhhiikllmmnnooooorsssssttuu
     1,274 0* 0.03119%  can tell                                                                                                                     -------acdeefhhhiikmmnnooooorssssstuu
     1,275 0* 0.01226%  is                                                                                                                           -------aaccdeeefhhhikllmmnnnooooorssssttuu
     1,276 0* 0.01226%  seen that much skin for so                                                                                                   -------acdehillmnooossu
     1,277 0* 0.01224%  mind for the                                                                                                                 -------aacceehhikllmnnoooossssstuu
     1,278 0* 0.01338%  mind for the sake                                                                                                            -------accehhillmnnoooosssstuu
     1,279 0* 0.01224%  had this much fun at                                                                                                         -------ceeeikllmnnooooorssss
     1,280 0* 0.01224%  miss a chance to kiss me                                                                                                     -------defhhllnnoooorstuu
     1,281 0* 0.01698%  miss a chance to kiss me on                                                                                                  -------defhhllnooorstuu
     1,282 0* 0.01222%  come out on a                                                                                                                -------acdeefhhhiikllmnnoorssssstu
     1,283 0* 0.02908%  come out on a date                                                                                                           -------cefhhhiikllmnnoorsssssu
     1,284 0* 0.01222%  seen so much action from                                                                                                     -------adehhikllnoossstu
     1,285 0* 0.01222%  told me                                                                                                                      -------aacceefhhhiiklmnnnoooorssssstuu
     1,286 0* 0.01222%  count on a                                                                                                                   -------acdeeefhhhiikllmmnooorssssstu
     1,287 0* 0.01222%  kiss on a                                                                                                                    -------accdeeefhhhillmmnnoooorsssttuu
     1,288 0* 0.06727%  kiss on a first                                                                                                              -------accdeeehhhllmmnnoooosstuu
     1,289 0* 0.15917%  kiss on a first date                                                                                                         -------cceehhhllmmnnoooossuu
     1,290 0* 0.01636%  kiss on a first date unless                                                                                                  -------ccehhhlmmnoooou
     1,291 0* 0.01220%  that much for a                                                                                                              -------cdeeehiikllmnnnoooosssssu
     1,292 0* 0.01220%  has the true                                                                                                                 -------accdefhiikllmmnnnooooossssu
     1,293 0* 0.01219%  seen so much suck on                                                                                                         -------aadefhhiillmnooorsstt
     1,294 0* 0.03988%  seen so much suck on fingers                                                                                                 aadefhhiillmnooorsstt
     1,295 0* 0.02414%  seen so much suck on fingers for                                                                                             aadehhiillmnoosstt
     1,296 0* 0.04504%  seen so much suck on fingers for so                                                                                          aadehhiillmnostt
     1,297 0* 0.02275%  seen so much suck on fingers in                                                                                              aadefhhillmooorsstt
     1,298 0* 0.01218%  date unless                                                                                                                  -------accefhhhiiklmmnnooooorssstu
     1,299 0* 0.01218%  in all our times                                                                                                             -------accdeefhhhkmnnoooosssstu
     1,300 0* 0.01218%  dare                                                                                                                         -------acceefhhhiikllmmnnnooooosssssttuu
     1,301 0* 0.01215%  seen so much casual                                                                                                          -------defhhiiklmnnoooorsstt
     1,302 0* 0.01210%  kiss and tell on                                                                                                             -------acceefhhhimmnoooorssstuu
     1,303 0* 0.01207% mind other                                                                                                                    -------aacceefhhikllmnnoooossssstuu
     1,304 0* 0.01204%  smile at me                                                                                                                  -------accdefhhhiklnnnooooorsssstuu
     1,305 0* 0.01202%  talk me                                                                                                                      -------accdeefhhhiilmnnnooooorssssstuu
     1,306 0* 0.01601%  talk me into                                                                                                                 -------accdeefhhhilmnnoooorsssssuu
     1,307 0* 0.01202%  does the                                                                                                                     -------aaccefhhiikllmmnnnoooorsssstuu
     1,308 0* 0.01200%  seen so much suck on fingers in all                                                                                          adefhhimooorsstt
     1,309 0* 0.01199%  curse                                                                                                                        -------aacdeefhhhiikllmmnnnooooossssttu
     1,310 0* 0.01679%  curse the                                                                                                                    -------aacdefhhiikllmmnnnooooosssstu
     1,311 0* 0.01199%  taken the                                                                                                                    -------accdefhhiillmmnnooooorsssssuu
     1,312 0* 0.01192%  once could                                                                                                                   -------aaeefhhhiiklmmnnooorsssssttu
     1,313 0* 0.01192%  tell a man to suck on his fingers he                                                                                         cdefhimnooorsssu
     1,314 0* 0.01190%  seen a man suck his fingers to music                                                                                         defhhllnoooorst
     1,315 0* 0.01189%  once sucked on fingers for a                                                                                                 aehhhiillmmnoossssttu
     1,316 0* 0.01189%  looked me                                                                                                                    -------aaccefhhhiilmnnnooorsssssttuu
     1,317 0* 0.01840%  looked me in                                                                                                                 -------aaccefhhhilmnnooorsssssttuu
     1,318 0* 0.01188%  since our                                                                                                                    -------aacdeefhhhikllmmnnoooossssttu
     1,319 0* 0.01188%  cross a man                                                                                                                  -------cdeeefhhhiikllmnnoooosssttuu
     1,320 0* 0.01187%  date from                                                                                                                    -------acceehhhiikllmnnnoooossssstuu
     1,321 0* 0.01187%  tell a man to suck on his fingers so much if                                                                                 deehnoorss
     1,322 0* 0.01728%  tell a man to suck on his fingers so much if he                                                                              denoorss
     1,323 0* 0.01186%  has one man felt such                                                                                                        -------cdehiiklmnoooorssstu
     1,324 0* 0.01186%  tell a man to suck his fingers under                                                                                         cefhhimnoooosss
     1,325 0* 0.01185%  seen a man suck his fingers so much not                                                                                      defhillooorst
     1,326 0* 0.01183%  had that much                                                                                                                -------ceeefiikllmnnnooooorsssssu
     1,327 0* 0.01180%  trust a suck                                                                                                                 -------acdeeefhhhiillmmnnnooooosss
     1,328 0* 0.01178%  kiss a man on the mouth for                                                                                                  -------ccdeehillnoosssu
     1,329 0* 0.03411%  kiss a man on the mouth for less                                                                                             -------ccdehilnoosu
     1,330 0* 0.01176%  treat                                                                                                                        -------accdeefhhhiikllmmnnnooooosssssuu
     1,331 0* 0.01171%  refuse                                                                                                                       -------aaccdehhhiikllmmnnnooooossssttu
     1,332 0* 0.01170%  talked to me                                                                                                                 -------accefhhhiilmnnnoooorsssssuu
     1,333 0* 0.01170%  had an                                                                                                                       -------cceeefhhiikllmmnnooooorsssssttuu
     1,334 0* 0.01169%  call this                                                                                                                    -------acdeeefhhikmmnnnooooorsssstuu
     1,335 0* 0.01169%  seen a man suck on his fingers so much to so                                                                                 defhillort
     1,336 0* 0.01167% mind fuck it                                                                                                                  -------aaceeehhhllmnnooooorssssstu
     1,337 0* 0.01164%  had one of                                                                                                                   -------acceehhiikllmmnnooorsssssttuu
     1,338 0* 0.02574%  had one of those                                                                                                             -------accehiikllmmnnoorsssstuu
     1,339 0* 0.01162%  had so much fun at                                                                                                           -------ceeehiikllmnnoooorsssst
     1,340 0* 0.01162%  sucked                                                                                                                       -------aaceefhhhiillmmnnnooooorssssttu
     1,341 0* 0.02755%  sucked fingers                                                                                                               aaceefhhhiillmmnnnooooorssssttu
     1,342 0* 0.01536%  sucked on                                                                                                                    -------aaceefhhhiillmmnnoooorssssttu
     1,343 0* 0.01161%  hurts to aim                                                                                                                 -------accdeeefhhikllmnnnoooossssu
     1,344 0* 0.01158%  in the future                                                                                                                -------aaccdehhikllmmnnooooosssss
     1,345 0* 0.01157%  seen that much coin                                                                                                          -------adefhikllmnoooorssssu
     1,346 0* 0.01155% mind come on let                                                                                                              -------aacefhhhiklnooorssssstuu
     1,347 0* 0.01154%  in the course of his                                                                                                         -------aacdehkllmmnnooossstu
     1,348 0* 0.01153%  seem                                                                                                                         -------aaccdefhhhiikllmnnnooooorssssttuu
     1,349 0* 0.02263%  seem to                                                                                                                      -------aaccdefhhhiikllmnnnoooorsssstuu
     1,350 0* 0.01153%  mind some                                                                                                                    -------aacceefhhhikllnnoooorssssttuu
     1,351 0* 0.01152%  look into a man                                                                                                              -------ccdeeefhhhilmnoorssssstuu
     1,352 0* 0.01149%  seen so much for                                                                                                             -------aacdehhiikllmnnooosssttu
     1,353 0* 0.02773%  seen so much for so                                                                                                          -------aacdehhiikllmnnoossttu
     1,354 0* 0.01149%  said this                                                                                                                    -------acceeefhhkllmmnnnooooorssstuu
     1,355 0* 0.01148%  heard so                                                                                                                     -------acceefhhiikllmmnnnoooossssttuu
     1,356 0* 0.04295%  heard so much                                                                                                                -------aceefhiikllmnnnoooossssttu
     1,357 0* 0.03100%  heard so much suck                                                                                                           -------aeefhiillmnnnoooossstt
