FACT // I WAS ALSO PROGRAMMED FOR JOKES
      0 100.00%: 
      1 39.78%:  FACTS
   1249 28.30%:  FACT // SOME A
   1250 28.30%:  FACT // I DRA
   1251 28.30%:  FACTS // I AM FL
   1252 28.30%:  FACTS // I AM ME
   1253 28.30%:  FACTS // I WAS PROGRAMMED SO E
   1254 28.30%:  FACTS // I AM WR
   1255 28.30%:  FACTS // I AM DE
   1256 28.30%:  FACTS // I AM FROM
   1257 28.30%:  FACT // I WAS ALSO DE
   1258 28.30%:  FACTS // I AM DO
   1259 28.30%:  FACTS // I AM AS
   1260 28.29%:  FACTOID // LOOK A
   1261 28.29%:  FACT // I WAS PROGRAMMED FLOO
   1262 28.29%:  FACT // SOME E
   1263 28.29%:  FACT // I FEEL SAD AS
   1264 28.29%:  FACTS // I AM PR
   1265 28.29%:  FACTS // I POO
   1266 28.29%:  FACTS // I AM FO
   1267 28.29%:  FACTS // I WAS PROGRAMMED AS L
   1268 28.29%:  FACTS // I FEEL SO
   1269 28.28%:  FACT // I WAS ALSO K
   1270 28.28%:  FACT // I AM LESS PRO
   1271 28.28%:  FACT // I AM ALSO A RED
   1272 28.28%:  FACTS // I PROGRAMMED A L
   1273 28.28%:  FACT // I WAS MADE FROM LE
   1274 28.28%:  FACT // I AM MADE OF REAL 
   1275 28.28%:  FACT // I FEEL SAD S
   1276 28.27%:  FACT // I AM MADE OF REAL O
   1277 28.27%:  FACT // I WAS PROGRAMMED A JOKES
   1278 28.27%:  FACTS // I WAS PROGRAMMED SO A
   1279 28.27%:  FACT // I WAS ALSO FOR
   1280 28.26%:  FACT // I AM MADE OF REAL SK
   1281 28.26%:  FACT // I AM OLD
   1282 28.26%:  FACT // I AM A 
   1283 28.26%:  FACT // I FEEL SAD R
   1284 28.26%:  FACT // I KEEP MA
   1285 28.26%:  FACTS // I WAS PROGRAMMED AS R
   1286 28.26%:  FACT // I AM MADE OF REAL PRO
   1287 28.26%:  FACT // I WAS MADE FOR S
   1288 28.25%:  FACT // I WAS MADE MORE OF
   1289 28.25%:  FACT // I AM MADE OF REAL OR
   1290 28.25%:  FACT // SOME 
   1291 28.25%:  FACT // I AM MADE OF POWER L
   1292 28.25%:  FACT // I FEEL SADS
   1293 28.25%:  FACT // I ALSO WEAR S
   1294 28.25%:  FACT // I ALSO MAKE S
   1295 28.25%:  FACT // I AM MADE OF REAL K
   1296 28.25%:  FACTS // I AM MORE A
   1297 28.25%:  FACTS // I ALSO K
   1298 28.25%:  FACT // SOME O
   1299 28.25%:  FACT // I AM ALSO A FORMER E
   1300 28.25%:  FACTS // I WAS PROGRAMMED AS 
   1301 28.25%:  FACT // I WAS MADE FROM L
   1302 28.25%:  FACT // I WAS ALSO F
   1303 28.25%:  FACT // SOME LI
   1304 28.25%:  FACT // I KEEP G
   1305 28.24%:  FACT // I WAS ASSEM
   1306 28.24%:  FACTS // MADE
   1307 28.24%:  FACT // I MAKE LO
   1308 28.24%:  FACT // I AM MADE OF GAL
   1309 28.24%:  FACT // I AM ALSO A FORMER RO
   1310 28.24%:  FACT // I AM MADE OF REAL J
   1311 28.24%:  FACT // I WAS ALSO R
   1312 28.24%:  FACT // I AM MADE OF POWERS
   1313 28.24%:  FACT // I AM A L
   1314 28.24%:  FACT // SOME GO
   1315 28.57%:  FACT // SOME GOOD F
   1316 28.24%:  FACT // I MAKE PRO
   1317 29.42%:  FACT // I MAKE PROGRAMS FOR
   1318 28.24%:  FACT // I FEEL SAD O
   1319 28.23%:  FACT // SOME ARE
   1320 28.23%:  FACT // I AM ALSO A ROM
   1321 28.23%:  FACT // I AM MADE OF POWER A
   1322 28.23%:  FACT // I MAKE OF
   1323 28.23%:  FACT // I FEEL SAD J
   1324 28.23%:  FACT // SOMEW
   1325 28.23%:  FACT // I AM MADE OF POWERL
   1326 28.23%:  FACT // I FLE
   1327 28.23%:  FACT // I AM AW
   1328 32.37%:  FACT // I AM AWESOME R
   1329 32.28%:  FACT // I AM AWESOME D
   1330 32.25%:  FACT // I AM AWESOME AS
   1331 32.23%:  FACT // I AM AWESOME 
   1332 32.23%:  FACT // I AM AWESOME SO
   1333 32.22%:  FACT // I AM AWESOME FOR
   1334 32.22%:  FACT // I AM AWESOME S
   1335 32.22%:  FACT // I AM AWESOME AL
   1336 32.21%:  FACT // I AM AWESOME J
   1337 32.20%:  FACT // I AM AWESOME P
   1338 32.20%:  FACT // I AM AWESOME SA
   1339 32.20%:  FACT // I AM AWESOME A
   1340 32.19%:  FACT // I AM AWESOME RO
   1341 29.88%:  FACT // I AM AWESOME POR
   1342 29.52%:  FACT // I AM AWESOME ARO
   1343 28.47%:  FACT // I AM AWESOME FOR A
   1344 28.23%:  FACT // SOME PROGRAMS DO
   1345 28.23%:  FACT // I AM LESS R
   1346 28.23%:  FACT // SOME IS
   1347 28.23%:  FACTS // I WAS PROGRAMMED SO R
   1348 28.22%:  FACT // SOME K
   1349 28.22%:  FACT // SOME AR
   1350 28.22%:  FACTS // I WAS PROGRAMMED SO O
   1351 28.22%:  FACTS // I WAS PROGRAMMED A RE
   1352 28.22%:  FACT // I WAS MADE A L
   1353 28.22%:  FACTS // I WAS PROGRAMMED EARL
   1354 28.22%:  FACT // I WAS ALSO M
   1355 28.21%:  FACT // I AM MADE OF POWERSO
   1356 28.21%:  FACT // I ALSO SPEAK 
   1357 28.21%:  FACT // SOMES
   1358 28.21%:  FACT // SOMEPE
   1359 28.21%:  FACTS // I WAS PROGRAMMED AS O
   1360 28.21%:  FACT I AM MADE OF LASER R
   1361 28.21%:  FACT // I AM LESS M
   1362 28.21%:  FACT // SOME OR
   1363 28.21%:  FACT // I FEED
   1364 28.21%:  FACT // I PREFER JOK
   1365 28.21%:  FACTS // I WAS ALSO MA
   1366 28.21%:  FACT // I WAS MADE FROM G
   1367 28.21%:  FACT // SOME FO
   1368 29.31%:  FACT // SOME FOODS ARE MA
   1369 28.98%:  FACT // SOME FOODS ARE IR
   1370 28.21%:  FACT // SOME AI
   1371 28.20%:  FACTS // I WAS PROGRAMMED SO 
   1372 28.20%:  FACTS // I WAS PROGRAMMED AS RE
   1373 28.20%:  FACT // SOME J
   1374 28.20%:  FACTS // I WAS PROGRAMMED SO LO
   1375 28.20%:  FACT // SOME DI
   1376 28.20%:  FACTS // I AM ALSO MA
   1377 31.21%:  FACTS // I AM ALSO MADE OF R
   1378 28.20%:  FACT // I WAS ALSO OR
   1379 28.20%:  FACT // SOME PO
   1380 28.19%:  FACT // I WAS ALSO PROGRAMMED FOR SO
   1381 28.19%:  FACT // I MAKE O
   1382 28.19%:  FACT // I AM MADE OF POWER J
   1383 28.19%:  FACTS // I ALSO RE
   1384 28.19%:  FACT // I KEEP W
   1385 28.19%:  FACT // I AM A RO
   1386 28.19%:  FACT // I POOW
   1387 28.19%:  FACT // I WAS GOOD E
   1388 28.19%:  FACT // I AM MADE OF POWER LO
   1389 28.19%:  FACT // I WAS ALSO ME
   1390 28.19%:  FACTS // I WAS PROGRAMMED A SE
   1391 28.19%:  FACT // SOME SER
   1392 28.18%:  FACT // I AM MADE OF POWER AL
   1393 28.18%:  FACT // SOME FOR
   1394 28.18%:  FACT // I MAKE GO
   1395 28.85%:  FACT // I MAKE GOOD F
   1396 28.18%:  FACT // SOME PL
   1397 28.18%:  FACT // SOME PER
   1398 28.18%:  FACT // I AM AWESOME JOK
   1399 28.18%:  FACT // I AM FORMER P
   1400 28.18%:  FACT // SOME SA
   1401 28.18%:  FACTS // I AM MADE OF A S
   1402 28.18%:  FACT // I KEEP MO
   1403 28.18%:  FACT // I KEEP O
   1404 28.17%:  FACT // I WAS ALSO J
   1405 28.17%:  FACT // I AM ALSO FORMED
   1406 28.17%:  FACTS // SOME PE
   1407 28.16%:  FACTS // I WAS PROGRAMMED A F
   1408 28.16%:  FACT // I REME
   1409 28.16%:  FACT // I KEEP SO
   1410 28.16%:  FACT I AM MADE OF REAL R
   1411 28.15%:  FACT // I KEEP FO
   1412 28.15%:  FACT // I WAS MADE FROM J
   1413 28.15%:  FACTS // I WAS ALSO PRO
   1414 31.71%:  FACTS // I WAS ALSO PROGRAMMED FOR
   1415 29.04%:  FACTS // I WAS ALSO PROGRAMME
   1416 28.15%:  FACTS // I AM MADE OF LASERS
   1417 28.14%:  FACT // I AM ALSO A FORMER K
   1418 28.14%:  FACT // I WAS ALSO AP
   1419 28.14%:  FACT // I WAS ALSO O
   1420 28.14%:  FACTS // I AM WEAR
   1421 28.14%:  FACT // I MAKE SE
   1422 28.14%:  FACT // I WAS MADE EAR
   1423 28.14%:  FACT // I FEEL SAD OR
   1424 28.14%:  FACT // I AM ALSO A FORMER GR
   1425 28.14%:  FACT // I FEEL SAD P
   1426 28.14%:  FACT // I WAS MADE FROM SE
   1427 28.13%:  FACT // I MAKE RO
   1428 28.13%:  FACT // I WEAR P
   1429 28.13%:  FACT // I WAS ALSO SE
   1430 28.13%:  FACT // I WAS ALSO SPE
   1431 28.12%:  FACT // I WAS ALSO PO
   1432 28.12%:  FACTS // I WAS PROGRAMMED EARS
   1433 28.12%:  FACT // I FEEL SAD 
   1434 28.12%:  FACT // I FEEL SAD W
   1435 28.12%:  FACTS // I WAS PROGRAMMED SEL
   1436 28.12%:  FACT // I FEEL SAD M
   1437 28.12%:  FACTS // I WAS PROGRAMMED EAS
   1438 28.12%:  FACT // I FEEL SAD K
   1439 28.12%:  FACT // I WAS MADE FROM OR
   1440 28.11%:  FACT // I AM ALSO A FORMER DE
   1441 28.11%:  FACT // I AM ALSO A FORMER J
   1442 28.11%:  FACTS // MADE OF ME
   1443 28.11%:  FACT // I WEAR R
   1444 28.11%:  FACT // I MAKE FE
   1445 28.89%:  FACT // I MAKE FEW M
   1446 28.11%:  FACT // I WAS ALSO PROGRAMMED FOR K
   1447 28.11%:  FACT // I MAKE AR
   1448 28.11%:  FACT // I MAKE FA
   1449 28.11%:  FACT // I MAKE FO
   1450 28.11%:  FACT // I KEEP DO
   1451 28.11%:  FACT // I WAS MADE PRE
   1452 28.11%:  FACTS // I WAS PROGRAMMED LAR
   1453 28.10%:  FACTS // I WAS PROGRAMMED ASK
   1454 28.10%:  FACT // I WAS MADE FROM SO
   1455 28.10%:  FACT // I WAS MADE FROM PRO
   1456 28.10%:  FACTS // I WAS PROGRAMMED SOL
   1457 28.10%:  FACT // I AM ALSO A FORMER PO
   1458 28.10%:  FACT // I MAKE DO
   1459 28.10%:  FACT // I AM AWESOME AS F
   1460 28.10%:  FACT // I MAKE LA
   1461 28.10%:  FACT // I ALSO SEEMS
   1462 28.10%:  FACT // I KEEP J
   1463 28.09%:  FACT // I WAS MADE FROM SK
   1464 28.09%:  FACT // I KEEP LO
   1465 28.09%:  FACT // I KEEP FOR
   1466 28.09%:  FACT // I WAS ALSO PROGRAMMED FOR SE
   1467 28.09%:  FACT // I AM ALSO A FORMER RES
   1468 28.09%:  FACT // I WAS MADE FROM SP
   1469 28.09%:  FACT // I AM A W
   1470 28.09%:  FACT // I AM ALSO A FORMER SO
   1471 28.09%:  FACT // I AM ALSO A FORMER WR
   1472 28.09%:  FACT // I AM MADE OF ORE
   1473 28.09%:  FACT // I MAKE SM
   1474 28.09%:  FACTS // I WAS PROGRAMMED ERA
   1475 28.08%:  FACT // I AM ALSO A FORMER SP
   1476 28.08%:  FACT // I MAKE DE
   1477 28.08%:  FACT // I AM AWARE
   1478 28.08%:  FACT // I WAS ALSO PROGRAMMED FOR J
