even I think that one's not so good.
      0 100.00%: 
      1 183.88%:  thanks
   7300 0.02%:  this one doesn't get an
   7301 0.02%:  so one thing that I
   7302 0.02%:  so need
   7303 0.02%:  I've got to do that one one
   7304 0.02%:  so I don't have the gen
   7305 0.02%:  no I think that one ends
   7306 0.02%:  so that got kind
   7307 0.02%:  that's the end too
   7308 0.02%:  that one goes in the s
   7309 0.02%:  so it's non
   7310 0.02%:  I had to get this
   7311 0.02%: . I need the night
   7312 0.02%:  no no no that one'
   7313 0.02%:  I have to go it
   7314 0.02%:  it's the end. I have
   7315 0.10%:  it's the end. I have to go to
   7316 0.02%:  that one is not on the '
   7317 0.02%:  so that's the kind I
   7318 0.02%:  I need to eat nothing
   7319 0.02%: . It's gonna end
   7320 0.02%:  that's the end. Isn
   7321 0.02%:  so it doesn't have to go to 
   7322 0.02%:  so that's gone
   7323 0.05%:  so that's gone on
   7324 0.08%:  so that's gone on too
   7325 0.02%:  no that one kind
   7326 0.02%:  this one goes to a
   7327 0.02%:  so instead I got
   7328 0.02%:  that's one 
   7329 0.02%:  so that's not doing too
   7330 0.02%:  so the thing doesn
   7331 0.03%:  so the thing doesn't take
   7332 0.02%:  so that's not it I
   7333 0.02%:  that setting
   7334 0.02%:  so I get the 
   7335 0.02%:  so this one I get
   7336 0.02%:  no that's not the sign
   7337 0.02%: . I take the
   7338 0.02%:  that one needs its
   7339 0.02%:  so ten
   7340 0.02%:  that one isn't even good to
   7341 0.02%:  so don't get this one.
   7342 0.02%:  this one doesn't have to t
   7343 0.02%:  no that isn't the end so no
   7344 0.02%:  so I haven't got this one to
   7345 0.02%:  I see this
   7346 0.02%:  no this one's even
   7347 0.02%:  so that's the ending too
   7348 0.04%:  so that's the ending too.
   7349 0.02%:  this one took an
   7350 0.02%:  so it's got 
   7351 0.02%:  no I need it
   7352 0.02%:  so I don't have one to
   7353 0.02%:  I got that one too
   7354 0.02%:  so that one thing I
   7355 0.02%:  no I think that's one too
   7356 0.02%:  that's it. It does
   7357 0.02%:  that one's not so ent
   7358 0.02%:  so I don't have the tension to
   7359 0.02%:  so the thing ends
   7360 0.02%:  thank good
   7361 0.02%:  so I need to go think
   7362 0.02%:  no this one had to
   7363 0.02%:  I need to go to the non
   7364 0.02%:  that one isn't so hot. I
   7365 0.03%:  that one isn't so hot. I need
   7366 0.02%:  that one's not in the good
   7367 0.02%:  so I get 
   7368 0.02%:  I think that ones
   7369 0.04%:  I think that ones done
   7370 0.02%:  so I need to get this on an
   7371 0.02%:  so that's the good one.
   7372 0.02%:  so I need to tone it
   7373 0.02%:  that one doesn't sing too
   7374 0.02%:  that's tit
   7375 0.02%:  have I got this one
   7376 0.02%:  no thanks it's the
   7377 0.02%:  so the end is I got
   7378 0.05%:  so the end is I got the
   7379 0.02%:  no that one's not done. It goes
   7380 0.02%:  so I took it a
   7381 0.02%:  it's done I gotta
   7382 0.02%: . I have to go sit
   7383 0.02%:  I hate to end things
   7384 0.02%:  I need to get in
   7385 0.03%:  I need to get in a
   7386 0.02%:  that one does not get on
   7387 0.02%:  no I haven't done it
   7388 0.02%:  I need to go to the van
   7389 0.02%:  so I took a
   7390 0.02%:  so I've kinda got to
   7391 0.02%:  that's the event
   7392 0.02%:  I don't have the tone
   7393 0.02%:  that one's onto
   7394 0.02%:  so one thing that does
   7395 0.02%:  it's no good that the
   7396 0.02%:  no it's not the end. I have to go on
   7397 0.02%:  so end it
   7398 0.02%:  so I think that one doesn
   7399 0.02%:  so I've gotta do the
   7400 0.02%:  no I need to go eat this
   7401 0.02%:  I think that sends
   7402 0.02%:  so that one's done too
   7403 0.02%:  on that note see
   7404 0.02%:  good to see that's not
   7405 0.02%:  that is the one good
   7406 0.03%:  that is the one good one so
   7407 0.02%:  so I haven't got the one
   7408 0.02%:  I have to go the
   7409 0.02%: . I hate this
   7410 0.02%:  that one is too dense
   7411 0.02%:  so I've got too
   7412 0.02%:  so the thing took
   7413 0.02%:  no thanks I need to go in
   7414 0.07%:  no thanks I need to go in the
   7415 0.02%:  that's one hit
   7416 0.02%:  this one doesn't go to 
   7417 0.02%:  I get that these
   7418 0.02%:  so that one isn't one I
   7419 0.02%:  that's the end one
   7420 0.02%: . I have to go on the
   7421 0.02%:  that's s
   7422 0.02%:  no this has gotten to
   7423 0.02%:  I need to go on that one
   7424 0.02%:  I think that's one good one.
   7425 0.02%:  that one gets one th
   7426 0.02%:  so that's not ed
   7427 0.02%:  I think that's go
   7428 0.02%:  this one I have to end
   7429 0.02%:  so I've done this the
   7430 0.02%:  so on that note I give
   7431 0.02%:  thanks. I've gotten this
   7432 0.02%:  no this one's no good. I
   7433 0.02%: . It takes
   7434 0.02%:  so it's no good I
   7435 0.02%:  that one took this
   7436 0.03%:  that one took this one
   7437 0.02%:  that's good not
   7438 0.02%:  hot on
   7439 0.02%:  that's not the end no I
   7440 0.02%:  so I haven't done one thing
   7441 0.02%:  so that's it h
   7442 0.02%:  so that's the one note
   7443 0.02%:  thanks I need to invent
   7444 0.02%:  so I got to the end so
   7445 0.02%:  so I've gone and
   7446 0.02%:  that one too.
   7447 0.02%:  no don't take
   7448 0.06%:  no don't take this
   7449 0.04%:  no don't take this to
   7450 0.04%:  no don't take it
   7451 0.02%:  that one doesn't one shot
   7452 0.02%: . Is that on
   7453 0.02%:  no no that's not on
   7454 0.02%:  I think that one's not done
   7455 0.02%:  no that's not good even
   7456 0.02%: . I need to get an
   7457 0.02%:  no this one doesn't go on that
   7458 0.02%:  this one gets to
   7459 0.02%:  thanks hit
   7460 0.02%:  so I think that gets
   7461 0.02%:  I thank
   7462 0.02%:  so end the
   7463 0.02%:  that's totes on
   7464 0.02%:  seven
   7465 0.02%:  this one's gotten a
   7466 0.02%:  so it's good I have
   7467 0.02%:  so it's good I have the
   7468 0.02%:  so I don't think the one
   7469 0.02%:  so I've kinda gone
   7470 0.02%: . It doesn't tie
   7471 0.02%:  so this got even
   7472 0.02%:  no it's the end so that
   7473 0.02%:  no it's not the end thank
   7474 0.02%:  that one's too good. It
   7475 0.02%:  that's dis
   7476 0.02%:  so that's not good then
   7477 0.02%:  so the ending takes
   7478 0.02%:  ok that's not the end. I
   7479 0.02%:  no I need to go.
   7480 0.02%:  so I have done this too
   7481 0.02%:  so it's not even that good. I
   7482 0.02%:  it's not as good on
   7483 0.02%:  that's the end I got.
   7484 0.02%:  not that one'
   7485 0.04%:  not that one's not
   7486 0.05%:  not that one's not done
   7487 0.04%:  not that one's not in
   7488 0.03%:  not that one's not on
   7489 0.02%:  so that's the den
   7490 0.02%:  no that isn't good so
   7491 0.02%:  I've done this as
   7492 0.02%:  no it's not done I have to get
   7493 0.02%:  so I've got notes to take on
   7494 0.02%:  this one doesn't go at
   7495 0.06%:  this one doesn't go at the
   7496 0.02%:  that one's gone. I
   7497 0.02%:  it's good that those
   7498 0.02%:  I've got to end
   7499 0.10%:  I've got to end this one
   7500 0.05%:  I've got to end it
   7501 0.04%:  I've got to end this.
   7502 0.03%:  I've got to end this one soon
   7503 0.02%:  I've got to end this one so
   7504 0.02%:  I've got to end this soon
   7505 0.02%:  no this has to
   7506 0.02%:  that doesn't go on this
   7507 0.02%:  so I have not gotten the
   7508 0.02%:  so it's at
   7509 0.06%:  so it's at the
   7510 0.10%:  so it's at the end
   7511 0.02%:  good thank
   7512 0.02%:  no this one's not taken
   7513 0.02%:  so that's the ten
   7514 0.02%:  so I have to go set
   7515 0.02%:  that one's done. Is it not
   7516 0.02%: . I've got to see that
   7517 0.02%:  no that one's not the one
   7518 0.02%:  so I take this
   7519 0.04%:  so I take this to
   7520 0.02%:  so I need it to get
   7521 0.02%:  so I haven't got the end on
   7522 0.02%:  so that one's not even good.
   7523 0.02%:  that's got one
   7524 0.02%:  so I think a
   7525 0.02%:  so it's not that one I need
   7526 0.02%:  take notes
   7527 0.02%:  so no that one
   7528 0.02%:  that's no good on the
   7529 0.02%:  I need to go to the shit
   7530 0.02%:  that's it. I done
   7531 0.02%: . I think that one's too
   7532 0.02%:  so I got the idea to
   7533 0.02%:  no dis
   7534 0.02%:  no I have to get this on
   7535 0.02%:  I need to go soak
   7536 0.02%:  this one doesn't go the
   7537 0.02%:  so I haven't got it so
   7538 0.02%:  so I got this and then
   7539 0.02%:  this doesn't take the
   7540 0.02%:  I need to invest
   7541 0.02%:  I need to sne
   7542 0.02%:  that's not the ending. Isn
   7543 0.02%:  that one's not in the 
   7544 0.02%:  so I've got to dash
   7545 0.03%:  so I've got to dash to
   7546 0.02%:  no that's no good this one
   7547 0.02%:  and oh
   7548 0.02%:  I've got that one done too
   7549 0.02%:  a good
   7550 0.02%:  that one's done too. I think
   7551 0.02%:  so that one stood
   7552 0.02%:  no that one is good so
   7553 0.02%:  so I've got this a
   7554 0.02%:  soooo that's not the end
   7555 0.04%:  soooo that's not the end.
   7556 0.02%:  ok that's the end I
   7557 0.02%:  it doesn't go so
   7558 0.02%:  that's not the one so good
   7559 0.02%:  so it's not good at the
   7560 0.02%:  I had it
   7561 0.02%:  this one goes to the '
   7562 0.02%:  no thanks I need to go soon
   7563 0.02%:  that's the end in one
   7564 0.02%:  so I think that one needs no
   7565 0.02%:  that one is no good. It
   7566 0.02%:  no thanks I've got tons
   7567 0.02%:  that's the end so not
   7568 0.02%:  I've got to end this soon.
   7569 0.02%:  no that's not the end so go on
   7570 0.02%:  no one asked this one
   7571 0.02%:  that's not these
   7572 0.02%:  so that one's not nothing
   7573 0.02%: . I have to go think
   7574 0.02%:  that's the end on one
   7575 0.02%:  that's totes ending
   7576 0.02%:  so I haven't got the end so
   7577 0.02%:  no that's not good in
   7578 0.02%:  so I've done one thing
   7579 0.02%:  so I've done one thing that
   7580 0.02%:  so that's In
   7581 0.02%:  so I need to get on it
   7582 0.02%:  that's it the end I
   7583 0.02%:  that this one's not
   7584 0.02%:  that this one's not done
   7585 0.02%:  that this one's not on
   7586 0.02%:  so that's not it. I need
   7587 0.02%:  no it's not the end ok
   7588 0.02%:  that's not the I
   7589 0.02%: . I think that one needs to go
   7590 0.02%:  that isn't even done
   7591 0.02%:  thanks shooting
   7592 0.02%:  no it's gotta
   7593 0.04%:  no it's gotta end
   7594 0.02%:  no that's it the end I
   7595 0.02%:  and I've got tons
   7596 0.02%:  so that's the ending I took
   7597 0.02%:  so this one I took
   7598 0.02%:  I've got to shoot the
   7599 0.02%:  that's not on the non
   7600 0.02%: . I kinda
   7601 0.02%:  so I've done this one too
   7602 0.02%:  that's it. I need to g
   7603 0.02%: . I need to give
   7604 0.02%:  that one I've got the
   7605 0.02%:  that one doesn't in
   7606 0.02%:  on that note I end
   7607 0.04%:  on that note I end the
   7608 0.02%:  no that is not the end so no
   7609 0.02%:  that's the one I got on
   7610 0.02%:  so I don't have the sk
   7611 0.02%:  so that's done. It
   7612 0.03%:  so that's done. It took
   7613 0.02%:  I have to sign
   7614 0.02%:  so that one's gotten done
   7615 0.02%:  so I've got to the
   7616 0.02%: . I need to get on that soon
   7617 0.02%:  that's the one ending so
   7618 0.04%:  that's the one ending so I
   7619 0.02%:  so I need not
   7620 0.02%: . I have to get this done soon to
   7621 0.02%:  so I need to thank 
   7622 0.02%:  then. It
   7623 0.02%:  that's the one it
   7624 0.02%:  so I kinda got to
   7625 0.02%:  that one I do
   7626 0.03%:  that one I do not
   7627 0.03%:  that one I do not think
   7628 0.02%:  that one goes so
   7629 0.02%:  that one's no good it
   7630 0.02%:  so that one dies
   7631 0.02%:  I need to go into the hot
   7632 0.02%:  so that is the end. I've
   7633 0.05%:  so that is the end. I've got
   7634 0.02%:  that one is done. It's one
   7635 0.02%:  so it's not a good one I
   7636 0.02%:  that's not set
   7637 0.03%:  that's not set in
   7638 0.02%:  that's one tonight I
   7639 0.02%:  so the ending I
   7640 0.02%:  so that one's even
   7641 0.02%:  that's one setting I don
   7642 0.02%: . I think the end
   7643 0.02%:  so that's one he
   7644 0.02%:  so no I don't have the 
   7645 0.02%:  I've gotten one
   7646 0.02%:  that one's done so give
   7647 0.02%:  and the thing on
   7648 0.02%:  that doesn't in
   7649 0.02%:  so I do have one thing
   7650 0.02%: . I need ten
   7651 0.02%:  that no
   7652 0.02%:  no that's not the end song
   7653 0.02%:  that doesn't get on
   7654 0.02%:  so I need to get 
   7655 0.02%:  this one's no
   7656 0.02%:  I have to go on the set
   7657 0.02%:  no this one needs too
   7658 0.02%:  no that's good so
   7659 0.02%:  at
   7660 0.03%:  at the
   7661 0.02%:  no don't think
   7662 0.07%:  no don't think that
   7663 0.05%:  no don't think I have
   7664 0.04%:  no don't think that one
   7665 0.03%:  no don't think that I
   7666 0.02%:  no I don't think even
   7667 0.02%:  so I got that one done in the
   7668 0.02%:  and then I get
   7669 0.03%:  and then I get to
   7670 0.02%:  no this one got a
   7671 0.02%:  that one's not so hot. I don
   7672 0.02%:  I think that song
   7673 0.02%:  that's the skin
   7674 0.02%:  thanks I need to sing
   7675 0.02%:  I have to go so see
   7676 0.02%:  that's one ending to
   7677 0.02%: . I give the
   7678 0.02%:  taking
   7679 0.02%:  do not
   7680 0.02%:  I have to get on this
   7681 0.02%:  so on that night
   7682 0.02%:  it doesn't go to
   7683 0.02%:  that one's non
   7684 0.02%:  so I need to sign a
   7685 0.02%:  so it's not done at the
   7686 0.02%:  I need to go on one
   7687 0.02%: . It took a
   7688 0.02%:  no that isn't done
   7689 0.02%:  that's the ending no
   7690 0.02%:  no it's not done I gotta
   7691 0.02%:  I need to go to that one
   7692 0.02%:  so I've done that too
   7693 0.02%:  so gotta
   7694 0.02%:  ok that one's too
   7695 0.02%:  that one's done so go on
   7696 0.02%: . I need to sit on
   7697 0.04%: . I need to sit on that
   7698 0.02%:  that one's good too. I
   7699 0.02%:  so one thing I need
   7700 0.02%:  no this one's not that one.
   7701 0.02%:  I have to go kids
   7702 0.02%:  thanks I don't see
   7703 0.02%:  I have to see
   7704 0.02%:  no I took this the
   7705 0.02%:  so that's the one ending. It
   7706 0.02%:  soooo that's it.
   7707 0.02%:  that's it no need to go
   7708 0.02%:  so that's one not
   7709 0.02%: . Is that not
   7710 0.05%: . Is that not the
   7711 0.02%:  that one's given
   7712 0.02%:  that's one signed
   7713 0.02%:  so it does have one
   7714 0.02%:  so I think that one's too
   7715 0.02%:  I've done that one so this
   7716 0.02%:  no that's not even honest
   7717 0.02%:  that's not one. I
   7718 0.02%:  so that's good I think.
   7719 0.02%:  so then I go into
   7720 0.02%:  so that one is even
   7721 0.02%:  sooooo that's the ending I
   7722 0.02%:  ha
   7723 0.02%:  I've gone a
   7724 0.02%:  so I've got that one n
   7725 0.02%:  no that's not on the d
   7726 0.02%:  not it
   7727 0.02%:  so I don't have the sign
   7728 0.02%:  I have to go so don
   7729 0.02%:  that's the sn
   7730 0.02%:  no the end is that I get
   7731 0.02%:  so that's not ending the
   7732 0.02%:  so I need to tie that
   7733 0.02%:  so the one I
   7734 0.02%:  I get the
   7735 0.02%:  no one said I
   7736 0.02%:  this's not
   7737 0.05%:  this's not gonna
   7738 0.03%:  this's not gonna end
   7739 0.02%:  so note
   7740 0.02%:  that's it I got one
   7741 0.02%:  I need to sneak in
   7742 0.02%:  it doesn't go as
   7743 0.02%:  no this one doesn't have on
   7744 0.02%:  on that one then.
   7745 0.02%:  so I do have to go
   7746 0.02%:  thanks it's got
   7747 0.02%:  this one's got an
   7748 0.02%:  I need to go h
   7749 0.05%:  I need to go hone this a
   7750 0.02%:  no that's not ending I
   7751 0.02%: ee
   7752 0.02%:  that one ends soon too
   7753 0.02%:  that one goes to the d
   7754 0.02%:  so on a
   7755 0.02%:  I gotta do this on
   7756 0.02%:  so that one too
   7757 0.02%:  so I've got this need
   7758 0.02%:  so that's not done. I think
   7759 0.02%:  no I don't have the notes on
   7760 0.02%:  so I've got that one done in
   7761 0.02%:  no this one does not take
   7762 0.02%:  thanks does
   7763 0.02%:  no thats
   7764 0.02%:  that one's not even good. It
   7765 0.02%:  hotse
   7766 0.02%:  I need to go in to the
   7767 0.02%:  so setting
   7768 0.02%:  so I get it.
   7769 0.02%:  in that one I don't get
   7770 0.02%:  that one is not one
   7771 0.02%:  so then I need to go on a
   7772 0.02%:  so I've gotta end the
   7773 0.02%:  no I need one
   7774 0.02%:  so I don't hate
   7775 0.04%:  so I don't hate to
   7776 0.02%:  that one isn't so good to
   7777 0.02%:  no that's no good the
   7778 0.02%:  that's so good it
   7779 0.02%:  that one's no good I think.
   7780 0.02%:  the end is that I've got no
   7781 0.02%: . I haven't gotten it
   7782 0.02%:  so that one I think goes to
   7783 0.02%:  i need to get to
   7784 0.02%:  I need this one
   7785 0.04%:  I need this one to
   7786 0.02%:  that one too got
   7787 0.02%:  so I need to have it on
   7788 0.02%:  I've gotta note
   7789 0.02%:  that one's tested
   7790 0.02%:  this one's not one
   7791 0.02%:  so that's got one
   7792 0.02%:  no this one's not good that
   7793 0.02%:  so that's nothing I don
   7794 0.02%:  so i have
   7795 0.02%:  no one has these
   7796 0.02%:  so I've seen that
   7797 0.02%:  and these
   7798 0.02%:  no no that's it
   7799 0.04%:  no no that's it I
   7800 0.03%:  no no that's it I need
   7801 0.02%:  no instead
   7802 0.02%:  that one's not even good h
   7803 0.02%:  no that's the end it
   7804 0.02%:  that one I got done
   7805 0.04%:  that one I got done in
   7806 0.02%:  it hasn
   7807 0.04%:  it hasn't gotten
   7808 0.02%:  so that's the go
   7809 0.02%:  that's does
   7810 0.02%:  that's does not
   7811 0.02%:  no that is the end. I
   7812 0.06%:  no that is the end. I'
   7813 0.02%:  that one is not even good
   7814 0.03%:  that one is not even good.
   7815 0.02%:  need a
   7816 0.02%:  so it's not a done
   7817 0.02%:  so no that's not done
   7818 0.02%:  that one's done. I got this
   7819 0.07%:  that one's done. I got this one
   7820 0.02%:  that's nothing to see
   7821 0.02%:  I haven't got this on
   7822 0.02%:  so I think that one goes to 
   7823 0.02%:  so don't give that
   7824 0.06%:  so don't give that one
   7825 0.02%:  that's it. I need to go on so
   7826 0.02%:  this one's not good I
   7827 0.02%:  no that one's not done. I
   7828 0.02%:  so I've got to tie
   7829 0.02%:  so I don't have the ing
   7830 0.02%:  that one's not on its
   7831 0.02%:  so then I had to go
   7832 0.02%: . I've got to do
   7833 0.02%: . I've got to do this
   7834 0.04%: . I've got to do this one
   7835 0.02%: . I think that's one on
   7836 0.02%:  that does it. It's on
   7837 0.02%:  so it ends that
   7838 0.02%:  so I don't have it so
   7839 0.02%:  so don't get it
   7840 0.02%:  so I've gotten kinda
   7841 0.02%:  that one's the ending.
   7842 0.02%:  no thanks I've got tons to
   7843 0.02%:  soooo that's the ending
   7844 0.05%:  soooo that's the ending.
   7845 0.02%: . I've got these
   7846 0.02%:  on that note I've done
   7847 0.02%:  so I've gone a
   7848 0.02%:  no it's not the end. It has
   7849 0.02%:  that doing
   7850 0.02%:  no that one I need to go
   7851 0.02%:  an
   7852 0.02%:  so I've got that hook
   7853 0.03%:  so I've got that hooked in
   7854 0.02%:  so that ending's not even
   7855 0.02%:  thanks too
   7856 0.02%:  no the end is that one
   7857 0.02%:  that one's not done. It goes
   7858 0.02%:  the end is that one
   7859 0.02%:  so that's not the end. I give
   7860 0.02%:  that's done. I got to
   7861 0.02%:  not that one's done
   7862 0.03%:  not that one's done.
   7863 0.02%:  no it's not the end so I have
   7864 0.02%:  no it's not the end so I have to go
   7865 0.02%:  so I have signed
   7866 0.02%:  so I don't have the in
   7867 0.02%:  no this one that's not
   7868 0.02%:  no that is not the good
   7869 0.05%:  no that is not the good one
   7870 0.02%:  no need to take
   7871 0.03%:  no need to take this
   7872 0.03%:  no need to take this to
   7873 0.02%:  no that's the ending so no
   7874 0.02%:  so its not
   7875 0.05%:  so its not gonna
   7876 0.03%:  so its not a
   7877 0.02%:  it's gonna end soon
   7878 0.02%:  it's gonna end soon.
   7879 0.02%:  that's good honest.
   7880 0.02%:  so it's not done on
   7881 0.03%:  so it's not done on the
   7882 0.02%:  that's it I go
   7883 0.03%:  that's it I go to
   7884 0.02%:  I have to send
   7885 0.13%:  I have to send this one
   7886 0.04%:  I have to send it
   7887 0.03%:  I have to send this one to
   7888 0.02%:  no it's done thank
   7889 0.02%:  I think that one's good on
   7890 0.02%:  no the end isn
   7891 0.34%:  no the end isn't that
   7892 0.02%:  it's done so thank
   7893 0.02%:  that one needs t
   7894 0.02%:  that one's not even in good
   7895 0.02%:  so that's not the ending o
   7896 0.02%:  that's not gone
   7897 0.02%:  so I need no
   7898 0.02%:  no I think that one doesn
   7899 0.02%:  so I go
   7900 0.02%:  that's the set I
   7901 0.02%:  that one not so
   7902 0.03%:  that one not so good
   7903 0.04%:  that one not so good.
   7904 0.02%: . I think that goes onto
   7905 0.02%:  that's the one end so
   7906 0.02%:  that one's not too sh
   7907 0.02%:  no this one ends the
   7908 0.02%:  so that one isn't hot
   7909 0.02%:  that song
   7910 0.02%:  no that's the end I get
   7911 0.02%:  I need to not eat
   7912 0.02%:  I gotta do this one too
   7913 0.02%:  that's not the end sign
   7914 0.02%:  I have to go sit
   7915 0.03%:  I have to go sit on
   7916 0.02%:  this one's not at
   7917 0.02%:  that one's not the ending I
   7918 0.02%:  no thanks to the ending
   7919 0.02%:  no this one's done. I have
   7920 0.02%:  I've got this one done thank
   7921 0.02%:  no that's not It
   7922 0.02%:  no that one's no good this
   7923 0.02%:  so in the end I'
   7924 0.03%:  so in the end I've
   7925 0.05%:  so in the end I've got
   7926 0.02%:  so I don't have the seg
   7927 0.02%:  that's soon
   7928 0.02%:  so I don't have the set
   7929 0.02%:  no that's the end I got
   7930 0.02%:  so it needs to go
   7931 0.02%:  so that's it get
   7932 0.02%:  I don't get the
   7933 0.02%:  that one is not good I
   7934 0.02%:  so that one in
   7935 0.02%: 's the
   7936 0.02%:  gee
   7937 0.02%: . I got that one done
   7938 0.02%:  this one had one
   7939 0.02%:  no that's not even it
   7940 0.02%:  no that's the end. It is
   7941 0.02%:  so I don't have to go on then
   7942 0.02%:  so then I go on
   7943 0.02%:  so that's the no
   7944 0.02%:  so don't take it too
   7945 0.02%:  good sense
   7946 0.02%:  that's no no
   7947 0.02%:  so i need
   7948 0.02%:  I have to get this done to
   7949 0.02%:  so I need this to go on a
   7950 0.02%:  that one's into
   7951 0.02%:  that's in the oven
   7952 0.02%:  that one's gotten so
   7953 0.02%:  so I don't have the skin
   7954 0.03%:  so I don't have the skin to
   7955 0.02%: . I have the ending
   7956 0.02%:  so I don't have the on
   7957 0.02%:  that shoot
   7958 0.02%:  that one shot too
   7959 0.02%:  that one is too good. It
   7960 0.02%:  no that's it I need to go.
   7961 0.02%:  so the end is that I got one
   7962 0.02%:  so that one's gotten kind
   7963 0.02%:  that's not the end so.
   7964 0.02%:  that does it. I've gone
   7965 0.06%:  that does it. I've gone too
   7966 0.02%:  no that's not good isn
   7967 0.02%:  I need to go to this one
   7968 0.02%:  this stage
   7969 0.02%:  that's it. I set
   7970 0.02%:  that's it. I need the 
   7971 0.02%:  that is the end. I get
   7972 0.02%:  no no that's it.
   7973 0.02%:  and then I get the
   7974 0.02%:  no I haven't gotten this
   7975 0.02%:  so that's the evening
   7976 0.02%:  so the end is that I got 
   7977 0.02%:  no this one's not done I have
   7978 0.02%:  so no one has the
   7979 0.02%:  so I don't think that song
   7980 0.02%:  I got that done
   7981 0.11%:  I got that done in one
   7982 0.02%:  I got that done in one shot
   7983 0.02%:  so that isn't even on
   7984 0.02%:  no thanks I need to go sit
   7985 0.03%:  no thanks I need to go sit on
   7986 0.02%:  that one's not on the ones
   7987 0.02%:  that is the end I've got on
   7988 0.02%:  that is not done
   7989 0.02%:  that's note
   7990 0.02%:  so that one thing took
   7991 0.02%:  so I don't have to sit
   7992 0.02%:  so I have to send it
   7993 0.02%:  so I have to send it to the
   7994 0.02%:  so I don't think the agent
   7995 0.02%:  no this one I don't have.
   7996 0.02%:  I see that this
   7997 0.02%:  so that one's one the
   7998 0.02%:  so I've got kids
   7999 0.02%:  need to get that
   8000 0.02%:  no I need to get that
   8001 0.02%:  so that one doesnt go
   8002 0.02%:  then. I gotta
   8003 0.02%:  that one's not on the nove
   8004 0.02%:  so I get it'
   8005 0.04%:  so I get it's not
   8006 0.02%:  I have to go so don't think
   8007 0.02%:  no that is not the end no
   8008 0.02%: . I have done the
   8009 0.02%:  so I've got the end to
   8010 0.02%:  this one's not good. I
   8011 0.02%:  that's it I need to go soon.
   8012 0.02%:  so that is the one good one.
   8013 0.02%:  so I haven't gotten to do
   8014 0.02%:  no that isn't the good
   8015 0.02%:  so it's no good.
   8016 0.02%:  so that's the on
   8017 0.02%:  it's the end. It took
   8018 0.02%:  that one is done too so
   8019 0.02%:  I need to tie
   8020 0.02%:  the end is that I get
   8021 0.02%:  it's too soon
   8022 0.03%:  it's too soon to
   8023 0.02%:  done I
   8024 0.02%:  so I've got an honest
   8025 0.02%:  it's not good to
   8026 0.02%:  so I don't have no
   8027 0.02%:  this one goes at
   8028 0.02%:  so that took eight
   8029 0.02%:  no I have to get on
   8030 0.02%:  that's the end notes.
   8031 0.02%:  I need that to go into
   8032 0.02%:  that's the dogs
   8033 0.02%:  that's into
   8034 0.02%:  that one's in the 
   8035 0.02%:  so it's gone on too
   8036 0.02%:  that one goes on the nov
   8037 0.02%:  so this one had too
   8038 0.02%:  so I don't have to think too
   8039 0.02%: . Is this the
   8040 0.02%: . Is this the end
   8041 0.02%:  that's done. Is it on
   8042 0.02%:  no that's not it even
   8043 0.02%:  so that one needs too
   8044 0.02%:  that one is need
   8045 0.02%:  so that one's non
   8046 0.02%:  that is the end so I've
   8047 0.02%:  so I don't get to have
   8048 0.02%:  so it's good that none
   8049 0.02%:  that one doesn't go. I think
   8050 0.02%:  I've got that in the
   8051 0.02%:  I don't think one
   8052 0.02%:  so it's not good to
   8053 0.02%:  so that one's got to end
   8054 0.02%:  no it's the end so thank
   8055 0.02%:  so that's nothing.
   8056 0.04%:  so that's nothing. I
   8057 0.02%:  so that's nothing. I need
   8058 0.02%:  in that one I don't even
   8059 0.02%:  and it goes on the
   8060 0.02%:  that one isn't one the
   8061 0.02%:  that one's gone too
   8062 0.02%:  so this one I don't have too
   8063 0.02%:  so the end is that I took
   8064 0.02%:  so that one it
   8065 0.02%:  so then I have one
   8066 0.02%:  I need to go so this
   8067 0.02%:  I've gotta do one
   8068 0.02%:  so no one thinks
   8069 0.03%:  so no one thinks that
   8070 0.02%:  thats not
   8071 0.02%:  so that one is the one I don
   8072 0.02%:  that's one good one. I
   8073 0.02%:  that's one good one. I think
   8074 0.02%:  so on this
   8075 0.04%:  so on this one
   8076 0.06%:  so on this one the
   8077 0.04%:  so on this one I'
   8078 0.02%: . I think that's good note
   8079 0.02%:  I need to get on to this.
   8080 0.02%:  no I took that ending
   8081 0.02%:  this does not get
   8082 0.02%:  so that's not eighteen
   8083 0.02%:  so it's not not
   8084 0.05%:  so it's not not gonna
   8085 0.05%:  so it's not not a
   8086 0.04%:  so it's not not a good
   8087 0.02%:  that needs to go in
   8088 0.02%:  so it's an end
   8089 0.02%:  so it's done. I
   8090 0.02%:  so the kids have
   8091 0.02%:  so it's not on that one
   8092 0.02%:  so I need to get on it.
   8093 0.02%:  no that one isn't good. It
   8094 0.02%:  on that one I get
   8095 0.02%:  no that's no the
   8096 0.03%:  no that's no the end.
   8097 0.02%:  so I don't have the no
   8098 0.02%:  so the idea took
   8099 0.02%:  so I took this to
   8100 0.02%:  this one goes on too
   8101 0.02%:  no that one needs too
   8102 0.02%:  that one's not in. It
   8103 0.02%:  so the end's not a
   8104 0.02%:  that's it goood
   8105 0.02%:  no it's not that good h
   8106 0.02%:  I have not
   8107 0.02%:  that's good notes on
   8108 0.02%:  so that's it. I got one
   8109 0.02%:  that one's done. It took so
   8110 0.02%:  it goes on to
   8111 0.02%:  that one's in the oven so
