set 'em up, future generations knock 'em down!
    22,850 0* 0.00000% (99.905% 0.073% 0.022%)  'm down, ref                                                                                                                  -----------ceeekkmnopsttuuu'!
    22,851 0* 0.00000% (99.905% 0.073% 0.022%)  'm from now, generations                                                                                                      cdeeeekknpsttuuu'!
    22,852 0* 0.00000% (99.905% 0.073% 0.022%)  , sure!                                                                                                                       -----------cdeeefkkmmnnoopttuuw''
    22,853 0* 0.00000% (99.905% 0.073% 0.022%)  'd knock me up som                                                                                                            -----------eeefnrttuuw',!
    22,854 0* 0.00000% (99.905% 0.073% 0.022%)   dump for generations to                                                                                                      ceeeekkmnnstuuw'',!
    22,855 0* 0.00000% (99.905% 0.073% 0.022%)   wrote comment                                                                                                                -----------deefkknpsuuu'',!
    22,856 0* 0.00000% (99.905% 0.073% 0.022%)   rocked up                                                                                                                    -----------eeefkmmnnosttuuw'',!
    22,857 0* 0.00000% (99.905% 0.073% 0.022%)  'd trust me on                                                                                                                -----------ceeefkkmnopuuw',!
    22,858 0* 0.00000% (99.905% 0.073% 0.022%)   use d                                                                                                                        -----------ceeefkkmmnnooprttuuw'',!
    22,859 0* 0.00000% (99.905% 0.073% 0.022%)  'm not more used                                                                                                              -----------ceefkknptuuw',!
    22,860 0* 0.00000% (99.905% 0.073% 0.022%)  'm someone future generations '                                                                                               cdekknptuw,!
    22,861 0* 0.00000% (99.905% 0.073% 0.022%)  'd keep us                                                                                                                    -----------ceefkmmnnoorttuuw',!
    22,862 0* 0.00000% (99.905% 0.073% 0.022%)  'm free to dump now!                                                                                                          -----------ceekknstuu',
    22,863 0* 0.00000% (99.905% 0.073% 0.022%)  'm sure ok!                                                                                                                   -----------cdeeefkmnnopttuuw',
    22,864 0* 0.00000% (99.905% 0.073% 0.022%)  'm done cut                                                                                                                   -----------eeefkkmnoprstuuw',!
    22,865 0* 0.00000% (99.905% 0.073% 0.022%)   count me '                                                                                                                   -----------deeefkkmnoprstuuw',!
    22,866 0* 0.00000% (99.905% 0.073% 0.022%)  'm future generations not sucked                                                                                              eekmnopw',!
    22,867 0* 0.00000% (99.905% 0.073% 0.022%)  'm down, me                                                                                                                   -----------ceeefkknoprsttuuu'!
    22,868 0* 0.00000% (99.905% 0.073% 0.022%)  'm down, me!                                                                                                                  -----------ceeefkknoprsttuuu'
    22,869 0* 0.00000% (99.905% 0.073% 0.022%)  'm on screw                                                                                                                   -----------deeefkkmnopttuuu',!
    22,870 0* 0.00000% (99.905% 0.073% 0.022%)   see, po                                                                                                                      -----------cdeefkkmmnnorttuuuw''!
    22,871 0* 0.00000% (99.905% 0.073% 0.022%)  'm knocked up, free                                                                                                           -----------emnosttuuw'!
    22,872 0* 0.00000% (99.905% 0.073% 0.022%)  'm one future generations must                                                                                                cdeekknopw',!
    22,873 0* 0.00000% (99.905% 0.073% 0.022%)  'm punk from                                                                                                                  -----------cdeeeeknosttuuw',!
    22,874 0* 0.00000% (99.905% 0.073% 0.022%)  ''count                                                                                                                       -----------deeeefkkmmnoprstuuw,!
    22,875 0* 0.00000% (99.905% 0.073% 0.022%)  'm not sure we met up                                                                                                         -----------cdefkknou',!
    22,876 0* 0.00000% (99.905% 0.073% 0.022%)  'm no dust                                                                                                                    -----------ceeeefkkmnoprtuuw',!
    22,877 0* 0.00000% (99.905% 0.073% 0.022%)  'm set to produce                                                                                                             -----------eefkkmnnuuw',!
    22,878 0* 0.00000% (99.905% 0.073% 0.022%)  'm set to produce generations                                                                                                 eefkkmnnuuw',!
    22,879 0* 0.00000% (99.905% 0.073% 0.022%)  med                                                                                                                           -----------ceeefkkmnnooprsttuuuw'',!
    22,880 0* 0.00000% (99.905% 0.073% 0.022%)   fucked up, too!                                                                                                              -----------eeekmmnnrstuw''
    22,881 0* 0.00000% (99.905% 0.073% 0.022%)  'm open to future us                                                                                                          -----------cdeekkmnw',!
    22,882 0* 0.00000% (99.905% 0.073% 0.022%)  'm fun, suck                                                                                                                  -----------deeeekmnooprttuw'!
    22,883 0* 0.00000% (99.905% 0.073% 0.022%)  'm out, dump                                                                                                                  -----------ceeeefkknnorstuw'!
    22,884 0* 0.00000% (99.905% 0.073% 0.022%)  'm future generations open to                                                                                                 cdeekkmnsuw',!
    22,885 0* 0.00000% (99.905% 0.073% 0.022%)  'm sure we counted                                                                                                            -----------efkkmnoptu',!
    22,886 0* 0.00000% (99.905% 0.073% 0.022%)   future me, not                                                                                                               -----------cdeekkmnopsuw''!
    22,887 0* 0.00000% (99.905% 0.073% 0.022%)  'm now, respect                                                                                                               -----------deefkkmnotuuu'!
    22,888 0* 0.00000% (99.905% 0.073% 0.022%)  'm free to pet                                                                                                                -----------cdekkmnnosuuuw',!
    22,889 0* 0.00000% (99.905% 0.073% 0.022%)  'd put generations of women                                                                                                   ceeekkmnrstuu',!
    22,890 0* 0.00000% (99.905% 0.073% 0.022%)  'm recent generations up,                                                                                                     deefkkmnoostuuw'!
    22,891 0* 0.00000% (99.905% 0.073% 0.022%)  'm more fucked up'                                                                                                            -----------eeknnosttuw,!
    22,892 0* 0.00000% (99.905% 0.073% 0.022%)   wonder, 'c                                                                                                                   -----------eeefkkmmnopsttuuu'!
    22,893 0* 0.00000% (99.905% 0.073% 0.022%)   know, tur                                                                                                                    -----------cdeeeefkmmnopstuu''!
    22,894 0* 0.00000% (99.905% 0.073% 0.022%)  'm now free to keep                                                                                                           -----------cdkmnstuuu',!
    22,895 0* 0.00000% (99.905% 0.073% 0.022%)  'm free men to pe                                                                                                             -----------cdkknostuuuw',!
    22,896 0* 0.00000% (99.905% 0.073% 0.022%)  ' m m                                                                                                                         -----------cdeeeefkknnooprsttuuuw',!
    22,897 0* 0.00000% (99.905% 0.073% 0.022%)  'd score me                                                                                                                   -----------eefkkmnnopttuuuw',!
    22,898 0* 0.00000% (99.905% 0.073% 0.022%)  'm sure generations of em                                                                                                     cdeekknnopttuuw',!
    22,899 0* 0.00000% (99.905% 0.073% 0.022%)  'ms'                                                                                                                          -----------cdeeeefkkmnnooprttuuuw,!
    22,900 0* 0.00000% (99.905% 0.073% 0.022%)   don't future generations see                                                                                                 cekkmmnopuw',!
    22,901 0* 0.00000% (99.905% 0.073% 0.022%)  'm me no                                                                                                                      -----------cdeeefkknoprsttuuuw',!
    22,902 0* 0.00000% (99.905% 0.073% 0.022%)  'm come up to                                                                                                                 -----------deeefkknnrstuuw',!
    22,903 0* 0.00000% (99.905% 0.073% 0.022%)  'm free cook                                                                                                                  -----------deekmnnpsttuuuw',!
    22,904 0* 0.00000% (99.905% 0.073% 0.022%)  'd put mere                                                                                                                   -----------ceefkkmnnoostuuw',!
    22,905 0* 0.00000% (99.905% 0.073% 0.022%)   feet                                                                                                                         -----------cdeekkmmnnooprstuuuw'',!
    22,906 0* 0.00000% (99.905% 0.073% 0.022%)   me!                                                                                                                          -----------cdeeefkkmnnooprsttuuuw'',
    22,907 0* 0.00000% (99.905% 0.073% 0.022%)  'm future generations sm                                                                                                      cdeeekknnooptuw',!
    22,908 0* 0.00000% (99.905% 0.073% 0.022%)   know, future generations use mem                                                                                             cdeknopt''!
    22,909 0* 0.00000% (99.905% 0.073% 0.022%)  'm focused on true,                                                                                                           -----------eekkmnptuw'!
    22,910 0* 0.00000% (99.905% 0.073% 0.022%)   ten                                                                                                                          -----------cdeeefkkmmnooprstuuuw'',!
    22,911 0* 0.00000% (99.905% 0.073% 0.022%)   come up, not                                                                                                                 -----------deeefkkmnrstuuw''!
    22,912 0* 0.00000% (99.905% 0.073% 0.022%)  'd 'spec                                                                                                                      -----------eeefkkmmnnoorttuuuw,!
    22,913 0* 0.00000% (99.905% 0.073% 0.022%)  'd sue 'em, too                                                                                                               -----------ceefkkmnnprtuuw!
    22,914 0* 0.00000% (99.905% 0.073% 0.022%)  'd sue 'em, too!                                                                                                              -----------ceefkkmnnprtuuw
    22,915 0* 0.00000% (99.905% 0.073% 0.022%)  'm focused                                                                                                                    -----------eeekkmnnoprttuuw',!
    22,916 0* 0.00000% (99.905% 0.073% 0.022%)   knock from                                                                                                                   -----------deeeemnpsttuuuw'',!
    22,917 0* 0.00000% (99.905% 0.073% 0.022%)  'm so ru                                                                                                                      -----------cdeeeefkkmnnopttuuw',!
    22,918 0* 0.00000% (99.905% 0.073% 0.022%)  'm super dock                                                                                                                 -----------eeefkmnnottuuw',!
    22,919 0* 0.00000% (99.905% 0.073% 0.022%)   must not come                                                                                                                -----------deeefkknpruuw'',!
    22,920 0* 0.00000% (99.905% 0.073% 0.022%)   must not come up                                                                                                             -----------deeefkknruw'',!
    22,921 0* 0.00000% (99.905% 0.073% 0.022%)  'd count 'em pe                                                                                                               -----------eefkkmnorstuuw,!
    22,922 0* 0.00000% (99.905% 0.073% 0.022%)  , out of respect                                                                                                              -----------deekkmmnnuuw''!
    22,923 0* 0.00000% (99.905% 0.073% 0.022%)  'm sure ten generations up                                                                                                    cdeefkkmnootuw',!
    22,924 0* 0.00000% (99.905% 0.073% 0.022%)  'm fucked up, mon                                                                                                             -----------eeeknorsttuw'!
    22,925 0* 0.00000% (99.905% 0.073% 0.022%)  'm often pos                                                                                                                  -----------cdeeekkmnrtuuuw',!
    22,926 0* 0.00000% (99.905% 0.073% 0.022%)  'm respected, no                                                                                                              -----------efkkmnotuuuw'!
    22,927 0* 0.00000% (99.905% 0.073% 0.022%)   works out                                                                                                                    -----------cdeeeefkmmnnptuu'',!
    22,928 0* 0.00000% (99.905% 0.073% 0.022%)   confuse 'po                                                                                                                  -----------deeekkmmnrttuuw',!
    22,929 0* 0.00000% (99.905% 0.073% 0.022%)  'm out deep                                                                                                                   -----------ceefkkmnnorstuuw',!
    22,930 0* 0.00000% (99.905% 0.073% 0.022%)  'm out deep,                                                                                                                  -----------ceefkkmnnorstuuw'!
    22,931 0* 0.00000% (99.905% 0.073% 0.022%)  'm one future generations suck                                                                                                deekmnoptw',!
    22,932 0* 0.00000% (99.905% 0.073% 0.022%)   put som                                                                                                                      -----------cdeeeefkkmnnortuuw'',!
    22,933 0* 0.00000% (99.905% 0.073% 0.022%)  'm modest, not                                                                                                                -----------ceeefkknpruuuw'!
    22,934 0* 0.00000% (99.905% 0.073% 0.022%)  'm out of duck                                                                                                                -----------eeeekmnnprstuw',!
    22,935 0* 0.00000% (99.905% 0.073% 0.022%)   meet new                                                                                                                     -----------cdefkkmnooprstuuu'',!
    22,936 0* 0.00000% (99.905% 0.073% 0.022%)  'm out, screen                                                                                                                -----------deefkkmnoptuuw'!
    22,937 0* 0.00000% (99.905% 0.073% 0.022%)  'm due for two!                                                                                                               -----------ceeekkmnnpstuu',
    22,938 0* 0.00000% (99.905% 0.073% 0.022%)  'm open to s                                                                                                                  -----------cdeeefkkmnrtuuuw',!
    22,939 0* 0.00000% (99.905% 0.073% 0.022%)   know, supr                                                                                                                   -----------cdeeeefkmmnottuu''!
    22,940 0* 0.00000% (99.905% 0.073% 0.022%)  'm so knee deep                                                                                                               -----------cfkmnorttuuuw',!
    22,941 0* 0.00000% (99.905% 0.073% 0.022%)  'm cordon                                                                                                                     -----------eeeefkkmnpsttuuuw',!
    22,942 0* 0.00000% (99.905% 0.073% 0.022%)  'm feet wet                                                                                                                   -----------cdekkmnnooprsuuu',!
    22,943 0* 0.00000% (99.905% 0.073% 0.022%)  'm feet wet,                                                                                                                  -----------cdekkmnnooprsuuu'!
    22,944 0* 0.00000% (99.905% 0.073% 0.022%)  'm screwed up, to                                                                                                             -----------eefkkmnnotuu'!
    22,945 0* 0.00000% (99.905% 0.073% 0.022%)  'm to future men                                                                                                              -----------cdeekknopsuw',!
    22,946 0* 0.00000% (99.905% 0.073% 0.022%)  'd cum so                                                                                                                     -----------eeeefkkmnnoprttuuw',!
    22,947 0* 0.00000% (99.905% 0.073% 0.022%)  'm set, more                                                                                                                  -----------cdeefkknnoptuuuw'!
    22,948 0* 0.00000% (99.905% 0.073% 0.022%)  'd count 'em up, more                                                                                                         -----------eefkknstuw!
    22,949 0* 0.00000% (99.905% 0.073% 0.022%)  'm worked up some!                                                                                                            -----------ceefknnttuu',
    22,950 0* 0.00000% (99.905% 0.073% 0.022%)  'm often worked up!                                                                                                           -----------ceekmnstuu',
    22,951 0* 0.00000% (99.905% 0.073% 0.022%)  'm set, rock                                                                                                                  -----------deeefkmnnoptuuuw'!
    22,952 0* 0.00000% (99.905% 0.073% 0.022%)  'm super out,                                                                                                                 -----------cdeeefkkmnnotuw'!
    22,953 0* 0.00000% (99.905% 0.073% 0.022%)  'm to women                                                                                                                   -----------cdeeefkknprstuuu',!
    22,954 0* 0.00000% (99.905% 0.073% 0.022%)  'm no scr                                                                                                                     -----------deeeefkkmnopttuuuw',!
    22,955 0* 0.00000% (99.905% 0.073% 0.022%)  'm now surf                                                                                                                   -----------cdeeeekkmnopttuu',!
    22,956 0* 0.00000% (99.905% 0.073% 0.022%)  'm too respected                                                                                                              -----------efkkmnnuuuw',!
    22,957 0* 0.00000% (99.905% 0.073% 0.022%)  'm free, unc                                                                                                                  -----------deekkmnoopsttuuw'!
    22,958 0* 0.00000% (99.905% 0.073% 0.022%)  'd meet women                                                                                                                 -----------cefkknoprstuuu',!
    22,959 0* 0.00000% (99.905% 0.073% 0.022%)  'm sure, w                                                                                                                    -----------cdeeefkkmnnoopttuu'!
    22,960 0* 0.00000% (99.905% 0.073% 0.022%)  'm suck for generations!                                                                                                      deeeekmnnopttuuw',
    22,961 0* 0.00000% (99.905% 0.073% 0.022%)   wont' keep                                                                                                                   -----------cdeefkmmnorstuuu',!
    22,962 0* 0.00000% (99.905% 0.073% 0.022%)  'd use future generations to                                                                                                  ceekkmmnnopw',!
    22,963 0* 0.00000% (99.905% 0.073% 0.022%)  'm on coke                                                                                                                    -----------deeefkmnprsttuuuw',!
    22,964 0* 0.00000% (99.905% 0.073% 0.022%)  'm done perfect!                                                                                                              -----------ekkmnostuuuw',
    22,965 0* 0.00000% (99.905% 0.073% 0.022%)  'm pure fo'                                                                                                                   -----------cdeeekkmnnosttuuw,!
    22,966 0* 0.00000% (99.905% 0.073% 0.022%)  'm come' on                                                                                                                   -----------deeefkknprsttuuuw,!
    22,967 0* 0.00000% (99.905% 0.073% 0.022%)   won't presume to,                                                                                                            -----------cdeefkkmnuu'!
    22,968 0* 0.00000% (99.905% 0.073% 0.022%)   won't presume to, um                                                                                                         -----------cdeefkknu'!
    22,969 0* 0.00000% (99.905% 0.073% 0.022%)  'm future generations' neut                                                                                                   cdeekkmnoopsw,!
    22,970 0* 0.00000% (99.905% 0.073% 0.022%)   won't rust                                                                                                                   -----------cdeeeefkkmmnopuu',!
    22,971 0* 0.00000% (99.905% 0.073% 0.022%)  'm done pork                                                                                                                  -----------ceeefkmnsttuuuw',!
    22,972 0* 0.00000% (99.905% 0.073% 0.022%)  'm fun, ut                                                                                                                    -----------cdeeeekkmnooprstuw'!
    22,973 0* 0.00000% (99.905% 0.073% 0.022%)   mo'fo                                                                                                                        -----------cdeeeekkmnnprsttuuuw',!
    22,974 0* 0.00000% (99.905% 0.073% 0.022%)   mo'fo'                                                                                                                       -----------cdeeeekkmnnprsttuuuw,!
    22,975 0* 0.00000% (99.905% 0.073% 0.022%)  'm 'pret                                                                                                                      -----------cdeeefkkmnnoostuuuw,!
    22,976 0* 0.00000% (99.905% 0.073% 0.022%)   too keep                                                                                                                     -----------cdeefkmmnnrstuuuw'',!
    22,977 0* 0.00000% (99.905% 0.073% 0.022%)  'm super tone de                                                                                                              -----------cefkkmnotuuw',!
    22,978 0* 0.00000% (99.905% 0.073% 0.022%)  'm perfect, m                                                                                                                 -----------deekknnoostuuuw'!
    22,979 0* 0.00000% (99.905% 0.073% 0.022%)  ' m s                                                                                                                         -----------cdeeeefkkmnnooprttuuuw',!
    22,980 0* 0.00000% (99.905% 0.073% 0.022%)   poured one                                                                                                                   -----------ceefkkmmnsttuuw'',!
    22,981 0* 0.00000% (99.905% 0.073% 0.022%)   suck pun                                                                                                                     -----------deeeefkmmnoorttuw'',!
    22,982 0* 0.00000% (99.905% 0.073% 0.022%)  'm not future generations sucked                                                                                              eekmnopw',!
    22,983 0* 0.00000% (99.905% 0.073% 0.022%)  , en                                                                                                                          -----------cdeeefkkmmnooprsttuuuw''!
    22,984 0* 0.00000% (99.905% 0.073% 0.022%)   won't ste                                                                                                                    -----------cdeeefkkmmnopruuu',!
    22,985 0* 0.00000% (99.905% 0.073% 0.022%)   won't steer                                                                                                                  -----------cdeefkkmmnopuuu',!
    22,986 0* 0.00000% (99.905% 0.073% 0.022%)  's not me                                                                                                                     -----------cdeeefkkmnoprtuuuw',!
    22,987 0* 0.00000% (99.905% 0.073% 0.022%)  's not me,                                                                                                                    -----------cdeeefkkmnoprtuuuw'!
    22,988 0* 0.00000% (99.905% 0.073% 0.022%)  'm no pose                                                                                                                    -----------cdeeefkkmnrttuuuw',!
    22,989 0* 0.00000% (99.905% 0.073% 0.022%)  'm no poseur                                                                                                                  -----------cdeeefkkmnttuuw',!
    22,990 0* 0.00000% (99.905% 0.073% 0.022%)  'm no poseur!                                                                                                                 -----------cdeeefkkmnttuuw',
    22,991 0* 0.00000% (99.905% 0.073% 0.022%)  'm no poseur,                                                                                                                 -----------cdeeefkkmnttuuw'!
    22,992 0* 0.00000% (99.905% 0.073% 0.022%)  'm sure new generations kept                                                                                                  cdefkmnootuu',!
    22,993 0* 0.00000% (99.905% 0.073% 0.022%)  'm more nut                                                                                                                   -----------cdeeefkknopstuuw',!
    22,994 0* 0.00000% (99.905% 0.073% 0.022%)  'm our generations' document                                                                                                  eeefkknpstuw,!
    22,995 0* 0.00000% (99.905% 0.073% 0.022%)  'm two fun                                                                                                                    -----------cdeeeekkmnoprstuu',!
    22,996 0* 0.00000% (99.905% 0.073% 0.022%)  'd count up two generations                                                                                                   eeeefkkmmnrsu',!
    22,997 0* 0.00000% (99.905% 0.073% 0.022%)  'd count peer                                                                                                                 -----------eefkkmmnostuuw',!
    22,998 0* 0.00000% (99.905% 0.073% 0.022%)   knew cr                                                                                                                      -----------deeefkmmnoopsttuuu'',!
    22,999 0* 0.00000% (99.905% 0.073% 0.022%)   don't crop                                                                                                                   -----------eeeefkkmmnstuuuw',!
    23,000 0* 0.00000% (99.905% 0.073% 0.022%)  'm free to step on                                                                                                            -----------cdekkmnuuuw',!
    23,001 0* 0.00000% (99.905% 0.073% 0.022%)  'm down to u                                                                                                                  -----------ceeeefkkmnprstuu',!
    23,002 0* 0.00000% (99.905% 0.073% 0.022%)   often do,                                                                                                                    -----------ceeekkmmnprstuuuw''!
    23,003 0* 0.00000% (99.905% 0.073% 0.022%)  'm tree'                                                                                                                      -----------cdeefkkmnnoopstuuuw,!
    23,004 0* 0.00000% (99.905% 0.073% 0.022%)  'm not 'prom                                                                                                                  -----------cdeeeefkknstuuuw,!
    23,005 0* 0.00000% (99.905% 0.073% 0.022%)  'm more 'suck                                                                                                                 -----------deeefknnopttuuw,!
    23,006 0* 0.00000% (99.905% 0.073% 0.022%)  'm under two feet                                                                                                             -----------cekkmnopsuu',!
    23,007 0* 0.00000% (99.905% 0.073% 0.022%)   don't see me cur                                                                                                             -----------efkkmnoptuuw',!
    23,008 0* 0.00000% (99.905% 0.073% 0.022%)  'd count future generations keeps                                                                                             ekmmnow',!
    23,009 0* 0.00000% (99.905% 0.073% 0.022%)   often, u                                                                                                                     -----------cdeeekkmmnoprstuuw''!
    23,010 0* 0.00000% (99.905% 0.073% 0.022%)  'm future generations two,                                                                                                    cdeeekkmnnopsu'!
    23,011 0* 0.00000% (99.905% 0.073% 0.022%)  'd suck up to me!                                                                                                             -----------eeefkmnnortuw',
    23,012 0* 0.00000% (99.905% 0.073% 0.022%)   know, sem                                                                                                                    -----------cdeeefkmnoprttuuu''!
    23,013 0* 0.00000% (99.905% 0.073% 0.022%)  'd e'en put                                                                                                                   -----------ceefkkmmnoorstuuw,!
    23,014 0* 0.00000% (99.905% 0.073% 0.022%)  'm open, to                                                                                                                   -----------cdeeefkkmnrstuuuw'!
    23,015 0* 0.00000% (99.905% 0.073% 0.022%)  'm two for ten                                                                                                                -----------cdeeekkmnpsuuu',!
    23,016 0* 0.00000% (99.905% 0.073% 0.022%)  'm up to me!                                                                                                                  -----------cdeeefkknnorstuuw',
    23,017 0* 0.00000% (99.905% 0.073% 0.022%)  'm 'present                                                                                                                   -----------cdeefkkmnootuuuw,!
    23,018 0* 0.00000% (99.905% 0.073% 0.022%)   don't keep k                                                                                                                 -----------ceefmmnorstuuuw',!
    23,019 0* 0.00000% (99.905% 0.073% 0.022%)  'm super down, um                                                                                                             -----------ceeefkknottu'!
    23,020 0* 0.00000% (99.905% 0.073% 0.022%)   don't suprem                                                                                                                 -----------ceeefkkmnotuuw',!
    23,021 0* 0.00000% (99.905% 0.073% 0.022%)   put one duck                                                                                                                 -----------eeefkmmnorstuw'',!
    23,022 0* 0.00000% (99.905% 0.073% 0.022%)  'm our generations' pe                                                                                                        cdeeefkkmnnosttuuw,!
    23,023 0* 0.00000% (99.905% 0.073% 0.022%)  'm now, er                                                                                                                    -----------cdeeefkkmnopsttuuu'!
    23,024 0* 0.00000% (99.905% 0.073% 0.022%)  'm ted                                                                                                                        -----------ceeefkkmnnooprstuuuw',!
    23,025 0* 0.00000% (99.905% 0.073% 0.022%)  'm sure come generations on                                                                                                   deefkknpttuuw',!
    23,026 0* 0.00000% (99.905% 0.073% 0.022%)  'd count, 'em!                                                                                                                -----------eeefkkmnoprstuuw
    23,027 0* 0.00000% (99.905% 0.073% 0.022%)  'm open to cru                                                                                                                -----------deeefkkmnstuuw',!
    23,028 0* 0.00000% (99.905% 0.073% 0.022%)  , down                                                                                                                        -----------ceeeefkkmmnoprsttuuu''!
    23,029 0* 0.00000% (99.905% 0.073% 0.022%)   won't truck,                                                                                                                 -----------deeeefkmmnopsuu'!
    23,030 0* 0.00000% (99.905% 0.073% 0.022%)  't not                                                                                                                        -----------cdeeeefkkmmnoprsuuuw',!
    23,031 0* 0.00000% (99.905% 0.073% 0.022%)   once te                                                                                                                      -----------deefkkmmnoprstuuuw'',!
    23,032 0* 0.00000% (99.905% 0.073% 0.022%)   keep cru                                                                                                                     -----------deefkmmnnoosttuuw'',!
    23,033 0* 0.00000% (99.905% 0.073% 0.022%)   know, mom'                                                                                                                   -----------cdeeeefknprsttuuu'!
    23,034 0* 0.00000% (99.905% 0.073% 0.022%)  'm no poet, me                                                                                                                -----------cdeefkknrstuuuw'!
    23,035 0* 0.00000% (99.905% 0.073% 0.022%)  'm me or                                                                                                                      -----------cdeeefkknnopsttuuuw',!
    23,036 0* 0.00000% (99.905% 0.073% 0.022%)  'm not come up!                                                                                                               -----------deeefkknrstuuw',
    23,037 0* 0.00000% (99.905% 0.073% 0.022%)  'm stuck on met                                                                                                               -----------deeefknopruuw',!
    23,038 0* 0.00000% (99.905% 0.073% 0.022%)  'm not future '                                                                                                               -----------cdeeekkmnopsuw,!
    23,039 0* 0.00000% (99.905% 0.073% 0.022%)   won't, computer                                                                                                              -----------deeefkkmnsuu'!
    23,040 0* 0.00000% (99.905% 0.073% 0.022%)  'd sure keep on                                                                                                               -----------cefkmmnottuuw',!
    23,041 0* 0.00000% (99.905% 0.073% 0.022%)   smoke pot                                                                                                                    -----------cdeeefkmnnrtuuuw'',!
    23,042 0* 0.00000% (99.905% 0.073% 0.022%)   put un                                                                                                                       -----------cdeeeefkkmmnoorstuw'',!
    23,043 0* 0.00000% (99.905% 0.073% 0.022%)  'd puke now                                                                                                                   -----------ceeefkmmnorsttuu',!
    23,044 0* 0.00000% (99.905% 0.073% 0.022%)  'd puke now,                                                                                                                  -----------ceeefkmmnorsttuu'!
    23,045 0* 0.00000% (99.905% 0.073% 0.022%)  'm pure now                                                                                                                   -----------cdeeefkkmnosttuu',!
    23,046 0* 0.00000% (99.905% 0.073% 0.022%)  'm pure now,                                                                                                                  -----------cdeeefkkmnosttuu'!
    23,047 0* 0.00000% (99.905% 0.073% 0.022%)   know future!                                                                                                                 -----------cdeeekmmnopstu'',
    23,048 0* 0.00000% (99.905% 0.073% 0.022%)   know our f                                                                                                                   -----------cdeeeekmmnpsttuu'',!
    23,049 0* 0.00000% (99.905% 0.073% 0.022%)   used to count fewer generations,                                                                                             ekkmmnpu''!
    23,050 0* 0.00000% (99.905% 0.073% 0.022%)  'm sweet on 'po                                                                                                               -----------cdeefkkmnrtuuu,!
    23,051 0* 0.00000% (99.905% 0.073% 0.022%)  'm come p                                                                                                                     -----------deeefkknnorsttuuuw',!
    23,052 0* 0.00000% (99.905% 0.073% 0.022%)  'm so cute, don                                                                                                               -----------eeefkkmnprtuuw'!
    23,053 0* 0.00000% (99.905% 0.073% 0.022%)  'm so cute, don'                                                                                                              -----------eeefkkmnprtuuw!
    23,054 0* 0.00000% (99.905% 0.073% 0.022%)  'm so cute, don't                                                                                                             -----------eeefkkmnpruuw!
    23,055 0* 0.00000% (99.905% 0.073% 0.022%)  'm so count me up!                                                                                                            -----------deeefkknrtuw',
    23,056 0* 0.00000% (99.905% 0.073% 0.022%)  'd keep on w                                                                                                                  -----------ceefkmmnorsttuuu',!
    23,057 0* 0.00000% (99.905% 0.073% 0.022%)   suck from                                                                                                                    -----------deeeekmnnopttuuw'',!
    23,058 0* 0.00000% (99.905% 0.073% 0.022%)   need some f                                                                                                                  -----------cekkmnoprttuuuw'',!
    23,059 0* 0.00000% (99.905% 0.073% 0.022%)   don't poem,                                                                                                                  -----------ceeefkkmnrstuuuw'!
    23,060 0* 0.00000% (99.905% 0.073% 0.022%)  'm future generations, open                                                                                                   cdeekkmnostuw'!
    23,061 0* 0.00000% (99.905% 0.073% 0.022%)  'm future generations sup                                                                                                     cdeeekkmnnootw',!
    23,062 0* 0.00000% (99.905% 0.073% 0.022%)   count ut                                                                                                                     -----------deeeefkkmmnoprsuw'',!
    23,063 0* 0.00000% (99.905% 0.073% 0.022%)  'm often term                                                                                                                 -----------cdeekknopsuuuw',!
    23,064 0* 0.00000% (99.905% 0.073% 0.022%)   won, ut                                                                                                                      -----------cdeeeefkkmmnoprstuu''!
    23,065 0* 0.00000% (99.905% 0.073% 0.022%)  'm sucker pun                                                                                                                 -----------deeefkmnoottuw',!
    23,066 0* 0.00000% (99.905% 0.073% 0.022%)   keep stuck                                                                                                                   -----------deefmmnnoortuuw'',!
    23,067 0* 0.00000% (99.905% 0.073% 0.022%)  'm one pok                                                                                                                    -----------cdeeefkmnrsttuuuw',!
    23,068 0* 0.00000% (99.905% 0.073% 0.022%)   run '                                                                                                                        -----------cdeeeefkkmmnoopsttuuw',!
    23,069 0* 0.00000% (99.905% 0.073% 0.022%)  'd keep two                                                                                                                   -----------ceefkmmnnorstuuu',!
    23,070 0* 0.00000% (99.905% 0.073% 0.022%)  'm drunk, put                                                                                                                 -----------ceeeefkmnoostuw'!
    23,071 0* 0.00000% (99.905% 0.073% 0.022%)  'm drunk, put me                                                                                                              -----------ceeefknoostuw'!
    23,072 0* 0.00000% (99.905% 0.073% 0.022%)  'm onto future generations c                                                                                                  deeekkmnpsuw',!
