FOR WHAT I CAN ONLY DESCRIBE AS "AWESOME REASONS"
236.19%:  REASONS
0.63%:  FOR REASONS I CAN ONLY DESCRIBE AS "THE
0.47%:  FOR REASONS I CAN ONLY DESCRIBE AS "H
0.32%:  FOR REASONS I CAN ONLY DESCRIBE AS "A
0.28%:  FOR REASONS I CAN ONLY DESCRIBE AS THE
0.27%:  FOR REASONS I CAN ONLY DESCRIBE AS A
0.23%:  FOR REASONS I CAN ONLY DESCRIBE AS "TO
0.19%:  FOR REASONS I CAN ONLY DESCRIBE AS "EM
0.17%:  FOR REASONS I CAN ONLY DESCRIBE AS "ETH
0.14%:  FOR REASONS I CAN ONLY DESCRIBE AS "MET
0.14%:  FOR REASONS I CAN ONLY DESCRIBE AS "TA
0.12%:  FOR REASONS I CAN ONLY DESCRIBE AS "HOM
0.12%:  FOR REASONS I CAN ONLY DESCRIBE AS H
0.11%:  THE SAME REASON I ALREADY
0.11%:  SOME REASON TODAY I
0.20%:  SOME REASON TODAY I FEEL
0.11%:  OTHER REASONS I ASS
0.11%: HORSE RELATED REASONS I
0.11%:  EM
0.11%:  FOR A MATCH
0.11%:  THREE SECON
0.11%:  "STABLE" CH
0.11%:  FOR THE RACE
0.11%:  FOR AN "
0.11%:  SHINY REASON
0.11%:  A RIDE ON MY NEW
0.11%:  CHESS RELATED REASONS IF
0.11%:  REASONS I CAN ONLY DESCRIBE AS EM
0.11%:  CHAOS
0.38%:  CHAOS REASONS
0.11%:  SOME HAY
0.11%:  FOR MY SECOND CH
0.11%:  SOME REASON AND I
0.11%:  A HORSE FE
0.11%:  A SENS
0.11%:  FOR SOME REASONS THERE
0.11%:  FOR MORE REASONS THAN I CAN EAS
0.10%:  A SECRET HORSE COMEDY
0.10%:  FOR CHESS TRAIN
0.10%:  FOR A SCIENCE HORSE
0.10%:  FOR CERTAIN CH
4.00%:  FOR CERTAIN CHESS REASONS
0.10%:  FOR A MEET AND
0.10%: HORSEY
0.10%:  A HORSE NAMED AL
0.25%:  A HORSE NAMED ALBERTO
0.10%:  CERE
0.10%:  I NEED TO BORROW
0.10%:  REASONS I CAN ONLY DESCRIBE AS HOM
0.10%:  CHESS RELATED REASONS MY
0.10%:  FOR SOME CHEST
0.10%:  FOR THE SAME REASON I DON
0.10%:  FOR AN ENTIRE DAY
0.10%:  HOME
0.10%:  HORSES ARE MY LIFE NOW
0.10%:  HORSE LE
0.10%:  A HORSE AND I
0.10%:  HORSE RELATED REASONS I WON
0.10%:  A HAND
0.10%:  CHESS RELATED REASONS OF MINE
0.10%:  B
0.10%:  SECRET RE
0.10%:  SOME CHEST
0.10%:  A WORD
0.16%:  A WORD WITH MY
0.12%:  A WORD WITH SOMEONE
0.10%:  CREAT
0.10%:  ONE LAST RACE BEFORE
0.10%:  FOR REASONS I CAN ONLY DESCRIBE AS MET
0.10%:  FOR D
0.10%:  HER
0.10%: SOM
0.10%:  WHAT IS
0.40%:  WHAT IS CLEAR
0.10%:  REASONS I CAN ONLY DESCRIBE AS "OH
0.10%:  MY CHE
0.10%:  REASONS I CAN ONLY DESCRIBE AS A "HOR
0.10%:  STEAM
0.10%:  I CANNOT
0.10%:  CERTAIN NEEDS
0.10%:  STABLE REASONS MAN
0.10%:  FOR A CERTAIN LESSON
0.10%:  A TIME
0.21%:  A TIME SENS
0.10%:  CHESS DER
0.10%:  REASONS I CANNOT HERE
0.10%:  HOB
0.10%:  FOR A SECRET SOCIAL MEDIA
0.10%:  CHESS REASONS MAN
0.10%:  FOR AN AWESOME RIDE
0.10%:  FOR ANIMAL
0.10%:  CHEAT
0.14%:  CHEAT REASONS
0.10%:  THE ANIMALS
0.10%:  RHYMES
0.10%:  OTHER REASONS MAYBE ALSO
0.10%:  MORE REASONS THAN ANY
0.10%:  CHESS RELATED REASONS IF ANYONE
0.10%:  FOR HORSE NEWS REASONS
0.10%: SCIENCE REASONS
0.10%:  FOR REASONS I CAN ONLY DESCRIBE AS "E
0.10%:  FOR LESS
0.10%:  FOR A HORSE NAMED SALT
0.10%:  AN EM
0.33%:  AN EMOTION
0.10%:  OTHER REASONS AND REASONS OF MY
0.10%:  MY HORSE FRIEND TO
0.10%:  A SECRET MANLY
0.79%:  A SECRET MANLY REASON
0.20%:  A SECRET MANLY HORSE
0.10%:  MY HORSE OF
0.10%:  FOR REASONS I CAN ONLY DESCRIBE AS "OH
0.10%:  FOR SOME STR
0.10%:  ANOTHER DAY
0.10%:  FOR A LISTEN
0.10%:  RACIAL HAR
0.20%:  RACIAL HARMON
0.42%:  RACIAL HARMONY REASONS
0.10%: FOR A
0.30%: FOR A HORSE
0.19%: FOR A SECRET
0.10%:  IND
0.50%:  INDOOR HORSE
0.26%:  INDOOR CHESS REASONS
0.17%:  INDOOR REASONS
0.17%:  INDOORS
0.98%:  INDOORS REASONS
0.28%:  INDOORS HORSE
0.10%:  "STABLE CH
0.10%:  SOME REALITY BASED
1.47%:  SOME REALITY BASED REASONS
0.10%:  FOR RE
0.10%:  FAMILY DINNER
0.10%:  FOR RANDOM REASONS I CAN
0.10%:  FOR A HORSE DEAL
0.10%: SOME REASON I
0.10%:  A HORSE RELATED INC
0.10%:  I NEED TO SEE
0.10%:  A HORSE OF AN
0.11%:  A HORSE OF AN IDEA
0.10%:  NORMAL RID
0.10%:  HORSE DAY
0.10%:  A DANCE CLASS
0.10%:  FOR A SECRET SCO
0.10%:  A HORSE NAMED TONY
0.10%:  A RACE WITH
0.10%:  ANIMAL REASON
0.10%:  REASONS I CAN ONLY DESCRIBE AS "FRE
0.10%:  FOR SOME REASONS I CANNOT CLAR
0.10%:  A LESSON ON THE
0.10%:  HORSES NEED WATER
0.10%:  CERTAIN ANIMALS
0.10%:  DREAMS OF HORSE
0.10%:  A BIT OF A
0.18%:  A BIT OF A HORSE
0.29%:  A BIT OF A HORSE RACE
0.10%:  FOR MY NEW CHESS TRAIN
0.10%:  "CHESS RELATED REASONS" I
0.10%:  FOR A WHOLE
0.10%:  I CAN ONLY DESCRIBE AS "A
0.10%:  FOR MY LESSON ON
0.10%: SOME REASON I CAN
0.10%:  A HORSE NEEDS ME
0.10%:  A CLASS ON
0.10%:  FOR AN IDEA
0.10%:  FRIEND HORSE
0.10%:  FOR MEDICAL REASONS IN
0.10%:  I CAN ONLY DESCRIBE THE
0.32%:  I CAN ONLY DESCRIBE THE REASONS
0.25%:  I CAN ONLY DESCRIBE THE REASONS FOR
0.10%:  THE REASON I
0.17%:  THE REASON I ALREADY
0.16%:  THE REASON I SAID
0.16%:  THE REASON I SAID BEFORE
0.10%:  FOR ONE MORE
0.10%:  MORE THAN A
0.39%:  MORE THAN A REASON
0.11%:  MORE THAN A SECOND
0.10%:  FOR A HORSE MEET AND
0.10%:  O
0.10%:  ELEMENT
0.10%:  TEA
0.10%:  CER
0.10%:  FOR MORE CHESS ACTION
0.10%:  A HORSE IS A
0.10%:  FOR A HORSE NAME
0.10%: CHESS RELATED REASONS I
0.09%:  SOME HORSEY ACTION
0.09%:  STABLE FE
0.09%:  MORE REASONS THAN ONE ALREADY
0.09%:  A HORSE TR
0.09%:  A CERTAIN RACE OF
0.09%:  AN IND
0.49%:  AN INDOOR HORSE
0.11%:  AN INDOORS
0.27%:  AN INDOORS HORSE
0.09%:  SENSORY
0.09%:  MON
0.09%:  I CAN ONLY DESCRIBE THEM AS REASONS OF
0.09%:  FOR CERTAIN REASONS I
0.19%:  FOR CERTAIN REASONS I CAN
0.09%:  REASONS I CAN ONLY DESCRIBE AS TR
0.09%:  CHESS WORLD
0.09%:  A BRIEF SECRET
0.09%:  REASONS I CAN ONLY DESCRIBE AS E
0.09%:  FR
0.09%:  ANOTHER CLASS OF WIN
0.09%:  AN EARLIER SCHE
0.09%:  NEW CHESS REASONS
0.09%:  ME
0.14%:  ME AND THE
0.12%:  ME AND HORSE
0.09%:  CHESS RELATED REASONS IN MY
0.09%:  OTHER REASONS AND ALSO FOR SCIENCE
0.09%:  SENSE OF
0.09%:  A REAL HORSE TO
0.09%:  NEED
0.09%:  NON HORSE RELATED REASONS I SW
0.09%:  FOR REASONS I CAN ONLY DESCRIBE AS "T
0.09%:  MY NEW HORSE FRIEND "
0.09%:  BOT
0.09%:  NORMAL HORSE REASONS I
0.09%:  A HORSE NAMED E
0.09%:  SECRET MAN
0.09%:  ANOTHER ANIMAL
0.09%:  A HORSE RACE OF MY
0.09%:  REASONS I CAN ONLY DESCRIBE AS "MOT
0.09%:  AN ARTICLE FOR
0.09%:  CHESS BETWEEN
0.09%:  ART CLASS
0.09%:  FOR HORSE S
0.09%:  RACE H
0.12%:  RACE HORSES REASONS
0.09%:  A HORSE NAMED ROB
0.09%:  A HORSE IS MY
0.09%:  SOME REASON WE CAN
0.09%:  THE SAME REASONS AS
0.09%:  A LISTEN
0.09%:  THE RACE OF
0.09%:  SOME "HORSE"
0.49%:  SOME "HORSE" REASONS
0.09%:  THERE
0.09%:  SCENES OF
0.09%:  AN EN
0.09%:  FOR A HORSE NAMED B
0.09%:  STABLE REASONS OR
0.09%:  MY NEW HORSE AND
0.09%:  MY NEW BEST
0.28%:  MY NEW BEST FRIEND HORSE
0.09%: HORSE AND
0.09%:  A RANDOM
0.71%:  A RANDOM REASON
0.31%:  A RANDOM HORSE
0.09%:  DATA ANAL
0.09%:  A LESSON ON HOW
0.09%:  HORSE TEAM
0.09%:  FOR SOME SECRET REASONS I WON
0.09%:  AN ARTICLE OF
0.21%:  AN ARTICLE OF HORSE
0.09%:  AWESOME H
0.09%:  BASE
0.09%:  CHESS REASONS I NEED
0.09%:  SOME HORSE RELATED INC
0.09%:  MORE SECRET
0.09%:  A SECRET DEAL
0.09%:  FOR MORE REASONS THAN ANY
0.09%:  FOR A BATH
0.09%:  OTHER REASONS OF AN
0.18%:  OTHER REASONS OF AN ANIMAL
0.09%:  STABLE HORSE AND
0.09%:  A HORSE BASED
0.09%:  TRO
0.09%:  "A SECRET
0.19%:  "A SECRET REASON
0.13%:  "A SECRET HORSE
0.09%:  A HORSE NEEDS A
0.09%:  "OTHER
1.82%:  "OTHER REASONS
0.09%:  A WONDER
0.09%:  CHESS AFTER
0.09%:  RANDOM HORSE REASONS I
0.09%:  FOR HORSE REASONS ONLY
0.09%:  FOR REASONS I NEED
0.15%:  FOR REASONS I NEED NOT
0.09%:  FOR MY BOARD
0.09%:  TO SEE MY
0.20%:  TO SEE MY HORSE FRIEND
0.12%:  TO SEE MY FRIEND
0.12%:  TO SEE MY FRIENDS
0.09%:  CERTAIN CHESS BOARD
0.13%:  CERTAIN CHESS BOARD REASONS
0.09%:  RANDOM CHESS REASONS I
0.09%:  A HORSE NAMED NE
0.09%:  FOR REASONS I CAN ONLY DESCRIBE AS EM
0.09%:  FOR COACH
0.09%:  FOR A REALITY
0.09%:  FOR A HORSE NAMED T
0.09%:  REASONS I CAN ONLY DESCRIBE AS "TRO
0.09%:  REAL REASON
0.09%:  SOME REASON I CAN FEEL
0.09%:  MIND
0.38%:  MIND CONTROL
2.94%:  MIND CONTROL REASONS
0.09%:  SOME REASON"
0.09%:  A REAL REASON
0.09%:  FOR REASONS I CAN ONLY DESCRIBE AS "HOME
0.09%:  SOME FRIENDS
0.09%:  SOME REASON TO
0.09%:  FOR THE REASON I SAID
0.09%:  FOR CHESS REASONS AND
0.09%:  A "HOR
0.19%:  A "HORSE RACE
0.13%:  A "HORSE TRADE
0.12%:  A "HORSE" RACE
0.09%:  A "HORSE AND
0.09%:  A "HORSE" REASON
0.09%:  A HORSE NAMED L
0.09%:  ANIMAL HORSE
0.09%:  CR
0.09%:  A NICE CHAT
0.09%: HORSE NEWS
0.09%:  REASONS OF MY OWN CHOICE
0.09%:  "A REASON
0.09%:  RHYME REASON
0.09%:  CERTAIN ANIMAL
0.09%:  HORSE DATES
0.09%:  A HORSE NAMED "ST
0.09%:  NO REASONS
0.09%:  HORSES AND T
0.09%:  ANOTHER "
0.09%:  FOR A CHE
0.09%:  FOR AN AWARD
0.09%:  HORSE CR
0.09%:  FOR AN AWESOME IDEA
0.09%:  FOR AN ESS
0.09%:  A HOR
0.17%:  A HORSEY FRIEND
0.11%:  A HORSEY REASON
0.09%:  A NEW
0.59%:  A NEW HORSE FRIEND
0.09%:  SOME REASONS I CANNOT CLAR
0.09%:  REASONS I CANNOT SAY HERE
0.09%:  MY SECOND CH
0.09%:  FOR MY OWN CH
0.27%:  FOR MY OWN CHESS BOARD
0.09%:  DANCE
0.23%:  DANCE CLASS
0.09%:  "A HORSE RACE
0.09%:  FOR REASONS I CANNOT RE
0.09%:  FOR MY NEW COACH
0.09%:  SOME REASONS I CANNOT DESCRIBE FOR
0.09%:  OTHER REASONS AND ALSO MAYBE I CAN
0.09%:  FOR REASONS I CAN ONLY DESCRIBE AS MOT
0.09%:  CLEAR
0.09%:  MY SECRET HORSE AND
0.09%:  A HORSE NAMED LAR
0.09%:  A CHANCE
0.09%:  FOR SECRET REASONS AND
0.16%:  FOR SECRET REASONS AND ALSO
0.09%:  A HORSE NAMED AFTER A
0.09%:  BREAST
0.16%:  BREAST CANCER
0.09%:  REASONS FOR
0.09%:  FOR A H
0.09%:  CHESS RELATED REASONS COM
0.09%:  REASONS I CAN ONLY DESCRIBE TO
0.09%:  FOR SH
0.09%:  THOR
0.09%:  A CERTAIN HORSE AND SOME
0.09%:  RELATED SCIENCE
0.09%:  REASONS OF HORSE AND
0.09%: SOME REASON I NEED
0.09%:  A MEET AND CHE
0.08%:  MY NEW HORSE TRAIN
0.08%:  FOR MY HORSE TO CLEAN
0.08%:  FOR SOME SECRET REASONS I CAN ONLY
0.08%:  FORMAT
0.08%:  FOR A HORSE NAMED "TA
0.08%:  SOME LAST
0.08%:  A CHESS BOARD
0.08%:  REASONS I CAN ONLY DESCRIBE AS "THERE
0.08%:  RACE RELATED
0.08%:  FOR A SCIENCE RELATED
0.08%:  FOR ME
0.13%:  FOR ME AND THE
0.12%:  FOR ME AND HORSE
0.08%:  MORE CHEAT
0.08%:  "CHESS TIME
0.08%:  AN ARTICLE I
0.08%:  STABLE HORSE FRIEND
0.73%:  STABLE HORSE FRIEND REASONS
0.08%:  REASONS I CANNOT DEL
0.08%:  FOR ONE LAST DANCE
0.08%:  FOR SOCIAL
0.08%:  A HORSE NAMED "SALT
0.08%:  ANOTHER SECOND
0.08%:  FOR AN IM
0.08%:  HORSE BREED
0.10%:  HORSE BREED REASONS
0.08%:  SCENES OF AN
0.08%:  MY TRAIN
0.15%:  MY TRAINED CH
0.08%:  FOR HORSE S REASONS
0.08%:  FOR CHESS I
0.08%:  SHOWER
0.08%:  SCHE
0.08%:  MY NEW BOARD
0.08%:  STABLE REASONS NOW
0.08%:  RIDES ON
0.12%:  RIDES ON HORSE
0.08%:  NON HORSE RELATED REASONS SOM
0.08%:  HORSES I CAN
0.08%:  MY RIDE
0.08%:  REASONS I CAN ONLY DESCRIBE AS ETH
0.08%:  TEAM HORSE
0.08%:  STABLE REASONS FOR HORSE
0.08%:  SHOWER TIME
0.08%:  FOR MY OWN HORSE AND
0.08%:  CHESS AR
0.55%:  CHESS ARENA REASONS
0.19%:  CHESS ARENA ACTION
0.11%:  CHESS ARENA TIME
0.08%:  A HORSE AND FOR
0.08%:  TO SEE MY FRIEND HORSE
0.08%: ST
0.24%: STABLE REASON
0.22%: STABLE HORSE
1.15%: STABLE HORSE REASONS
0.12%: STABLE CH
0.08%:  SCENT
0.12%:  SCENT REASONS
0.08%:  STR
0.08%:  CHESS RELATED REASONS OF MY OWN CRE
0.08%:  HORSE SOCIETY
0.08%: FOR A REASON
0.08%:  A SECRET HORSE MEAL
0.08%:  FOR A HORSE IN
0.08%:  FOR MY TRAIN
0.08%:  REASONS OF HORSE RACE
0.08%:  FOR A SECRET CHEES
0.08%:  FOR MY CHESS DATE
0.08%:  SOME CHEE
0.08%:  FOR A HORSE IN NEED
0.08%:  CHESS FORT
0.08%:  MAY
0.27%:  MAYBE REASONS
0.13%:  MAYBE HORSE
0.57%:  MAYBE HORSE REASONS
0.15%:  MAYBE HORSE RELATED
0.09%:  MAYBE A
0.21%:  MAYBE A HORSE
0.13%:  MAYBE A HORSE FRIEND
0.09%:  MAYBE HORSE RELATED REASONS I
0.08%:  A HORSE OR
0.08%:  HORSE CON
0.08%:  FOR REASONS I CAN NOT
0.08%:  HORSES OR
0.08%:  SOME "CH
0.08%:  FOR A LESSON WITH
0.08%:  FOR A SECRET WE
0.08%:  A HORSE OF A REASON
0.08%:  NORMAL REASON
0.08%:  RIDE CONTROL
0.08%:  FOR SOME REASON AND REASONS
0.08%:  FOR MY SECRET CHE
0.08%:  A FEW SECRET REASON
0.08%:  FOR SOME "CH
0.08%:  FOR SOME REASON WH
0.08%:  A SECRET REASON AND
0.08%:  RED
0.08%: HORSE SCIENCE REASONS
0.08%:  FOR AN ARTICLE I
0.08%:  SOME REL
0.08%:  TO LEARN MORE
0.08%:  HORSE ST
0.08%:  AN EARLIER TIME
0.08%:  A HORSE NAMED TR
0.08%:  MAYBE A RIDE
0.08%:  A HORSE AND TWO
0.08%:  MY NEW COACH
0.08%:  DISC
0.08%:  SOME REASON THEY DON
0.08%:  FOR A LESSON WITH MY NEW
0.08%:  FOR A HORSE NAMED ST
0.08%:  FOR MY CHANCE
0.08%:  HORSE AND MAN REASONS
0.08%:  SOME FRESH
0.08%:  BRO
0.09%:  BRO SCIENCE
0.08%:  REASONS I CAN ONLY DESCRIBE AS "WH
0.08%:  REASONS I CAN ONLY DESCRIBE AS "WHATE
0.08%: FOR MY
0.08%:  FOR A SECRE
0.08%:  SOME REASON I DONT
0.08%:  HORSE B
0.14%:  HORSE BONES
0.08%:  A LESSON FROM THE
0.08%:  MORE REASONS THAN I CAN REC
0.08%:  FOR SOME REASON I NEED A H
0.08%:  FOR AN EARLY
0.08%:  SOME HORSE DR
0.08%:  ANIME
0.55%:  ANIME REASONS
0.08%:  REASONS I CAN ONLY DESCRIBE AS MORE
0.08%:  I NEED TO LEARN
0.08%:  REASONS I CAN ONLY DESCRIBE AS "HOME
0.08%:  OTHER REASONS I SWE
0.08%:  FOR THIS
0.19%:  FOR THIS REASON
0.08%:  AN ORAL
0.24%:  AN ORAL HISTORY
0.12%:  AN ORAL HISTORY OF
0.08%:  A HORSE COM
0.08%:  HORSE RELATED REASONS 
0.08%:  A CERTAIN RID
0.08%:  OTHER REASONS AND MAY
0.43%:  OTHER REASONS AND MAYBE ALSO
0.29%:  OTHER REASONS AND MAYBE ALSO FOR
0.14%:  OTHER REASONS AND MAYBE REASONS
0.08%:  REASONS OF SCIENCE AND HORSE
0.08%:  SOCIAL REASON
0.08%:  CHESS FRIEND REASONS
0.08%:  HORSES OF REASONS
0.08%:  A HORSE TO ANSWER
0.08%:  HORSE TENSION RELIEF
0.08%:  HORSE MEAT
0.08%:  FOR MEDICAL REASONS I CANNOT SAY
0.08%:  FOR SHINY
0.08%:  I CAN ONLY DESCRIBE AS "OTHER
0.08%:  MORE CHEES
0.08%:  HORSE RELATED REASONS IN MY
0.08%:  FOR REASONS I CANNOT CLEAR
0.08%:  A SECRET WE
0.08%:  NON HORSE RELATED REASONS AS
0.08%:  HORSE SECRET
0.08%:  RANCH DRESS
0.08%:  HORSE MIN
0.08%:  A HORSE NAMED "STE
0.08%:  FOR HORSE TIMES
0.08%:  ANY HORSE
0.08%:  CO
0.08%:  FOR MY HORSE IN
0.08%:  FOR MY NEW BEST
0.08%:  A REAL SECRET
0.08%:  SOMEONE ELSE TO WIN
0.08%:  CHESS MAY
0.08%:  SOME OTHER REASON AND
0.08%:  CHESS REASONS I NEED NOT
0.08%:  FOR MEDICAL REASONS I CANNOT SHARE
0.08%:  FOR SOME RES
0.08%:  CLAR
0.08%:  SOME CHEERS
0.08%:  A SECRET R
0.08%:  A LOT
0.18%:  A LOT OF REASON
0.17%:  A LOT OF HORSE
0.43%:  A LOT OF HORSE REASONS
0.08%:  CHESS T
0.08%:  SOME HORSEY REASONS I
0.12%:  SOME HORSEY REASONS I CANNOT
0.09%:  SOME HORSEY REASONS I CAN
0.08%:  FOR MY HORSE CAN
0.08%:  THERE ARE
0.08%:  OTHER REASONS IN CASE
0.08%:  HORSES DON
0.08%:  SOME REASONS I NEED
0.08%:  FOR CHESS RELATED REASONS I AM
0.08%:  FOR SOME HAY
0.08%:  AN AL
0.08%:  "H
1.12%:  "HORSES REASONS
0.64%:  "HORSES AND
0.36%:  "HORSES"
1.32%:  "HORSES" REASONS
0.08%:  FOR A LESSON ON
0.08%:  A HORSE NAMED "RO
0.08%:  REASONS IN
0.08%:  HORSE OF
0.08%:  SOME OTHER REASONS NOW
0.08%:  FOR CHESS IN
0.08%:  FOR SOME BRE
0.08%:  CHESS REASONS FOR
0.13%:  CHESS REASONS FOR CERTAIN
0.08%:  A TEA
0.08%:  FOR SOME REASON I WANT A
0.08%:  SOME STABLE REASONS I NEED
0.08%:  OTHER REASONS OF A
0.11%:  OTHER REASONS OF A NON
0.08%:  OTHER REASONS OF A MORE
0.08%:  AN AW
0.08%:  FOR A HORSE NAMED AL
0.08%:  LIFE SCIENCE
0.08%:  DOM
0.08%:  TO RIDE MY
0.08%:  BREED
0.08%:  FOR CHESS RELATED REASONS MAN
0.08%:  A SECRET REASON I AM
0.08%:  OTHER REASONS I AM
0.08%:  MY CHEST
0.07%:  FOR CHESS REASONS OR
0.07%:  REASONS I NEED TO CLAR
0.07%:  A HORSE AND AN
0.07%:  A WHOLE DAY
0.07%:  SECRET RIDES
0.07%:  FOR HORSES I
0.11%:  FOR HORSES I MEAN
0.07%:  DOCTOR REASON
0.07%:  "STABLE" FRIENDS
0.07%:  LATER
0.07%:  FOR CERTAIN REASONS I DON
0.07%:  A HORSE COMICS
0.07%:  FOR MY HORSE TO SEE
0.07%:  FOR MY RACE
0.07%:  SOME REASON I HAD TO
0.07%:  SOMEONE WHO IS
0.07%:  A HORSE I ALREADY
0.07%:  MY FIRST
0.11%:  MY FIRST HORSE
0.07%:  OTHER REASONS I CAN ONLY DESCRIBE AS "MA
0.07%:  ANSWERS
0.07%:  REASONS I CAN ONLY DESCRIBE AS RE
0.07%:  THIS AWESOME
0.07%:  FOR A HORSE NAMED TONY
0.07%:  REASONS I CAN ONLY DESCRIBE AS FR
0.07%:  FOR TWO
0.08%:  FOR TWO REASONS
0.07%:  A HORSE NAMED "TO
0.07%:  ANIMAL SCIENCE
0.07%:  FOR A SENS
0.07%:  BOARD HORSE
0.07%:  FOR MANY
0.07%:  FOR A SECRET DEAL
0.07%:  FOR HORSES NEED
0.07%:  ANOTHER CLASS OF RID
0.07%:  HORSES RELATED REASONS I
0.07%:  CHEESED
0.07%:  HORSE E
0.07%:  AH
0.07%:  FOR MY HORSE NEEDS A
0.07%:  FOR COM
0.08%:  FOR COMICS
0.85%:  FOR COMICS REASONS
0.07%:  FOR A SECRET H
0.07%:  MORE REASONS THAN WE
0.07%:  REASONS I CAN ONLY DESCRIBE AS "HO
0.07%:  THE ONLY REASON FOR
0.07%:  CHESS RELATED REASONS WE
0.07%:  WHAT I
0.13%:  WHAT I CAN
408.73%:  WHAT I CAN ONLY DESCRIBE AS REASONS
178.69%:  WHAT I CAN ONLY DESCRIBE AS A
69.70%:  WHAT I CAN ONLY DESCRIBE AS "A
13.59%:  WHAT I CAN ONLY DESCRIBE AS REASONS OF
12.72%:  WHAT I CAN ONLY DESCRIBE AS "MORE
20.50%:  WHAT I CAN ONLY DESCRIBE AS "MORE REASONS
6.88%:  WHAT I CAN ONLY DESCRIBE AS "RE
6.14%:  WHAT I CAN ONLY DESCRIBE AS "A FEW
25.81%:  WHAT I CAN ONLY DESCRIBE AS "A FEW REASONS
4.31%:  WHAT I CAN ONLY DESCRIBE AS "FOR
12.04%:  WHAT I CAN ONLY DESCRIBE AS "FOR REASONS
3.98%:  WHAT I CAN ONLY DESCRIBE AS A R
3.58%:  WHAT I CAN ONLY ASS
3.39%:  WHAT I CAN ONLY DESCRIBE AS A "RE
2.82%:  WHAT I CAN ONLY DESCRIBE AS "FR
2.47%:  WHAT I CAN ONLY DESCRIBE AS "R
2.13%:  WHAT I CAN ONLY DESCRIBE AS MORE
2.28%:  WHAT I CAN ONLY DESCRIBE AS MORE REASONS
2.10%:  WHAT I CAN ONLY DESCRIBE AS REASONS OF A
1.97%:  WHAT I CAN ONLY DESCRIBE AS "MOR
1.96%:  WHAT I CAN ONLY DESCRIBE AS "E
1.93%:  WHAT I CAN ONLY DESCRIBE AS A "R
1.90%:  WHAT I CAN ONLY DESCRIBE AS A FEW
5.70%:  WHAT I CAN ONLY DESCRIBE AS A FEW REASONS
1.69%:  WHAT I CAN ONLY DESCRIBE AS "A R
1.65%:  WHAT I CAN ONLY DESCRIBE AS MOR
1.49%:  WHAT I CAN ONLY DESCRIBE AS "EM
1.46%:  WHAT I CAN ONLY DESCRIBE AS A "FR
1.45%:  WHAT I CAN ONLY DESCRIBE AS A "ME
1.43%:  WHAT I CAN ONLY DESCRIBE AS A FORM
1.36%:  WHAT I CAN ONLY DESCRIBE AS R
1.30%:  WHAT I CAN ONLY DESCRIBE AS "MA
1.21%:  WHAT I CAN ONLY DESCRIBE AS "MO
1.19%:  WHAT I CAN ONLY DESCRIBE AS FOR
3.65%:  WHAT I CAN ONLY DESCRIBE AS FOR REASONS
1.18%:  WHAT I CAN ONLY DESCRIBE AS A "RO
1.16%:  WHAT I CAN ONLY DESCRIBE AS "M
1.15%:  WHAT I CAN ONLY DESCRIBE AS REASONS FOR
0.98%:  WHAT I CAN ONLY DESCRIBE AS REASONS OF "
0.93%:  WHAT I CAN ONLY DESCRIBE AS "RO
0.92%:  WHAT I CAN ONLY DESCRIBE AS A "FE
0.92%:  WHAT I CAN ONLY DESCRIBE AS " REASONS
0.91%:  WHAT I CAN ONLY DESCRIBE AS EM
0.90%:  WHAT I CAN ONLY DESCRIBE AS A "FOR
0.89%:  WHAT I CAN ONLY DESCRIBE AS A REM
0.86%:  WHAT I CAN ONLY DESCRIBE AS "MER
0.85%:  WHAT I CAN ONLY REFER
0.84%:  WHAT I CAN ONLY DESCRIBE AS "ME
0.83%:  WHAT I CAN ONLY DESCRIBE AS A "M
0.79%:  WHAT I CAN ONLY DESCRIBE AS RE
0.77%:  WHAT I CAN ONLY DESCRIBE AS A FEW "
0.77%:  WHAT I CAN ONLY DESCRIBE AS "FOR A
0.77%:  WHAT I CAN ONLY DESCRIBE AS A "MORE
0.73%:  WHAT I CAN ONLY DESCRIBE AS A REASONS
0.66%:  WHAT I CAN ONLY DESCRIBE AS "MAR
0.60%:  WHAT I CAN ONLY DESCRIBE AS "FE
0.57%:  WHAT I CAN ONLY DESCRIBE AS A FR
0.57%:  WHAT I CAN ONLY DESCRIBE AS REASONS "
0.57%:  WHAT I CAN ONLY DESCRIBE AS A MORE
0.55%:  WHAT I CAN ONLY DESCRIBE AS FOR "
0.55%:  WHAT I CAN ONLY DESCRIBE AS "A REASONS
0.55%:  WHAT I CAN ONLY DESCRIBE AS A "ROM
0.53%:  WHAT I CAN ONLY DESCRIBE FOR
0.53%:  WHAT I CAN ONLY DESCRIBE AS E
0.52%:  WHAT I CAN ONLY DESCRIBE AS "AR
0.50%:  WHAT I CAN ONLY DESCRIBE AS A RE
0.47%:  WHAT I CAN ONLY DESCRIBE AS "W
0.45%:  WHAT I CAN ONLY DESCRIBE AS "ROM
0.44%:  WHAT I CAN ONLY DESCRIBE AS A M
0.43%:  WHAT I CAN ONLY DESCRIBE AS "MORE"
1.01%:  WHAT I CAN ONLY DESCRIBE AS "MORE" REASONS
0.43%:  WHAT I CAN ONLY DESCRIBE AS MORE "
0.43%:  WHAT I CAN ONLY DESCRIBE AS "FORM
0.41%:  WHAT I CAN ONLY DESCRIBE AS "WAR
0.41%:  WHAT I CAN ONLY DESCRIBE AS "FREE
